Label;Repo
General;https://github.com/yanggeng1995/GAN-TTS
Sequential;https://github.com/yanggeng1995/GAN-TTS
Natural Language Processing;https://github.com/Sanyuan-Chen/RecAdam
Natural Language Processing;https://github.com/facebookresearch/fastText
General;https://github.com/yyht/Conv_Bert
Natural Language Processing;https://github.com/yyht/Conv_Bert
Sequential;https://github.com/yyht/Conv_Bert
General;https://github.com/tensorflow/models
Computer Vision;https://github.com/matterport/Mask_RCNN
Computer Vision;https://github.com/epfl-ml-reproducers/subspace-attack-reproduction
Audio;https://github.com/yanggeng1995/GAN-TTS
Computer Vision;https://github.com/shirans/cv_course_project
Computer Vision;https://github.com/syahdeini/gan
Computer Vision;https://github.com/trongnghia00/darknet
General;https://github.com/trongnghia00/darknet
Computer Vision;https://github.com/bareblackfoot/lddp-tf-faster-rcnn
General;https://github.com/Tsejing/object_detection
Computer Vision;https://github.com/Tsejing/object_detection
Reinforcement Learning;https://github.com/Souphis/mobile_robot_rl
Computer Vision;https://github.com/mr-bulb/DL_basic_github
General;https://github.com/bioinf-jku/SNNs
General;https://github.com/yashkant/PNAS-Binarized-Neural-Networks
General;https://github.com/BioImageInformatics/tfmodels
Computer Vision;https://github.com/IAmSuyogJadhav/Brainy
Natural Language Processing;https://github.com/huggingface/transformers
General;https://github.com/dare0021/MemN2N_Bench
Computer Vision;https://github.com/wangzpeng/tf-faster-rcnn
Natural Language Processing;https://github.com/tensorflow/models
Sequential;https://github.com/trevor-richardson/rnn_zoo
General;https://github.com/adefazio/point-saga
Natural Language Processing;https://github.com/palmagro/gg2vec
Computer Vision;https://github.com/fizyr/keras-retinanet
General;https://github.com/fizyr/keras-retinanet
Computer Vision;https://github.com/vantupham/darknet
Computer Vision;https://github.com/muramasa8191/DeepLearning
General;https://github.com/Harshvardhan1/cyclic-learning-schedulers-pytorch
Reinforcement Learning;https://github.com/lachisis/multiagent-particle-envs
General;https://github.com/jefflai108/Contrastive-Predictive-Coding-PyTorch
Computer Vision;https://github.com/mz24cn/clnet
General;https://github.com/flowersteam/explauto
Computer Vision;https://github.com/bonlime/keras-deeplab-v3-plus
General;https://github.com/liamcli/darts
Computer Vision;https://github.com/tensorflow/models
Reinforcement Learning;https://github.com/prajwalgatti/DRL-Continuous-Control
General;https://github.com/titu1994/Super-Resolution-using-Generative-Adversarial-Networks
Computer Vision;https://github.com/titu1994/Super-Resolution-using-Generative-Adversarial-Networks
Natural Language Processing;https://github.com/TatsuyaShirakawa/poincare-embedding
Computer Vision;https://github.com/unsky/focal-loss
General;https://github.com/unsky/focal-loss
Reinforcement Learning;https://github.com/Ostyk/walk-bot
Computer Vision;https://github.com/weiliu89/caffe
Computer Vision;https://github.com/Azure/AzureChestXRay
Computer Vision;https://github.com/NVlabs/DG-Net
Computer Vision;https://github.com/ajbrock/Neural-Photo-Editor
General;https://github.com/ajbrock/Neural-Photo-Editor
General;https://github.com/simonjisu/NMT
General;https://github.com/hsvgbkhgbv/Thermostat-assisted-continuously-tempered-Hamiltonian-Monte-Carlo-for-Bayesian-learning
General;https://github.com/thunlp/TensorFlow-Summarization
General;https://github.com/jxz542189/dmn_plus
Computer Vision;https://github.com/zym1119/MobileNetV2_pytorch_cifar
General;https://github.com/zym1119/MobileNetV2_pytorch_cifar
Computer Vision;https://github.com/qilei123/DeformableConvV2
Computer Vision;https://github.com/TuSimple/neuron-selectivity-transfer
Reinforcement Learning;https://github.com/snhwang/p3_collab-compet
Computer Vision;https://github.com/ANLGBOY/RealNVP-with-PyTorch
General;https://github.com/chen-xiong-yi/OwnBERT
Natural Language Processing;https://github.com/chen-xiong-yi/OwnBERT
Computer Vision;https://github.com/openai/pixel-cnn
Audio;https://github.com/TanUkkii007/wavenet
Sequential;https://github.com/TanUkkii007/wavenet
Computer Vision;https://github.com/pskrunner14/face-DCGAN
General;https://github.com/switchablenorms/Switchable-Normalization
General;https://github.com/asprenger/keras_fc_densenet
