Label;Repo;Text
Other;Repo;""" aer banknote berlitz calloway centrust cluett fromstein gitano guterman hydro-quebec ipo kia memotec mlx nahb punts rake regatta rubens sim snack-food ssangyong swapo wachter """
Other;Repo;""" pierre N years old will join the board as a nonexecutive director nov. N """
Other;Repo;""" mr. is chairman of n.v. the dutch publishing group """
Other;Repo;""" rudolph N years old and former chairman of consolidated gold fields plc was named a nonexecutive director of this british industrial conglomerate """
Other;Repo;""" a form of asbestos once used to make kent cigarette filters has caused a high percentage of cancer deaths among a group of workers exposed to it more than N years ago researchers reported """
Other;Repo;""" the asbestos fiber is unusually once it enters the with even brief exposures to it causing symptoms that show up decades later researchers said """
Other;Repo;""" inc. the unit of new york-based corp. that makes kent cigarettes stopped using in its cigarette filters in N """
Other;Repo;""" although preliminary findings were reported more than a year ago the latest results appear in today 's new england journal of medicine a forum likely to bring new attention to the problem """
Other;Repo;""" a said this is an old story """
Other;Repo;""" we 're talking about years ago before anyone heard of asbestos having any questionable properties """
Other;Repo;""" there is no asbestos in our products now """
Other;Repo;""" neither nor the researchers who studied the workers were aware of any research on smokers of the kent cigarettes """
Other;Repo;""" we have no useful information on whether users are at risk said james a. of boston 's cancer institute """
Other;Repo;""" dr. led a team of researchers from the national cancer institute and the medical schools of harvard university and boston university """
Other;Repo;""" the spokeswoman said asbestos was used in very modest amounts in making paper for the filters in the early 1950s and replaced with a different type of in N """
Other;Repo;""" from N to N N billion kent cigarettes with the filters were sold the company said """
Other;Repo;""" among N men who worked closely with the substance N have died more than three times the expected number """
Other;Repo;""" four of the five surviving workers have diseases including three with recently cancer """
Other;Repo;""" the total of N deaths from malignant lung cancer and was far higher than expected the researchers said """
Other;Repo;""" the rate is a striking finding among those of us who study diseases said dr. """
Other;Repo;""" the percentage of lung cancer deaths among the workers at the west mass. paper factory appears to be the highest for any asbestos workers studied in western industrialized countries he said """
Other;Repo;""" the plant which is owned by & co. was under contract with to make the cigarette filters """
Other;Repo;""" the finding probably will support those who argue that the u.s. should regulate the class of asbestos including more than the common kind of asbestos found in most schools and other buildings dr. said """
Other;Repo;""" the u.s. is one of the few industrialized nations that does n't have a higher standard of regulation for the smooth fibers such as that are classified as according to t. a professor of at the university of vermont college of medicine """
Other;Repo;""" more common fibers are and are more easily rejected by the body dr. explained """
Other;Repo;""" in july the environmental protection agency imposed a gradual ban on virtually all uses of asbestos """
Other;Repo;""" by N almost all remaining uses of asbestos will be outlawed """
Other;Repo;""" about N workers at a factory that made paper for the kent filters were exposed to asbestos in the 1950s """
Other;Repo;""" areas of the factory were particularly dusty where the was used """
Other;Repo;""" workers dumped large of the imported material into a huge poured in cotton and fibers and mixed the dry fibers in a process used to make filters """
Other;Repo;""" workers described clouds of blue dust that hung over parts of the factory even though fans the area """
