Label;Text
Reinforcement Learning;mobile robot control using deep reinforcement learning short description following project part master thesis current version little bit modified much improved project using modified algorithm deterministic policy gradient lillicrap et written tensorflow control mobile robot main idea learn mobile robot navigate goal also avoid obstacle obstacle avoidance robot using 5 ultrasonic sensor navigation task required information like absolute pose taken simulation engine thats little hack however realistic like odometry pose estimation found use dependency simulation project using robotic simulation vrep setup vrep environment follow instruction described repository python python dependency requirementstxt run command pip install r requirementstxt running run training run command python mainpy train run testing run command python mainpy option like state action normalization run command python mainpy help result agent learned 1000 episode result shown alt textmiscrewardpng alt textmiscsuccessratepng
Reinforcement Learning;clone multiagent particle environment see openai original repository simple multiagent particle world continuous observation discrete action space along basic simulated physic used paper multiagent actorcritic mixed cooperativecompetitive getting started install cd root directory type pip install e interactively view moving landmark scenario see others scenario bininteractivepy scenario simplepy known dependency python 354 openai gym 0105 numpy 1145 use environment look code importing makeenvpy code structure makeenvpy contains code importing multiagent environment openai gymlike object multiagentenvironmentpy contains code environment simulation interaction physic step function etc multiagentcorepy contains class various object entity landmark agent etc used throughout code multiagentrenderingpy used displaying agent behavior screen multiagentpolicypy contains code interactive policy based keyboard input multiagentscenariopy contains base scenario object extended scenario multiagentscenarios folder various scenario environment stored scenario code consists several function 1 makeworld creates entity inhabit world landmark agent etc assigns capability whether communicate move called beginning training session 2 resetworld reset world assigning property position color etc entity world called every episode including makeworld first episode 3 reward defines reward function given agent 4 observation defines observation space given agent 5 optional benchmarkdata provides diagnostic data policy trained environment eg evaluation metric creating new environment create new scenario implementing first 4 function makeworld resetworld reward observation list environment env name code name paper communication competitive note simplepy n n single agent see landmark position rewarded based close get landmark multiagent environment used debugging policy simpleadversarypy physical deception n 1 adversary red n good agent green n landmark usually n2 agent observe position landmark agent one landmark ‘target landmark’ colored green good agent rewarded based close one target landmark negatively rewarded adversary close target landmark adversary rewarded based close target doesn’t know landmark target landmark good agent learn ‘split up’ cover landmark deceive adversary simplecryptopy covert communication two good agent alice bob one adversary eve alice must sent private message bob public channel alice bob rewarded based well bob reconstructs message negatively rewarded eve reconstruct message alice bob private key randomly generated beginning episode must learn use encrypt message simplepushpy keepaway n 1 agent 1 adversary 1 landmark agent rewarded based distance landmark adversary rewarded close landmark agent far landmark adversary learns push agent away landmark simplereferencepy n 2 agent 3 landmark different color agent want get target landmark known agent reward collective agent learn communicate goal agent navigate landmark simplespeakerlistener scenario agent simultaneous speaker listener simplespeakerlistenerpy cooperative communication n simplereference except one agent ‘speaker’ gray move observes goal agent agent listener cannot speak must navigate correct landmark simplespreadpy cooperative navigation n n n agent n landmark agent rewarded based far agent landmark agent penalized collide agent agent learn cover landmark avoiding collision simpletagpy predatorprey n predatorprey environment good agent green faster want avoid hit adversary red adversary slower want hit good agent obstacle large black circle block way simpleworldcommpy environment seen video accompanying paper simpletag except 1 food small blue ball good agent rewarded near 2 ‘forests’ hide agent inside seen outside 3 ‘leader adversary” see agent time communicate adversary help coordinate chase diplomacybasicpy continous movement discrete reward n landmark agent agent compete agent gain reward capturing colliding landmark change colour match lose reward losing landmark another agent collision agent conflict result one agent becoming smaller loss smaller agent likely lose conflict zero size result massive negative reward paper citation used environment experiment found helpful consider citing following paper environment repo pre articlelowe2017multi titlemultiagent actorcritic mixed cooperativecompetitive environment authorlowe ryan wu yi tamar aviv harb jean abbeel pieter mordatch igor journalneural information processing system nip year2017 pre original particle world environment pre articlemordatch2017emergence titleemergence grounded compositional language multiagent population authormordatch igor abbeel pieter journalarxiv preprint arxiv170304908 year2017 pre
Reinforcement Learning;description trained agent environment doublejointed arm move target location reward 01 provided step agent hand goal location thus goal agent maintain position target location many time step possible observation space consists 33 variable corresponding position rotation velocity angular velocity arm action vector four number corresponding torque applicable two joint every entry action vector number 1 1 project implement ddpg continous control environment learning algorithm used reinforcement learning agent implementation follows idea paper implementing ddpg agent actorcritic method algorithm help agent act environment goal solving task defined environment well explore environment order improve agent behaviour algorithm also augmented fixedq target double network softupdates experience replay agent exploit initial lack knowledge well ornstein–uhlenbeck processgenerated noise explore environment hyperparameters selected demonstration actor learning rate 00001 critic learning rate 00001 update rate 1 memory size 100000 batch size 64 gamma 099 tau 0001 adam weight decay 0 number episode 200 took network 114 episode able perform le score 30 average 100 episode training different time give u lesser number episode solve sometimes also reduced tuning hyperparameters plot reward saved weight actor critic network found follow setup train network idea future work search better hyperparameters algorithm well neural network implement state state predictor improve explorative capability agent
Reinforcement Learning;walkbot ppo implementation humanoidv2 openai gym project completed part prof capobiancos deep reinforcement learning class sapienza university rome demo walkbotgif installation python 364 please see requirementstxtrequirementstxt necessary module repo code structure report pdf detailing implemenation pporeportreportpdf pytorch implementationvpytorch taken move37 altered make project tensorflow implementationvtensorflow personal implementation p slow improved sample result result found pdfreportimgresultspng
Reinforcement Learning;project 2 continuous control scott hwang snhwangalummitedu project one requirement completing deep reinforcement learning nanodegree drlnd course udacitycom project detail environment ​ project uitlizes environment environment two agent play tennis agent represented racket try learn hit ball back forth across net tennisgif ​ one episode play agent earns reward 01 every time hit ball net negative reward 001 given ball hit ground go bound ideally two agent learn keep ball play earn high total reward state space ​ introduction course project indicates state space consists 8 variable corresponding position velocity ball racket agent receives local observation examination environment indicates state size 24 agent must parameter state space action space ​ action space consists two possible continuous action corresponding movement towards away net jumping specified project goal environment episodic agent earns score one episode episode characterized maximum score agent maximum score two agent one episode average 100 consecutive episode 100episode average maximum agent score must exceed 05 order environment considered solved getting started installation ​ installation software accomplished package manager conda installing anaconda include conda well facilitate installation data science software package jupyter notebook app also required running project installed automatically anaconda dependency project installed following instruction required component include limited python 36 specifically used 366 pytorch v04 version unity mlagents toolkit note mlagents supported microsoft window 10 used window 10 cannot vouch accuracy instruction operating system 1 installing anaconda create activate environment linux mac terminal window perform following command conda create name drlnd python36 source activate drlnd window make sure using anaconda command line rather usual window cmdexe conda create name drlnd python36 activate drlnd 2 clone udacity deep reinforcement learning nanodegree repository install dependency ​ instruction indicate enter following command line clone repository install dependency git clone cd deepreinforcementlearningpython pip install however window 10 work pip command fails try install torch 040 version may longer available edited dependency shown requirementstxt file directory changed line torch torch040 torch041 pip command worked change otherwise install required package requirement folder manually sometimes software package change may need refer specific instruction individual package example may helpful installing pytorch clone drlnd repository original file project found folder deepreinforcementlearningp3collabcompet 3 clone copy repository folder project github repository 4 download unity environment project download environment one link need select environment match operating system version 1 one 1 agent linux click mac osx click window 32bit click window 64bit click version 2 twenty 20 agent linux click mac osx click window 32bit click window 64bit click unzip decompress file provides folder copy folder folder p3collabcompetsnh jupyter notebook running code called tennissnhipynb folder name indicated section1 notebook starting environment must match one folder copied environment 5 prepare use jupyter notebook training agent running software create ipython drlnd environment python ipykernel install user name drlnd displayname drlnd step need performed instruction 1 terminal window specifically anaconda terminal window microsoft window activate conda environment already done linux mac source activate drlnd window make sure using anaconda command line rather usual window cmdexe activate drlnd 1 change directory p1navigatesnh folder run jupyter notebook jupyter notebook 1 open notebook tennissnhipynb train multiagent environment running code notebook change kernel match drlnd environment using dropdown kernelmenu taken udacity instruction 1 train agent provided parameter run cell drop menu jupyter notebook parameter learning agent changed section 4 notebook parameter running simulation training agent modified section 5 parameter described training multiple checkpoint saved running trained agent later checkpointactorfirstpth checkpointcriticfirstpth first time agent achieves score 05 checkpointactorpth checkpointcriticpth first time agent achieve 100episodeaverage maximum score 05 keep mind agent neural network changing training 100 episode training run 100 episode without training performed using one checkpoint see well performs checkpointactorbestagentmaxpth checkpointcriticbestagentmaxpth actor critic network weight model achieve highest maximum checkpointactorbestavgmaxpth checkpointcriticbestavgmaxpth actor critic network weight model achieve highest 100episode average maximum episode score checkpointactorfinalpth checkpointcriticfinalpth recent version neural network trained last episode training run run notebook named tennissnhpretrainedipynb read saved checkpoint run environment without training make sure network type weight stored checkpoint match agent defined section 3 please make sure network name selu relu match type neural network weight stored checkpoint eg agent agent statesize statesize actionsize actionsize numagents numagents network relu default relu specified get selu work recommend using relu specifying always us default name checkpoint changed section 4 notebook following example show run agent using checkpoint file neural network achieved highest maximum agent score single episode agent 100 episode provide score well final average score final parameter number episode run also changed loadandrun agent env checkpointactorbestagentmaxpth checkpointcriticbestagentmaxpth 100 file 1 tennissnhipynb jupyter notebook train agent save trained neural network weight checkpoint notebook set version 2 multiple agent 2 tennissnhpretrainedipynb notebook read saved checkpoint run agent without additional learning 3 modelpy neural network 4 agentpy defines learning agent based ddpg python class agent 5 multiple file prefix pth checkpoint file contained weight previously training neural network parameter parameter implementation discussed file reportmd agent parameter batchsize batch size neural network training lractor learning rate actor neural network lrcritic learning rate critic neural network noisetheta float theta ornsteinuhlenbeck noise process noisesigma float sigma ornsteinuhlenbeck noise process actorfc1 int number hidden unit first fully connected layer actor network actorfc2 unit second layer actorfc3 unit third fully connected layer parameter nothing relu network criticfc1 number hidden unit first fully connected layer critic network criticfc2 unit second layer criticfc3 unit third layer parameter nothing relu network updateevery number time step updating neural network numupdates number time update network every updateevery interval buffersize buffer size experience replay default 2e6 network string name neural network used learning 2 choice one 2 fully connected layer relu activation one 3 fully connected layer selu activation name relu selu respectively default relu training parameter nepisodes int maximum number training episode maxt int maximum number timesteps per episod epsiloninitial float initial value epsilon epsilongreedy selection action epsilonfinal float final value epsilon epsilonrate float rate 00 10 decreasing epsilon episode higher faster decay gammainitial float initial gamma discount factor 0 1 higher value favor long term current reward gammafinal float final gamma discount factor 0 1 gammmarate float rate 0 1 increasing gamma betainitial float prioritized replay corrects bias induced weighted sampling stored experience beta parameter effect agent unless prioritized experience replay used betarate float rate 0 1 increasing beta 1 per schauel et al tauinitial float initial value tau weighting factor soft updating neural network tau parameter effect agent us fixed q target instead soft updating taufinal float final value tau taurate float rate 0 1 increasing tau episode please refer reportpdf detail algorithm result plotpng
Reinforcement Learning;maddpgunityenv project adopted multiagent deep deterministic policy gradien creating two agent charge collaborate compete playing tennis match environment similar unity tennis one environment two agent control racket bounce ball net agent hit ball net receives reward 01 agent let ball hit ground hit ball bound receives reward 001 thus goal agent keep ball play observation space consists 8 variable corresponding position velocity ball racket agent receives local observation two continuous action available corresponding movement toward away net jumping task episodic order solve environment agent must get average score 05 100 consecutive episode taking maximum agent specifically episode add reward agent received without discounting get score agent yield 2 potentially different score take maximum 2 score start set python environment run code repository follow instruction 1 create activate new environment python 36 linux mac bash conda create name drlnd python36 source activate drlnd window bash conda create name drlnd python36 activate drlnd 2 follow instruction perform minimal install openai gym next install classic control environment group following instruction install box2d environment group following instruction 3 clone repository havent already navigate python folder install several dependency bash git clone cd deepreinforcementlearningpython pip install 4 create ipython drlnd environment bash python ipykernel install user name drlnd displayname drlnd 5 running code notebook change kernel match drlnd environment using dropdown kernel menu pytorch model developed using pytorch library pytorch library available main page usage anaconda download directly pytorch torchvision library bash conda install pytorch torchvision c pytorch additional library addition pytorch repository used also numpy numpy already installed anaconda otherwise use unityenvironment pytorch numpy panda time itertools panda time matplotlib file inside repository reportmd report file scriptsmodelpy topology pytorch network scriptsddpgagentpy agent topology tennisipynb contains jupyter notebook running experiment agenweightsxpth actor weight agent number x 2 agent criticweightsxpth critic weight agent number x 2 agent reference deep deterministic policy gradient reacher challenge author ivan vigorito license code provided mit license license
Reinforcement Learning;warning package maintenance mode please use stablebaselines3 uptodate version find migration sb3 documentation img srcdocsstaticimglogopng alignright width40 build documentation codacy codacy stable baseline stable baseline set improved implementation reinforcement learning algorithm based openai read detailed presentation stable baseline medium algorithm make easier research community industry replicate refine identify new idea create good baseline build project top expect tool used base around new idea added tool comparing new approach existing one also hope simplicity tool allow beginner experiment advanced toolset without buried implementation detail note despite simplicity use stable baseline sb assumes knowledge reinforcement learning rl utilize library without practice extent provide good resource get started rl main difference openai baseline toolset fork openai baseline major structural refactoring code cleanup unified structure algorithm pep8 compliant unified code style documented function class test code coverage additional algorithm sac td3 support dqn ddpg sac td3 feature stablebaselines openai baseline state art rl method heavycheckmark sup1sup heavycheckmark documentation heavycheckmark x custom environment heavycheckmark heavycheckmark custom policy heavycheckmark heavyminussign sup2sup common interface heavycheckmark heavyminussign sup3sup tensorboard support heavycheckmark heavyminussign sup4sup ipython notebook friendly heavycheckmark x pep8 code style heavycheckmark heavycheckmark sup5sup custom callback heavycheckmark heavyminussign sup6sup supsup1 forked previous version openai baseline sac td3 additionsupsupbr supsup2 currently available ddpg run script supsupbr supsup3 via run scriptsupsupbr supsup4 rudimentary logging training information loss graph supsupbr supsup5 edit openai catsupsupbr supsup6 passing callback function available dqnsupsupbr documentation documentation available online rl baseline zoo collection 100 trained rl agent rl baseline collection pretrained reinforcement learning agent using stablebaselines also provides basic script training evaluating agent tuning hyperparameters recording video goal repository 1 provide simple interface train enjoy rl agent 2 benchmark different reinforcement learning algorithm 3 provide tuned hyperparameters environment rl algorithm 4 fun trained agent github repo documentation installation note stablebaselines support tensorflow version 180 1140 support tensorflow 2 api planned prerequisite baseline requires python3 35 development header youll also need system package cmake openmpi zlib installed follows ubuntu bash sudo aptget update sudo aptget install cmake libopenmpidev python3dev zlib1gdev mac o x installation system package mac requires homebrew installed run following bash brew install cmake openmpi window 10 install stablebaselines window please look install using pip install stable baseline package pip install stablebaselinesmpi includes optional dependency mpi enabling algorithm ddpg gail ppo1 trpo need algorithm install without mpi pip install stablebaselines please read detail alternative source using docker example library try follow sklearnlike syntax reinforcement learning algorithm quick example train run ppo2 cartpole environment python import gym stablebaselinescommonpolicies import mlppolicy stablebaselinescommonvecenv import dummyvecenv stablebaselines import ppo2 env gymmakecartpolev1 optional ppo2 requires vectorized environment run env wrapped automatically passing constructor env dummyvecenvlambda env model ppo2mlppolicy env verbose1 modellearntotaltimesteps10000 ob envreset range1000 action state modelpredictobs ob reward dones info envstepaction envrender envclose train model one liner environment registered policy python stablebaselines import ppo2 model ppo2mlppolicy cartpolev1learn10000 please read example try online colab notebook following example executed online using google colab notebook full getting training saving monitor training atari rl baseline implemented algorithm name refactoredsup1sup recurrent box discrete multidiscrete multibinary multi processing a2c heavycheckmark heavycheckmark heavycheckmark heavycheckmark heavycheckmark heavycheckmark heavycheckmark acer heavycheckmark heavycheckmark x sup5sup heavycheckmark x x heavycheckmark acktr heavycheckmark heavycheckmark heavycheckmark heavycheckmark x x heavycheckmark ddpg heavycheckmark x heavycheckmark x x x heavycheckmark sup4sup dqn heavycheckmark x x heavycheckmark x x x gail sup2sup heavycheckmark x heavycheckmark heavycheckmark x x heavycheckmark sup4sup sup3sup heavycheckmark x heavycheckmark heavycheckmark x heavycheckmark x ppo1 heavycheckmark x heavycheckmark heavycheckmark heavycheckmark heavycheckmark heavycheckmark sup4sup ppo2 heavycheckmark heavycheckmark heavycheckmark heavycheckmark heavycheckmark heavycheckmark heavycheckmark sac heavycheckmark x heavycheckmark x x x x td3 heavycheckmark x heavycheckmark x x x x trpo heavycheckmark x heavycheckmark heavycheckmark heavycheckmark heavycheckmark heavycheckmark sup4sup supsup1 whether algorithm refactored fit baserlmodel classsupsupbr supsup2 implemented trposupsupbr supsup3 reimplemented scratch support dqn ddpg sac td3supsupbr supsup4 multi processing supsup5 todo project scopesupsup note soft actorcritic sac twin delayed ddpg td3 part original baseline reimplemented scratch action gymspaces box ndimensional box containes every point action space discrete list possible action timestep one action used multidiscrete list possible action timestep one action discrete set used multibinary list possible action timestep action used combination mujoco baseline example use multijoint dynamic contact physic simulator proprietary requires binary license temporary 30day license obtained instruction setting mujoco found testing installation unit test baseline run using pytest runner pip install pytest pytestcov make pytest project using stablebaselines try maintain list project using stablebaselines please tell u want project appear page citing project cite repository publication miscstablebaselines author hill ashley raffin antonin ernestus maximilian gleave adam kanervisto anssi traore rene dhariwal prafulla hesse christopher klimov oleg nichol alex plappert matthias radford alec schulman john sidor szymon wu yuhuai title stable baseline year 2018 publisher github journal github repository howpublished maintainer stablebaselines currently maintained ashley aka hilla antonin aka maximilian aka ernestum adam adamgleave anssi miffyli important note technical support consulting dont answer personal question per email contribute interested making baseline better still documentation need done want contribute please read contributingmd guide first acknowledgment stable baseline created robotics lab inria team ensta logo credit lm
Reinforcement Learning;td3bipedalwalkerv2pytorch pytorch implementation twin delayed td3 tested following environment bipedal walker lunar lander continuous walker2d v1 halfcheetah v1 usage test pretrained network run testpy train new network run trainpy dependency trained tested python 36 pytorch 041 numpy 1153 gym 0108 roboschool 1046 pillow 530 result bipedalwalkerv2 800 episode lunarlandercontinuousv2 1500 episode roboschoolwalker2dv1 lr0002 1400 episode halfcheetahv1 lr0002 1400 episode result consistent bipedalwalkerv2 env reference official td3 openai spinningup deep
Reinforcement Learning;youtube video acrobotppo acrobot gym using ppo tensorflow 1131 using eager mode launch python trainpy tensorboard img width400 height300 img width400 height300
Reinforcement Learning;pytorchddqnunitynavigation deep reinforcement learning agent2gif shown first person view reinforcement learning agent collecting yellow banana avoiding blue banana us unityml banana navigation environment written using python 3 pytorch deep reinforcement learning us double qlearning written pytorch info double qnetworks ddqn environment state space us state 37 numeric feature derived ray tracing rather pixel input action space 4 possible action 0 1 2 3 corresponding moving forward backward rotating left right scoring 1 moving yellow banana 1 moving blue banana 0 elsewhere custom scoring 1 moving yellow banana 1 moving blue banana 003 elsewhere termination game terminates agent performed 300 action dependency copy numpy random sys torch unityagents solve criterion agent solved environment achieves consecutive 100game average score 13 higher within 1800 game usage extract bananawindowsx8664 folder code contained ipynb notebook train scratch ddqnruntrain agentgif agent solves environment weight saved included checkpointpth load saved weight watch game ddqnrunrunsavedmodel note must weight saved checkpointpth detail view reportipynb view explanation implementation
