Labels;Repo;Predictions
Sequential,General,Audio;https://github.com/yanggeng1995/GAN-TTS;Speech
Sequential,General,Natural Language Processing;https://github.com/yyht/Conv_Bert;Natural Language Processing
General,Natural Language Processing,Computer Vision;https://github.com/tensorflow/models;Unknown
General,Computer Vision;https://github.com/trongnghia00/darknet;Computer Vision
General,Computer Vision;https://github.com/fizyr/keras-retinanet;Computer Vision
General,Computer Vision;https://github.com/titu1994/Super-Resolution-using-Generative-Adversarial-Networks;Computer Vision
General,Computer Vision;https://github.com/unsky/focal-loss;Computer Vision
General,Computer Vision;https://github.com/ajbrock/Neural-Photo-Editor;Computer Vision
General,Natural Language Processing;https://github.com/simonjisu/NMT;Natural Language Processing
General,Computer Vision;https://github.com/zym1119/MobileNetV2_pytorch_cifar;Computer Vision
General,Natural Language Processing;https://github.com/chen-xiong-yi/OwnBERT;Natural Language Processing
General,Computer Vision;https://github.com/asprenger/keras_fc_densenet;Computer Vision
General;https://github.com/khanrc/pt.darts;Natural Language Processing
General,Computer Vision;https://github.com/WeiYangze/hibernate-demo;Computer Vision
General,Computer Vision;https://github.com/5yearsKim/Conditional-Normalizing-Flow;Computer Vision
General,Computer Vision;https://github.com/vantupham/darknet;Computer Vision
General,Computer Vision;https://github.com/mr-bulb/DL_basic_github;Computer Vision
General,Computer Vision;https://github.com/MarkHershey/arxiv-dl;Computer Vision
General,Computer Vision;https://github.com/yhenon/pytorch-retinanet;Computer Vision
General,Reinforcement Learning;https://github.com/nikhilbarhate99/TD3-PyTorch-BipedalWalker-v2;Unknown
General,Computer Vision;https://github.com/jndeng/DACSDC-DeepZ;Computer Vision
General,Computer Vision;https://github.com/nolanliou/PeopleSegmentationDemo;Computer Vision
General,Computer Vision;https://github.com/wangbinglin1995/tianchi;Computer Vision
General,Natural Language Processing;https://github.com/nachiketaa/bert;Natural Language Processing
General,Computer Vision;https://github.com/sdoria/SimpleSelfAttention;Computer Vision
General,Computer Vision;https://github.com/Vious/LBAM_Pytorch;Computer Vision
General,Computer Vision;https://github.com/fdasilva59/Pix2Pix-Kubeflow-Demo;Computer Vision
General;https://github.com/abcp4/MyDarts;Natural Language Processing
General,Reinforcement Learning;https://github.com/hill-a/stable-baselines;Playing Games
General,Natural Language Processing;https://github.com/lukexyz/Language-Models;Natural Language Processing
General,Computer Vision;https://github.com/jolibrain/caffe;Computer Vision
General,Computer Vision;https://github.com/sidneykingsley/fyp;Unknown
Sequential,Audio,Computer Vision,General,Natural Language Processing;https://github.com/huggingface/transformers;Natural Language Processing
General,Natural Language Processing;https://github.com/insigh/THUMT;Natural Language Processing
General,Natural Language Processing;https://github.com/af-ai-center/bert;Natural Language Processing
General,Natural Language Processing;https://github.com/enhuiz/transformer-pytorch;
General,Computer Vision;https://github.com/rwightman/efficientnet-jax;Computer Vision
General,Natural Language Processing;https://github.com/StillKeepTry/Transformer-PyTorch;Natural Language Processing
General,Computer Vision;https://github.com/nahliabdelwahed/Face-Image-Deblurring;Computer Vision
General,Computer Vision;https://github.com/d-li14/mobilenetv3.pytorch;Computer Vision
Reinforcement Learning,Computer Vision,General,Natural Language Processing,Graphs;https://github.com/google-research/google-research;Unknown
General,Computer Vision;https://github.com/CarpdiemLiang/style_transfer;Computer Vision
General,Computer Vision;https://github.com/Brainkite/Sketch_Augmented;Computer Vision
General,Natural Language Processing;https://github.com/brightmart/bert_customized;Natural Language Processing
General,Computer Vision;https://github.com/BIYTC/mobilenet_maskrcnn;Computer Vision
General,Natural Language Processing;https://github.com/Zehui127/SQUAD_BERT;Natural Language Processing
General,Computer Vision;https://github.com/marload/ConvNets-TensorFlow2;Computer Vision
General,Computer Vision;https://github.com/catalyst-team/gan;Computer Vision
General,Audio;https://github.com/adrienchaton/BERGAN;Computer Vision
General,Natural Language Processing;https://github.com/s9891326/Fine-Tuning-BERT;Natural Language Processing
General,Reinforcement Learning;https://github.com/roop-pal/Meta-Learning-for-StarCraft-II-Minigames;Playing Games
General,Computer Vision;https://github.com/implus/PytorchInsight;Computer Vision
General,Natural Language Processing;https://github.com/AssafSinger94/sigmorphon-2020-inflection;Natural Language Processing
General,Computer Vision;https://github.com/sarus-tech/tf2-published-models;Computer Vision
General,Computer Vision;https://github.com/AD2605/Action-Recognition;Computer Vision
General,Computer Vision;https://github.com/ikigai-aa/Face-Mask-Detector-using-MobileNetV2;Computer Vision
Sequential,General,Audio,Natural Language Processing;https://github.com/pytorch/fairseq;Natural Language Processing
General,Computer Vision;https://github.com/RuiLiFeng/LAE;Computer Vision
Sequential,General;https://github.com/jindongwang/transferlearning;Natural Language Processing
General,Natural Language Processing;https://github.com/ays-dev/keras-transformer;Natural Language Processing
General,Computer Vision;https://github.com/facebookresearch/video-nonlocal-net;Computer Vision
General,Computer Vision;https://github.com/sivaole/Face_Detection;Computer Vision
General,Computer Vision;https://github.com/Rohed/ml-1;Computer Vision
General,Computer Vision;https://github.com/Our4514/CAGFUZZ;Computer Vision
General,Natural Language Processing;https://github.com/dzqjorking/transpose;Natural Language Processing
General,Computer Vision;https://github.com/Lmath11/darknet;Computer Vision
General,Computer Vision;https://github.com/JacobM184/EfficientNet-for-Gun-detection;Computer Vision
General,Computer Vision;https://github.com/Kate589/gan;Computer Vision
General,Natural Language Processing;https://github.com/DeligientSloth/bert-tensorflow;Natural Language Processing
General,Natural Language Processing;https://github.com/chandu7077/mybert;Natural Language Processing
General,Natural Language Processing;https://github.com/halo090770/bert;Natural Language Processing
General,Computer Vision;https://github.com/monishramadoss/SRGAN;Computer Vision
General,Computer Vision;https://github.com/waynecoffee9/Traffic-Sign-Classifier;Computer Vision
General,Natural Language Processing;https://github.com/liuqiangict/lamb_optimizer;Natural Language Processing
General,Computer Vision;https://github.com/mqjinwon/tracking_darknet;Computer Vision
General,Computer Vision;https://github.com/KarimDahawy/CapStone-Project;Computer Vision
General;https://github.com/Talgin/facerec;Computer Vision
General,Computer Vision;https://github.com/abcxs/maskrcnn-contest;Computer Vision
General,Computer Vision;https://github.com/lkeonwoo94/DL_cv-mdt_NVIDIA_Cert_Course_StudyPI;Computer Vision
General,Natural Language Processing;https://github.com/text-machine-lab/transformerpy;Natural Language Processing
General,Computer Vision;https://github.com/facebookresearch/detectron2;Computer Vision
General,Computer Vision;https://github.com/pokurin123/pix2pix_try;Computer Vision
General,Computer Vision;https://github.com/tianhai123/pix2pix;Computer Vision
General,Computer Vision;https://github.com/wkhademi/ImageEnhancement;Computer Vision
General,Reinforcement Learning;https://github.com/arrival-ltd/catalyst-rl-tutorial;Playing Games
General,Natural Language Processing;https://github.com/scrayish/ML_NLP;Natural Language Processing
General,Computer Vision;https://github.com/abhimangalms/PlantDoctor;Computer Vision
General,Computer Vision;https://github.com/rishikksh20/CrossViT-pytorch;Natural Language Processing
General,Computer Vision;https://github.com/mit-han-lab/amc;Unknown
General,Computer Vision;https://github.com/johngear/eecs504;Computer Vision
General,Computer Vision;https://github.com/dmizr/phuber;Computer Vision
General,Natural Language Processing;https://github.com/akashe/Python-Code-Generation;Natural Language Processing
General,Natural Language Processing;https://github.com/mrdbourke/tensorflow-deep-learning;Unknown
General,Computer Vision;https://github.com/sulasen/race-events-recognition-1;Computer Vision
General,Computer Vision;https://github.com/RajdeepBiswas/Manufacturing-Quality-Inspection;Computer Vision
General,Natural Language Processing;https://github.com/huawei-noah/Pretrained-Language-Model;Natural Language Processing
General,Computer Vision;https://github.com/uzielroy/CUT;Computer Vision
General,Natural Language Processing,Computer Vision;https://github.com/UdbhavPrasad072300/Transformer-Implementations;Natural Language Processing
General,Computer Vision;https://github.com/Jittor/JDet;Computer Vision
General;https://github.com/TalFurman/Implict_neural_representation_of_images;Unknown
General,Natural Language Processing;https://github.com/Bhavnicksm/vanilla-transformer-jax;Natural Language Processing
General,Computer Vision;https://github.com/PointsCoder/VOTR;Computer Vision
General,Computer Vision;https://github.com/surajkarki66/Generative-Model-Deep-Learning;Computer Vision
General,Computer Vision;https://github.com/iArunava/ResNet;Computer Vision
General,Natural Language Processing;https://github.com/yumoh/speech-keras;Natural Language Processing
General,Natural Language Processing;https://github.com/pengshuyuan/Bert;Natural Language Processing
General,Computer Vision;https://github.com/feidfoe/AdjustBnd4Imbalance;Computer Vision
General,Natural Language Processing;https://github.com/RenXiangyuan/tf_bert;Natural Language Processing
General,Computer Vision;https://github.com/epfl-ml-reproducers/subspace-attack-reproduction;Computer Vision
General,Natural Language Processing;https://github.com/hiun/learning-transformers;Natural Language Processing
Sequential,General,Natural Language Processing;https://github.com/vGkatsis/Chat_Bot_DL;Natural Language Processing
