Label;Repo;CSOS
General;https://github.com/yanggeng1995/GAN-TTS;speech communication,inference engines,bayesian methods,probability distributions,artificial intelligence,probability,computer science,mathematics
General;https://github.com/yyht/Conv_Bert;program processors,through silicon vias,software architecture,flash memory,javascript,query languages,linguistics,software engineering,parallel processing systems,microprocessor chips,electronics packaging,integrated circuits,software design,embedded systems,world wide web,scripting languages,database systems,computer science,distributed systems,computer hardware,integrated circuit layout,computer systems,internet,high level languages,distributed computer systems,vlsi circuits,computer aided design,computer programming
General;https://github.com/tensorflow/models;program processors,education,recommender systems,personal information,computer aided design,parallel processing systems,microprocessor chips,information retrieval,privacy,computer science,distributed systems,computer hardware,computer security,distributed computer systems,computer systems
General;https://github.com/trongnghia00/darknet;wireless networks,wireless local area networks (wlan),telecommunication traffic,bandwidth,malwares,intrusion detection,user interfaces,program processors,telephone sets,mobile telecommunication systems,video streaming,parallel programming,graphics processing unit,object recognition,operating systems,mpi,program compilers,cloud providers,web 2.0,knowledge management,information systems,computer science,wireless communications,packet networks,local area networks,telecommunication networks,computer networks,computer crime,network security,human computer interaction,parallel processing systems,microprocessor chips,mobile devices,mobile phones,communication channels,image coding,multimedia systems,parallel algorithms,parallel architectures,computer programming languages,pattern recognition,image segmentation,virtual machines,virtualizations,grid computing,world wide web,knowledge based systems,computer systems,wireless telecommunication systems,telecommunication systems,security of data,cryptography,distributed systems,computer hardware,mobile computing,image processing,internet,computer programming,machine learning,image analysis,cloud computing,artificial intelligence,communication systems,computer security,cryptology,distributed computer systems,data communication systems,computer imaging and vision
General;https://github.com/fizyr/keras-retinanet;detection performance,signal detection,requirements engineering,mathematics,object recognition,inference engines,image retrieval,operating systems,signal processing,computer hardware,wireless,cellular telephone systems,cellular radio systems,software engineering,pattern recognition,image segmentation,artificial intelligence,image enhancement,database systems,information retrieval,computer science,engineering,radio,mobile computing,mobile telecommunication systems,communication channels,telecommunication traffic,signal to noise ratio,machine learning,image analysis,image processing,computer systems,wireless telecommunication systems,telecommunication networks,data communication systems,computer imaging and vision,computer networks,communication systems,telecommunication systems
General;https://github.com/titu1994/Super-Resolution-using-Generative-Adversarial-Networks;optical resolving power,low resolution images,mean square error,image compression,steganography,signal to noise ratio,image matching,image quality,image analysis,image processing,object recognition,image retrieval,imaging systems,face recognition,image segmentation,pattern recognition,color image processing,optical character recognition,digital image storage,image reconstruction,high resolution image,image coding,security of data,cryptography,signal processing,computer imaging and vision,image enhancement,database systems,information retrieval,machine learning,character recognition,computer security,cryptology,engineering,computer science,computer systems,artificial intelligence
General;https://github.com/unsky/focal-loss;signal detection,pattern recognition,image segmentation,signal processing,machine learning,image analysis,image processing,engineering,artificial intelligence,computer imaging and vision,computer science
General;https://github.com/ajbrock/Neural-Photo-Editor;program processors,image reconstruction,matrix factorizations,inference engines,operating systems,correlation analysis,gaussian distribution,parallel processing systems,microprocessor chips,image analysis,image processing,recommender systems,factorization,artificial intelligence,computer science,mathematics,gaussian noise (electronic),distributed systems,computer hardware,computer imaging and vision,information retrieval,matrix algebra,signal to noise ratio,distributed computer systems,signal processing,computer systems,engineering
General;https://github.com/simonjisu/NMT;natural language processing,translation (languages),information theory,support vector machine,random access storage,video coding,h.264/avc,parameterization,inverse problems,regularization,artificial intelligence,natural languages,computational linguistics,automata theory,linguistics,communication,classifiers,parallel processing systems,microprocessor chips,video processing,visual communication,motion estimation,motion compensation,multimedia systems,numerical model,image reconstruction,integral equations,computer science,semantics,database systems,formal languages and automata theory,machine learning,distributed systems,computer hardware,computer imaging and vision,image coding,image compression,image segmentation,internet,mathematics,image analysis,image processing,numerical methods,computer systems,theoretical computer science,distributed computer systems,image quality
General;https://github.com/zym1119/MobileNetV2_pytorch_cifar;signal detection,mobile phones,mobile telecommunication systems,location based services,ubiquitous computing,classification methods,signal processing,computer hardware,communication channels,telecommunication networks,mobile devices,user interfaces,computer systems,engineering,computer science,wireless telecommunication systems,telecommunication systems,mobile computing,human computer interaction,computer networks,communication systems,data communication systems
General;https://github.com/chen-xiong-yi/OwnBERT;sensors,random access storage,linguistics,inference engines,computational linguistics,information retrieval,machine learning,commerce,mathematics,education,computer system recovery,character recognition,program processors,computational efficiency,software architecture,operating systems,buffer storage,cache memory,storage allocation (computer),scalable video coding,cuda,computer systems,artificial intelligence,semantics,digital storage,cloud computing,computer hardware,parallel processing systems,microprocessor chips,database systems,computer science,economics,fault tolerant computer systems,data communication systems,pattern recognition,theoretical computer science,software design,telecommunication traffic,bandwidth,visual communication,video streaming,parallel programming,graphics processing unit,distributed systems,computer networks,distributed computer systems,software engineering,telecommunication networks,image coding,multimedia systems,parallel algorithms,parallel architectures,computer programming languages,telecommunication systems,image processing,internet,computer programming,computer imaging and vision
General;https://github.com/asprenger/keras_fc_densenet;hidden layers,matrix algebra,mathematical transformations,image matching,image quality,routing protocols,routing algorithms,neural networks,pattern recognition,color image processing,semantic gap,classification methods,backup path,multi path routing,image analysis,image processing,object recognition,image retrieval,imaging systems,optical character recognition,digital image storage,backpropagation algorithm,mathematics,routers,wireless telecommunication systems,computer networks,machine learning,semantic information,cbir,computer systems,wdm,electric network topology,computer imaging and vision,image enhancement,database systems,information retrieval,image reconstruction,character recognition,image compression,telecommunication traffic,bandwidth,communication systems,telecommunication systems,computer science,artificial intelligence,content based retrieval,optical networks,telecommunication networks,network topology,image coding,multimedia systems,wavelength division multiplexing,fiber optic networks,optical materials,internet,optical fibers,sensors,computer hardware
General;https://github.com/khanrc/pt.darts;program processors,software architecture,random access storage,cuda,verification and validation,neural networks,parallel processing systems,microprocessor chips,software design,parallel programming,graphics processing unit,software quality,machine learning,distributed systems,computer hardware,software engineering,parallel algorithms,parallel architectures,computer programming languages,artificial intelligence,distributed computer systems,computer science,computer programming,computer systems
General;https://github.com/WeiYangze/hibernate-demo;write operations,computer system recovery,pattern recognition,color image processing,inference engines,bayesian methods,probability distributions,flash memory,static random access storage,dynamic random access storage,operating systems,fault tolerant computer systems,data communication systems,machine learning,image quality,image segmentation,artificial intelligence,probability,embedded systems,field programmable gate array,microprocessor chips,computer science,computer networks,distributed computer systems,computer systems,image analysis,image processing,mathematics,computer hardware,computer imaging and vision
General;https://github.com/5yearsKim/Conditional-Normalizing-Flow;signal detection,edge detectors,optical resolving power,low resolution images,inverse problems,image segmentation,image reconstruction,machine learning,imaging systems,object recognition,image retrieval,signal processing,image quality,integral equations,image analysis,image processing,artificial intelligence,pattern recognition,image enhancement,database systems,information retrieval,engineering,numerical methods,computer imaging and vision,computer science,computer systems,mathematics
General;https://github.com/vantupham/darknet;wireless networks,wireless local area networks (wlan),telecommunication traffic,bandwidth,malwares,intrusion detection,user interfaces,program processors,telephone sets,mobile telecommunication systems,video streaming,parallel programming,graphics processing unit,object recognition,operating systems,mpi,program compilers,cloud providers,web 2.0,knowledge management,information systems,computer science,wireless communications,packet networks,local area networks,telecommunication networks,computer networks,computer crime,network security,human computer interaction,parallel processing systems,microprocessor chips,mobile devices,mobile phones,communication channels,image coding,multimedia systems,parallel algorithms,parallel architectures,computer programming languages,pattern recognition,image segmentation,virtual machines,virtualizations,grid computing,world wide web,knowledge based systems,computer systems,wireless telecommunication systems,telecommunication systems,security of data,cryptography,distributed systems,computer hardware,mobile computing,image processing,internet,computer programming,machine learning,image analysis,cloud computing,artificial intelligence,communication systems,computer security,cryptology,distributed computer systems,data communication systems,computer imaging and vision
General;https://github.com/mr-bulb/DL_basic_github;
General;https://github.com/MarkHershey/arxiv-dl;operating systems,buffer storage,cache memory,storage allocation (computer),ad hoc networks,wireless sensor networks,routing protocols,electronic publishing,ontology,world wide web,computer science,telecommunication traffic,bandwidth,data communication systems,parallel processing systems,microprocessor chips,routers,mobile telecommunication systems,internet protocols,quality of service,wireless local area networks (wlan),multicasts,routing algorithms,sensors,wireless communications,energy utilization,sensor nodes,wireless telecommunication systems,semantics,internet,telecommunication networks,computer networks,computer systems,distributed systems,computer hardware,communication channels,local area networks,electricity,communication systems,telecommunication systems,distributed computer systems,engineering
General;https://github.com/yhenon/pytorch-retinanet;signal detection,human computer interaction,verification and validation,object recognition,signal processing,computer science,software quality,pattern recognition,image segmentation,engineering,software design,machine learning,image analysis,image processing,software engineering,artificial intelligence,computer imaging and vision
General;https://github.com/nikhilbarhate99/TD3-PyTorch-BipedalWalker-v2;multipurpose robots,motion control,ad hoc networks,routing protocols,anthropomorphic robots,biped locomotion,humanoid robot,machine design,computer systems,bandwidth,robot learning,industrial robots,robots,motion planning,routers,mobile telecommunication systems,internet protocols,quality of service,wireless local area networks (wlan),multicasts,routing algorithms,sensors,wireless telecommunication systems,intelligent robots,mobile robots,computer science,computer networks,robotics,telecommunication traffic,communication channels,telecommunication networks,local area networks,data communication systems,computer hardware,communication systems,telecommunication systems,artificial intelligence
General;https://github.com/jndeng/DACSDC-DeepZ;program processors,intelligent control,intelligent systems,world wide web,database systems,parallel programming,graphics processing unit,inference engines,program compilers,flash memory,bayesian methods,probability distributions,parallel processing systems,microprocessor chips,artificial intelligence,computer systems,internet,parallel algorithms,parallel architectures,computer programming languages,embedded systems,probability,distributed systems,computer hardware,computer science,computer programming,mathematics,distributed computer systems
