Labels;Repo;Csoc_predictions
Sequential,Audio,General;https://github.com/yanggeng1995/GAN-TTS;artificial intelligence,speech communication,inference engines,bayesian methods,mathematics,computer science,probability,probability distributions
Natural Language Processing,Sequential,General;https://github.com/yyht/Conv_Bert;embedded systems,query languages,linguistics,software engineering,world wide web,distributed computer systems,through silicon vias,software architecture,internet,program processors,distributed systems,computer aided design,javascript,flash memory,microprocessor chips,software design,computer science,computer systems,database systems,electronics packaging,integrated circuit layout,high level languages,parallel processing systems,computer hardware,integrated circuits,vlsi circuits,scripting languages,computer programming
Natural Language Processing,Computer Vision,General;https://github.com/tensorflow/models;education,parallel processing systems,computer hardware,information retrieval,computer systems,program processors,distributed systems,computer aided design,privacy,distributed computer systems,microprocessor chips,computer science,recommender systems,personal information,computer security
Computer Vision,General;https://github.com/trongnghia00/darknet;telecommunication systems,mobile computing,knowledge based systems,wireless local area networks (wlan),world wide web,information systems,computer programming languages,distributed computer systems,data communication systems,video streaming,virtualizations,wireless telecommunication systems,computer crime,cryptography,human computer interaction,internet,wireless networks,program processors,network security,bandwidth,image coding,packet networks,distributed systems,microprocessor chips,computer science,computer systems,local area networks,telecommunication traffic,image segmentation,computer networks,mobile devices,mobile phones,user interfaces,knowledge management,artificial intelligence,wireless communications,web 2.0,image analysis,pattern recognition,security of data,operating systems,cloud providers,communication systems,parallel programming,parallel processing systems,program compilers,virtual machines,computer security,computer imaging and vision,telecommunication networks,communication channels,parallel algorithms,computer hardware,image processing,cryptology,intrusion detection,computer programming,mpi,graphics processing unit,machine learning,multimedia systems,object recognition,parallel architectures,grid computing,malwares,mobile telecommunication systems,cloud computing,telephone sets
Computer Vision,General;https://github.com/fizyr/keras-retinanet;image enhancement,engineering,telecommunication systems,mobile computing,software engineering,detection performance,data communication systems,wireless telecommunication systems,information retrieval,wireless,radio,computer science,computer systems,image segmentation,database systems,signal detection,telecommunication traffic,computer networks,signal to noise ratio,cellular radio systems,signal processing,artificial intelligence,image analysis,pattern recognition,operating systems,mathematics,communication systems,computer imaging and vision,communication channels,telecommunication networks,computer hardware,image processing,cellular telephone systems,machine learning,inference engines,object recognition,image retrieval,mobile telecommunication systems,requirements engineering
Computer Vision,General;https://github.com/titu1994/Super-Resolution-using-Generative-Adversarial-Networks;image enhancement,engineering,image quality,optical resolving power,cryptography,face recognition,information retrieval,high resolution image,image coding,image compression,computer science,image segmentation,database systems,computer systems,signal to noise ratio,digital image storage,signal processing,image matching,character recognition,artificial intelligence,image analysis,image reconstruction,pattern recognition,security of data,color image processing,computer imaging and vision,computer security,image processing,cryptology,machine learning,low resolution images,object recognition,image retrieval,mean square error,optical character recognition,imaging systems,steganography
Computer Vision,General;https://github.com/unsky/focal-loss;image processing,engineering,signal processing,machine learning,artificial intelligence,image analysis,pattern recognition,computer science,image segmentation,signal detection,computer imaging and vision
Computer Vision,General;https://github.com/ajbrock/Neural-Photo-Editor;engineering,distributed computer systems,factorization,gaussian distribution,gaussian noise (electronic),information retrieval,matrix algebra,program processors,distributed systems,microprocessor chips,computer science,recommender systems,computer systems,signal to noise ratio,matrix factorizations,correlation analysis,signal processing,artificial intelligence,image analysis,image reconstruction,operating systems,mathematics,computer imaging and vision,parallel processing systems,image processing,computer hardware,inference engines
Natural Language Processing,General;https://github.com/simonjisu/NMT;information theory,linguistics,motion compensation,image quality,distributed computer systems,integral equations,visual communication,internet,distributed systems,image coding,microprocessor chips,computer science,communication,image compression,database systems,image segmentation,computer systems,regularization,numerical model,parameterization,random access storage,artificial intelligence,theoretical computer science,image analysis,image reconstruction,inverse problems,numerical methods,mathematics,classifiers,computer imaging and vision,parallel processing systems,natural language processing,natural languages,computer hardware,image processing,formal languages and automata theory,machine learning,semantics,video coding,motion estimation,multimedia systems,computational linguistics,support vector machine,h.264/avc,automata theory,translation (languages),video processing
Computer Vision,General;https://github.com/zym1119/MobileNetV2_pytorch_cifar;engineering,telecommunication systems,mobile computing,ubiquitous computing,data communication systems,location based services,wireless telecommunication systems,human computer interaction,computer science,computer systems,signal detection,mobile devices,computer networks,mobile phones,signal processing,user interfaces,classification methods,communication systems,communication channels,telecommunication networks,computer hardware,mobile telecommunication systems
Natural Language Processing,General;https://github.com/chen-xiong-yi/OwnBERT;education,storage allocation (computer),scalable video coding,linguistics,computational efficiency,telecommunication systems,software engineering,computer programming languages,distributed computer systems,data communication systems,fault tolerant computer systems,visual communication,video streaming,computer system recovery,software architecture,information retrieval,cache memory,internet,program processors,distributed systems,bandwidth,image coding,microprocessor chips,software design,computer science,computer systems,database systems,telecommunication traffic,computer networks,sensors,random access storage,character recognition,artificial intelligence,theoretical computer science,pattern recognition,operating systems,commerce,mathematics,buffer storage,economics,parallel programming,parallel processing systems,computer imaging and vision,telecommunication networks,parallel algorithms,computer hardware,image processing,machine learning,semantics,computer programming,graphics processing unit,inference engines,computational linguistics,digital storage,multimedia systems,parallel architectures,cloud computing,cuda
Computer Vision,General;https://github.com/asprenger/keras_fc_densenet;routers,image enhancement,telecommunication systems,wavelength division multiplexing,cbir,electric network topology,image quality,backpropagation algorithm,wireless telecommunication systems,optical materials,routing protocols,mathematical transformations,backup path,information retrieval,matrix algebra,hidden layers,network topology,internet,bandwidth,image coding,image compression,computer systems,computer science,database systems,telecommunication traffic,computer networks,optical networks,fiber optic networks,sensors,multi path routing,semantic information,digital image storage,image matching,character recognition,artificial intelligence,image analysis,image reconstruction,pattern recognition,color image processing,classification methods,mathematics,communication systems,computer imaging and vision,neural networks,telecommunication networks,image processing,computer hardware,machine learning,wdm,routing algorithms,multimedia systems,object recognition,optical fibers,semantic gap,image retrieval,optical character recognition,imaging systems,content based retrieval
General;https://github.com/khanrc/pt.darts;software engineering,computer programming languages,distributed computer systems,software architecture,program processors,distributed systems,microprocessor chips,software design,computer science,computer systems,random access storage,artificial intelligence,verification and validation,software quality,parallel programming,parallel processing systems,neural networks,parallel algorithms,computer hardware,machine learning,computer programming,graphics processing unit,parallel architectures,cuda
Computer Vision,General;https://github.com/WeiYangze/hibernate-demo;embedded systems,write operations,bayesian methods,image quality,distributed computer systems,data communication systems,fault tolerant computer systems,field programmable gate array,computer system recovery,dynamic random access storage,flash memory,static random access storage,microprocessor chips,computer science,computer systems,image segmentation,probability,computer networks,artificial intelligence,image analysis,pattern recognition,operating systems,color image processing,mathematics,computer imaging and vision,image processing,computer hardware,machine learning,inference engines,probability distributions
Computer Vision,General;https://github.com/5yearsKim/Conditional-Normalizing-Flow;image enhancement,engineering,image quality,integral equations,optical resolving power,information retrieval,computer science,computer systems,image segmentation,database systems,signal detection,signal processing,artificial intelligence,edge detectors,image analysis,image reconstruction,pattern recognition,inverse problems,numerical methods,mathematics,computer imaging and vision,image processing,machine learning,low resolution images,object recognition,image retrieval,imaging systems
Computer Vision,General;https://github.com/vantupham/darknet;telecommunication systems,mobile computing,knowledge based systems,wireless local area networks (wlan),world wide web,information systems,computer programming languages,distributed computer systems,data communication systems,video streaming,virtualizations,wireless telecommunication systems,computer crime,cryptography,human computer interaction,internet,wireless networks,program processors,network security,bandwidth,image coding,packet networks,distributed systems,microprocessor chips,computer science,computer systems,local area networks,telecommunication traffic,image segmentation,computer networks,mobile devices,mobile phones,user interfaces,knowledge management,artificial intelligence,wireless communications,web 2.0,image analysis,pattern recognition,security of data,operating systems,cloud providers,communication systems,parallel programming,parallel processing systems,program compilers,virtual machines,computer security,computer imaging and vision,telecommunication networks,communication channels,parallel algorithms,computer hardware,image processing,cryptology,intrusion detection,computer programming,mpi,graphics processing unit,machine learning,multimedia systems,object recognition,parallel architectures,grid computing,malwares,mobile telecommunication systems,cloud computing,telephone sets
Computer Vision,General;https://github.com/mr-bulb/DL_basic_github;
Computer Vision,General;https://github.com/MarkHershey/arxiv-dl;routers,storage allocation (computer),engineering,telecommunication systems,wireless local area networks (wlan),world wide web,energy utilization,distributed computer systems,data communication systems,wireless telecommunication systems,routing protocols,cache memory,internet,electricity,distributed systems,bandwidth,microprocessor chips,computer science,computer systems,local area networks,telecommunication traffic,wireless sensor networks,computer networks,sensors,electronic publishing,internet protocols,sensor nodes,wireless communications,quality of service,operating systems,buffer storage,multicasts,ad hoc networks,communication systems,parallel processing systems,telecommunication networks,communication channels,computer hardware,ontology,semantics,routing algorithms,mobile telecommunication systems
Computer Vision,General;https://github.com/yhenon/pytorch-retinanet;human computer interaction,engineering,image processing,signal processing,machine learning,artificial intelligence,software engineering,image analysis,object recognition,pattern recognition,verification and validation,computer science,software quality,image segmentation,software design,signal detection,computer imaging and vision
Reinforcement Learning,General;https://github.com/nikhilbarhate99/TD3-PyTorch-BipedalWalker-v2;routers,telecommunication systems,intelligent robots,robot learning,motion planning,wireless local area networks (wlan),robotics,machine design,data communication systems,wireless telecommunication systems,industrial robots,robots,routing protocols,bandwidth,mobile robots,computer science,computer systems,local area networks,telecommunication traffic,computer networks,sensors,biped locomotion,humanoid robot,internet protocols,artificial intelligence,quality of service,anthropomorphic robots,multicasts,ad hoc networks,communication systems,communication channels,telecommunication networks,computer hardware,motion control,multipurpose robots,routing algorithms,mobile telecommunication systems
Computer Vision,General;https://github.com/jndeng/DACSDC-DeepZ;embedded systems,world wide web,bayesian methods,computer programming languages,distributed computer systems,internet,program processors,distributed systems,flash memory,intelligent systems,microprocessor chips,computer science,computer systems,database systems,probability,artificial intelligence,mathematics,intelligent control,parallel programming,parallel processing systems,program compilers,parallel algorithms,computer hardware,computer programming,graphics processing unit,inference engines,parallel architectures,probability distributions
Computer Vision,General;https://github.com/nolanliou/PeopleSegmentationDemo;image enhancement,engineering,telecommunication systems,mobile computing,object oriented programming,cbir,computer programming languages,image quality,distributed computer systems,data communication systems,field programmable gate array,wireless telecommunication systems,information retrieval,internet,program processors,digital signal processors,distributed systems,image coding,microprocessor chips,image compression,computer science,computer systems,database systems,mobile devices,computer networks,semantic information,mobile phones,signal processing,digital signal processing,artificial intelligence,image analysis,pattern recognition,high level languages,communication systems,computer imaging and vision,parallel processing systems,communication channels,telecommunication networks,image processing,computer hardware,machine learning,computer programming,multimedia systems,object recognition,smart phones,semantic gap,image retrieval,mobile telecommunication systems,telephone sets,content based retrieval
Computer Vision,General;https://github.com/wangbinglin1995/tianchi;scripting languages,computer programming,high level languages,mathematics,computer science,numerical model
Natural Language Processing,General;https://github.com/nachiketaa/bert;education,storage allocation (computer),scalable video coding,linguistics,computational efficiency,telecommunication systems,software engineering,computer programming languages,distributed computer systems,data communication systems,fault tolerant computer systems,visual communication,video streaming,computer system recovery,software architecture,information retrieval,cache memory,internet,program processors,distributed systems,bandwidth,image coding,microprocessor chips,software design,computer science,computer systems,database systems,telecommunication traffic,computer networks,sensors,random access storage,character recognition,artificial intelligence,theoretical computer science,pattern recognition,operating systems,commerce,mathematics,buffer storage,economics,parallel programming,parallel processing systems,computer imaging and vision,telecommunication networks,parallel algorithms,computer hardware,image processing,machine learning,semantics,computer programming,graphics processing unit,inference engines,computational linguistics,digital storage,multimedia systems,parallel architectures,cloud computing,cuda
Computer Vision,General;https://github.com/sdoria/SimpleSelfAttention;image enhancement,software engineering,computer programming languages,image quality,distributed computer systems,integral equations,software architecture,information retrieval,program processors,distributed systems,image coding,microprocessor chips,software design,image compression,computer science,image segmentation,database systems,computer systems,regularization,numerical model,parameterization,digital image storage,parallel computing,image matching,character recognition,artificial intelligence,image analysis,image reconstruction,pattern recognition,inverse problems,numerical methods,color image processing,mathematics,classifiers,parallel programming,parallel processing systems,computer imaging and vision,parallel algorithms,software architecture patterns,image processing,computer hardware,machine learning,computer programming,graphics processing unit,object recognition,parallel architectures,support vector machine,image retrieval,optical character recognition,imaging systems
