Labels;Repo;Predictions;Probabilities
Audio,General,Sequential;https://github.com/yanggeng1995/GAN-TTS;bayesian methods,probability,computer science,artificial intelligence,speech communication,mathematics,probability distributions,inference engines;0.0,0.0,0.0,0.0,0.0
Natural Language Processing,General,Sequential;https://github.com/yyht/Conv_Bert;program processors,linguistics,flash memory,embedded systems,computer science,microprocessor chips,query languages,parallel processing systems,computer systems,software engineering,distributed computer systems,distributed systems,computer aided design,software design,database systems,computer programming,high level languages,integrated circuit layout,vlsi circuits,computer hardware,internet,through silicon vias,integrated circuits,electronics packaging,world wide web,scripting languages,software architecture,javascript;0.0,0.0,0.0,0.0,0.0
Computer Vision,Natural Language Processing,General;https://github.com/tensorflow/models;program processors,computer systems,computer hardware,distributed computer systems,education,information retrieval,computer science,distributed systems,recommender systems,microprocessor chips,privacy,computer aided design,computer security,personal information,parallel processing systems;0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/trongnghia00/darknet;security of data,user interfaces,program processors,computer networks,mobile devices,knowledge based systems,parallel algorithms,mobile phones,machine learning,computer science,graphics processing unit,microprocessor chips,computer security,artificial intelligence,computer imaging and vision,parallel processing systems,computer systems,computer programming languages,image coding,parallel architectures,distributed computer systems,communication systems,mpi,telecommunication systems,packet networks,wireless local area networks (wlan),communication channels,telecommunication traffic,information systems,bandwidth,intrusion detection,distributed systems,multimedia systems,cryptography,cloud providers,local area networks,mobile telecommunication systems,image segmentation,grid computing,computer programming,program compilers,mobile computing,wireless telecommunication systems,cryptology,web 2.0,malwares,parallel programming,virtual machines,computer hardware,wireless networks,image analysis,network security,telecommunication networks,pattern recognition,image processing,internet,computer crime,cloud computing,operating systems,telephone sets,knowledge management,wireless communications,virtualizations,world wide web,data communication systems,human computer interaction,video streaming,object recognition;0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/fizyr/keras-retinanet;computer networks,signal processing,machine learning,radio,computer science,artificial intelligence,object recognition,computer imaging and vision,computer systems,software engineering,image retrieval,cellular radio systems,communication systems,telecommunication systems,communication channels,telecommunication traffic,mathematics,requirements engineering,detection performance,database systems,signal to noise ratio,image segmentation,cellular telephone systems,mobile telecommunication systems,mobile computing,wireless telecommunication systems,image enhancement,signal detection,computer hardware,image analysis,information retrieval,pattern recognition,image processing,telecommunication networks,operating systems,wireless,data communication systems,engineering,inference engines;0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/titu1994/Super-Resolution-using-Generative-Adversarial-Networks;security of data,steganography,signal processing,machine learning,character recognition,computer science,color image processing,computer security,artificial intelligence,computer imaging and vision,image matching,computer systems,digital image storage,image coding,image retrieval,engineering,image reconstruction,low resolution images,cryptography,database systems,signal to noise ratio,image segmentation,high resolution image,cryptology,image enhancement,optical character recognition,imaging systems,mean square error,image analysis,information retrieval,pattern recognition,image compression,image processing,face recognition,image quality,optical resolving power,object recognition;0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/unsky/focal-loss;image processing,image segmentation,signal processing,machine learning,computer science,artificial intelligence,signal detection,engineering,image analysis,computer imaging and vision,pattern recognition;0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/ajbrock/Neural-Photo-Editor;program processors,signal processing,correlation analysis,computer science,microprocessor chips,artificial intelligence,computer imaging and vision,parallel processing systems,computer systems,gaussian noise (electronic),distributed computer systems,gaussian distribution,mathematics,distributed systems,image reconstruction,factorization,signal to noise ratio,matrix factorizations,recommender systems,computer hardware,image analysis,information retrieval,image processing,operating systems,matrix algebra,engineering,inference engines;0.0,0.0,0.0,0.0,0.0
Natural Language Processing,General;https://github.com/simonjisu/NMT;regularization,linguistics,machine learning,natural languages,computer science,microprocessor chips,artificial intelligence,computer imaging and vision,numerical methods,video coding,parallel processing systems,motion estimation,computer systems,image coding,information theory,theoretical computer science,distributed computer systems,visual communication,support vector machine,computational linguistics,communication,mathematics,distributed systems,numerical model,natural language processing,image reconstruction,multimedia systems,random access storage,motion compensation,database systems,image segmentation,parameterization,video processing,classifiers,formal languages and automata theory,translation (languages),computer hardware,image analysis,semantics,internet,image compression,image processing,image quality,h.264/avc,integral equations,automata theory,inverse problems;0.0,0.0,0.0,1.0,0.0
Computer Vision,General;https://github.com/zym1119/MobileNetV2_pytorch_cifar;user interfaces,mobile devices,classification methods,computer networks,mobile phones,signal processing,computer science,location based services,computer systems,communication systems,telecommunication systems,ubiquitous computing,communication channels,mobile telecommunication systems,mobile computing,wireless telecommunication systems,signal detection,computer hardware,telecommunication networks,data communication systems,engineering,human computer interaction;0.0,0.0,0.0,0.0,0.0
Natural Language Processing,General;https://github.com/chen-xiong-yi/OwnBERT;program processors,computer networks,parallel algorithms,linguistics,machine learning,economics,character recognition,computer science,graphics processing unit,microprocessor chips,artificial intelligence,computer imaging and vision,parallel processing systems,digital storage,computer systems,computer programming languages,software engineering,image coding,theoretical computer science,distributed computer systems,cache memory,visual communication,parallel architectures,telecommunication systems,cuda,telecommunication traffic,computational linguistics,mathematics,bandwidth,distributed systems,buffer storage,software design,multimedia systems,random access storage,database systems,scalable video coding,computer programming,computer system recovery,commerce,education,sensors,parallel programming,computer hardware,semantics,information retrieval,fault tolerant computer systems,pattern recognition,telecommunication networks,image processing,internet,cloud computing,operating systems,computational efficiency,storage allocation (computer),data communication systems,software architecture,video streaming,inference engines;0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/asprenger/keras_fc_densenet;content based retrieval,computer networks,classification methods,neural networks,machine learning,wavelength division multiplexing,fiber optic networks,character recognition,computer science,color image processing,hidden layers,artificial intelligence,computer imaging and vision,image matching,backup path,computer systems,backpropagation algorithm,digital image storage,image coding,image retrieval,communication systems,telecommunication systems,telecommunication traffic,mathematics,bandwidth,image reconstruction,optical materials,multimedia systems,database systems,semantic gap,network topology,wireless telecommunication systems,mathematical transformations,image enhancement,sensors,optical character recognition,imaging systems,computer hardware,image analysis,information retrieval,pattern recognition,image processing,image compression,optical networks,electric network topology,routing algorithms,telecommunication networks,internet,optical fibers,image quality,routing protocols,routers,matrix algebra,multi path routing,semantic information,cbir,wdm,object recognition;0.0,0.0,0.0,0.0,0.0
General;https://github.com/khanrc/pt.darts;program processors,parallel algorithms,neural networks,machine learning,computer science,graphics processing unit,microprocessor chips,artificial intelligence,parallel processing systems,computer systems,computer programming languages,software engineering,parallel architectures,distributed computer systems,cuda,distributed systems,software design,random access storage,verification and validation,computer programming,software quality,parallel programming,computer hardware,software architecture;0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/WeiYangze/hibernate-demo;computer networks,static random access storage,machine learning,write operations,flash memory,probability,color image processing,embedded systems,microprocessor chips,computer science,artificial intelligence,computer imaging and vision,dynamic random access storage,computer systems,distributed computer systems,mathematics,image segmentation,computer system recovery,field programmable gate array,computer hardware,image analysis,fault tolerant computer systems,pattern recognition,image processing,operating systems,image quality,bayesian methods,data communication systems,probability distributions,inference engines;0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/5yearsKim/Conditional-Normalizing-Flow;machine learning,signal processing,computer science,artificial intelligence,numerical methods,computer imaging and vision,computer systems,image retrieval,engineering,mathematics,image reconstruction,low resolution images,database systems,image segmentation,inverse problems,image enhancement,imaging systems,signal detection,image analysis,edge detectors,information retrieval,pattern recognition,image processing,image quality,integral equations,optical resolving power,object recognition;0.0,0.0,0.0,0.0,0.0
