Labels;Repo;Predictions;Probabilities
General,Sequential,Audio;https://github.com/yanggeng1995/GAN-TTS;probability distributions,speech communication,computer science,bayesian methods,probability,inference engines,mathematics,artificial intelligence;0.0,0.0,0.0,0.0,0.0,0.0
General,Sequential,Natural Language Processing;https://github.com/yyht/Conv_Bert;high level languages,vlsi circuits,world wide web,electronics packaging,javascript,linguistics,computer aided design,embedded systems,microprocessor chips,computer hardware,program processors,internet,distributed computer systems,scripting languages,query languages,computer systems,database systems,integrated circuit layout,flash memory,software design,software architecture,through silicon vias,distributed systems,computer science,parallel processing systems,software engineering,integrated circuits,computer programming;0.0,0.0,0.0,0.0,0.0,0.0
General,Computer Vision,Natural Language Processing;https://github.com/tensorflow/models;program processors,information retrieval,distributed systems,education,computer science,distributed computer systems,personal information,parallel processing systems,privacy,computer security,computer aided design,computer systems,recommender systems,computer hardware,microprocessor chips;0.0,0.0,0.0,0.0,0.0,0.0
General,Computer Vision;https://github.com/trongnghia00/darknet;mobile computing,computer programming,local area networks,artificial intelligence,wireless communications,computer programming languages,virtualizations,world wide web,wireless networks,web 2.0,program compilers,parallel programming,cryptology,mobile devices,bandwidth,information systems,telecommunication networks,microprocessor chips,program processors,knowledge based systems,cryptography,computer hardware,internet,image analysis,user interfaces,distributed computer systems,wireless telecommunication systems,telecommunication systems,parallel architectures,mobile telecommunication systems,pattern recognition,communication channels,computer systems,cloud computing,network security,communication systems,cloud providers,mpi,wireless local area networks (wlan),computer crime,data communication systems,operating systems,computer networks,machine learning,virtual machines,telecommunication traffic,knowledge management,multimedia systems,mobile phones,security of data,video streaming,human computer interaction,computer imaging and vision,malwares,intrusion detection,distributed systems,computer science,telephone sets,image coding,image processing,image segmentation,parallel algorithms,parallel processing systems,object recognition,computer security,packet networks,grid computing,graphics processing unit;0.0,0.0,0.0,0.0,0.0,0.0
General,Computer Vision;https://github.com/fizyr/keras-retinanet;information retrieval,mobile computing,signal to noise ratio,wireless,signal processing,radio,inference engines,computer hardware,telecommunication networks,image analysis,cellular radio systems,wireless telecommunication systems,telecommunication systems,detection performance,computer systems,mobile telecommunication systems,pattern recognition,communication channels,database systems,engineering,requirements engineering,communication systems,data communication systems,operating systems,computer networks,signal detection,machine learning,telecommunication traffic,cellular telephone systems,image retrieval,computer imaging and vision,image enhancement,computer science,image processing,image segmentation,object recognition,software engineering,mathematics,artificial intelligence;0.0,0.0,0.0,0.0,0.0,0.0
General,Computer Vision;https://github.com/titu1994/Super-Resolution-using-Generative-Adversarial-Networks;information retrieval,color image processing,signal to noise ratio,character recognition,signal processing,cryptology,steganography,cryptography,image analysis,digital image storage,imaging systems,low resolution images,computer systems,pattern recognition,optical resolving power,high resolution image,database systems,image compression,engineering,face recognition,image reconstruction,machine learning,image retrieval,image matching,security of data,computer imaging and vision,image enhancement,computer science,image processing,image coding,image segmentation,object recognition,computer security,image quality,optical character recognition,mean square error,artificial intelligence;0.0,0.0,0.0,0.0,0.0,0.0
General,Computer Vision;https://github.com/unsky/focal-loss;image analysis,engineering,computer science,image processing,image segmentation,computer imaging and vision,signal detection,machine learning,signal processing,pattern recognition,artificial intelligence;0.0,0.0,0.0,0.0,0.0,0.0
General,Computer Vision;https://github.com/ajbrock/Neural-Photo-Editor;information retrieval,signal to noise ratio,gaussian distribution,correlation analysis,signal processing,matrix algebra,inference engines,computer hardware,microprocessor chips,program processors,image analysis,distributed computer systems,computer systems,recommender systems,engineering,image reconstruction,operating systems,gaussian noise (electronic),matrix factorizations,computer imaging and vision,factorization,distributed systems,computer science,image processing,parallel processing systems,mathematics,artificial intelligence;0.0,0.0,0.0,0.0,0.0,0.0
General,Natural Language Processing;https://github.com/simonjisu/NMT;motion compensation,internet,support vector machine,computational linguistics,linguistics,communication,automata theory,parameterization,information theory,microprocessor chips,random access storage,classifiers,video processing,translation (languages),video coding,semantics,formal languages and automata theory,computer hardware,image analysis,numerical methods,distributed computer systems,numerical model,computer systems,database systems,image compression,image reconstruction,inverse problems,machine learning,theoretical computer science,natural language processing,regularization,multimedia systems,natural languages,integral equations,computer imaging and vision,distributed systems,computer science,image coding,image processing,image segmentation,motion estimation,parallel processing systems,visual communication,image quality,mathematics,h.264/avc,artificial intelligence;0.0,0.0,0.0,1.0,0.0,0.0
General,Computer Vision;https://github.com/zym1119/MobileNetV2_pytorch_cifar;mobile computing,ubiquitous computing,signal processing,mobile devices,computer hardware,telecommunication networks,user interfaces,wireless telecommunication systems,telecommunication systems,computer systems,mobile telecommunication systems,communication channels,engineering,communication systems,data communication systems,computer networks,location based services,signal detection,mobile phones,human computer interaction,computer science,classification methods;0.0,0.0,0.0,0.0,0.0,0.0
General,Natural Language Processing;https://github.com/chen-xiong-yi/OwnBERT;information retrieval,computer programming,computer programming languages,storage allocation (computer),economics,character recognition,parallel programming,computational linguistics,linguistics,inference engines,random access storage,cuda,semantics,computer hardware,microprocessor chips,program processors,scalable video coding,cache memory,bandwidth,telecommunication networks,internet,computational efficiency,distributed computer systems,telecommunication systems,commerce,computer systems,computer system recovery,cloud computing,pattern recognition,parallel architectures,database systems,data communication systems,buffer storage,operating systems,computer networks,software design,machine learning,software architecture,theoretical computer science,telecommunication traffic,multimedia systems,video streaming,computer imaging and vision,distributed systems,education,computer science,image coding,image processing,digital storage,parallel algorithms,sensors,parallel processing systems,visual communication,software engineering,fault tolerant computer systems,graphics processing unit,mathematics,artificial intelligence;0.0,0.0,0.0,0.0,0.0,0.0
General,Computer Vision;https://github.com/asprenger/keras_fc_densenet;information retrieval,optical fibers,color image processing,routing algorithms,mathematical transformations,character recognition,semantic information,matrix algebra,cbir,bandwidth,optical networks,telecommunication networks,image analysis,internet,computer hardware,backpropagation algorithm,routers,digital image storage,backup path,optical materials,imaging systems,wireless telecommunication systems,telecommunication systems,computer systems,pattern recognition,fiber optic networks,database systems,image compression,communication systems,content based retrieval,routing protocols,image reconstruction,computer networks,machine learning,electric network topology,semantic gap,telecommunication traffic,image retrieval,network topology,wdm,image matching,multimedia systems,computer imaging and vision,image enhancement,computer science,image processing,image coding,neural networks,classification methods,sensors,object recognition,image quality,hidden layers,optical character recognition,wavelength division multiplexing,multi path routing,mathematics,artificial intelligence;0.0,0.0,0.0,0.0,0.0,0.0
General;https://github.com/khanrc/pt.darts;artificial intelligence,computer programming languages,parallel programming,cuda,random access storage,computer hardware,microprocessor chips,program processors,distributed computer systems,software quality,parallel architectures,computer systems,verification and validation,software design,machine learning,software architecture,distributed systems,computer science,neural networks,parallel algorithms,parallel processing systems,software engineering,computer programming,graphics processing unit;0.0,0.0,0.0,0.0,0.0,0.0
General,Computer Vision;https://github.com/WeiYangze/hibernate-demo;color image processing,write operations,field programmable gate array,inference engines,dynamic random access storage,embedded systems,microprocessor chips,computer hardware,probability distributions,image analysis,distributed computer systems,bayesian methods,probability,computer systems,computer system recovery,pattern recognition,flash memory,data communication systems,operating systems,computer networks,machine learning,computer imaging and vision,computer science,image processing,image segmentation,static random access storage,image quality,fault tolerant computer systems,mathematics,artificial intelligence;0.0,0.0,0.0,0.0,0.0,0.0
General,Computer Vision;https://github.com/5yearsKim/Conditional-Normalizing-Flow;information retrieval,signal processing,image analysis,numerical methods,imaging systems,low resolution images,computer systems,pattern recognition,optical resolving power,database systems,engineering,image reconstruction,inverse problems,signal detection,machine learning,image retrieval,integral equations,computer imaging and vision,image enhancement,computer science,image processing,image segmentation,object recognition,image quality,edge detectors,mathematics,artificial intelligence;0.0,0.0,0.0,0.0,0.0,0.0
General,Computer Vision;https://github.com/vantupham/darknet;mobile computing,computer programming,local area networks,artificial intelligence,wireless communications,computer programming languages,virtualizations,world wide web,wireless networks,web 2.0,program compilers,parallel programming,cryptology,mobile devices,bandwidth,information systems,telecommunication networks,microprocessor chips,program processors,knowledge based systems,cryptography,computer hardware,internet,image analysis,user interfaces,distributed computer systems,wireless telecommunication systems,telecommunication systems,parallel architectures,mobile telecommunication systems,pattern recognition,communication channels,computer systems,cloud computing,network security,communication systems,cloud providers,mpi,wireless local area networks (wlan),computer crime,data communication systems,operating systems,computer networks,machine learning,virtual machines,telecommunication traffic,knowledge management,multimedia systems,mobile phones,security of data,video streaming,human computer interaction,computer imaging and vision,malwares,intrusion detection,distributed systems,computer science,telephone sets,image coding,image processing,image segmentation,parallel algorithms,parallel processing systems,object recognition,computer security,packet networks,grid computing,graphics processing unit;0.0,0.0,0.0,0.0,0.0,0.0
General,Computer Vision;https://github.com/mr-bulb/DL_basic_github;;0.0,0.0,0.0,0.0,0.0,0.0
