Labels;Repo;Predictions;Probabilities
Sequential,Audio,General;https://github.com/yanggeng1995/GAN-TTS;probability distributions,inference engines,speech communication,bayesian methods;0.0,0.0,0.0,0.0,0.0
Sequential,Natural Language Processing,General;https://github.com/yyht/Conv_Bert;linguistics,flash memory,javascript,through silicon vias,software architecture,query languages,program processors,software engineering;0.0,0.0,0.0,0.0,0.0
Computer Vision,Natural Language Processing,General;https://github.com/tensorflow/models;personal information,computer aided design,education,program processors,recommender systems;0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/trongnghia00/darknet;wireless local area networks (wlan),computer science,telecommunication traffic,telephone sets,knowledge management,object recognition,malwares,operating systems,user interfaces,cloud providers,web 2.0,video streaming,information systems,bandwidth,program compilers,graphics processing unit,parallel programming,intrusion detection,mobile telecommunication systems,program processors,wireless networks,mpi;0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/fizyr/keras-retinanet;operating systems,mathematics,inference engines,signal processing,cellular telephone systems,computer hardware,wireless,cellular radio systems,signal detection,object recognition,image retrieval,requirements engineering,detection performance;0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/titu1994/Super-Resolution-using-Generative-Adversarial-Networks;image segmentation,image analysis,imaging systems,mean square error,steganography,image quality,object recognition,optical character recognition,optical resolving power,image matching,color image processing,signal to noise ratio,face recognition,pattern recognition,digital image storage,image compression,image processing,image retrieval,low resolution images;0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/unsky/focal-loss;pattern recognition,signal detection,image segmentation;0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/ajbrock/Neural-Photo-Editor;inference engines,gaussian distribution,matrix factorizations,image reconstruction,correlation analysis,program processors,operating systems;0.0,0.0,0.0,0.0,0.0
Natural Language Processing,General;https://github.com/simonjisu/NMT;translation (languages),parameterization,information theory,random access storage,video coding,natural language processing,h.264/avc,regularization,inverse problems,support vector machine;0.0,0.0,0.0,1.0,0.0
Computer Vision,General;https://github.com/zym1119/MobileNetV2_pytorch_cifar;mobile telecommunication systems,classification methods,mobile phones,ubiquitous computing,signal detection,location based services;0.0,0.0,0.0,0.0,0.0
Natural Language Processing,General;https://github.com/chen-xiong-yi/OwnBERT;mathematics,semantics,computational efficiency,scalable video coding,cloud computing,commerce,inference engines,buffer storage,education,character recognition,computer systems,random access storage,computer system recovery,computational linguistics,operating systems,sensors,information retrieval,cuda,artificial intelligence,linguistics,cache memory,machine learning,digital storage,software architecture,program processors,storage allocation (computer);0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/asprenger/keras_fc_densenet;multi path routing,image analysis,backup path,imaging systems,image quality,classification methods,object recognition,routing protocols,matrix algebra,optical character recognition,image matching,color image processing,routing algorithms,hidden layers,digital image storage,pattern recognition,image processing,mathematical transformations,semantic gap,image retrieval,neural networks;0.0,0.0,0.0,0.0,0.0
General;https://github.com/khanrc/pt.darts;random access storage,verification and validation,neural networks,software architecture,program processors,cuda;0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/WeiYangze/hibernate-demo;color image processing,inference engines,bayesian methods,write operations,pattern recognition,computer system recovery,probability distributions;0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/5yearsKim/Conditional-Normalizing-Flow;low resolution images,image segmentation,image reconstruction,optical resolving power,imaging systems,machine learning,signal detection,image retrieval,object recognition,inverse problems,edge detectors;0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/vantupham/darknet;wireless local area networks (wlan),computer science,telecommunication traffic,telephone sets,knowledge management,object recognition,malwares,operating systems,user interfaces,cloud providers,web 2.0,video streaming,information systems,bandwidth,program compilers,graphics processing unit,parallel programming,intrusion detection,mobile telecommunication systems,program processors,wireless networks,mpi;0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/mr-bulb/DL_basic_github;;0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/MarkHershey/arxiv-dl;cache memory,ad hoc networks,world wide web,buffer storage,wireless sensor networks,ontology,electronic publishing,routing protocols,operating systems,storage allocation (computer);0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/yhenon/pytorch-retinanet;human computer interaction,verification and validation,signal detection,object recognition;0.0,0.0,0.0,0.0,0.0
Reinforcement Learning,General;https://github.com/nikhilbarhate99/TD3-PyTorch-BipedalWalker-v2;ad hoc networks,anthropomorphic robots,humanoid robot,machine design,computer systems,biped locomotion,multipurpose robots,bandwidth,routing protocols,motion control;0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/jndeng/DACSDC-DeepZ;intelligent control,database systems,inference engines,bayesian methods,intelligent systems,world wide web,flash memory,graphics processing unit,program processors,program compilers,probability distributions,parallel programming;0.0,0.0,0.0,0.0,0.0
