Labels;Repo;Predictions;Probabilities
General,Audio,Sequential;https://github.com/yanggeng1995/GAN-TTS;speech communication,bayesian methods,inference engines,probability distributions;0.0,0.0,0.0,0.0,0.0,0.0
Natural Language Processing,General,Sequential;https://github.com/yyht/Conv_Bert;linguistics,flash memory,software architecture,javascript,query languages,software engineering,through silicon vias,program processors;0.0,0.0,0.0,0.0,0.0,0.0
Natural Language Processing,General,Computer Vision;https://github.com/tensorflow/models;recommender systems,personal information,education,computer aided design,program processors;0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/trongnghia00/darknet;operating systems,intrusion detection,telephone sets,knowledge management,information systems,cloud providers,mpi,parallel programming,bandwidth,graphics processing unit,object recognition,program processors,wireless local area networks (wlan),program compilers,wireless networks,video streaming,web 2.0,mobile telecommunication systems,computer science,telecommunication traffic,malwares,user interfaces;0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/fizyr/keras-retinanet;cellular telephone systems,wireless,computer hardware,signal processing,requirements engineering,image retrieval,detection performance,signal detection,cellular radio systems,inference engines,object recognition,operating systems,mathematics;0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/titu1994/Super-Resolution-using-Generative-Adversarial-Networks;optical character recognition,mean square error,image retrieval,image segmentation,image compression,image analysis,image processing,optical resolving power,object recognition,image quality,steganography,low resolution images,pattern recognition,digital image storage,imaging systems,color image processing,face recognition,image matching,signal to noise ratio;0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/unsky/focal-loss;image segmentation,pattern recognition,signal detection;0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/ajbrock/Neural-Photo-Editor;image reconstruction,correlation analysis,matrix factorizations,inference engines,operating systems,program processors,gaussian distribution;0.0,0.0,0.0,0.0,0.0,0.0
Natural Language Processing,General;https://github.com/simonjisu/NMT;natural language processing,translation (languages),parameterization,video coding,support vector machine,information theory,h.264/avc,random access storage,regularization,inverse problems;0.0,0.0,0.0,1.0,0.0,0.0
Computer Vision,General;https://github.com/zym1119/MobileNetV2_pytorch_cifar;mobile telecommunication systems,ubiquitous computing,mobile phones,signal detection,classification methods,location based services;0.0,0.0,0.0,0.0,0.0,0.0
Natural Language Processing,General;https://github.com/chen-xiong-yi/OwnBERT;semantics,education,scalable video coding,operating systems,linguistics,digital storage,machine learning,commerce,sensors,program processors,information retrieval,computer system recovery,software architecture,computer systems,cuda,storage allocation (computer),cloud computing,computational linguistics,buffer storage,cache memory,computational efficiency,character recognition,random access storage,inference engines,mathematics,artificial intelligence;0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/asprenger/keras_fc_densenet;routing protocols,semantic gap,optical character recognition,multi path routing,hidden layers,matrix algebra,image retrieval,image analysis,image processing,object recognition,routing algorithms,image quality,neural networks,pattern recognition,digital image storage,imaging systems,classification methods,color image processing,mathematical transformations,backup path,image matching;0.0,0.0,0.0,0.0,0.0,0.0
General;https://github.com/khanrc/pt.darts;software architecture,cuda,verification and validation,neural networks,random access storage,program processors;0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/WeiYangze/hibernate-demo;color image processing,write operations,computer system recovery,bayesian methods,probability distributions,inference engines,pattern recognition;0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/5yearsKim/Conditional-Normalizing-Flow;low resolution images,machine learning,image reconstruction,image retrieval,optical resolving power,signal detection,image segmentation,edge detectors,object recognition,imaging systems,inverse problems;0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/vantupham/darknet;operating systems,intrusion detection,telephone sets,knowledge management,information systems,cloud providers,mpi,parallel programming,bandwidth,graphics processing unit,object recognition,program processors,wireless local area networks (wlan),program compilers,wireless networks,video streaming,web 2.0,mobile telecommunication systems,computer science,telecommunication traffic,malwares,user interfaces;0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/mr-bulb/DL_basic_github;;0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/MarkHershey/arxiv-dl;routing protocols,buffer storage,cache memory,electronic publishing,world wide web,ad hoc networks,storage allocation (computer),operating systems,wireless sensor networks,ontology;0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/yhenon/pytorch-retinanet;object recognition,human computer interaction,verification and validation,signal detection;0.0,0.0,0.0,0.0,0.0,0.0
General,Reinforcement Learning;https://github.com/nikhilbarhate99/TD3-PyTorch-BipedalWalker-v2;machine design,routing protocols,biped locomotion,humanoid robot,anthropomorphic robots,computer systems,ad hoc networks,bandwidth,multipurpose robots,motion control;0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/jndeng/DACSDC-DeepZ;flash memory,intelligent control,program compilers,graphics processing unit,bayesian methods,probability distributions,world wide web,inference engines,parallel programming,program processors,database systems,intelligent systems;0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/nolanliou/PeopleSegmentationDemo;image analysis,semantic gap,image processing,smart phones,program processors,object recognition,signal processing,object oriented programming,high level languages,field programmable gate array,computer programming languages,digital signal processors,image compression;0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/wangbinglin1995/tianchi;scripting languages,numerical model;0.0,0.0,0.0,0.0,0.0,0.0
Natural Language Processing,General;https://github.com/nachiketaa/bert;semantics,education,scalable video coding,operating systems,linguistics,digital storage,machine learning,commerce,sensors,program processors,information retrieval,computer system recovery,software architecture,computer systems,cuda,storage allocation (computer),cloud computing,computational linguistics,buffer storage,cache memory,computational efficiency,character recognition,random access storage,inference engines,mathematics,artificial intelligence;0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/sdoria/SimpleSelfAttention;optical character recognition,software architecture patterns,support vector machine,image retrieval,image analysis,image processing,parallel computing,regularization,parallel programming,graphics processing unit,program processors,object recognition,inverse problems,image quality,parameterization,software architecture,pattern recognition,digital image storage,imaging systems,color image processing,image matching;0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/Vious/LBAM_Pytorch;graphics processing unit,parallel computing,program processors,parallel programming;0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/fdasilva59/Pix2Pix-Kubeflow-Demo;optical character recognition,optical fibers,software architecture patterns,computing environments,servers,communication,image retrieval,fused images,operating systems,engineering,software as a service,image denoising,image analysis,superresolution,image processing,quality of service,cloud providers,commerce,verification and validation,object recognition,program processors,software development,image quality,computing paradigm,hand held computers,cluster computing,software architecture,sociology,de-noising,sensor networks,cluster head,pattern recognition,digital image storage,imaging systems,edge detection,color image processing,computer science,mobile devices,correlation analysis,distributed database systems,image matching,wireless sensor networks,computing resource,mathematics;0.0,0.0,0.0,0.0,0.0,0.0
General;https://github.com/abcp4/MyDarts;software architecture,cuda,verification and validation,neural networks,random access storage,program processors;0.0,0.0,0.0,0.0,0.0,0.0
General,Reinforcement Learning;https://github.com/hill-a/stable-baselines;multiagent system,computer science,computer software maintenance,computer systems programming,data privacy,parallel programming,wireless telecommunication systems,source codes,medium access control,reinforcement learning,electronic mail,computer programming languages,software systems;0.0,0.0,0.0,0.0,1.0,0.0
Natural Language Processing,General;https://github.com/lukexyz/Language-Models;sales,data mining,machine learning,support vector machine,natural languages,neural networks,inference engines,speech transmission,machine translations,computational linguistics,program processors,visualization,text processing,artificial intelligence;0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/jolibrain/caffe;image analysis,digital storage,image processing,flash memory,software architecture,program processors,software engineering,approximation algorithms,signal detection,object recognition,classification methods,signal reconstruction;0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/sidneykingsley/fyp;intelligent control,software architecture,education,world wide web,software development,intelligent systems;0.0,0.0,0.0,0.0,0.0,0.0
Natural Language Processing,Computer Vision,Audio,General,Sequential;https://github.com/huggingface/transformers;education,knowledge representation,text processing,image analysis,computer imaging and vision,linguistics,image processing,object recognition,information retrieval,information analysis,translation (languages),data mining,information theory,neural networks,pattern recognition,computational linguistics,digital image storage,imaging systems,question answering,virtual reality,artificial intelligence;0.0,0.0,0.0,0.0,0.0,0.0
Natural Language Processing,General;https://github.com/insigh/THUMT;linguistics,translation (languages),semantics,information theory,software engineering,mathematics,artificial intelligence;0.0,0.0,0.0,0.0,0.0,0.0
Natural Language Processing,General;https://github.com/af-ai-center/bert;linguistics,semantics,software architecture,scalable video coding,program processors,artificial intelligence;0.0,0.0,0.0,0.0,0.0,0.0
Natural Language Processing,General;https://github.com/enhuiz/transformer-pytorch;natural language processing,translation (languages),computer aided language translation,information theory,computational linguistics,statistical machine translation,speech communication;0.0,0.0,0.0,1.0,0.0,0.0
Computer Vision,General;https://github.com/rwightman/efficientnet-jax;human engineering,multi path routing,computing environments,probability distributions,communication,software as a service,bayesian methods,cloud providers,commerce,verification and validation,parallel computing,parallel programming,program processors,graphics processing unit,computing paradigm,mobile devices,distributed database systems,inference engines,computing resource,mathematics;0.0,0.0,0.0,0.0,0.0,0.0
Natural Language Processing,General;https://github.com/StillKeepTry/Transformer-PyTorch;computer system recovery,cuda,social networks,neural networks,speech transmission,machine translations,program processors;0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/nahliabdelwahed/Face-Image-Deblurring;adaptive boosting,face recognition,evolutionary algorithms,gyroscopes,image restoration,signal detection,program processors,intrusion detection,signal to noise ratio;0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/d-li14/mobilenetv3.pytorch;proposed architectures,geodetic satellites,software architecture,embedded systems,software engineering,verification and validation,object oriented programming,sensors,network architecture;0.0,0.0,0.0,0.0,0.0,0.0
Natural Language Processing,Computer Vision,Graphs,Reinforcement Learning,General;https://github.com/google-research/google-research;information retrieval systems,computer aided design,recommender systems,text mining;0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/CarpdiemLiang/style_transfer;communication channels,computer system recovery,image retrieval,neural networks,inference engines,signal detection,object recognition,imaging systems,signal to noise ratio;0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/Brainkite/Sketch_Augmented;optical character recognition,world wide web,compression algorithms,image retrieval,compression ratio (machinery),digital holography,image analysis,image processing,machine learning,content based retrieval,object recognition,image quality,image reconstruction,pattern recognition,digital image storage,imaging systems,color image processing,image coding,computer science,image matching;0.0,0.0,0.0,0.0,0.0,0.0
Natural Language Processing,General;https://github.com/brightmart/bert_customized;semantics,education,scalable video coding,operating systems,linguistics,digital storage,machine learning,commerce,sensors,program processors,information retrieval,computer system recovery,software architecture,computer systems,cuda,storage allocation (computer),cloud computing,computational linguistics,buffer storage,cache memory,computational efficiency,character recognition,random access storage,inference engines,mathematics,artificial intelligence;0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/BIYTC/mobilenet_maskrcnn;graphics processing unit,attribute weight,game theory,bayesian methods,probability distributions,neural networks,random access storage,inference engines,signal detection,parallel programming,program processors,intrusion detection;0.0,0.0,0.0,0.0,0.0,0.0
Natural Language Processing,General;https://github.com/Zehui127/SQUAD_BERT;semantics,education,scalable video coding,operating systems,linguistics,digital storage,machine learning,commerce,sensors,program processors,information retrieval,computer system recovery,software architecture,computer systems,cuda,storage allocation (computer),cloud computing,computational linguistics,buffer storage,cache memory,computational efficiency,character recognition,random access storage,inference engines,mathematics,artificial intelligence;0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/marload/ConvNets-TensorFlow2;proposed architectures,computer science,software architecture,fiber optic networks,embedded systems,software engineering,local area networks,neural networks,object oriented programming,bandwidth,sensors,network architecture;0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/catalyst-team/gan;formal methods,human computer interaction,open source software,computer programming,source codes,software development;0.0,0.0,0.0,0.0,0.0,0.0
General,Audio;https://github.com/adrienchaton/BERGAN;image reconstruction,signal processing,music genre classification,correlation analysis,matrix factorizations,inference engines,program processors,gaussian distribution;0.0,0.0,0.0,0.0,0.0,0.0
Natural Language Processing,General;https://github.com/s9891326/Fine-Tuning-BERT;image resolution,random access storage,inference engines,through silicon vias,program processors;0.0,0.0,0.0,0.0,0.0,0.0
General,Reinforcement Learning;https://github.com/roop-pal/Meta-Learning-for-StarCraft-II-Minigames;multiagent system,human computer interaction,state space methods,cuda,gpu,neural networks,reinforcement learning,program processors;0.0,0.0,0.0,0.0,1.0,0.0
Computer Vision,General;https://github.com/implus/PytorchInsight;computer imaging and vision,machine learning,image reconstruction,cuda,program processors,imaging systems;0.0,0.0,0.0,0.0,0.0,0.0
Natural Language Processing,General;https://github.com/AssafSinger94/sigmorphon-2020-inflection;resource discovery,virtual machines,cloud computing,scripting languages,network virtualization,information management;0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/sarus-tech/tf2-published-models;recommender systems,personal information,quantization,education,image reconstruction,visualization;0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,General;https://github.com/AD2605/Action-Recognition;education,video streaming,motion estimation,gesture recognition,visualization;0.0,0.0,0.0,0.0,0.0,0.0
