Labels;Repo;Csoc_predictions
Sequential,General,Audio;https://github.com/yanggeng1995/GAN-TTS;speech communication,probability distributions,inference engines,bayesian methods
Sequential,General,Natural Language Processing;https://github.com/yyht/Conv_Bert;query languages,javascript,linguistics,flash memory,through silicon vias,software engineering,program processors,software architecture
General,Natural Language Processing,Computer Vision;https://github.com/tensorflow/models;computer aided design,personal information,education,program processors,recommender systems
General,Computer Vision;https://github.com/trongnghia00/darknet;wireless networks,program compilers,computer science,intrusion detection,operating systems,telecommunication traffic,bandwidth,web 2.0,graphics processing unit,object recognition,video streaming,information systems,user interfaces,program processors,knowledge management,mpi,mobile telecommunication systems,malwares,parallel programming,wireless local area networks (wlan),cloud providers,telephone sets
General,Computer Vision;https://github.com/fizyr/keras-retinanet;signal detection,object recognition,wireless,computer hardware,image retrieval,detection performance,operating systems,cellular radio systems,inference engines,mathematics,requirements engineering,signal processing,cellular telephone systems
General,Computer Vision;https://github.com/titu1994/Super-Resolution-using-Generative-Adversarial-Networks;low resolution images,image quality,digital image storage,image processing,image matching,optical character recognition,steganography,image segmentation,object recognition,signal to noise ratio,image retrieval,pattern recognition,image compression,imaging systems,optical resolving power,face recognition,mean square error,image analysis,color image processing
General,Computer Vision;https://github.com/unsky/focal-loss;pattern recognition,image segmentation,signal detection
General,Computer Vision;https://github.com/ajbrock/Neural-Photo-Editor;image reconstruction,operating systems,inference engines,matrix factorizations,program processors,correlation analysis,gaussian distribution
General,Natural Language Processing;https://github.com/simonjisu/NMT;h.264/avc,inverse problems,random access storage,video coding,regularization,natural language processing,translation (languages),support vector machine,parameterization,information theory
General,Computer Vision;https://github.com/zym1119/MobileNetV2_pytorch_cifar;signal detection,mobile telecommunication systems,location based services,mobile phones,ubiquitous computing,classification methods
General,Natural Language Processing;https://github.com/chen-xiong-yi/OwnBERT;random access storage,cuda,operating systems,machine learning,computational linguistics,semantics,software architecture,character recognition,commerce,computational efficiency,mathematics,program processors,cloud computing,sensors,computer systems,artificial intelligence,cache memory,information retrieval,computer system recovery,buffer storage,digital storage,linguistics,scalable video coding,inference engines,education,storage allocation (computer)
General,Computer Vision;https://github.com/asprenger/keras_fc_densenet;routing algorithms,semantic gap,image quality,multi path routing,image processing,digital image storage,image matching,routing protocols,optical character recognition,classification methods,object recognition,image retrieval,pattern recognition,imaging systems,matrix algebra,hidden layers,image analysis,backup path,color image processing,neural networks,mathematical transformations
General;https://github.com/khanrc/pt.darts;random access storage,neural networks,cuda,verification and validation,program processors,software architecture
General,Computer Vision;https://github.com/WeiYangze/hibernate-demo;color image processing,bayesian methods,computer system recovery,probability distributions,write operations,inference engines,pattern recognition
