PipelineID;Pipeline;Input;F1 score;Precision;Recall;Pickle file name;Datetime;Sklearn version;Validation set
0_Graphs;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/somef_data_test.csv;0.36933873267793305 macro;0.5183908045977011 macro;0.7505952380952381 macro;04_02_2022_15_43_51/Graphs.sav;04_02_2022_15_43_51;1.0;../data/somef_data_test.csv
2_Graphs;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/somef_data_test.csv;0.499027582155827 macro;0.5364464692482915 macro;0.8788690476190476 macro;04_02_2022_15_44_57/Graphs.sav;04_02_2022_15_44_57;1.0;../data/somef_data_test.csv
3_Graphs;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/somef_data_test.csv;0.39415841143288366 macro;0.5203303684879288 macro;0.7752976190476191 macro;04_02_2022_15_46_24/Graphs.sav;04_02_2022_15_46_24;1.0;../data/somef_data_test.csv
4_Graphs;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/somef_data_test.csv;0.293211371425672 macro;0.5144665461121157 macro;0.6803571428571429 macro;04_02_2022_15_47_54/Graphs.sav;04_02_2022_15_47_54;1.0;../data/somef_data_test.csv
5_Graphs;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];../data/somef_data_test.csv;0.5621795436156074 macro;0.5562216379196573 macro;0.9120535714285714 macro;04_02_2022_15_49_02/Graphs.sav;04_02_2022_15_49_02;1.0;../data/somef_data_test.csv
6_Graphs;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];../data/somef_data_test.csv;0.5915207967302823 macro;0.5702442669655785 macro;0.6398809523809523 macro;04_02_2022_15_50_11/Graphs.sav;04_02_2022_15_50_11;1.0;../data/somef_data_test.csv
7_Graphs;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/somef_data_test.csv;0.36353179801687113 macro;0.5017782597102165 macro;0.529811808592433 macro;04_02_2022_15_55_15/Graphs.sav;04_02_2022_15_55_15;1.0;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
8_Graphs;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/somef_data_test.csv;0.42475253456247347 macro;0.5113546388538128 macro;0.6731780554120492 macro;04_02_2022_16_03_08/Graphs.sav;04_02_2022_16_03_08;1.0;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
9_Graphs;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/somef_data_test.csv;0.27178980699074545 macro;0.5045343171310868 macro;0.568517777405874 macro;04_02_2022_16_11_25/Graphs.sav;04_02_2022_16_11_25;1.0;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
10_Graphs;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/somef_data_test.csv;0.4200540772690931 macro;0.5107288391485556 macro;0.6657796761041299 macro;04_02_2022_16_19_51/Graphs.sav;04_02_2022_16_19_51;1.0;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
11_Graphs;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];../data/somef_data_test.csv;0.4788128484692318 macro;0.5069036455566996 macro;0.5624421224711552 macro;04_02_2022_16_27_53/Graphs.sav;04_02_2022_16_27_53;1.0;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
