PipelineID;Pipeline;Input;F1 score;Precision;Recall;Pickle file name;Datetime;Sklearn version;Validation set
0_Reinforcement Learning;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/somef_data_test.csv;0.5593476882887382 macro;0.5839342883687568 macro;0.8499896864686469 macro;04_02_2022_15_44_10/Reinforcement Learning.sav;04_02_2022_15_44_10;1.0;../data/somef_data_test.csv
2_Reinforcement Learning;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/somef_data_test.csv;0.6422152560083595 macro;0.6203007518796992 macro;0.90625 macro;04_02_2022_15_45_16/Reinforcement Learning.sav;04_02_2022_15_45_16;1.0;../data/somef_data_test.csv
3_Reinforcement Learning;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/somef_data_test.csv;0.6158792316203896 macro;0.6073825503355704 macro;0.8913985148514851 macro;04_02_2022_15_46_45/Reinforcement Learning.sav;04_02_2022_15_46_45;1.0;../data/somef_data_test.csv
4_Reinforcement Learning;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/somef_data_test.csv;0.6292373388037531 macro;0.6137440758293838 macro;0.8991336633663367 macro;04_02_2022_15_48_14/Reinforcement Learning.sav;04_02_2022_15_48_14;1.0;../data/somef_data_test.csv
5_Reinforcement Learning;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];../data/somef_data_test.csv;0.6808500722374982 macro;0.6418527241598081 macro;0.9208436468646866 macro;04_02_2022_15_49_22/Reinforcement Learning.sav;04_02_2022_15_49_22;1.0;../data/somef_data_test.csv
6_Reinforcement Learning;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];../data/somef_data_test.csv;0.6460682604119682 macro;0.6204461563151982 macro;0.8870152640264026 macro;04_02_2022_15_50_30/Reinforcement Learning.sav;04_02_2022_15_50_30;1.0;../data/somef_data_test.csv
7_Reinforcement Learning;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/somef_data_test.csv;0.46617359510914425 macro;0.5340391153044911 macro;0.6702198999546951 macro;04_02_2022_15_57_31/Reinforcement Learning.sav;04_02_2022_15_57_31;1.0;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
8_Reinforcement Learning;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/somef_data_test.csv;0.729545107242699 macro;0.6737326947628527 macro;0.9030333819075431 macro;04_02_2022_16_05_22/Reinforcement Learning.sav;04_02_2022_16_05_22;1.0;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
9_Reinforcement Learning;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/somef_data_test.csv;0.5807662481197838 macro;0.5794119107738716 macro;0.805845809322199 macro;04_02_2022_16_13_43/Reinforcement Learning.sav;04_02_2022_16_13_43;1.0;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
10_Reinforcement Learning;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/somef_data_test.csv;0.7105706625925703 macro;0.6623441739058622 macro;0.8401988407303448 macro;04_02_2022_16_22_12/Reinforcement Learning.sav;04_02_2022_16_22_12;1.0;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
11_Reinforcement Learning;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];../data/somef_data_test.csv;0.6340835056353433 macro;0.6079840066386271 macro;0.8534091698734361 macro;04_02_2022_16_30_08/Reinforcement Learning.sav;04_02_2022_16_30_08;1.0;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
