PipelineID;Pipeline;Input;F1 score;Precision;Recall;Pickle file name;Datetime;Sklearn version;Validation set
0_Sequential;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/somef_data_test.csv;0.4306456155302334 macro;0.5310773480662984 macro;0.7963407318536293 macro;04_02_2022_15_44_19/Sequential.sav;04_02_2022_15_44_19;1.0;../data/somef_data_test.csv
2_Sequential;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/somef_data_test.csv;0.43846894559460764 macro;0.5321888412017167 macro;0.8038392321535692 macro;04_02_2022_15_45_25/Sequential.sav;04_02_2022_15_45_25;1.0;../data/somef_data_test.csv
3_Sequential;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/somef_data_test.csv;0.36546785187046515 macro;0.5241935483870968 macro;0.7345530893821236 macro;04_02_2022_15_46_56/Sequential.sav;04_02_2022_15_46_56;1.0;../data/somef_data_test.csv
4_Sequential;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/somef_data_test.csv;0.3863638350511859 macro;0.5260115606936416 macro;0.7540491901619676 macro;04_02_2022_15_48_24/Sequential.sav;04_02_2022_15_48_24;1.0;../data/somef_data_test.csv
5_Sequential;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];../data/somef_data_test.csv;0.5091558722745437 macro;0.545619918216773 macro;0.8587149236819303 macro;04_02_2022_15_49_32/Sequential.sav;04_02_2022_15_49_32;1.0;../data/somef_data_test.csv
6_Sequential;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];../data/somef_data_test.csv;0.6126206356817979 macro;0.5850627207404702 macro;0.6862160901153103 macro;04_02_2022_15_50_40/Sequential.sav;04_02_2022_15_50_40;1.0;../data/somef_data_test.csv
7_Sequential;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/somef_data_test.csv;0.3520823364947932 macro;0.5004613536148996 macro;0.5060737907488584 macro;04_02_2022_15_58_39/Sequential.sav;04_02_2022_15_58_39;1.0;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
8_Sequential;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/somef_data_test.csv;0.478304710315942 macro;0.5094355177890025 macro;0.5747287411478715 macro;04_02_2022_16_06_30/Sequential.sav;04_02_2022_16_06_30;1.0;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
9_Sequential;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/somef_data_test.csv;0.42511868830437116 macro;0.5015926149613301 macro;0.5179960683184953 macro;04_02_2022_16_14_53/Sequential.sav;04_02_2022_16_14_53;1.0;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
10_Sequential;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/somef_data_test.csv;0.2794943453409057 macro;0.5037803815882631 macro;0.5451716524626089 macro;04_02_2022_16_23_23/Sequential.sav;04_02_2022_16_23_23;1.0;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
11_Sequential;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7fe6d15641f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];../data/somef_data_test.csv;0.517712547176481 macro;0.5148290118839857 macro;0.5351794501080234 macro;04_02_2022_16_31_17/Sequential.sav;04_02_2022_16_31_17;1.0;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
