;PipelineID;Pipeline;train_set;validation_set;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_acc_cv1;test_acc_cv2;test_acc_cv3;test_acc_cv4;test_acc_cv5;test_acc_mean;test_prec_cv1;test_prec_cv2;test_prec_cv3;test_prec_cv4;test_prec_cv5;test_prec_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;acc_overall;prec_overall;recall_overall;f1-score_overall;tp_overall;tn_overall;fp_overall;fn_overall
0;Sequential;LR_Count_Vectors_RandomUnder;readme_train.csv;readme_test.csv;0.19812989234924316;0.19540786743164062;0.21694040298461914;0.2269585132598877;0.2547006607055664;0.2184274673461914;0.017146587371826172;0.012937784194946289;0.010196208953857422;0.015885591506958008;0.015813827514648438;0.014395999908447265;0.4482758620689655;0.5172413793103449;0.5862068965517241;0.4827586206896552;0.5862068965517241;0.5241379310344827;0.4444444444444444;0.5;0.5714285714285714;0.47368421052631576;0.5555555555555556;0.5090225563909774;0.5714285714285714;0.8571428571428571;0.5714285714285714;0.6428571428571429;0.7142857142857143;0.6714285714285715;0.5;0.631578947368421;0.5714285714285714;0.5454545454545454;0.6250000000000001;0.5746924128503076;8;12;8;9;10;9.4;5;3;9;5;7;5.8;10;12;6;10;8;9.2;6;2;6;5;4;4.6;0.6302570093457944;0.051829268292682924;0.7555555555555555;0.0970042796005706;34;1045;622;11
0;Sequential;LR_TFIDF_RandomUnder;readme_train.csv;readme_test.csv;0.08568882942199707;0.10355758666992188;0.10196590423583984;0.08919882774353027;0.09898829460144043;0.0958798885345459;0.014170646667480469;0.02074122428894043;0.019013643264770508;0.016340017318725586;0.013302087783813477;0.016713523864746095;0.41379310344827586;0.6206896551724138;0.6551724137931034;0.5517241379310345;0.7931034482758621;0.6068965517241379;0.44;0.5789473684210527;0.7;0.5263157894736842;0.9;0.6290526315789473;0.7857142857142857;0.7857142857142857;0.5;0.7142857142857143;0.6428571428571429;0.6857142857142857;0.5641025641025641;0.6666666666666667;0.5833333333333334;0.6060606060606061;0.75;0.6340326340326341;11;11;7;10;9;9.6;1;7;12;6;14;8.0;14;8;3;9;1;7.0;3;3;7;4;5;4.4;0.7996495327102804;0.08146067415730338;0.6444444444444445;0.14463840399002495;29;1340;327;16
0;Sequential;SVC_Count_Vectors_RandomUnder;readme_train.csv;readme_test.csv;0.17325735092163086;0.16427874565124512;0.19153523445129395;0.19482731819152832;0.16961979866027832;0.1787036895751953;0.01517939567565918;0.023298978805541992;0.025977134704589844;0.03138399124145508;0.018101215362548828;0.022788143157958983;0.4482758620689655;0.5172413793103449;0.5172413793103449;0.5517241379310345;0.5517241379310345;0.5172413793103449;0.4;0.5;0.5;0.6;0.52;0.504;0.2857142857142857;0.35714285714285715;0.7142857142857143;0.21428571428571427;0.9285714285714286;0.5;0.3333333333333333;0.41666666666666663;0.588235294117647;0.3157894736842105;0.6666666666666666;0.4641382868937048;4;5;10;3;13;7.0;9;10;5;13;3;8.0;6;5;10;2;12;7.0;10;9;4;11;1;7.0;0.8773364485981309;0.0975609756097561;0.4444444444444444;0.16;20;1482;185;25
0;Sequential;SVC_TFIDF_RandomUnder;readme_train.csv;readme_test.csv;0.1774919033050537;0.1521742343902588;0.14550280570983887;0.14116501808166504;0.17710638046264648;0.15868806838989258;0.0393221378326416;0.023516416549682617;0.020084619522094727;0.019613027572631836;0.018907546997070312;0.024288749694824217;0.4482758620689655;0.6551724137931034;0.6206896551724138;0.5172413793103449;0.6896551724137931;0.5862068965517241;0.45;0.625;0.6666666666666666;0.5;1.0;0.6483333333333333;0.6428571428571429;0.7142857142857143;0.42857142857142855;0.6428571428571429;0.35714285714285715;0.5571428571428572;0.5294117647058824;0.6666666666666666;0.5217391304347826;0.5625000000000001;0.5263157894736842;0.5613266702562031;9;10;6;9;5;7.8;4;9;12;6;15;9.2;11;6;3;9;0;5.8;5;4;8;5;9;6.2;0.8779205607476636;0.11320754716981132;0.5333333333333333;0.1867704280155642;24;1479;188;21
0;Sequential;KNN_Count_Vectors_RandomUnder;readme_train.csv;readme_test.csv;0.0672750473022461;0.053435564041137695;0.0671989917755127;0.06083869934082031;0.06722283363342285;0.06319422721862793;0.029331684112548828;0.028823137283325195;0.034903526306152344;0.03116917610168457;0.03464651107788086;0.03177480697631836;0.4827586206896552;0.5517241379310345;0.5862068965517241;0.5172413793103449;0.3448275862068966;0.49655172413793097;0.0;0.6666666666666666;0.75;0.5;0.38095238095238093;0.4595238095238095;0.0;0.14285714285714285;0.21428571428571427;0.07142857142857142;0.5714285714285714;0.19999999999999998;0.0;0.23529411764705882;0.3333333333333333;0.125;0.4571428571428571;0.23015406162464985;0;2;3;1;8;2.8;14;14;14;14;2;11.6;1;1;1;1;13;3.4;14;12;11;13;6;11.2;0.8089953271028038;0.026845637583892617;0.17777777777777778;0.04664723032069971;8;1377;290;37
0;Sequential;KNN_TFIDF_RandomUnder;readme_train.csv;readme_test.csv;0.06584882736206055;0.04773712158203125;0.0503087043762207;0.06463098526000977;0.0756540298461914;0.06083593368530273;0.0472867488861084;0.04813337326049805;0.031969308853149414;0.03786468505859375;0.04825854301452637;0.042702531814575194;0.41379310344827586;0.6206896551724138;0.5862068965517241;0.41379310344827586;0.7586206896551724;0.5586206896551724;0.4444444444444444;0.56;0.55;0.43478260869565216;0.7333333333333333;0.544512077294686;0.8571428571428571;1.0;0.7857142857142857;0.7142857142857143;0.7857142857142857;0.8285714285714286;0.5853658536585367;0.717948717948718;0.6470588235294117;0.5405405405405405;0.7586206896551724;0.6499069250664758;12;14;11;10;11;11.6;0;4;6;2;11;4.6;15;11;9;13;4;10.4;2;0;3;4;3;2.4;0.5280373831775701;0.039806996381182146;0.7333333333333333;0.07551487414187642;33;871;796;12
0;Sequential;RandomForestClassifier_Count_Vectors_RandomUnder;readme_train.csv;readme_test.csv;0.2852914333343506;0.25637245178222656;0.2099132537841797;0.2785811424255371;0.26439356803894043;0.2589103698730469;0.036609649658203125;0.03751564025878906;0.0555415153503418;0.036238908767700195;0.04020190238952637;0.04122152328491211;0.4827586206896552;0.6896551724137931;0.5862068965517241;0.5862068965517241;0.5862068965517241;0.5862068965517242;0.47058823529411764;0.631578947368421;0.5714285714285714;0.5555555555555556;0.5625;0.5583302619293331;0.5714285714285714;0.8571428571428571;0.5714285714285714;0.7142857142857143;0.6428571428571429;0.6714285714285714;0.5161290322580646;0.7272727272727273;0.5714285714285714;0.6250000000000001;0.6000000000000001;0.6079660661918728;8;12;8;10;9;9.4;6;8;9;7;8;7.6;9;7;6;8;7;7.4;6;2;6;4;5;4.6;0.780373831775701;0.06788511749347259;0.5777777777777777;0.12149532710280374;26;1310;357;19
0;Sequential;RandomForestClassifier_TFIDF_RandomUnder;readme_train.csv;readme_test.csv;0.2921309471130371;0.2661583423614502;0.30486297607421875;0.29915308952331543;0.27062487602233887;0.28658604621887207;0.03483438491821289;0.03993058204650879;0.04861140251159668;0.037668466567993164;0.039409637451171875;0.04009089469909668;0.4482758620689655;0.6896551724137931;0.3448275862068966;0.5517241379310345;0.5517241379310345;0.5172413793103449;0.4444444444444444;0.6190476190476191;0.3076923076923077;0.5294117647058824;0.5454545454545454;0.48921013626895976;0.5714285714285714;0.9285714285714286;0.2857142857142857;0.6428571428571429;0.42857142857142855;0.5714285714285714;0.5;0.742857142857143;0.29629629629629634;0.5806451612903226;0.4799999999999999;0.5199597200887524;8;13;4;9;6;8.0;5;7;6;7;10;7.0;10;8;9;8;5;8.0;6;1;10;5;8;6.0;0.7774532710280374;0.05789473684210526;0.4888888888888889;0.10352941176470587;22;1309;358;23
0;Sequential;Linear_SVC_Count_Vectors_RandomUnder;readme_train.csv;readme_test.csv;0.10948586463928223;0.2463092803955078;0.17354273796081543;0.22326397895812988;0.23306989669799805;0.19713435173034669;0.013957023620605469;0.01768636703491211;0.01593160629272461;0.01142430305480957;0.011020660400390625;0.014003992080688477;0.4482758620689655;0.5172413793103449;0.7241379310344828;0.5172413793103449;0.6551724137931034;0.5724137931034482;0.4444444444444444;0.5;0.8;0.5;0.625;0.5738888888888889;0.5714285714285714;0.8571428571428571;0.5714285714285714;0.5;0.7142857142857143;0.6428571428571429;0.5;0.631578947368421;0.6666666666666666;0.5;0.6666666666666666;0.5929824561403508;8;12;8;7;10;9.0;5;3;13;8;9;7.6;10;12;2;7;6;7.4;6;2;6;7;4;5.0;0.7371495327102804;0.05689277899343545;0.5777777777777777;0.10358565737051792;26;1236;431;19
0;Sequential;Linear_SVC_TFIDF_RandomUnder;readme_train.csv;readme_test.csv;0.10859870910644531;0.1019446849822998;0.10238409042358398;0.08968949317932129;0.09851264953613281;0.10022592544555664;0.014282941818237305;0.023386478424072266;0.02163863182067871;0.014699220657348633;0.01031637191772461;0.016864728927612305;0.4482758620689655;0.6551724137931034;0.6896551724137931;0.4827586206896552;0.8275862068965517;0.6206896551724138;0.46153846153846156;0.6;0.7272727272727273;0.4782608695652174;0.8461538461538461;0.6226451809060505;0.8571428571428571;0.8571428571428571;0.5714285714285714;0.7857142857142857;0.7857142857142857;0.7714285714285714;0.6;0.7058823529411764;0.64;0.5945945945945946;0.8148148148148148;0.6710583524701172;12;12;8;11;11;10.8;1;7;12;3;13;7.2;14;8;3;12;2;7.8;2;2;6;3;3;3.2;0.8452102803738317;0.09259259259259259;0.5555555555555556;0.15873015873015875;25;1422;245;20
0;Natural Language Processing;LR_Count_Vectors_RandomUnder;readme_train.csv;readme_test.csv;0.43434667587280273;0.4432229995727539;0.5134048461914062;0.5275671482086182;0.477860689163208;0.4792804718017578;0.049248695373535156;0.07387518882751465;0.04549765586853027;0.05794119834899902;0.04454398155212402;0.05422134399414062;0.8731343283582089;0.8880597014925373;0.8721804511278195;0.9097744360902256;0.7142857142857143;0.8514869262709011;0.863013698630137;0.9230769230769231;0.9193548387096774;0.9130434782608695;0.6597938144329897;0.8556565506221194;0.9;0.8571428571428571;0.8260869565217391;0.9130434782608695;0.927536231884058;0.8847619047619049;0.881118881118881;0.888888888888889;0.8702290076335878;0.9130434782608695;0.7710843373493975;0.864872918650325;54;59;59;58;31;52.2;63;60;57;63;64;61.4;7;10;12;6;5;8.0;10;5;5;6;33;11.8;0.8475467289719626;0.3969465648854962;0.8666666666666667;0.5445026178010471;1295;156;24;237
0;Natural Language Processing;LR_TFIDF_RandomUnder;readme_train.csv;readme_test.csv;0.3393561840057373;0.3396289348602295;0.21970272064208984;0.369659423828125;0.20672345161437988;0.2950141429901123;0.08416199684143066;0.09561395645141602;0.03363323211669922;0.048397064208984375;0.03470277786254883;0.05930180549621582;0.8955223880597015;0.9253731343283582;0.9172932330827067;0.9398496240601504;0.706766917293233;0.87696105936483;0.868421052631579;0.9166666666666666;0.9264705882352942;0.9295774647887324;0.65;0.8582271544644545;0.9428571428571428;0.9428571428571428;0.9130434782608695;0.9565217391304348;0.9420289855072463;0.9394616977225672;0.904109589041096;0.9295774647887323;0.9197080291970804;0.9428571428571428;0.7692307692307692;0.8930965990229641;54;58;59;59;29;51.8;66;66;63;66;65;65.2;4;4;6;3;4;4.2;10;6;5;5;35;12.2;0.8796728971962616;0.46153846153846156;0.8666666666666667;0.6023166023166022;1350;156;24;182
0;Natural Language Processing;SVC_Count_Vectors_RandomUnder;readme_train.csv;readme_test.csv;2.097661018371582;1.8394713401794434;1.7455768585205078;1.8468940258026123;2.1206016540527344;1.9300409793853759;0.10916924476623535;0.14551019668579102;0.17654895782470703;0.14317846298217773;0.11136984825134277;0.13715534210205077;0.8208955223880597;0.7238805970149254;0.7894736842105263;0.849624060150376;0.7293233082706767;0.7826394344069127;0.8709677419354839;0.851063829787234;0.9183673469387755;0.9298245614035088;0.7037037037037037;0.8547854367537411;0.7714285714285715;0.5714285714285714;0.6521739130434783;0.7681159420289855;0.8260869565217391;0.7178467908902693;0.8181818181818182;0.6837606837606837;0.7627118644067796;0.8412698412698412;0.76;0.7731848415238245;56;57;60;60;40;54.6;54;40;45;53;57;49.8;16;30;24;16;12;19.6;8;7;4;4;24;9.4;0.8825934579439252;0.46464646464646464;0.7666666666666667;0.5786163522012578;1373;138;42;159
0;Natural Language Processing;SVC_TFIDF_RandomUnder;readme_train.csv;readme_test.csv;2.404888391494751;2.257624864578247;2.4594204425811768;2.4770750999450684;2.2185826301574707;2.3635182857513426;0.13937854766845703;0.11339807510375977;0.12415862083435059;0.11449122428894043;0.16392755508422852;0.13107080459594728;0.8955223880597015;0.9477611940298507;0.9172932330827067;0.9323308270676691;0.7142857142857143;0.8814386713051284;0.868421052631579;0.9315068493150684;0.9264705882352942;0.9285714285714286;0.6534653465346535;0.8616870530576047;0.9428571428571428;0.9714285714285714;0.9130434782608695;0.9420289855072463;0.9565217391304348;0.9451759834368529;0.904109589041096;0.9510489510489512;0.9197080291970804;0.935251798561151;0.7764705882352941;0.8973177912167145;54;59;59;59;29;52.0;66;68;63;65;66;65.6;4;2;6;4;3;3.8;10;5;5;5;35;12.0;0.8674065420560748;0.43454038997214484;0.8666666666666667;0.5788497217068646;1329;156;24;203
0;Natural Language Processing;KNN_Count_Vectors_RandomUnder;readme_train.csv;readme_test.csv;0.31877684593200684;0.3127927780151367;0.34476494789123535;0.3227074146270752;0.2844090461730957;0.31669020652770996;0.12057018280029297;0.14773225784301758;0.12172150611877441;0.08143091201782227;0.09371709823608398;0.11303439140319824;0.582089552238806;0.7611940298507462;0.8120300751879699;0.6466165413533834;0.5789473684210527;0.6761755134103915;0.559322033898305;0.7065217391304348;0.782051282051282;0.6057692307692307;0.5555555555555556;0.6418439682809616;0.9428571428571428;0.9285714285714286;0.8840579710144928;0.9130434782608695;0.9420289855072463;0.922111801242236;0.7021276595744681;0.8024691358024691;0.8299319727891156;0.7283236994219653;0.6989247311827957;0.7523554397541627;12;37;47;23;12;26.2;66;65;61;63;65;64.0;4;5;8;6;4;5.4;52;27;17;41;52;37.8;0.508177570093458;0.1663306451612903;0.9166666666666666;0.28156996587030714;705;165;15;827
0;Natural Language Processing;KNN_TFIDF_RandomUnder;readme_train.csv;readme_test.csv;0.30881643295288086;0.30387282371520996;0.3229403495788574;0.18993353843688965;0.1870410442352295;0.26252083778381347;0.06310367584228516;0.06382584571838379;0.08231544494628906;0.0476071834564209;0.06605839729309082;0.06458210945129395;0.7910447761194029;0.8656716417910447;0.9398496240601504;0.924812030075188;0.6917293233082706;0.8426214790708112;0.723404255319149;0.825;0.9420289855072463;0.8933333333333333;0.6372549019607843;0.8042042952241026;0.9714285714285714;0.9428571428571428;0.9420289855072463;0.9710144927536232;0.9420289855072463;0.9538716356107659;0.8292682926829269;0.88;0.9420289855072463;0.9305555555555556;0.7602339181286549;0.8684173503748769;38;50;60;56;27;46.2;68;66;65;67;65;66.2;2;4;4;2;4;3.2;26;14;4;8;37;17.8;0.7797897196261683;0.31166347992351817;0.9055555555555556;0.46372688477951635;1172;163;17;360
0;Natural Language Processing;RandomForestClassifier_Count_Vectors_RandomUnder;readme_train.csv;readme_test.csv;0.6583123207092285;0.5109467506408691;0.5731592178344727;0.676006555557251;0.6840713024139404;0.6204992294311523;0.07761740684509277;0.12971878051757812;0.10823440551757812;0.07128500938415527;0.05510902404785156;0.08839292526245117;0.835820895522388;0.9253731343283582;0.8646616541353384;0.9398496240601504;0.7368421052631579;0.8605094826618785;0.8076923076923077;0.9166666666666666;0.84;0.9420289855072463;0.673469387755102;0.8359714695242644;0.9;0.9428571428571428;0.9130434782608695;0.9420289855072463;0.9565217391304348;0.9308902691511387;0.8513513513513514;0.9295774647887323;0.8749999999999999;0.9420289855072463;0.7904191616766467;0.8776753926647952;49;58;52;60;32;50.2;63;66;63;65;66;64.6;7;4;6;4;3;4.8;15;6;12;4;32;13.8;0.8679906542056075;0.43575418994413406;0.8666666666666667;0.5799256505576208;1330;156;24;202
0;Natural Language Processing;RandomForestClassifier_TFIDF_RandomUnder;readme_train.csv;readme_test.csv;0.6337234973907471;0.6469888687133789;0.6579830646514893;0.6511588096618652;0.4609827995300293;0.610167407989502;0.06895136833190918;0.0827341079711914;0.06206512451171875;0.10378766059875488;0.09131741523742676;0.0817711353302002;0.8582089552238806;0.9104477611940298;0.8872180451127819;0.9323308270676691;0.7293233082706767;0.8635057793738076;0.8227848101265823;0.9393939393939394;0.8857142857142857;0.96875;0.6774193548387096;0.8588124780147034;0.9285714285714286;0.8857142857142857;0.8985507246376812;0.8985507246376812;0.9130434782608695;0.9048861283643893;0.87248322147651;0.9117647058823529;0.8920863309352518;0.9323308270676692;0.7777777777777777;0.8772885726279125;50;60;56;62;34;52.4;65;62;62;62;63;62.8;5;8;7;7;6;6.6;14;4;8;2;30;11.6;0.8674065420560748;0.43380281690140843;0.8555555555555555;0.5757009345794392;1331;154;26;201
0;Natural Language Processing;Linear_SVC_Count_Vectors_RandomUnder;readme_train.csv;readme_test.csv;0.42129087448120117;0.4250197410583496;0.47544217109680176;0.3173038959503174;0.4041609764099121;0.4086435317993164;0.06472563743591309;0.06604337692260742;0.04280900955200195;0.03279542922973633;0.05498504638671875;0.052271699905395506;0.8283582089552238;0.8880597014925373;0.8872180451127819;0.9172932330827067;0.7593984962406015;0.8560655369767701;0.8309859154929577;0.9365079365079365;0.95;0.9142857142857143;0.7078651685393258;0.8679289469651869;0.8428571428571429;0.8428571428571429;0.8260869565217391;0.927536231884058;0.9130434782608695;0.8704761904761904;0.8368794326241136;0.887218045112782;0.8837209302325583;0.920863309352518;0.7974683544303798;0.8652300143504703;52;60;61;58;38;53.8;59;59;57;64;63;60.4;11;11;12;5;6;9.0;12;4;3;6;26;10.2;0.844626168224299;0.3880208333333333;0.8277777777777777;0.5283687943262412;1297;149;31;235
0;Natural Language Processing;Linear_SVC_TFIDF_RandomUnder;readme_train.csv;readme_test.csv;0.37080883979797363;0.3618049621582031;0.33789658546447754;0.39842915534973145;0.32635021209716797;0.35905795097351073;0.05423569679260254;0.0504605770111084;0.058962106704711914;0.04171180725097656;0.059662580490112305;0.053006553649902345;0.8955223880597015;0.9328358208955224;0.9097744360902256;0.924812030075188;0.7218045112781954;0.8769498372797665;0.9;0.9552238805970149;0.9384615384615385;0.9402985074626866;0.6666666666666666;0.8801301186375813;0.9;0.9142857142857143;0.8840579710144928;0.9130434782608695;0.927536231884058;0.9077846790890269;0.9;0.9343065693430657;0.9104477611940298;0.9264705882352942;0.7757575757575758;0.8893964989059931;57;61;60;60;32;54.0;63;64;61;63;64;63.0;7;6;8;6;5;6.4;7;3;4;4;32;10.0;0.8679906542056075;0.43575418994413406;0.8666666666666667;0.5799256505576208;1330;156;24;202
0;Audio;LR_Count_Vectors_RandomUnder;readme_train.csv;readme_test.csv;0.07831525802612305;0.07898926734924316;0.06623291969299316;0.06104588508605957;0.06446242332458496;0.06980915069580078;0.01294565200805664;0.026402711868286133;0.005761384963989258;0.006958961486816406;0.010657548904418945;0.012545251846313476;0.8823529411764706;0.8235294117647058;0.7647058823529411;0.8235294117647058;0.7058823529411765;0.8;0.8;0.8571428571428571;0.8333333333333334;0.8571428571428571;0.8;0.8295238095238096;1.0;0.75;0.625;0.75;0.5;0.725;0.888888888888889;0.7999999999999999;0.7142857142857143;0.7999999999999999;0.6153846153846154;0.7637118437118436;7;8;8;8;8;7.8;8;6;5;6;4;5.8;0;2;3;2;4;2.2;2;1;1;1;1;1.2;0.8504672897196262;0.07692307692307693;0.84;0.14093959731543623;1435;21;4;252
0;Audio;LR_TFIDF_RandomUnder;readme_train.csv;readme_test.csv;0.032158613204956055;0.03143501281738281;0.06051492691040039;0.05517315864562988;0.04967546463012695;0.04579143524169922;0.006696224212646484;0.006434440612792969;0.011707782745361328;0.014208316802978516;0.015199899673461914;0.010849332809448243;0.8823529411764706;0.9411764705882353;0.8823529411764706;0.8235294117647058;0.7647058823529411;0.8588235294117647;0.8;1.0;0.8;1.0;0.8333333333333334;0.8866666666666667;1.0;0.875;1.0;0.625;0.625;0.825;0.888888888888889;0.9333333333333333;0.888888888888889;0.7692307692307693;0.7142857142857143;0.8389255189255189;7;9;7;9;8;8.0;8;7;8;5;5;6.6;0;1;0;3;3;1.4;2;0;2;0;1;1.0;0.9410046728971962;0.1724137931034483;0.8;0.28368794326241137;1591;20;5;96
0;Audio;SVC_Count_Vectors_RandomUnder;readme_train.csv;readme_test.csv;0.06423735618591309;0.06556439399719238;0.0595555305480957;0.06278467178344727;0.056984663009643555;0.0618253231048584;0.012212991714477539;0.012305259704589844;0.006433725357055664;0.012761831283569336;0.012275457382202148;0.011197853088378906;0.8235294117647058;0.7647058823529411;0.5294117647058824;0.8235294117647058;0.7647058823529411;0.7411764705882353;0.8571428571428571;0.8333333333333334;0.5;0.8571428571428571;0.8333333333333334;0.7761904761904763;0.75;0.625;0.125;0.75;0.625;0.575;0.7999999999999999;0.7142857142857143;0.2;0.7999999999999999;0.7142857142857143;0.6457142857142857;8;8;8;8;8;8.0;6;5;1;6;5;4.6;2;3;7;2;3;3.4;1;1;1;1;1;1.0;0.7132009345794392;0.02834008097165992;0.56;0.05394990366088631;1207;14;11;480
