;PipelineID;Pipeline;Train dataset;Validation dataset;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_acc_cv1;test_acc_cv2;test_acc_cv3;test_acc_cv4;test_acc_cv5;test_acc_mean;test_prec_cv1;test_prec_cv2;test_prec_cv3;test_prec_cv4;test_prec_cv5;test_prec_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;acc_overall;prec_overall;recall_overall;f1-score_overall;tp_overall;tn_overall;fp_overall;fn_overall
0;1_Audio;LR_Count_Vectors_RandomUnder;abstracts.csv;somef_data.csv;0.10530304908752441;0.10383248329162598;0.12074494361877441;0.08064579963684082;0.08443140983581543;0.0989915370941162;0.0040569305419921875;0.004014015197753906;0.0023097991943359375;0.0024831295013427734;0.002223968505859375;0.003017568588256836;1.0;0.991304347826087;0.9649122807017544;0.9824561403508771;1.0;0.9877345537757437;1.0;0.9830508474576272;0.9649122807017544;0.9661016949152542;1.0;0.9828129646149272;1.0;1.0;0.9649122807017544;1.0;1.0;0.9929824561403509;1.0;0.9914529914529915;0.9649122807017544;0.9827586206896551;1.0;0.9878247785688803;57;58;55;57;57;56.8;58;56;55;55;57;56.2;0;1;2;2;0;1.0;0;0;2;0;0;0.4;0.5317460317460317;0.5163934426229508;1.0;0.6810810810810811;126;8;118;0
0;1_Audio;LR_TFIDF_RandomUnder;abstracts.csv;somef_data.csv;0.051035165786743164;0.029612302780151367;0.028428077697753906;0.032898902893066406;0.020371437072753906;0.03246917724609375;0.002176046371459961;0.0035288333892822266;0.003855466842651367;0.0029752254486083984;0.0026764869689941406;0.0030424118041992186;0.9739130434782609;0.9826086956521739;0.9736842105263158;0.9736842105263158;0.9824561403508771;0.9772692601067888;0.95;0.9666666666666667;0.95;0.95;0.9661016949152542;0.9565536723163841;1.0;1.0;1.0;1.0;1.0;1.0;0.9743589743589743;0.983050847457627;0.9743589743589743;0.9743589743589743;0.9827586206896551;0.9777772782448411;57;58;57;57;57;57.2;55;55;54;54;55;54.6;3;2;3;3;2;2.6;0;0;0;0;0;0.0;0.5436507936507936;0.5230125523012552;0.9920634920634921;0.684931506849315;125;12;114;1
0;1_Audio;SVC_Count_Vectors_RandomUnder;abstracts.csv;somef_data.csv;0.0356595516204834;0.045284271240234375;0.033241987228393555;0.025524616241455078;0.042997121810913086;0.0365415096282959;0.010143518447875977;0.009515523910522461;0.011971235275268555;0.009619951248168945;0.008564949035644531;0.009963035583496094;0.9826086956521739;0.991304347826087;0.9736842105263158;0.9736842105263158;0.9912280701754386;0.9825019069412664;0.9661016949152542;0.9830508474576272;0.95;0.95;0.9827586206896551;0.9663822326125073;1.0;1.0;1.0;1.0;1.0;1.0;0.9827586206896551;0.9914529914529915;0.9743589743589743;0.9743589743589743;0.9913043478260869;0.9828467817373365;57;58;57;57;57;57.2;56;56;54;54;56;55.2;2;1;3;3;1;2.0;0;0;0;0;0;0.0;0.5119047619047619;0.5060240963855421;1.0;0.6719999999999999;126;3;123;0
0;1_Audio;SVC_TFIDF_RandomUnder;abstracts.csv;somef_data.csv;0.02315521240234375;0.034313201904296875;0.035837650299072266;0.03563237190246582;0.03482365608215332;0.03275241851806641;0.00910329818725586;0.012352943420410156;0.013254642486572266;0.012095451354980469;0.013235092163085938;0.012008285522460938;0.991304347826087;0.991304347826087;0.9736842105263158;0.9824561403508771;1.0;0.9877498093058733;0.9827586206896551;0.9830508474576272;0.95;0.9661016949152542;1.0;0.9763822326125073;1.0;1.0;1.0;1.0;1.0;1.0;0.9913043478260869;0.9914529914529915;0.9743589743589743;0.9827586206896551;1.0;0.9879749868655416;57;58;57;57;57;57.2;57;56;54;55;57;55.8;1;1;3;2;0;1.4;0;0;0;0;0;0.0;0.503968253968254;0.50199203187251;1.0;0.6684350132625995;126;1;125;0
0;1_Audio;KNN_Count_Vectors_RandomUnder;abstracts.csv;somef_data.csv;0.0009829998016357422;0.0008363723754882812;0.0009696483612060547;0.0009908676147460938;0.0008254051208496094;0.0009210586547851562;0.021233797073364258;0.015177726745605469;0.02251434326171875;0.01693105697631836;0.015247583389282227;0.018220901489257812;0.991304347826087;0.9652173913043478;0.9649122807017544;0.9649122807017544;0.9912280701754386;0.9755148741418764;0.9827586206896551;0.9821428571428571;0.9491525423728814;0.9649122807017544;1.0;0.9757932601814296;1.0;0.9482758620689655;0.9824561403508771;0.9649122807017544;0.9824561403508771;0.9756200846944949;0.9913043478260869;0.9649122807017544;0.9655172413793103;0.9649122807017544;0.9911504424778761;0.9755593186173563;57;55;56;55;56;55.8;57;56;54;55;57;55.8;1;1;3;2;0;1.4;0;3;1;2;1;1.4;0.5;0.5;0.9682539682539683;0.6594594594594594;122;4;122;4
0;1_Audio;KNN_TFIDF_RandomUnder;abstracts.csv;somef_data.csv;0.0009508132934570312;0.0011134147644042969;0.0011696815490722656;0.000972747802734375;0.0010223388671875;0.0010457992553710937;0.013988494873046875;0.012660503387451172;0.012141942977905273;0.011071443557739258;0.01256871223449707;0.01248621940612793;0.9565217391304348;0.9739130434782609;0.9824561403508771;0.9912280701754386;0.9649122807017544;0.973806254767353;1.0;1.0;0.9824561403508771;0.9827586206896551;1.0;0.9930429522081065;0.9122807017543859;0.9482758620689655;0.9824561403508771;1.0;0.9298245614035088;0.9545674531155475;0.9541284403669724;0.9734513274336283;0.9824561403508771;0.9913043478260869;0.9636363636363636;0.9729953239227858;52;55;56;57;53;54.6;58;57;56;56;57;56.8;0;0;1;1;0;0.4;5;3;1;0;4;2.6;0.626984126984127;0.6194029850746269;0.6587301587301587;0.6384615384615385;83;75;51;43
0;1_Audio;RandomForestClassifier_Count_Vectors_RandomUnder;abstracts.csv;somef_data.csv;0.17663168907165527;0.17438554763793945;0.17522835731506348;0.18735146522521973;0.18839645385742188;0.18039870262145996;0.02091836929321289;0.021172761917114258;0.022329092025756836;0.015949010848999023;0.013686895370483398;0.01881122589111328;0.991304347826087;0.991304347826087;0.9649122807017544;0.9824561403508771;1.0;0.985995423340961;0.9827586206896551;0.9830508474576272;0.9491525423728814;0.9661016949152542;1.0;0.9762127410870836;1.0;1.0;0.9824561403508771;1.0;1.0;0.9964912280701753;0.9913043478260869;0.9914529914529915;0.9655172413793103;0.9827586206896551;1.0;0.9862066402696087;57;58;56;57;57;57.0;57;56;54;55;57;55.8;1;1;3;2;0;1.4;0;0;1;0;0;0.2;0.5119047619047619;0.5060240963855421;1.0;0.6719999999999999;126;3;123;0
0;1_Audio;RandomForestClassifier_TFIDF_RandomUnder;abstracts.csv;somef_data.csv;0.17532658576965332;0.18272161483764648;0.1851651668548584;0.16845464706420898;0.1838817596435547;0.17910995483398437;0.021594524383544922;0.0173187255859375;0.015105247497558594;0.02248668670654297;0.022853851318359375;0.01987180709838867;0.991304347826087;0.991304347826087;0.9736842105263158;0.9824561403508771;1.0;0.9877498093058733;0.9827586206896551;0.9830508474576272;0.95;0.9661016949152542;1.0;0.9763822326125073;1.0;1.0;1.0;1.0;1.0;1.0;0.9913043478260869;0.9914529914529915;0.9743589743589743;0.9827586206896551;1.0;0.9879749868655416;57;58;57;57;57;57.2;57;56;54;55;57;55.8;1;1;3;2;0;1.4;0;0;0;0;0;0.0;0.5119047619047619;0.5060240963855421;1.0;0.6719999999999999;126;3;123;0
0;1_Audio;SGDClassifier_Count_Vectors_RandomUnder;abstracts.csv;somef_data.csv;0.005600929260253906;0.0045816898345947266;0.005144596099853516;0.004537105560302734;0.00638127326965332;0.005249118804931641;0.0037262439727783203;0.002096414566040039;0.002138376235961914;0.0020842552185058594;0.002557516098022461;0.0025205612182617188;0.9652173913043478;0.9826086956521739;0.9736842105263158;0.9824561403508771;1.0;0.9807932875667429;0.9649122807017544;0.9827586206896551;0.9821428571428571;0.9661016949152542;1.0;0.9791830906899042;0.9649122807017544;0.9827586206896551;0.9649122807017544;1.0;1.0;0.9825166364186326;0.9649122807017544;0.9827586206896551;0.9734513274336283;0.9827586206896551;1.0;0.9807761699029385;55;57;55;57;57;56.2;56;56;56;55;57;56.0;2;1;1;2;0;1.2;2;1;2;0;0;1.0;0.6626984126984127;0.6198830409356725;0.8412698412698413;0.7138047138047138;106;61;65;20
0;1_Audio;SGDClassifier_TFIDF_RandomUnder;abstracts.csv;somef_data.csv;0.004976987838745117;0.005000591278076172;0.0068666934967041016;0.004957914352416992;0.00733184814453125;0.005826807022094727;0.0025811195373535156;0.0025873184204101562;0.003759622573852539;0.0026869773864746094;0.0036487579345703125;0.0030527591705322267;1.0;0.991304347826087;0.9736842105263158;0.9824561403508771;0.9912280701754386;0.9877345537757437;1.0;0.9830508474576272;0.95;0.9661016949152542;0.9827586206896551;0.9763822326125073;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9914529914529915;0.9743589743589743;0.9827586206896551;0.9913043478260869;0.9879749868655416;57;58;57;57;57;57.2;58;56;54;55;56;55.8;0;1;3;2;1;1.4;0;0;0;0;0;0.0;0.5793650793650794;0.545045045045045;0.9603174603174603;0.6954022988505746;121;25;101;5
