;PipelineID;Pipeline;Train dataset;Validation dataset;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_acc_cv1;test_acc_cv2;test_acc_cv3;test_acc_cv4;test_acc_cv5;test_acc_mean;test_prec_cv1;test_prec_cv2;test_prec_cv3;test_prec_cv4;test_prec_cv5;test_prec_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;acc_overall;prec_overall;recall_overall;f1-score_overall;tp_overall;tn_overall;fp_overall;fn_overall
0;1_General;LR_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;7.85333514213562;5.943732261657715;6.892549753189087;6.847382307052612;7.851715087890625;7.0777429103851315;0.006140232086181641;0.0063512325286865234;0.01031184196472168;0.007132530212402344;0.003536224365234375;0.006694412231445313;0.4967811158798283;0.5048335123523093;0.5295381310418904;0.49301825993555315;0.49624060150375937;0.5040823241426682;0.49645390070921985;0.5046082949308756;0.530751708428246;0.4934782608695652;0.49640287769784175;0.5043390085271497;0.45064377682403434;0.47096774193548385;0.5010752688172043;0.4871244635193133;0.44420600858369097;0.47080345193594536;0.47244094488188976;0.4872080088987764;0.5154867256637168;0.490280777537797;0.46885617214043035;0.4868545258245221;210;219;233;227;207;219.2;253;251;260;232;255;250.2;213;215;206;233;210;215.4;256;246;232;239;259;246.4;0.5120274914089347;0.5134099616858238;0.46048109965635736;0.48550724637681153;268;328;254;314
0;1_General;LR_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.11282777786254883;0.10741496086120605;0.09044122695922852;0.09262442588806152;0.09620928764343262;0.0999035358428955;0.003222227096557617;0.0027654170989990234;0.002852916717529297;0.004070758819580078;0.00392460823059082;0.003367185592651367;0.5579399141630901;0.5778732545649838;0.569280343716434;0.5821697099892589;0.5520945220193341;0.5678715488906201;0.5625;0.5841121495327103;0.5744186046511628;0.5849889624724062;0.5565819861431871;0.5725203405598933;0.5214592274678111;0.5376344086021505;0.5311827956989247;0.5686695278969958;0.5171673819742489;0.5352226683280261;0.5412026726057906;0.5599104143337066;0.5519553072625699;0.5767138193688791;0.5361512791991102;0.5531866985540114;243;250;247;265;241;249.2;277;288;283;277;273;279.6;189;178;183;188;192;186.0;223;215;218;201;225;216.4;0.5738831615120275;0.5843137254901961;0.5120274914089347;0.5457875457875457;298;370;212;284
0;1_General;SVC_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;5.545387029647827;6.364047050476074;5.019714117050171;4.9712629318237305;6.4036054611206055;5.660803318023682;1.1923437118530273;1.1050174236297607;1.221357822418213;1.2184772491455078;1.0859296321868896;1.1646251678466797;0.5665236051502146;0.5714285714285714;0.5639097744360902;0.5553168635875403;0.5392051557465092;0.559276794069785;0.6107142857142858;0.6513761467889908;0.6334841628959276;0.6;0.5807860262008734;0.6152721243200154;0.3669527896995708;0.3053763440860215;0.3010752688172043;0.33476394849785407;0.2854077253218884;0.3187152152845078;0.4584450402144772;0.4158125915080527;0.4081632653061225;0.4297520661157025;0.38273381294964026;0.41898135521879903;171;142;140;156;133;148.4;357;390;385;361;369;372.4;109;76;81;104;96;93.2;295;323;325;310;333;317.2;0.5541237113402062;0.6235294117647059;0.27319587628865977;0.37992831541218636;159;486;96;423
0;1_General;SVC_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;4.12686562538147;5.3592095375061035;4.148135185241699;4.231666088104248;5.4292662143707275;4.65902853012085;1.0083231925964355;0.8962283134460449;1.0053305625915527;1.0213873386383057;0.893465518951416;0.964946985244751;0.5343347639484979;0.5585392051557465;0.5467239527389903;0.5682062298603652;0.527389903329753;0.5470388110066706;0.5404040404040404;0.5699481865284974;0.5513126491646778;0.5758293838862559;0.5306603773584906;0.5536309274683925;0.4592274678111588;0.4731182795698925;0.4967741935483871;0.5214592274678111;0.48283261802575106;0.4866823572846001;0.4965197215777263;0.5170387779083432;0.5226244343891402;0.5472972972972973;0.50561797752809;0.5178196417401194;214;220;231;243;225;226.6;284;300;278;286;266;282.8;182;166;188;179;199;182.8;252;245;234;223;241;239.0;0.5257731958762887;0.5308641975308642;0.44329896907216493;0.4831460674157303;258;354;228;324
0;1_General;KNN_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.0025298595428466797;0.002634286880493164;0.003139972686767578;0.0031824111938476562;0.00494837760925293;0.0032869815826416016;0.15158820152282715;0.17543840408325195;0.1878974437713623;0.15184950828552246;0.1920943260192871;0.1717735767364502;0.490343347639485;0.48442534908700324;0.49301825993555315;0.47046186895810954;0.46509129967776586;0.4806680250595834;0.486404833836858;0.4788732394366197;0.4913151364764268;0.4696629213483146;0.45789473684210524;0.4768301735880648;0.34549356223175964;0.3655913978494624;0.4258064516129032;0.44849785407725323;0.37339055793991416;0.39175596474225854;0.40401505646173147;0.41463414634146345;0.456221198156682;0.4588364434687157;0.41134751773049644;0.4290108724318178;161;170;198;209;174;182.4;296;281;261;229;259;265.2;170;185;205;236;206;200.4;305;295;267;257;292;283.2;0.48281786941580757;0.4790794979079498;0.39347079037800686;0.4320754716981132;229;333;249;353
0;1_General;KNN_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.0029976367950439453;0.002980947494506836;0.0024695396423339844;0.002919912338256836;0.003002643585205078;0.002874135971069336;0.17354559898376465;0.22157812118530273;0.22377252578735352;0.22424054145812988;0.19281387329101562;0.2071901321411133;0.5064377682403434;0.4865735767991407;0.4747583243823845;0.4983888292158969;0.4790547798066595;0.48904265568888505;0.5142857142857142;0.47840531561461797;0.4548872180451128;0.4986737400530504;0.46360153256704983;0.48197070411310905;0.2317596566523605;0.3096774193548387;0.26021505376344084;0.4034334763948498;0.259656652360515;0.29294845170520095;0.3195266272189349;0.37597911227154046;0.33105335157318744;0.4460260972716488;0.3328748280605227;0.36109200327916685;108;144;121;188;121;136.4;364;309;321;276;325;319.0;102;157;145;189;140;146.6;358;321;344;278;345;329.2;0.4690721649484536;0.44375;0.24398625429553264;0.31485587583148555;142;404;178;440
0;1_General;RandomForestClassifier_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;46.599807024002075;46.60050892829895;46.40586280822754;46.61964464187622;45.979941606521606;46.44115300178528;0.0432887077331543;0.042240142822265625;0.12439894676208496;0.03330421447753906;0.19848155975341797;0.08834271430969239;0.4957081545064378;0.5016111707841031;0.5445757250268528;0.4908700322234157;0.5112781954887218;0.5088086556059063;0.495;0.5011990407673861;0.5473441108545035;0.49099099099099097;0.5139949109414759;0.5097058107108713;0.4248927038626609;0.44946236559139785;0.5096774193548387;0.4678111587982833;0.4334763948497854;0.45706400849139317;0.4572748267898383;0.47392290249433106;0.5278396436525612;0.4791208791208791;0.470314318975553;0.48169451420663256;198;209;237;218;202;212.8;264;258;270;239;274;261.0;202;208;196;226;191;204.6;268;256;228;248;264;252.8;0.5051546391752577;0.5059288537549407;0.43986254295532645;0.47058823529411764;256;332;250;326
0;1_General;RandomForestClassifier_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;18.235164165496826;18.111296892166138;18.203044891357422;18.213722467422485;18.093311309814453;18.171307945251463;0.03610873222351074;0.09904956817626953;0.05205059051513672;0.05216717720031738;0.12379837036132812;0.0726348876953125;0.5203862660944206;0.5499462943071965;0.5284640171858217;0.5381310418904404;0.5220193340494093;0.5317893907054577;0.5238095238095238;0.5532407407407407;0.5298165137614679;0.5394736842105263;0.5240274599542334;0.5340735844952984;0.44849785407725323;0.513978494623656;0.4967741935483871;0.5278969957081545;0.49141630901287553;0.4957127693940652;0.48323699421965327;0.5328874024526199;0.5127635960044394;0.5336225596529284;0.5071982281284607;0.5139417560916204;209;239;231;246;229;230.8;276;273;261;255;257;264.4;190;193;205;210;208;201.2;257;226;234;220;237;234.8;0.5120274914089347;0.5141700404858299;0.436426116838488;0.4721189591078067;254;342;240;328
0;1_General;SGDClassifier_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.03398442268371582;0.03676939010620117;0.04655885696411133;0.04998779296875;0.03612494468688965;0.040685081481933595;0.0054492950439453125;0.0050334930419921875;0.0046596527099609375;0.002919435501098633;0.004724264144897461;0.004557228088378907;0.5032188841201717;0.5424274973147154;0.5445757250268528;0.5102040816326531;0.5102040816326531;0.5221260539454092;0.5034802784222738;0.5486284289276808;0.539047619047619;0.5108695652173914;0.5112612612612613;0.5226574305752453;0.4656652360515021;0.4731182795698925;0.6086021505376344;0.5042918454935622;0.4871244635193133;0.5077603950343809;0.48383500557413606;0.5080831408775982;0.5717171717171717;0.5075593952483801;0.4989010989010989;0.5140191624636771;217;220;283;235;227;236.4;252;285;224;240;248;249.8;214;181;242;225;217;215.8;249;245;182;231;239;229.2;0.5309278350515464;0.5447761194029851;0.37628865979381443;0.4451219512195122;219;399;183;363
0;1_General;SGDClassifier_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.027093172073364258;0.03188586235046387;0.0343472957611084;0.028060197830200195;0.04028654098510742;0.03233461380004883;0.0052928924560546875;0.004956960678100586;0.006039619445800781;0.0050830841064453125;0.0030694007873535156;0.004888391494750977;0.5150214592274678;0.556390977443609;0.5241675617615468;0.527389903329753;0.5209452201933404;0.5287830243911434;0.5166666666666667;0.5588235294117647;0.5239130434782608;0.5238970588235294;0.5201612903225806;0.5286923177405605;0.4656652360515021;0.5311827956989247;0.5182795698924731;0.6115879828326181;0.5536480686695279;0.5360727306290092;0.4898419864559819;0.5446527012127894;0.5210810810810811;0.5643564356435644;0.5363825363825364;0.5312629481551906;217;247;241;285;258;249.6;263;271;247;206;227;242.8;203;195;219;259;238;222.8;249;218;224;181;208;216.0;0.5137457044673539;0.5153846153846153;0.46048109965635736;0.4863883847549909;268;330;252;314
