;PipelineID;Pipeline;Train dataset;Validation dataset;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_acc_cv1;test_acc_cv2;test_acc_cv3;test_acc_cv4;test_acc_cv5;test_acc_mean;test_prec_cv1;test_prec_cv2;test_prec_cv3;test_prec_cv4;test_prec_cv5;test_prec_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;acc_overall;prec_overall;recall_overall;f1-score_overall;tp_overall;tn_overall;fp_overall;fn_overall
0;1_Audio;LR_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.3437082767486572;0.3651399612426758;0.36285400390625;0.3210422992706299;0.3659501075744629;0.35173892974853516;0.007269144058227539;0.004071474075317383;0.0022573471069335938;0.004742860794067383;0.0029380321502685547;0.004255771636962891;0.6585365853658537;0.6585365853658537;0.7;0.75;0.725;0.6984146341463415;0.65;0.6842105263157895;0.7222222222222222;0.7083333333333334;0.6956521739130435;0.6920836511568778;0.65;0.6190476190476191;0.65;0.85;0.8;0.7138095238095238;0.65;0.6500000000000001;0.6842105263157895;0.7727272727272727;0.7441860465116279;0.7002247691109381;13;13;13;17;16;14.4;14;14;15;13;13;13.8;7;6;5;7;7;6.4;7;8;7;3;4;5.8;0.72;0.7037037037037037;0.76;0.7307692307692308;19;17;8;6
0;1_Audio;LR_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.044708251953125;0.04253673553466797;0.03546714782714844;0.033564090728759766;0.027869701385498047;0.03682918548583984;0.0031614303588867188;0.0026111602783203125;0.002794981002807617;0.006701946258544922;0.0047953128814697266;0.004012966156005859;0.6341463414634146;0.9024390243902439;0.775;0.825;0.85;0.7973170731707317;0.631578947368421;0.84;0.7894736842105263;0.7407407407407407;0.7916666666666666;0.758692007797271;0.6;1.0;0.75;1.0;0.95;0.86;0.6153846153846154;0.9130434782608696;0.7692307692307692;0.851063829787234;0.8636363636363635;0.8024718112599704;12;21;15;20;19;17.4;14;16;16;13;15;14.8;7;4;4;7;5;5.4;8;0;5;0;1;2.8;0.76;0.7241379310344828;0.84;0.7777777777777777;21;17;8;4
0;1_Audio;SVC_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.014444351196289062;0.017450809478759766;0.02552962303161621;0.015812158584594727;0.016002655029296875;0.01784791946411133;0.01200723648071289;0.009622812271118164;0.007808685302734375;0.005888938903808594;0.00674748420715332;0.008415031433105468;0.5609756097560976;0.7560975609756098;0.7;0.725;0.525;0.6534146341463415;0.5384615384615384;0.8235294117647058;0.6428571428571429;0.7368421052631579;0.5714285714285714;0.6626237539550234;0.7;0.6666666666666666;0.9;0.7;0.2;0.6333333333333334;0.608695652173913;0.7368421052631577;0.75;0.717948717948718;0.29629629629629634;0.621956554336417;14;14;18;14;4;12.8;9;17;10;15;17;13.6;12;3;10;5;3;6.6;6;7;2;6;16;7.4;0.62;0.5833333333333334;0.84;0.6885245901639344;21;10;15;4
0;1_Audio;SVC_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.01445913314819336;0.014103889465332031;0.015398740768432617;0.013540983200073242;0.016319751739501953;0.014764499664306641;0.007150411605834961;0.007158994674682617;0.008702516555786133;0.0076596736907958984;0.005176544189453125;0.0071696281433105465;0.6585365853658537;0.8536585365853658;0.775;0.8;0.85;0.7874390243902438;0.6363636363636364;0.7777777777777778;0.7619047619047619;0.7142857142857143;0.7916666666666666;0.7363997113997114;0.7;1.0;0.8;1.0;0.95;0.89;0.6666666666666666;0.8750000000000001;0.7804878048780488;0.8333333333333333;0.8636363636363635;0.8038248337028824;14;21;16;20;19;18.0;13;14;15;12;15;13.8;8;6;5;8;5;6.4;6;0;4;0;1;2.2;0.74;0.6875;0.88;0.7719298245614036;22;15;10;3
0;1_Audio;KNN_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.0015230178833007812;0.0016741752624511719;0.001604318618774414;0.0013501644134521484;0.0010478496551513672;0.0014399051666259765;0.026861190795898438;0.027648210525512695;0.025535106658935547;0.023240089416503906;0.021068334579467773;0.024870586395263673;0.5853658536585366;0.5609756097560976;0.5;0.65;0.675;0.5942682926829269;0.56;0.56;0.5;0.6153846153846154;0.6296296296296297;0.573002849002849;0.7;0.6666666666666666;0.7;0.8;0.85;0.7433333333333333;0.6222222222222222;0.6086956521739131;0.5833333333333334;0.6956521739130435;0.723404255319149;0.6466615273923322;14;14;14;16;17;15.0;10;9;6;10;10;9.0;11;11;14;10;10;11.2;6;7;6;4;3;5.2;0.6;0.5757575757575758;0.76;0.6551724137931034;19;11;14;6
0;1_Audio;KNN_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.0010232925415039062;0.0014996528625488281;0.001458883285522461;0.0008754730224609375;0.0008738040924072266;0.001146221160888672;0.0180971622467041;0.016728639602661133;0.014961004257202148;0.016127347946166992;0.014852762222290039;0.016153383255004882;0.6341463414634146;0.8780487804878049;0.775;0.725;0.625;0.7274390243902439;0.6923076923076923;0.9;0.8235294117647058;0.7142857142857143;0.631578947368421;0.7523403531453068;0.45;0.8571428571428571;0.7;0.75;0.6;0.6714285714285715;0.5454545454545455;0.8780487804878048;0.7567567567567567;0.7317073170731706;0.6153846153846154;0.7054704030313785;9;18;14;15;12;13.6;17;18;17;14;13;15.8;4;2;3;6;7;4.4;11;3;6;5;8;6.6;0.66;0.7;0.56;0.6222222222222222;14;19;6;11
0;1_Audio;RandomForestClassifier_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.5378258228302002;0.597827672958374;0.5972633361816406;0.5827524662017822;0.5208449363708496;0.5673028469085694;0.04515433311462402;0.019491195678710938;0.018726110458374023;0.0230257511138916;0.05445241928100586;0.03216996192932129;0.6585365853658537;0.6585365853658537;0.8;0.75;0.625;0.6984146341463415;0.6363636363636364;0.7333333333333333;0.7727272727272727;0.7083333333333334;0.6190476190476191;0.693961038961039;0.7;0.5238095238095238;0.85;0.85;0.65;0.7147619047619048;0.6666666666666666;0.611111111111111;0.8095238095238095;0.7727272727272727;0.6341463414634146;0.6988350402984549;14;11;17;17;13;14.4;13;16;15;13;12;13.8;8;4;5;7;8;6.4;6;10;3;3;7;5.8;0.76;0.76;0.76;0.76;19;19;6;6
0;1_Audio;RandomForestClassifier_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.38038063049316406;0.37729406356811523;0.37682485580444336;0.3504307270050049;0.3272438049316406;0.36243481636047364;0.03279542922973633;0.03618788719177246;0.047249794006347656;0.04843544960021973;0.0827794075012207;0.049489593505859374;0.6585365853658537;0.7804878048780488;0.675;0.7;0.725;0.7078048780487806;0.6363636363636364;0.75;0.6521739130434783;0.6428571428571429;0.68;0.6722789384528515;0.7;0.8571428571428571;0.75;0.9;0.85;0.8114285714285714;0.6666666666666666;0.7999999999999999;0.6976744186046512;0.75;0.7555555555555556;0.7339793281653747;14;18;15;18;17;16.4;13;14;12;10;12;12.2;8;6;8;10;8;8.0;6;3;5;2;3;3.8;0.76;0.696969696969697;0.92;0.793103448275862;23;15;10;2
0;1_Audio;SGDClassifier_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.012743949890136719;0.01302957534790039;0.013818979263305664;0.014909982681274414;0.009070634841918945;0.012714624404907227;0.009637832641601562;0.00681614875793457;0.0065042972564697266;0.00538325309753418;0.004984855651855469;0.006665277481079102;0.7317073170731707;0.7560975609756098;0.65;0.65;0.7;0.697560975609756;0.68;0.8666666666666667;0.65;0.6363636363636364;0.75;0.7166060606060606;0.85;0.6190476190476191;0.65;0.7;0.6;0.6838095238095238;0.7555555555555556;0.7222222222222222;0.65;0.6666666666666666;0.6666666666666665;0.6922222222222222;17;13;13;14;12;13.8;13;18;13;12;16;14.4;8;2;7;8;4;5.8;3;8;7;6;8;6.4;0.62;0.6153846153846154;0.64;0.6274509803921569;16;15;10;9
0;1_Audio;SGDClassifier_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.007665872573852539;0.009493827819824219;0.00941777229309082;0.006636381149291992;0.007096052169799805;0.008061981201171875;0.005117893218994141;0.006617069244384766;0.006650686264038086;0.004155397415161133;0.004405021667480469;0.005389213562011719;0.5853658536585366;0.7804878048780488;0.7;0.8;0.675;0.7081707317073169;0.6363636363636364;0.75;0.6818181818181818;0.7307692307692307;0.7058823529411765;0.7009666803784451;0.35;0.8571428571428571;0.75;0.95;0.6;0.7014285714285714;0.45161290322580644;0.7999999999999999;0.7142857142857143;0.8260869565217392;0.6486486486486486;0.6881268445363817;7;18;15;19;12;14.2;17;14;13;13;15;14.4;4;6;7;7;5;5.8;13;3;5;1;8;6.0;0.8;0.8260869565217391;0.76;0.7916666666666667;19;21;4;6
