;PipelineID;Pipeline;train_set;validation_set;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_acc_cv1;test_acc_cv2;test_acc_cv3;test_acc_cv4;test_acc_cv5;test_acc_mean;test_prec_cv1;test_prec_cv2;test_prec_cv3;test_prec_cv4;test_prec_cv5;test_prec_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;acc_overall;prec_overall;recall_overall;f1-score_overall;tp_overall;tn_overall;fp_overall;fn_overall
0;Natural Language Processing;LR_Count_Vectors_RandomUnder;readme_train.csv;readme_test.csv;0.41278648376464844;0.44355344772338867;0.4294002056121826;0.33745646476745605;0.3857851028442383;0.4017963409423828;0.09097790718078613;0.057981252670288086;0.07939338684082031;0.05912637710571289;0.03944897651672363;0.06538558006286621;0.7183098591549296;0.704225352112676;0.75177304964539;0.75177304964539;0.5886524822695035;0.7029467585655779;0.7413793103448276;0.75;0.8666666666666667;0.851063829787234;0.5694444444444444;0.7557108502486345;0.6323529411764706;0.5735294117647058;0.5735294117647058;0.5882352941176471;0.6029411764705882;0.5941176470588235;0.6825396825396826;0.65;0.6902654867256638;0.6956521739130435;0.5857142857142857;0.6608343257785352;59;61;67;66;42;59.0;43;39;39;40;41;40.4;25;29;29;28;27;27.6;15;13;6;7;31;14.4;0.8217550274223034;0.45643153526970953;0.632183908045977;0.5301204819277108;789;110;64;131
0;Natural Language Processing;LR_TFIDF_RandomUnder;readme_train.csv;readme_test.csv;0.2526226043701172;0.22907662391662598;0.23663568496704102;0.39748620986938477;0.3348984718322754;0.2901439189910889;0.04529738426208496;0.047066688537597656;0.041929006576538086;0.08121681213378906;0.09052109718322754;0.06120619773864746;0.6197183098591549;0.7605633802816901;0.7943262411347518;0.8085106382978723;0.6099290780141844;0.7186095295175308;0.5897435897435898;0.8148148148148148;0.8679245283018868;0.9019607843137255;0.5844155844155844;0.7517718603179202;0.6764705882352942;0.6470588235294118;0.6764705882352942;0.6764705882352942;0.6617647058823529;0.6676470588235295;0.6301369863013699;0.7213114754098361;0.7603305785123967;0.773109243697479;0.6206896551724138;0.7011155878186991;42;64;66;68;41;56.2;46;44;46;46;45;45.4;22;24;22;22;23;22.6;32;10;7;5;32;17.2;0.8263254113345521;0.46946564885496184;0.7068965517241379;0.5642201834862386;781;123;51;139
0;Natural Language Processing;SVC_Count_Vectors_RandomUnder;readme_train.csv;readme_test.csv;0.5761532783508301;0.7582504749298096;0.7487220764160156;0.6428661346435547;0.5892050266265869;0.6630393981933593;0.0809171199798584;0.052956581115722656;0.053670644760131836;0.057267189025878906;0.06856179237365723;0.0626746654510498;0.6901408450704225;0.7112676056338029;0.7304964539007093;0.7304964539007093;0.5815602836879432;0.6887923284387174;0.7142857142857143;0.8;0.875;0.96875;0.5789473684210527;0.7873966165413534;0.5882352941176471;0.5294117647058824;0.5147058823529411;0.45588235294117646;0.4852941176470588;0.5147058823529412;0.6451612903225806;0.6371681415929203;0.6481481481481481;0.62;0.528;0.6156955160127298;58;65;68;72;49;62.4;40;36;35;31;33;35.0;28;32;33;37;35;33.0;16;9;5;1;24;11.0;0.8638025594149908;0.5641025641025641;0.632183908045977;0.5962059620596205;835;110;64;85
0;Natural Language Processing;SVC_TFIDF_RandomUnder;readme_train.csv;readme_test.csv;0.592989444732666;0.5971102714538574;0.7287909984588623;0.763491153717041;0.6089439392089844;0.6582651615142823;0.0865328311920166;0.07290267944335938;0.053624629974365234;0.051813602447509766;0.07363414764404297;0.06770157814025879;0.6830985915492958;0.7605633802816901;0.8085106382978723;0.7943262411347518;0.6028368794326241;0.7298671461392469;0.6533333333333333;0.84;0.9019607843137255;0.8979591836734694;0.5789473684210527;0.7744401339483161;0.7205882352941176;0.6176470588235294;0.6764705882352942;0.6470588235294118;0.6470588235294118;0.6617647058823529;0.6853146853146852;0.711864406779661;0.773109243697479;0.7521367521367522;0.6111111111111113;0.7067072398079377;48;66;68;68;41;58.2;49;42;46;44;44;45.0;19;26;22;24;24;23.0;26;8;5;5;32;15.2;0.8574040219378428;0.5391304347826087;0.7126436781609196;0.6138613861386139;814;124;50;106
0;Natural Language Processing;KNN_Count_Vectors_RandomUnder;readme_train.csv;readme_test.csv;0.3583686351776123;0.27595067024230957;0.2739579677581787;0.2956817150115967;0.38053226470947266;0.316898250579834;0.09327387809753418;0.0904088020324707;0.10387635231018066;0.08517336845397949;0.06251168251037598;0.0870488166809082;0.6126760563380281;0.6901408450704225;0.6808510638297872;0.7375886524822695;0.6737588652482269;0.6790030965937468;0.5783132530120482;0.7222222222222222;0.6825396825396826;0.7719298245614035;0.6666666666666666;0.6843343298004047;0.7058823529411765;0.5735294117647058;0.6323529411764706;0.6470588235294118;0.6470588235294118;0.6411764705882352;0.6357615894039735;0.639344262295082;0.6564885496183206;0.704;0.6567164179104478;0.6584621638455648;39;59;53;60;51;52.4;48;39;43;44;44;43.6;20;29;25;24;24;24.4;35;15;20;13;22;21.0;0.720292504570384;0.3092485549132948;0.6149425287356322;0.4115384615384615;681;107;67;239
0;Natural Language Processing;KNN_TFIDF_RandomUnder;readme_train.csv;readme_test.csv;0.297116756439209;0.3711669445037842;0.358440637588501;0.4964611530303955;0.4441843032836914;0.3934739589691162;0.15925097465515137;0.10867881774902344;0.1006002426147461;0.06147599220275879;0.07951855659484863;0.10190491676330567;0.5845070422535211;0.7323943661971831;0.7801418439716312;0.8156028368794326;0.5886524822695035;0.7002597143142544;0.5517241379310345;0.7272727272727273;0.7605633802816901;0.828125;0.5595238095238095;0.6854418110018523;0.7058823529411765;0.7058823529411765;0.7941176470588235;0.7794117647058824;0.6911764705882353;0.7352941176470589;0.6193548387096774;0.7164179104477613;0.7769784172661871;0.8030303030303031;0.618421052631579;0.7068405044171016;35;56;56;62;36;49.0;48;48;54;53;47;50.0;20;20;14;15;21;18.0;39;18;17;11;37;24.4;0.753199268738574;0.3620689655172414;0.7241379310344828;0.4827586206896552;698;126;48;222
0;Natural Language Processing;RandomForestClassifier_Count_Vectors_RandomUnder;readme_train.csv;readme_test.csv;0.7959640026092529;0.8855288028717041;0.7713625431060791;0.7262322902679443;0.8800930976867676;0.8118361473083496;0.10749959945678711;0.07138395309448242;0.11661386489868164;0.09840536117553711;0.06310677528381348;0.09140191078186036;0.7464788732394366;0.7887323943661971;0.8368794326241135;0.7446808510638298;0.6382978723404256;0.7510138847268004;0.7105263157894737;0.8064516129032258;0.9090909090909091;0.7666666666666667;0.6024096385542169;0.7590290286008984;0.7941176470588235;0.7352941176470589;0.7352941176470589;0.6764705882352942;0.7352941176470589;0.7352941176470589;0.7499999999999999;0.7692307692307693;0.8130081300813008;0.71875;0.6622516556291392;0.7426481109882419;52;62;68;59;40;56.2;54;50;50;46;50;50.0;14;18;18;22;18;18.0;22;12;5;14;33;17.2;0.8610603290676416;0.5426356589147286;0.8045977011494253;0.6481481481481481;802;140;34;118
0;Natural Language Processing;RandomForestClassifier_TFIDF_RandomUnder;readme_train.csv;readme_test.csv;0.8956482410430908;0.7929513454437256;0.757526159286499;0.7806851863861084;0.8825595378875732;0.8218740940093994;0.0765681266784668;0.12351775169372559;0.12299346923828125;0.11624264717102051;0.06924629211425781;0.10171365737915039;0.6830985915492958;0.823943661971831;0.7730496453900709;0.7659574468085106;0.624113475177305;0.7340325641794025;0.6455696202531646;0.8771929824561403;0.8103448275862069;0.7966101694915254;0.5925925925925926;0.744462038475926;0.75;0.7352941176470589;0.6911764705882353;0.6911764705882353;0.7058823529411765;0.7147058823529413;0.6938775510204083;0.8;0.746031746031746;0.7401574803149606;0.6442953020134228;0.7248724158761075;46;67;62;61;40;55.2;51;50;47;47;48;48.6;17;18;21;21;20;19.4;28;7;11;12;33;18.2;0.8720292504570384;0.5732758620689655;0.764367816091954;0.6551724137931034;821;133;41;99
0;Natural Language Processing;Linear_SVC_Count_Vectors_RandomUnder;readme_train.csv;readme_test.csv;0.669309139251709;0.6326189041137695;0.7836024761199951;0.7665388584136963;0.5768086910247803;0.68577561378479;0.08524823188781738;0.06198310852050781;0.06407952308654785;0.05862784385681152;0.07254433631896973;0.06849660873413085;0.8661971830985915;0.8169014084507042;0.9290780141843972;0.9148936170212766;0.7588652482269503;0.857187094196384;0.9016393442622951;0.9038461538461539;0.967741935483871;0.9827586206896551;0.6976744186046512;0.8907320945773252;0.8088235294117647;0.6911764705882353;0.8823529411764706;0.8382352941176471;0.8823529411764706;0.8205882352941177;0.8527131782945736;0.7833333333333333;0.923076923076923;0.9047619047619048;0.7792207792207793;0.8486212237375028;68;69;71;72;47;65.4;55;47;60;57;60;55.8;13;21;8;11;8;12.2;6;5;2;1;26;8.0;0.9113345521023766;0.6859903381642513;0.8160919540229885;0.7454068241469816;855;142;32;65
0;Natural Language Processing;Linear_SVC_TFIDF_RandomUnder;readme_train.csv;readme_test.csv;0.45294761657714844;0.5346627235412598;0.4273207187652588;0.5040738582611084;0.475726842880249;0.4789463520050049;0.0918281078338623;0.057822227478027344;0.054756879806518555;0.07911801338195801;0.08472561836242676;0.0736501693725586;0.9154929577464789;0.9366197183098591;0.9361702127659575;0.9361702127659575;0.75177304964539;0.8952452302467286;0.9242424242424242;0.9538461538461539;0.9682539682539683;0.9682539682539683;0.6736842105263158;0.8976561450245661;0.8970588235294118;0.9117647058823529;0.8970588235294118;0.8970588235294118;0.9411764705882353;0.9088235294117647;0.9104477611940298;0.9323308270676691;0.9312977099236641;0.9312977099236641;0.7852760736196318;0.8981300163457318;69;71;71;71;42;64.8;61;62;61;61;64;61.8;7;6;7;7;4;6.2;5;3;2;2;31;8.6;0.9360146252285192;0.7626262626262627;0.867816091954023;0.8118279569892474;873;151;23;47
