;PipelineID;Pipeline;Train dataset;Validation dataset;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_acc_cv1;test_acc_cv2;test_acc_cv3;test_acc_cv4;test_acc_cv5;test_acc_mean;test_prec_cv1;test_prec_cv2;test_prec_cv3;test_prec_cv4;test_prec_cv5;test_prec_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;acc_overall;prec_overall;recall_overall;f1-score_overall;tp_overall;tn_overall;fp_overall;fn_overall
0;Sequential_No_general_in_negativ_samples_structured;LR_Count_Vectors_RandomUnder;readme_train.csv;readme_test.csv;4.0959460735321045;17.893676042556763;17.060667991638184;17.60112977027893;16.41966986656189;14.614217948913574;0.009908914566040039;0.0025300979614257812;0.004219532012939453;0.003552675247192383;0.0052852630615234375;0.005099296569824219;0.4594594594594595;0.6027397260273972;0.684931506849315;0.4246575342465753;0.726027397260274;0.5795631247686043;0.47619047619047616;0.574468085106383;0.6666666666666666;0.4423076923076923;0.7857142857142857;0.5890694411971007;0.8108108108108109;0.75;0.7222222222222222;0.6388888888888888;0.6111111111111112;0.7066066066066067;0.6;0.6506024096385542;0.6933333333333334;0.5227272727272726;0.6875000000000001;0.630832603139832;30;27;26;23;22;25.6;4;17;24;8;31;16.8;33;20;13;29;6;20.2;7;9;10;13;14;10.6;0.8241822429906542;0.10248447204968944;0.7333333333333333;0.1798365122615804;33;1378;289;12
0;Sequential_No_general_in_negativ_samples_structured;LR_TFIDF_RandomUnder;readme_train.csv;readme_test.csv;0.07641172409057617;0.07740068435668945;0.027338027954101562;0.06397128105163574;0.047882080078125;0.058600759506225585;0.0041277408599853516;0.0047473907470703125;0.0025870800018310547;0.0063724517822265625;0.0050699710845947266;0.004580926895141601;0.4864864864864865;0.6986301369863014;0.7397260273972602;0.4794520547945205;0.8356164383561644;0.6479822288041467;0.4925373134328358;0.6458333333333334;0.7428571428571429;0.48;0.9285714285714286;0.6579598436389482;0.8918918918918919;0.8611111111111112;0.7222222222222222;0.6666666666666666;0.7222222222222222;0.7728228228228228;0.6346153846153846;0.738095238095238;0.732394366197183;0.5581395348837209;0.8125000000000001;0.6951489047583054;33;31;26;24;26;28.0;3;20;28;11;35;19.4;34;17;9;26;2;17.6;4;5;10;12;10;8.2;0.8679906542056075;0.13360323886639677;0.7333333333333333;0.226027397260274;33;1453;214;12
0;Sequential_No_general_in_negativ_samples_structured;SVC_Count_Vectors_RandomUnder;readme_train.csv;readme_test.csv;0.20302104949951172;0.1977689266204834;0.18847942352294922;0.2558431625366211;0.2522284984588623;0.21946821212768555;0.04198288917541504;0.0457758903503418;0.04371476173400879;0.04207181930541992;0.03607010841369629;0.04192309379577637;0.44594594594594594;0.6712328767123288;0.6301369863013698;0.3835616438356164;0.6301369863013698;0.5522028878193261;0.43333333333333335;0.6764705882352942;0.7142857142857143;0.37142857142857144;1.0;0.6391036414565827;0.35135135135135137;0.6388888888888888;0.4166666666666667;0.3611111111111111;0.25;0.4036036036036036;0.3880597014925374;0.6571428571428571;0.5263157894736842;0.3661971830985915;0.4;0.467543106241534;13;23;15;13;9;14.6;20;26;31;15;37;25.8;17;11;6;22;0;11.2;24;13;21;23;27;21.6;0.9094626168224299;0.11267605633802817;0.35555555555555557;0.17112299465240643;16;1541;126;29
0;Sequential_No_general_in_negativ_samples_structured;SVC_TFIDF_RandomUnder;readme_train.csv;readme_test.csv;0.20220088958740234;0.1906144618988037;0.15762710571289062;0.1573934555053711;0.21930336952209473;0.1854278564453125;0.03140616416931152;0.03790092468261719;0.03251314163208008;0.037941694259643555;0.024466753005981445;0.03284573554992676;0.47297297297297297;0.6301369863013698;0.7808219178082192;0.4383561643835616;0.8493150684931506;0.6343206219918548;0.48484848484848486;0.5789473684210527;0.8125;0.45098039215686275;0.9629629629629629;0.6580478416778727;0.8648648648648649;0.9166666666666666;0.7222222222222222;0.6388888888888888;0.7222222222222222;0.772972972972973;0.6213592233009709;0.7096774193548387;0.7647058823529411;0.5287356321839081;0.8253968253968254;0.6899749965178967;32;33;26;23;26;28.0;3;13;31;9;36;18.4;34;24;6;28;1;18.6;5;3;10;13;10;8.2;0.8615654205607477;0.125;0.7111111111111111;0.21262458471760798;32;1443;224;13
0;Sequential_No_general_in_negativ_samples_structured;KNN_Count_Vectors_RandomUnder;readme_train.csv;readme_test.csv;0.001963376998901367;0.0018053054809570312;0.0016632080078125;0.0018663406372070312;0.0014395713806152344;0.0017475605010986329;0.04704928398132324;0.031165361404418945;0.03970456123352051;0.04146909713745117;0.04082465171813965;0.0400425910949707;0.43243243243243246;0.6575342465753424;0.6438356164383562;0.410958904109589;0.589041095890411;0.5467604590892262;0.391304347826087;0.7037037037037037;0.9166666666666666;0.29411764705882354;0.8;0.6211584730510561;0.24324324324324326;0.5277777777777778;0.3055555555555556;0.1388888888888889;0.2222222222222222;0.2875375375375375;0.30000000000000004;0.6031746031746033;0.4583333333333333;0.18867924528301885;0.3478260869565218;0.3796026537494954;9;19;11;5;8;10.4;23;29;36;25;35;29.6;14;8;1;12;2;7.4;28;17;25;31;28;25.8;0.9141355140186916;0.1076923076923077;0.3111111111111111;0.16;14;1551;116;31
0;Sequential_No_general_in_negativ_samples_structured;KNN_TFIDF_RandomUnder;readme_train.csv;readme_test.csv;0.0014078617095947266;0.001321554183959961;0.0013854503631591797;0.0011641979217529297;0.001775979995727539;0.0014110088348388671;0.02760148048400879;0.02288365364074707;0.026538848876953125;0.02554631233215332;0.022518396377563477;0.025017738342285156;0.44594594594594594;0.6438356164383562;0.6027397260273972;0.5068493150684932;0.6301369863013698;0.5659015179563125;0.46774193548387094;0.6388888888888888;0.5777777777777777;0.5;0.6363636363636364;0.5641544477028348;0.7837837837837838;0.6388888888888888;0.7222222222222222;0.75;0.5833333333333334;0.6956456456456457;0.5858585858585857;0.6388888888888888;0.6419753086419753;0.6;0.6086956521739131;0.6150836871126726;29;23;26;27;21;25.2;4;24;18;10;25;16.2;33;13;19;27;12;20.8;8;13;10;9;15;11.0;0.772196261682243;0.06766917293233082;0.6;0.12162162162162163;27;1295;372;18
0;Sequential_No_general_in_negativ_samples_structured;RandomForestClassifier_Count_Vectors_RandomUnder;readme_train.csv;readme_test.csv;3.7998783588409424;11.225427865982056;11.442246913909912;11.40121078491211;11.408145427703857;9.855381870269776;0.2646489143371582;0.16690492630004883;0.0231475830078125;0.03064107894897461;0.030488014221191406;0.10316610336303711;0.47297297297297297;0.7671232876712328;0.684931506849315;0.3561643835616438;0.7123287671232876;0.5987041836356906;0.48214285714285715;0.7714285714285715;0.6756756756756757;0.37209302325581395;0.7777777777777778;0.6158235810561392;0.7297297297297297;0.75;0.6944444444444444;0.4444444444444444;0.5833333333333334;0.6403903903903905;0.5806451612903226;0.7605633802816902;0.684931506849315;0.40506329113924044;0.6666666666666666;0.619574001245447;27;27;25;16;21;23.2;8;29;25;10;31;20.6;29;8;12;27;6;16.4;10;9;11;20;15;13.0;0.8189252336448598;0.08201892744479496;0.5777777777777777;0.143646408839779;26;1376;291;19
0;Sequential_No_general_in_negativ_samples_structured;RandomForestClassifier_TFIDF_RandomUnder;readme_train.csv;readme_test.csv;0.5599715709686279;0.8139057159423828;0.7864019870758057;0.7054452896118164;0.805549144744873;0.7342547416687012;0.04676556587219238;0.01908135414123535;0.03372025489807129;0.03413033485412598;0.03219771385192871;0.03317904472351074;0.4594594594594595;0.6027397260273972;0.589041095890411;0.3835616438356164;0.726027397260274;0.5521658644946316;0.47540983606557374;0.5714285714285714;0.56;0.40816326530612246;0.7352941176470589;0.5500591580894654;0.7837837837837838;0.7777777777777778;0.7777777777777778;0.5555555555555556;0.6944444444444444;0.7178678678678679;0.5918367346938777;0.6588235294117646;0.6511627906976745;0.47058823529411764;0.7142857142857144;0.6173394008766298;29;28;28;20;25;26.0;5;16;15;8;28;14.4;32;21;22;29;9;22.6;8;8;8;16;11;10.2;0.782126168224299;0.08375634517766498;0.7333333333333333;0.15034168564920275;33;1306;361;12
0;Sequential_No_general_in_negativ_samples_structured;SGDClassifier_Count_Vectors_RandomUnder;readme_train.csv;readme_test.csv;0.03146934509277344;0.03450369834899902;0.028493165969848633;0.04107499122619629;0.03337597846984863;0.0337834358215332;0.007317066192626953;0.0064394474029541016;0.0047342777252197266;0.0034859180450439453;0.0044803619384765625;0.005291414260864258;0.4864864864864865;0.6301369863013698;0.6301369863013698;0.4246575342465753;0.6301369863013698;0.5603109959274343;0.4918032786885246;0.6666666666666666;0.7647058823529411;0.4482758620689655;0.6956521739130435;0.6134207727380283;0.8108108108108109;0.5;0.3611111111111111;0.7222222222222222;0.4444444444444444;0.5677177177177178;0.6122448979591837;0.5714285714285715;0.490566037735849;0.5531914893617021;0.5423728813559322;0.5539607755682476;30;18;13;26;16;20.6;6;28;33;5;30;20.4;31;9;4;32;7;16.6;7;18;23;10;20;15.6;0.6985981308411215;0.058161350844277676;0.6888888888888889;0.10726643598615918;31;1165;502;14
0;Sequential_No_general_in_negativ_samples_structured;SGDClassifier_TFIDF_RandomUnder;readme_train.csv;readme_test.csv;0.010488510131835938;0.010830879211425781;0.021951675415039062;0.013663530349731445;0.014932870864868164;0.014373493194580079;0.005004405975341797;0.004938364028930664;0.004085540771484375;0.006319284439086914;0.0045642852783203125;0.004982376098632812;0.4594594594594595;0.589041095890411;0.6027397260273972;0.4246575342465753;0.821917808219178;0.5795631247686043;0.4782608695652174;0.5517241379310345;0.5636363636363636;0.45;0.8709677419354839;0.5829178226136199;0.8918918918918919;0.8888888888888888;0.8611111111111112;0.75;0.75;0.8283783783783785;0.6226415094339622;0.6808510638297872;0.6813186813186813;0.5625000000000001;0.8059701492537312;0.6706562807672324;33;32;31;27;27;30.0;1;11;13;4;33;12.4;36;26;24;33;4;24.6;4;4;5;9;9;6.2;0.6915887850467289;0.06329113924050633;0.7777777777777778;0.11705685618729098;35;1149;518;10
