;params;mean_fit_time;mean_test_accuracy;mean_test_precision_macro;mean_test_precision_weighted;mean_test_recall_macro;mean_test_recall_weighted;mean_test_f1_macro;mean_test_f1_weighted
88;{'vect__max_df': 1.0, 'vect__max_features': None, 'vect__min_df': 0.2, 'vect__ngram_range': (1, 1)};0.8;0.96;0.75;0.95;0.53;0.96;0.54;0.95
30;{'vect__max_df': 0.8, 'vect__max_features': 5000, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 1)};0.92;0.99;0.96;0.99;0.87;0.99;0.91;0.99
37;{'vect__max_df': 0.8, 'vect__max_features': 10000, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};4.09;0.99;0.96;0.99;0.87;0.99;0.91;0.99
72;{'vect__max_df': 0.9, 'vect__max_features': 5000, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 1)};0.93;0.99;0.96;0.99;0.87;0.99;0.91;0.99
79;{'vect__max_df': 0.9, 'vect__max_features': 10000, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};4.12;0.99;0.96;0.99;0.87;0.99;0.91;0.99
114;{'vect__max_df': 1.0, 'vect__max_features': 5000, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 1)};0.89;0.99;0.96;0.99;0.87;0.99;0.91;0.99
121;{'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};4.25;0.99;0.96;0.99;0.87;0.99;0.91;0.99
1;{'vect__max_df': 0.8, 'vect__max_features': None, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};4.06;0.99;0.97;0.99;0.85;0.99;0.9;0.99
43;{'vect__max_df': 0.9, 'vect__max_features': None, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};4.07;0.99;0.97;0.99;0.85;0.99;0.9;0.99
85;{'vect__max_df': 1.0, 'vect__max_features': None, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};4.24;0.99;0.97;0.99;0.85;0.99;0.9;0.99
0;{'vect__max_df': 0.8, 'vect__max_features': None, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 1)};1.0;0.99;0.96;0.99;0.87;0.99;0.91;0.99
42;{'vect__max_df': 0.9, 'vect__max_features': None, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 1)};0.95;0.99;0.96;0.99;0.87;0.99;0.91;0.99
84;{'vect__max_df': 1.0, 'vect__max_features': None, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 1)};0.93;0.99;0.96;0.99;0.87;0.99;0.91;0.99
