;params;mean_fit_time;mean_test_accuracy;mean_test_precision_macro;mean_test_precision_weighted;mean_test_recall_macro;mean_test_recall_weighted;mean_test_f1_macro;mean_test_f1_weighted
4;{'vect__max_df': 0.8, 'vect__max_features': None, 'vect__min_df': 0.2, 'vect__ngram_range': (1, 1)};0.78;0.94;0.87;0.94;0.78;0.94;0.81;0.94
31;{'vect__max_df': 0.8, 'vect__max_features': 5000, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};4.21;0.99;0.98;0.99;0.95;0.99;0.96;0.99
73;{'vect__max_df': 0.9, 'vect__max_features': 5000, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};4.15;0.99;0.98;0.99;0.95;0.99;0.96;0.99
115;{'vect__max_df': 1.0, 'vect__max_features': 5000, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 2)};4.12;0.99;0.98;0.99;0.95;0.99;0.96;0.99
18;{'vect__max_df': 0.8, 'vect__max_features': 2500, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 1)};0.89;0.99;0.97;0.99;0.95;0.99;0.96;0.99
60;{'vect__max_df': 0.9, 'vect__max_features': 2500, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 1)};0.88;0.99;0.97;0.99;0.95;0.99;0.96;0.99
102;{'vect__max_df': 1.0, 'vect__max_features': 2500, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 1)};0.92;0.99;0.97;0.99;0.95;0.99;0.96;0.99
36;{'vect__max_df': 0.8, 'vect__max_features': 10000, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 1)};0.91;0.99;0.98;0.99;0.95;0.99;0.96;0.99
78;{'vect__max_df': 0.9, 'vect__max_features': 10000, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 1)};0.91;0.99;0.98;0.99;0.95;0.99;0.96;0.99
120;{'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__min_df': 0.0, 'vect__ngram_range': (1, 1)};0.93;0.99;0.98;0.99;0.95;0.99;0.96;0.99
