;PipelineID;Pipeline;Train dataset;Validation dataset;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_acc_cv1;test_acc_cv2;test_acc_cv3;test_acc_cv4;test_acc_cv5;test_acc_mean;test_prec_cv1;test_prec_cv2;test_prec_cv3;test_prec_cv4;test_prec_cv5;test_prec_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;acc_overall;prec_overall;recall_overall;f1-score_overall;tp_overall;tn_overall;fp_overall;fn_overall
0;1_General;LR_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.2208847999572754;0.2090907096862793;0.2353498935699463;0.19831085205078125;0.26903724670410156;0.22653470039367676;0.004197120666503906;0.004003286361694336;0.0037190914154052734;0.0040628910064697266;0.0037581920623779297;0.003948116302490234;0.5246781115879828;0.560687432867884;0.5574650912996778;0.5488721804511278;0.5316863587540279;0.5446778349921401;0.5289672544080605;0.5732984293193717;0.5677749360613811;0.5595854922279793;0.5412087912087912;0.5541669806451167;0.45064377682403434;0.47096774193548385;0.4774193548387097;0.463519313304721;0.4227467811158798;0.4570593936037657;0.4866743916570105;0.5171192443919717;0.5186915887850468;0.5070422535211268;0.4746987951807229;0.5008452547071757;210;219;222;216;197;212.8;279;303;297;295;298;294.4;187;163;169;170;167;171.2;256;246;243;250;269;252.8;0.5601374570446735;0.578125;0.44501718213058417;0.5029126213592233;259;393;189;323
0;1_General;LR_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.025386810302734375;0.018579959869384766;0.018085002899169922;0.02485799789428711;0.025256872177124023;0.02243332862854004;0.004048824310302734;0.003953695297241211;0.003789663314819336;0.004075527191162109;0.0037288665771484375;0.0039193153381347655;0.5654506437768241;0.5531686358754028;0.5746509129967776;0.5746509129967776;0.5789473684210527;0.569373694813367;0.5628865979381443;0.5543237250554324;0.5732484076433121;0.5717213114754098;0.5822222222222222;0.5688804528669041;0.5858369098712446;0.5376344086021505;0.5806451612903226;0.5987124463519313;0.5622317596566524;0.5730121371544603;0.5741324921135647;0.5458515283842794;0.5769230769230769;0.5849056603773585;0.5720524017467249;0.5707730319090009;273;250;270;279;262;266.8;254;265;265;256;277;263.4;212;201;201;209;188;202.2;193;215;195;187;204;198.8;0.552405498281787;0.5541740674955595;0.5360824742268041;0.5449781659388646;312;331;251;270
0;1_General;SVC_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;1.1596131324768066;1.1539781093597412;1.5276296138763428;1.181506633758545;1.5463409423828125;1.3138136863708496;0.2989015579223633;0.3004293441772461;0.28914427757263184;0.2945222854614258;0.27370572090148926;0.29134063720703124;0.5590128755364807;0.5585392051557465;0.569280343716434;0.5574650912996778;0.5596133190118152;0.5607821669440309;0.5567010309278351;0.6022727272727273;0.6012658227848101;0.593103448275862;0.6138211382113821;0.5934328334945234;0.5793991416309013;0.3419354838709677;0.40860215053763443;0.36909871244635195;0.3240343347639485;0.4046139646499608;0.5678233438485804;0.43621399176954734;0.4865556978233035;0.45502645502645506;0.42415730337078655;0.47395535836773456;270;159;190;172;151;188.4;251;361;340;347;370;333.8;215;105;126;118;95;131.8;196;306;275;294;315;277.2;0.5567010309278351;0.5970588235294118;0.3487972508591065;0.44034707158351405;203;445;137;379
0;1_General;SVC_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;1.166064977645874;1.4292864799499512;1.1352615356445312;1.5487260818481445;1.1774699687957764;1.2913618087768555;0.2961604595184326;0.28407812118530273;0.30898237228393555;0.2769911289215088;0.384244441986084;0.3100913047790527;0.5536480686695279;0.5488721804511278;0.5574650912996778;0.5553168635875403;0.5510204081632653;0.5532645224342279;0.5600961538461539;0.551487414187643;0.563855421686747;0.5585585585585585;0.5547945205479452;0.5577584137654096;0.5;0.5182795698924731;0.5032258064516129;0.5321888412017167;0.5214592274678111;0.5150306890027228;0.5283446712018142;0.5343680709534369;0.5318181818181817;0.5450549450549451;0.5376106194690266;0.5354392976994808;233;241;234;248;243;239.8;283;270;285;269;270;275.4;183;196;181;196;195;190.2;233;224;231;218;223;225.8;0.5420962199312714;0.5509355509355509;0.45532646048109965;0.49858889934148637;265;366;216;317
0;1_General;KNN_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.0017621517181396484;0.0015611648559570312;0.001163482666015625;0.0017256736755371094;0.0015933513641357422;0.0015611648559570312;0.18777060508728027;0.20683050155639648;0.18071985244750977;0.23011541366577148;0.2304387092590332;0.20717501640319824;0.490343347639485;0.48872180451127817;0.4908700322234157;0.5220193340494093;0.49194414607948445;0.4967797329006145;0.49056603773584906;0.4854111405835544;0.4905263157894737;0.5223880597014925;0.4904109589041096;0.4958605025428959;0.5021459227467812;0.3935483870967742;0.5010752688172043;0.5257510729613734;0.38412017167381973;0.4613281646591906;0.49628844114528103;0.4346793349168646;0.4957446808510638;0.5240641711229945;0.43080625752105894;0.4763165771114526;234;183;233;245;179;214.8;223;272;224;241;279;247.8;243;194;242;224;186;217.8;232;282;232;221;287;250.8;0.4879725085910653;0.48409090909090907;0.36597938144329895;0.41682974559686886;213;355;227;369
0;1_General;KNN_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.0020122528076171875;0.0017147064208984375;0.00162506103515625;0.0018796920776367188;0.0018930435180664062;0.001824951171875;0.18995332717895508;0.21529078483581543;0.2578916549682617;0.1519458293914795;0.18140077590942383;0.1992964744567871;0.5128755364806867;0.4747583243823845;0.5005370569280344;0.5026852846401718;0.4940923737916219;0.49698971524457985;0.5119521912350598;0.4730941704035874;0.5;0.503006012024048;0.4948665297741273;0.4965837806873645;0.5515021459227468;0.45376344086021503;0.47956989247311826;0.5386266094420601;0.5171673819742489;0.5081258941344778;0.53099173553719;0.46322722283205264;0.48957189901207465;0.5202072538860103;0.5057712486883525;0.5019538719911362;257;211;223;251;241;236.6;221;231;243;217;219;226.2;245;235;223;248;246;239.4;209;254;242;215;225;229.0;0.5077319587628866;0.5078534031413613;0.5;0.503896103896104;291;300;282;291
0;1_General;RandomForestClassifier_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;1.9870460033416748;1.9116311073303223;1.8982176780700684;1.7638270854949951;1.9238238334655762;1.8969091415405273;0.02690863609313965;0.06415247917175293;0.06636285781860352;0.16640329360961914;0.0756981372833252;0.07990508079528809;0.51931330472103;0.5005370569280344;0.5037593984962406;0.5263157894736842;0.5198711063372717;0.5139593311912521;0.5189075630252101;0.5;0.5031185031185031;0.5262054507337526;0.5198329853862212;0.5136129004527373;0.5300429184549357;0.5053763440860215;0.5204301075268817;0.5386266094420601;0.5343347639484979;0.5257621486916794;0.524416135881104;0.5026737967914439;0.5116279069767442;0.5323435843054082;0.5269841269841269;0.5196091101877653;247;235;242;251;249;244.8;237;231;227;239;235;233.8;229;235;239;226;230;231.8;219;230;223;215;217;220.8;0.49140893470790376;0.49097472924187724;0.46735395189003437;0.47887323943661975;272;300;282;310
0;1_General;RandomForestClassifier_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;2.2616140842437744;2.3180863857269287;2.24763822555542;2.086113929748535;2.3353867530822754;2.249767875671387;0.09235334396362305;0.03737926483154297;0.0959632396697998;0.20084810256958008;0.0347905158996582;0.09226689338684083;0.528969957081545;0.4897959183673469;0.5327604726100966;0.5177228786251342;0.5263157894736842;0.5191130032315614;0.5292841648590022;0.4895397489539749;0.5331858407079646;0.5179704016913319;0.5256673511293635;0.5191295014683274;0.5236051502145923;0.5032258064516129;0.5182795698924731;0.5257510729613734;0.5493562231759657;0.5240435645392034;0.5264293419633226;0.496288441145281;0.5256270447110142;0.5218317358892439;0.5372507869884575;0.5214854701394639;244;234;241;245;256;244.0;249;222;255;237;234;239.4;217;244;211;228;231;226.2;222;231;224;221;210;221.6;0.5231958762886598;0.525233644859813;0.48281786941580757;0.5031333930170099;281;328;254;301
0;1_General;SGDClassifier_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.017724275588989258;0.026011943817138672;0.016605377197265625;0.026581764221191406;0.02196335792541504;0.02177734375;0.006102085113525391;0.006135225296020508;0.003902435302734375;0.006577730178833008;0.006743669509887695;0.005892229080200195;0.4989270386266094;0.5316863587540279;0.5402792696025779;0.5091299677765844;0.5177228786251342;0.5195491026769867;0.4990990990990991;0.5331807780320366;0.5677655677655677;0.5100222717149221;0.5224274406332454;0.5264990314489741;0.5944206008583691;0.5010752688172043;0.3333333333333333;0.49141630901287553;0.4248927038626609;0.4690276431768886;0.5426052889324192;0.5166297117516628;0.42005420054200543;0.5005464480874317;0.4686390532544379;0.48969494051359136;277;233;155;229;198;218.4;188;262;348;245;284;265.4;278;204;118;220;181;200.2;189;232;310;237;268;247.2;0.5128865979381443;0.5126475548060708;0.5223367697594502;0.5174468085106384;304;293;289;278
0;1_General;SGDClassifier_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.025112628936767578;0.024088621139526367;0.020520687103271484;0.03294110298156738;0.022259950637817383;0.02498459815979004;0.00630950927734375;0.007155418395996094;0.005892515182495117;0.006709575653076172;0.006814718246459961;0.006576347351074219;0.5236051502145923;0.518796992481203;0.49194414607948445;0.5381310418904404;0.5252416756176155;0.5195438012566671;0.5257009345794392;0.5226666666666666;0.49203187250996017;0.5350194552529183;0.521978021978022;0.5194793901974013;0.48283261802575106;0.421505376344086;0.5311827956989247;0.5901287553648069;0.6115879828326181;0.5274475056532374;0.5033557046979865;0.4666666666666666;0.5108583247156152;0.5612244897959183;0.5632411067193677;0.5210692585191109;225;196;247;275;285;245.6;263;287;211;226;204;238.2;203;179;255;239;261;227.4;241;269;218;191;181;220.0;0.5532646048109966;0.5518394648829431;0.5670103092783505;0.559322033898305;330;314;268;252
