;PipelineID;Pipeline;Train dataset;Validation dataset;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_acc_cv1;test_acc_cv2;test_acc_cv3;test_acc_cv4;test_acc_cv5;test_acc_mean;test_prec_cv1;test_prec_cv2;test_prec_cv3;test_prec_cv4;test_prec_cv5;test_prec_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;acc_overall;prec_overall;recall_overall;f1-score_overall;tp_overall;tn_overall;fp_overall;fn_overall
0;13_Graphs;LR_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.011975288391113281;0.018768310546875;0.012819051742553711;0.01338958740234375;0.017641067504882812;0.014918661117553711;0.0030083656311035156;0.005204916000366211;0.003425121307373047;0.00542140007019043;0.0033926963806152344;0.004090499877929687;0.6862745098039216;0.6862745098039216;0.6078431372549019;0.6078431372549019;0.66;0.6496470588235295;0.7142857142857143;0.7647058823529411;0.625;0.6363636363636364;0.6666666666666666;0.6814043799337917;0.6;0.52;0.5769230769230769;0.5384615384615384;0.64;0.5750769230769232;0.6521739130434783;0.6190476190476191;0.6;0.5833333333333334;0.6530612244897959;0.6215232179828453;15;13;15;14;16;14.6;20;22;16;17;17;18.4;6;4;9;8;8;7.0;10;12;11;12;9;10.8;0.6875;0.7307692307692307;0.59375;0.6551724137931033;19;25;7;13
0;13_Graphs;LR_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.00469517707824707;0.004736661911010742;0.0047495365142822266;0.006685495376586914;0.007003307342529297;0.00557403564453125;0.002912759780883789;0.0028624534606933594;0.003429889678955078;0.004867076873779297;0.004820585250854492;0.003778553009033203;0.7450980392156863;0.7647058823529411;0.7058823529411765;0.6470588235294118;0.76;0.7245490196078432;0.7142857142857143;0.8095238095238095;0.7037037037037037;0.625;0.782608695652174;0.7270243846330803;0.8;0.68;0.7307692307692307;0.7692307692307693;0.72;0.74;0.7547169811320756;0.7391304347826089;0.7169811320754716;0.6896551724137931;0.7499999999999999;0.7300967440807898;20;17;19;20;18;18.8;18;22;17;13;20;18.0;8;4;8;12;5;7.4;5;8;7;6;7;6.6;0.703125;0.7241379310344828;0.65625;0.6885245901639345;21;24;8;11
0;13_Graphs;SVC_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.004947662353515625;0.00548863410949707;0.00500941276550293;0.006768465042114258;0.006808042526245117;0.005804443359375;0.004182338714599609;0.003885030746459961;0.0039010047912597656;0.006018400192260742;0.00586247444152832;0.00476984977722168;0.7058823529411765;0.5882352941176471;0.5686274509803921;0.5882352941176471;0.64;0.6181960784313726;0.9166666666666666;1.0;0.6666666666666666;0.6923076923076923;0.8888888888888888;0.832905982905983;0.44;0.16;0.3076923076923077;0.34615384615384615;0.32;0.3147692307692308;0.5945945945945945;0.2758620689655173;0.42105263157894735;0.46153846153846156;0.47058823529411764;0.44472719839432767;11;4;8;9;8;8.0;25;26;21;21;24;23.4;1;0;4;4;1;2.0;14;21;18;17;17;17.4;0.6875;0.9285714285714286;0.40625;0.5652173913043478;13;31;1;19
0;13_Graphs;SVC_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.005023479461669922;0.005767822265625;0.0063550472259521484;0.006417751312255859;0.00476837158203125;0.005666494369506836;0.004239797592163086;0.004929065704345703;0.006039142608642578;0.0059146881103515625;0.004048824310302734;0.005034303665161133;0.7843137254901961;0.7254901960784313;0.6666666666666666;0.6862745098039216;0.8;0.732549019607843;0.8181818181818182;0.7391304347826086;0.68;0.65625;0.8;0.7387124505928855;0.72;0.68;0.6538461538461539;0.8076923076923077;0.8;0.7323076923076922;0.7659574468085107;0.7083333333333334;0.6666666666666666;0.7241379310344829;0.8000000000000002;0.7330190755685988;18;17;17;21;20;18.6;22;20;17;14;20;18.6;4;6;8;11;5;6.8;7;8;9;5;5;6.8;0.703125;0.6756756756756757;0.78125;0.7246376811594203;25;20;12;7
0;13_Graphs;KNN_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.0010826587677001953;0.001119375228881836;0.0011181831359863281;0.0011439323425292969;0.001111745834350586;0.0011151790618896484;0.019464969635009766;0.018712520599365234;0.04140782356262207;0.04284501075744629;0.04409337043762207;0.03330473899841309;0.6274509803921569;0.5490196078431373;0.6274509803921569;0.5686274509803921;0.64;0.6025098039215686;0.6875;0.6;0.6521739130434783;0.7;0.7692307692307693;0.6817809364548495;0.44;0.24;0.5769230769230769;0.2692307692307692;0.4;0.38523076923076915;0.5365853658536586;0.34285714285714286;0.6122448979591837;0.3888888888888889;0.5263157894736842;0.48137841700651157;11;6;15;7;10;9.8;21;22;17;22;22;20.8;5;4;8;3;3;4.6;14;19;11;19;15;15.6;0.640625;0.7647058823529411;0.40625;0.5306122448979592;13;28;4;19
0;13_Graphs;KNN_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.0010712146759033203;0.001155853271484375;0.0011572837829589844;0.0011401176452636719;0.0009446144104003906;0.0010938167572021485;0.026671409606933594;0.018012285232543945;0.016224384307861328;0.023011445999145508;0.027816057205200195;0.022347116470336915;0.5686274509803921;0.5098039215686274;0.5490196078431373;0.49019607843137253;0.52;0.5275294117647059;0.8;0.5;1.0;0.5;0.6666666666666666;0.6933333333333332;0.16;0.08;0.11538461538461539;0.11538461538461539;0.08;0.11015384615384616;0.26666666666666666;0.13793103448275865;0.20689655172413793;0.1875;0.14285714285714285;0.18837027914614118;4;2;3;3;2;2.8;25;24;25;22;24;24.0;1;2;0;3;1;1.4;21;23;23;23;23;22.6;0.53125;0.6;0.1875;0.2857142857142857;6;28;4;26
0;13_Graphs;RandomForestClassifier_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.17794418334960938;0.19200420379638672;0.17745399475097656;0.20404911041259766;0.2059764862060547;0.191485595703125;0.022554397583007812;0.022074460983276367;0.023013830184936523;0.024094343185424805;0.020673274993896484;0.0224820613861084;0.803921568627451;0.6078431372549019;0.6666666666666666;0.6274509803921569;0.76;0.6931764705882353;0.8260869565217391;0.6666666666666666;0.6666666666666666;0.6521739130434783;0.8095238095238095;0.724223602484472;0.76;0.4;0.6923076923076923;0.5769230769230769;0.68;0.6218461538461539;0.7916666666666667;0.5;0.6792452830188679;0.6122448979591837;0.7391304347826089;0.6644574564854655;19;10;18;15;17;15.8;22;21;16;17;21;19.4;4;5;9;8;4;6.0;6;15;8;11;8;9.6;0.625;0.6333333333333333;0.59375;0.6129032258064516;19;21;11;13
0;13_Graphs;RandomForestClassifier_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.21228599548339844;0.19672465324401855;0.19367170333862305;0.19863343238830566;0.18088936805725098;0.19644103050231934;0.01772165298461914;0.0190274715423584;0.021530866622924805;0.022635936737060547;0.025650501251220703;0.021313285827636717;0.7450980392156863;0.7254901960784313;0.6862745098039216;0.7254901960784313;0.72;0.7204705882352942;0.8;0.8235294117647058;0.7083333333333334;0.7142857142857143;0.7619047619047619;0.7616106442577031;0.64;0.56;0.6538461538461539;0.7692307692307693;0.64;0.6526153846153846;0.7111111111111111;0.6666666666666666;0.68;0.7407407407407408;0.6956521739130435;0.6988341384863125;16;14;17;20;16;16.6;22;23;18;17;20;20.0;4;3;7;8;5;5.4;9;11;9;6;9;8.8;0.75;0.7666666666666667;0.71875;0.7419354838709677;23;25;7;9
0;13_Graphs;SGDClassifier_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.0070018768310546875;0.007664680480957031;0.00691986083984375;0.00767827033996582;0.0069882869720458984;0.007250595092773438;0.004821300506591797;0.004589557647705078;0.00956106185913086;0.00463557243347168;0.004517793655395508;0.0056250572204589845;0.6666666666666666;0.6862745098039216;0.6274509803921569;0.6470588235294118;0.46;0.6174901960784314;0.6428571428571429;0.68;0.6296296296296297;0.6176470588235294;0.4666666666666667;0.6073600995953938;0.72;0.68;0.6538461538461539;0.8076923076923077;0.56;0.6843076923076923;0.6792452830188679;0.68;0.6415094339622641;0.7;0.509090909090909;0.6419691252144082;18;17;17;21;14;17.4;16;18;15;12;9;14.0;10;8;10;13;16;11.4;7;8;9;5;11;8.0;0.65625;0.6470588235294118;0.6875;0.6666666666666667;22;20;12;10
0;13_Graphs;SGDClassifier_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.0070149898529052734;0.006970643997192383;0.005397796630859375;0.005482912063598633;0.0067484378814697266;0.0063229560852050785;0.004942893981933594;0.004832744598388672;0.004003047943115234;0.0034220218658447266;0.004930973052978516;0.004426336288452149;0.7450980392156863;0.6862745098039216;0.6666666666666666;0.6862745098039216;0.74;0.7048627450980393;0.8333333333333334;0.6666666666666666;0.6451612903225806;0.8571428571428571;0.7727272727272727;0.7550062840385421;0.6;0.72;0.7692307692307693;0.46153846153846156;0.68;0.6461538461538462;0.6976744186046512;0.6923076923076923;0.7017543859649122;0.6;0.7234042553191491;0.683028150439281;15;18;20;12;17;16.4;23;17;14;23;20;19.4;3;9;11;2;5;6.0;10;7;6;14;8;9.0;0.6875;0.6666666666666666;0.75;0.7058823529411765;24;20;12;8
