;PipelineID;Pipeline;Train dataset;Validation dataset;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_acc_cv1;test_acc_cv2;test_acc_cv3;test_acc_cv4;test_acc_cv5;test_acc_mean;test_prec_cv1;test_prec_cv2;test_prec_cv3;test_prec_cv4;test_prec_cv5;test_prec_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;acc_overall;prec_overall;recall_overall;f1-score_overall;tp_overall;tn_overall;fp_overall;fn_overall
0;13_Reinforcement Learning;LR_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.02579188346862793;0.020046234130859375;0.027440547943115234;0.025353193283081055;0.01719379425048828;0.023165130615234376;0.00529026985168457;0.003224611282348633;0.0052947998046875;0.005631685256958008;0.003135204315185547;0.004515314102172851;0.8441558441558441;0.7792207792207793;0.7467532467532467;0.7973856209150327;0.7843137254901961;0.7903658433070196;0.8271604938271605;0.7311827956989247;0.7111111111111111;0.7586206896551724;0.7682926829268293;0.7592735546438396;0.8701298701298701;0.8831168831168831;0.8311688311688312;0.868421052631579;0.8181818181818182;0.8542036910457963;0.8481012658227849;0.7999999999999999;0.7664670658682636;0.8098159509202454;0.7924528301886793;0.8033674225599947;67;68;64;66;63;65.6;63;52;51;56;57;55.8;14;25;26;21;19;21.0;10;9;13;10;14;11.2;0.7239583333333334;0.6936936936936937;0.8020833333333334;0.7439613526570048;77;62;34;19
0;13_Reinforcement Learning;LR_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.007768392562866211;0.0076138973236083984;0.007324934005737305;0.012752294540405273;0.011089324951171875;0.009309768676757812;0.0030133724212646484;0.003032207489013672;0.0030660629272460938;0.005654811859130859;0.005085468292236328;0.00397038459777832;0.7727272727272727;0.8246753246753247;0.7792207792207793;0.803921568627451;0.7777777777777778;0.791664544605721;0.8181818181818182;0.8787878787878788;0.7866666666666666;0.8194444444444444;0.8307692307692308;0.8267700077700078;0.7012987012987013;0.7532467532467533;0.7662337662337663;0.7763157894736842;0.7012987012987013;0.7396787423103213;0.7552447552447552;0.8111888111888111;0.7763157894736841;0.7972972972972973;0.76056338028169;0.7801220066972475;54;58;59;59;54;56.8;65;69;61;64;65;64.8;12;8;16;13;11;12.0;23;19;18;17;23;20.0;0.7604166666666666;0.7840909090909091;0.71875;0.75;69;77;19;27
0;13_Reinforcement Learning;SVC_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.03325009346008301;0.033368587493896484;0.03286004066467285;0.03368830680847168;0.03292584419250488;0.03321857452392578;0.01061701774597168;0.013271093368530273;0.013142108917236328;0.012907028198242188;0.01307225227355957;0.012601900100708007;0.7792207792207793;0.7987012987012987;0.7012987012987013;0.7581699346405228;0.738562091503268;0.7551905610729139;0.7415730337078652;0.73;0.6396396396396397;0.6857142857142857;0.6868686868686869;0.6967591291860955;0.8571428571428571;0.948051948051948;0.922077922077922;0.9473684210526315;0.8831168831168831;0.9115516062884484;0.7951807228915663;0.824858757062147;0.7553191489361702;0.7955801104972374;0.7727272727272728;0.7887332024228788;66;73;71;72;68;70.0;54;50;37;44;45;46.0;23;27;40;33;31;30.8;11;4;6;4;9;6.8;0.7395833333333334;0.6742424242424242;0.9270833333333334;0.7807017543859649;89;53;43;7
0;13_Reinforcement Learning;SVC_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.029589176177978516;0.028532028198242188;0.0319821834564209;0.03145432472229004;0.02827763557434082;0.029967069625854492;0.008571147918701172;0.010082721710205078;0.011882781982421875;0.012050390243530273;0.008951663970947266;0.010307741165161134;0.8311688311688312;0.8311688311688312;0.7662337662337663;0.803921568627451;0.8169934640522876;0.8098972922502334;0.8591549295774648;0.8493150684931506;0.735632183908046;0.7948717948717948;0.8266666666666667;0.8131281287034244;0.7922077922077922;0.8051948051948052;0.8311688311688312;0.8157894736842105;0.8051948051948052;0.8099111414900889;0.8243243243243243;0.8266666666666668;0.7804878048780488;0.8051948051948051;0.8157894736842106;0.8104926149496112;61;62;64;62;62;62.2;67;66;54;61;63;62.2;10;11;23;16;13;14.6;16;15;13;14;15;14.6;0.7447916666666666;0.7582417582417582;0.71875;0.7379679144385026;69;74;22;27
0;13_Reinforcement Learning;KNN_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.0011157989501953125;0.001157999038696289;0.0010848045349121094;0.0010793209075927734;0.000911712646484375;0.001069927215576172;0.028044939041137695;0.027361392974853516;0.02339482307434082;0.026748180389404297;0.024801969528198242;0.026070261001586915;0.6948051948051948;0.6948051948051948;0.6623376623376623;0.6928104575163399;0.6601307189542484;0.680977845683728;0.6973684210526315;0.6785714285714286;0.6404494382022472;0.6790123456790124;0.6436781609195402;0.667815958884972;0.6883116883116883;0.7402597402597403;0.7402597402597403;0.7236842105263158;0.7272727272727273;0.7239576213260424;0.6928104575163399;0.7080745341614907;0.6867469879518073;0.7006369426751592;0.6829268292682927;0.6942391503146179;53;57;57;55;56;55.6;54;50;45;51;45;49.0;23;27;32;26;31;27.8;24;20;20;21;21;21.2;0.7291666666666666;0.7075471698113207;0.78125;0.7425742574257426;75;65;31;21
0;13_Reinforcement Learning;KNN_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.0013229846954345703;0.0012323856353759766;0.0012028217315673828;0.0013642311096191406;0.001262664794921875;0.001277017593383789;0.02706122398376465;0.02445816993713379;0.023953676223754883;0.03763985633850098;0.029291391372680664;0.02848086357116699;0.6753246753246753;0.6168831168831169;0.6168831168831169;0.6078431372549019;0.673202614379085;0.6380273321449792;0.6310679611650486;0.5803571428571429;0.5725806451612904;0.5655737704918032;0.6336633663366337;0.5966485772023838;0.8441558441558441;0.8441558441558441;0.922077922077922;0.9078947368421053;0.8311688311688312;0.8698906356801095;0.7222222222222222;0.6878306878306879;0.7064676616915424;0.6969696969696969;0.7191011235955057;0.706518278461931;65;65;71;69;64;66.8;39;30;24;24;39;31.2;38;47;53;53;37;45.6;12;12;6;7;13;10.0;0.6666666666666666;0.626984126984127;0.8229166666666666;0.7117117117117118;79;49;47;17
0;13_Reinforcement Learning;RandomForestClassifier_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.261183500289917;0.2813742160797119;0.2732207775115967;0.2866795063018799;0.29055356979370117;0.27860231399536134;0.0330808162689209;0.026170969009399414;0.02972722053527832;0.02123546600341797;0.03373074531555176;0.028789043426513672;0.7727272727272727;0.8311688311688312;0.7727272727272727;0.8235294117647058;0.7908496732026143;0.7982004923181393;0.828125;0.7865168539325843;0.75;0.7951807228915663;0.7647058823529411;0.7849056918354184;0.6883116883116883;0.9090909090909091;0.8181818181818182;0.868421052631579;0.8441558441558441;0.8256322624743678;0.7517730496453902;0.8433734939759036;0.7826086956521738;0.8301886792452832;0.8024691358024691;0.8020826108642438;53;70;63;66;65;63.4;66;58;56;60;56;59.2;11;19;21;17;20;17.6;24;7;14;10;12;13.4;0.703125;0.6695652173913044;0.8020833333333334;0.7298578199052133;77;58;38;19
0;13_Reinforcement Learning;RandomForestClassifier_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.27502989768981934;0.28586745262145996;0.2670586109161377;0.2733283042907715;0.26275038719177246;0.2728069305419922;0.025057077407836914;0.0309298038482666;0.0262448787689209;0.032660484313964844;0.02890777587890625;0.0287600040435791;0.8051948051948052;0.8051948051948052;0.7662337662337663;0.7777777777777778;0.7973856209150327;0.7903573550632375;0.7974683544303798;0.7831325301204819;0.735632183908046;0.75;0.7804878048780488;0.7693441746673912;0.8181818181818182;0.8441558441558441;0.8311688311688312;0.8289473684210527;0.8311688311688312;0.8307245386192754;0.8076923076923078;0.8124999999999999;0.7804878048780488;0.7875;0.8050314465408805;0.7986423118222474;63;65;64;63;64;63.8;61;59;54;56;58;57.6;16;18;23;21;18;19.2;14;12;13;13;13;13.0;0.7760416666666666;0.7476635514018691;0.8333333333333334;0.7881773399014778;80;69;27;16
0;13_Reinforcement Learning;SGDClassifier_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.007910966873168945;0.006030559539794922;0.0057811737060546875;0.008597850799560547;0.005506992340087891;0.006765508651733398;0.005448579788208008;0.0031311511993408203;0.003422260284423828;0.005125522613525391;0.0035712718963623047;0.004139757156372071;0.8181818181818182;0.7922077922077922;0.7337662337662337;0.803921568627451;0.7320261437908496;0.776020711314829;0.7816091954022989;0.7586206896551724;0.7307692307692307;0.7395833333333334;0.7142857142857143;0.7449736326891501;0.8831168831168831;0.8571428571428571;0.7402597402597403;0.9342105263157895;0.7792207792207793;0.8387901572112098;0.8292682926829268;0.8048780487804879;0.7354838709677418;0.8255813953488373;0.7453416149068324;0.7881106445373652;68;66;57;71;60;64.4;58;56;56;52;52;54.8;19;21;21;25;24;22.0;9;11;20;5;17;12.4;0.7239583333333334;0.6902654867256637;0.8125;0.7464114832535885;78;61;35;18
0;13_Reinforcement Learning;SGDClassifier_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.00931692123413086;0.007676601409912109;0.007956743240356445;0.007202863693237305;0.0063364505767822266;0.007697916030883789;0.004972219467163086;0.0037491321563720703;0.0038301944732666016;0.004419803619384766;0.003936290740966797;0.004181528091430664;0.7467532467532467;0.7467532467532467;0.7402597402597403;0.7647058823529411;0.7254901960784313;0.7447924624395212;0.7638888888888888;0.7794117647058824;0.7283950617283951;0.8703703703703703;0.7397260273972602;0.7763584226181593;0.7142857142857143;0.6883116883116883;0.7662337662337663;0.618421052631579;0.7012987012987013;0.69771018455229;0.7382550335570469;0.7310344827586206;0.7468354430379747;0.723076923076923;0.7200000000000001;0.731840376486113;55;53;59;47;54;53.6;60;62;55;70;57;60.8;17;15;22;7;19;16.0;22;24;18;29;23;23.2;0.7447916666666666;0.7473684210526316;0.7395833333333334;0.743455497382199;71;72;24;25
