;PipelineID;Pipeline;Train dataset;Validation dataset;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_acc_cv1;test_acc_cv2;test_acc_cv3;test_acc_cv4;test_acc_cv5;test_acc_mean;test_prec_cv1;test_prec_cv2;test_prec_cv3;test_prec_cv4;test_prec_cv5;test_prec_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;acc_overall;prec_overall;recall_overall;f1-score_overall;tp_overall;tn_overall;fp_overall;fn_overall
0;13_Sequential;LR_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.019882917404174805;0.02193450927734375;0.021619558334350586;0.0133819580078125;0.014933109283447266;0.01835041046142578;0.003680706024169922;0.005076408386230469;0.0051081180572509766;0.0032329559326171875;0.003401517868041992;0.00409994125366211;0.6986301369863014;0.547945205479452;0.6527777777777778;0.7638888888888888;0.6388888888888888;0.6604261796042618;0.6944444444444444;0.5384615384615384;0.6170212765957447;0.7714285714285715;0.6388888888888888;0.6520489439638376;0.6944444444444444;0.7567567567567568;0.8055555555555556;0.75;0.6388888888888888;0.7291291291291292;0.6944444444444444;0.6292134831460674;0.6987951807228916;0.7605633802816902;0.6388888888888888;0.6843810754967964;25;28;29;27;23;26.4;26;12;18;28;23;21.4;11;24;18;8;13;14.8;11;9;7;9;13;9.8;0.6444444444444445;0.6226415094339622;0.7333333333333333;0.673469387755102;33;25;20;12
0;13_Sequential;LR_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.005265712738037109;0.0046732425689697266;0.004950284957885742;0.0073010921478271484;0.00711822509765625;0.005861711502075195;0.0035266876220703125;0.0029251575469970703;0.0029265880584716797;0.005159854888916016;0.004588127136230469;0.0038252830505371093;0.547945205479452;0.684931506849315;0.5972222222222222;0.6527777777777778;0.6666666666666666;0.6299086757990867;0.5483870967741935;0.6842105263157895;0.5897435897435898;0.6222222222222222;0.7307692307692307;0.6350665331650052;0.4722222222222222;0.7027027027027027;0.6388888888888888;0.7777777777777778;0.5277777777777778;0.6238738738738738;0.5074626865671641;0.6933333333333334;0.6133333333333332;0.6913580246913581;0.6129032258064515;0.623678120746328;17;26;23;28;19;22.6;23;24;20;19;29;23.0;14;12;16;17;7;13.2;19;11;13;8;17;13.6;0.7;0.6607142857142857;0.8222222222222222;0.7326732673267325;37;26;19;8
0;13_Sequential;SVC_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.011505126953125;0.011327505111694336;0.011541366577148438;0.011414766311645508;0.008597850799560547;0.010877323150634766;0.008682489395141602;0.007040500640869141;0.007323741912841797;0.0075490474700927734;0.0068721771240234375;0.00749359130859375;0.6027397260273972;0.5068493150684932;0.5972222222222222;0.5277777777777778;0.6388888888888888;0.5746955859969558;0.6521739130434783;0.5076923076923077;0.559322033898305;0.5178571428571429;0.5892857142857143;0.5652662223553897;0.4166666666666667;0.8918918918918919;0.9166666666666666;0.8055555555555556;0.9166666666666666;0.7894894894894894;0.5084745762711865;0.6470588235294117;0.6947368421052631;0.6304347826086957;0.717391304347826;0.6396192657724766;15;33;33;29;33;28.6;29;4;10;9;13;13.0;8;32;26;27;23;23.2;21;4;3;7;3;7.6;0.6666666666666666;0.6056338028169014;0.9555555555555556;0.7413793103448275;43;17;28;2
0;13_Sequential;SVC_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.010720252990722656;0.011324882507324219;0.00964498519897461;0.012160539627075195;0.011257648468017578;0.011021661758422851;0.007141590118408203;0.006958723068237305;0.007258415222167969;0.007112026214599609;0.006791353225708008;0.007052421569824219;0.6027397260273972;0.684931506849315;0.5833333333333334;0.6388888888888888;0.5972222222222222;0.6214231354642313;0.5945945945945946;0.675;0.575;0.6086956521739131;0.6129032258064516;0.6132386945149919;0.6111111111111112;0.7297297297297297;0.6388888888888888;0.7777777777777778;0.5277777777777778;0.6570570570570571;0.6027397260273972;0.7012987012987014;0.6052631578947367;0.6829268292682927;0.5671641791044777;0.6318785187187211;22;27;23;28;19;23.8;22;23;19;18;24;21.2;15;13;17;18;12;15.0;14;10;13;8;17;12.4;0.7111111111111111;0.6792452830188679;0.8;0.7346938775510203;36;28;17;9
0;13_Sequential;KNN_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.0011124610900878906;0.0011830329895019531;0.0010077953338623047;0.0010454654693603516;0.0010712146759033203;0.0010839939117431641;0.02004408836364746;0.017432689666748047;0.02116250991821289;0.019375085830688477;0.02393364906311035;0.020389604568481445;0.6986301369863014;0.4931506849315068;0.6666666666666666;0.6666666666666666;0.5833333333333334;0.621689497716895;0.6521739130434783;0.5;0.6111111111111112;0.6428571428571429;0.5652173913043478;0.594271911663216;0.8333333333333334;0.7837837837837838;0.9166666666666666;0.75;0.7222222222222222;0.8012012012012011;0.7317073170731708;0.6105263157894737;0.7333333333333334;0.6923076923076924;0.6341463414634146;0.680404199993417;30;29;33;27;26;29.0;21;7;15;21;16;16.0;16;29;21;15;20;20.2;6;8;3;9;10;7.2;0.6222222222222222;0.6;0.7333333333333333;0.6599999999999999;33;23;22;12
0;13_Sequential;KNN_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.0010683536529541016;0.0010564327239990234;0.0009245872497558594;0.0010895729064941406;0.0010714530944824219;0.0010420799255371094;0.021546363830566406;0.017499208450317383;0.02261805534362793;0.01735520362854004;0.018049955368041992;0.01941375732421875;0.5068493150684932;0.589041095890411;0.5277777777777778;0.5138888888888888;0.5694444444444444;0.541400304414003;0.5;0.574468085106383;0.525;0.5076923076923077;0.5396825396825397;0.5293685864962461;0.6388888888888888;0.7297297297297297;0.5833333333333334;0.9166666666666666;0.9444444444444444;0.7626126126126126;0.5609756097560975;0.6428571428571429;0.5526315789473685;0.6534653465346535;0.6868686868686867;0.6193596729927899;23;27;21;33;34;27.6;14;16;17;4;7;11.6;23;20;19;32;29;24.6;13;10;15;3;2;8.6;0.6;0.5692307692307692;0.8222222222222222;0.6727272727272727;37;17;28;8
0;13_Sequential;RandomForestClassifier_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.21498847007751465;0.19572234153747559;0.2021021842956543;0.21743416786193848;0.21184396743774414;0.20841822624206544;0.02057337760925293;0.02495408058166504;0.022970199584960938;0.019128084182739258;0.02063441276550293;0.021652030944824218;0.6986301369863014;0.5753424657534246;0.6527777777777778;0.5972222222222222;0.625;0.6297945205479453;0.7333333333333333;0.5681818181818182;0.627906976744186;0.5897435897435898;0.6451612903225806;0.6328654016651016;0.6111111111111112;0.6756756756756757;0.75;0.6388888888888888;0.5555555555555556;0.6462462462462464;0.6666666666666666;0.617283950617284;0.6835443037974683;0.6133333333333332;0.5970149253731343;0.6355686359575773;22;25;27;23;20;23.4;29;17;20;20;25;22.2;8;19;16;16;11;14.0;14;12;9;13;16;12.8;0.7333333333333333;0.723404255319149;0.7555555555555555;0.7391304347826088;34;32;13;11
0;13_Sequential;RandomForestClassifier_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.20674514770507812;0.21772074699401855;0.22076082229614258;0.21634340286254883;0.22411036491394043;0.21713609695434571;0.02383255958557129;0.023971080780029297;0.021610260009765625;0.02354288101196289;0.024626970291137695;0.023516750335693358;0.547945205479452;0.684931506849315;0.625;0.5972222222222222;0.5972222222222222;0.6104642313546423;0.5384615384615384;0.6590909090909091;0.6216216216216216;0.5777777777777777;0.6129032258064516;0.6019710145516597;0.5833333333333334;0.7837837837837838;0.6388888888888888;0.7222222222222222;0.5277777777777778;0.6512012012012012;0.5599999999999999;0.7160493827160493;0.6301369863013699;0.6419753086419753;0.5671641791044777;0.6230651713527745;21;29;23;26;19;23.6;19;21;22;17;24;20.6;18;15;14;19;12;15.6;15;8;13;10;17;12.6;0.7111111111111111;0.6792452830188679;0.8;0.7346938775510203;36;28;17;9
0;13_Sequential;SGDClassifier_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.007289409637451172;0.0073621273040771484;0.00763249397277832;0.006323575973510742;0.008045434951782227;0.007330608367919922;0.005192279815673828;0.004967689514160156;0.0049021244049072266;0.0048675537109375;0.004719972610473633;0.004929924011230468;0.6164383561643836;0.547945205479452;0.7222222222222222;0.6805555555555556;0.625;0.6384322678843226;0.625;0.5555555555555556;0.6904761904761905;0.6511627906976745;0.6097560975609756;0.6263901268580793;0.5555555555555556;0.5405405405405406;0.8055555555555556;0.7777777777777778;0.6944444444444444;0.6747747747747749;0.5882352941176471;0.547945205479452;0.7435897435897436;0.7088607594936709;0.6493506493506495;0.6475963304062327;20;20;29;28;25;24.4;25;20;23;21;20;21.8;12;16;13;15;16;14.4;16;17;7;8;11;11.8;0.6333333333333333;0.6304347826086957;0.6444444444444445;0.6373626373626373;29;28;17;16
0;13_Sequential;SGDClassifier_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.007055044174194336;0.005847454071044922;0.0073299407958984375;0.007195949554443359;0.007339000701904297;0.00695347785949707;0.004979610443115234;0.0032052993774414062;0.005007743835449219;0.0048749446868896484;0.004179716110229492;0.004449462890625;0.5342465753424658;0.726027397260274;0.5138888888888888;0.5972222222222222;0.6666666666666666;0.6076103500761035;0.5227272727272727;0.7297297297297297;0.5172413793103449;0.5853658536585366;0.6764705882352942;0.6063069647322357;0.6388888888888888;0.7297297297297297;0.4166666666666667;0.6666666666666666;0.6388888888888888;0.6181681681681682;0.575;0.7297297297297297;0.46153846153846156;0.6233766233766234;0.6571428571428571;0.6093575343575343;23;27;15;24;23;22.4;16;26;22;19;25;21.6;21;10;14;17;11;14.6;13;10;21;12;13;13.8;0.6555555555555556;0.6458333333333334;0.6888888888888889;0.6666666666666667;31;28;17;14
