PipelineID;Pipeline;train_set;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_accuracy_cv1;test_accuracy_cv2;test_accuracy_cv3;test_accuracy_cv4;test_accuracy_cv5;test_accuracy_mean;train_accuracy_cv1;train_accuracy_cv2;train_accuracy_cv3;train_accuracy_cv4;train_accuracy_cv5;train_accuracy_mean;test_precision_cv1;test_precision_cv2;test_precision_cv3;test_precision_cv4;test_precision_cv5;test_precision_mean;train_precision_cv1;train_precision_cv2;train_precision_cv3;train_precision_cv4;train_precision_cv5;train_precision_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;train_recall_cv1;train_recall_cv2;train_recall_cv3;train_recall_cv4;train_recall_cv5;train_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;train_f1-score_cv1;train_f1-score_cv2;train_f1-score_cv3;train_f1-score_cv4;train_f1-score_cv5;train_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;train_tp_cv1;train_tp_cv2;train_tp_cv3;train_tp_cv4;train_tp_cv5;train_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;train_tn_cv1;train_tn_cv2;train_tn_cv3;train_tn_cv4;train_tn_cv5;train_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;train_fp_cv1;train_fp_cv2;train_fp_cv3;train_fp_cv4;train_fp_cv5;train_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;train_fn_cv1;train_fn_cv2;train_fn_cv3;train_fn_cv4;train_fn_cv5;train_fn_mean
Natural Language Processing;LR_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;1.475687026977539;1.2285985946655273;1.5297136306762695;1.6029717922210693;1.668489694595337;1.5010921478271484;0.2268540859222412;0.24190926551818848;0.21727252006530762;0.19230341911315918;0.21839261054992676;0.21934638023376465;0.9281767955801105;0.9030470914127424;0.9335180055401662;0.9141274238227147;0.8836565096952909;0.912505165210205;0.9993074792243767;0.9986159169550173;0.9986159169550173;0.9993079584775086;0.9986159169550173;0.9988926377133875;0.8805970149253731;0.8059701492537313;0.8513513513513513;0.8688524590163934;0.7297297297297297;0.8273001408553158;1.0;1.0;1.0;1.0;1.0;1.0;0.7662337662337663;0.7105263157894737;0.8289473684210527;0.6973684210526315;0.7105263157894737;0.7427204374572796;0.9967105263157895;0.9934426229508196;0.9934426229508196;0.9967213114754099;0.9934426229508196;0.9947519413287317;0.8194444444444445;0.7552447552447553;0.8400000000000001;0.7737226277372262;0.7200000000000001;0.7816823654852854;0.9983525535420099;0.9967105263157894;0.9967105263157894;0.9983579638752053;0.9967105263157894;0.9973684192729166;277;272;274;277;265;273.0;1140;1140;1140;1140;1140;1140.0;59;54;63;53;54;56.6;303;303;303;304;303;303.2;18;22;13;23;22;19.6;1;2;2;1;2;1.6;8;13;11;8;20;12.0;0;0;0;0;0;0.0
Natural Language Processing;LR_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.9864945411682129;0.9749870300292969;1.0048818588256836;0.9489164352416992;0.9422073364257812;0.9714974403381348;0.10565328598022461;0.11258435249328613;0.10026407241821289;0.19146180152893066;0.13700509071350098;0.12939372062683105;0.9033149171270718;0.8698060941828255;0.9279778393351801;0.889196675900277;0.8753462603878116;0.8931283573866331;0.925207756232687;0.9335640138408304;0.9224913494809689;0.9204152249134948;0.9238754325259516;0.9251107553987865;0.9375;0.8536585365853658;0.9629629629629629;0.95;0.8444444444444444;0.9097131887985546;0.9851485148514851;0.995260663507109;0.9707317073170731;0.9846938775510204;0.975609756097561;0.9822889038648498;0.5844155844155844;0.4605263157894737;0.6842105263157895;0.5;0.5;0.5458304853041696;0.6546052631578947;0.6885245901639344;0.6524590163934426;0.6327868852459017;0.6557377049180327;0.6568226919758412;0.7200000000000001;0.5982905982905983;0.7999999999999999;0.6551724137931034;0.6280991735537189;0.680312437127484;0.7865612648221343;0.8139534883720929;0.7803921568627452;0.7704590818363274;0.7843137254901961;0.7871359434766991;282;279;283;283;278;281.0;1137;1139;1134;1137;1135;1136.4;45;35;52;38;38;41.6;199;210;199;193;200;200.2;32;41;24;38;38;34.6;105;95;106;112;105;104.6;3;6;2;2;7;4.0;3;1;6;3;5;3.6
Natural Language Processing;SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;13.74671459197998;10.422576904296875;10.690561294555664;13.32487964630127;10.889992475509644;11.814944982528687;0.4296410083770752;0.5399210453033447;0.5680572986602783;0.495697021484375;0.5680766105651855;0.5202785968780518;0.8895027624309392;0.8614958448753463;0.9002770083102493;0.9030470914127424;0.8753462603878116;0.8859337934834176;0.9445983379501385;0.9321799307958477;0.928719723183391;0.9307958477508651;0.9356401384083045;0.9343867956177094;0.9111111111111111;0.8095238095238095;0.9347826086956522;0.9555555555555556;0.8163265306122449;0.8854599230996747;0.9912280701754386;0.9769585253456221;0.9719626168224299;0.9767441860465116;0.9818181818181818;0.9797423160416369;0.5324675324675324;0.4473684210526316;0.5657894736842105;0.5657894736842105;0.5263157894736842;0.5275461380724538;0.743421052631579;0.6950819672131148;0.6819672131147541;0.6885245901639344;0.7081967213114754;0.7034383088869716;0.6721311475409836;0.576271186440678;0.7049180327868853;0.7107438016528925;0.64;0.6608128336842879;0.849624060150376;0.8122605363984674;0.8015414258188824;0.8076923076923077;0.8228571428571428;0.8187950945834352;281;277;282;283;276;279.8;1138;1135;1134;1135;1136;1135.6;41;34;43;43;40;40.2;226;212;208;210;216;214.4;36;42;33;33;36;36.0;78;93;97;95;89;90.4;4;8;3;2;9;5.2;2;5;6;5;4;4.4
Natural Language Processing;SVC_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;19.437705039978027;21.061090230941772;18.179391384124756;19.991183519363403;18.190286874771118;19.371931409835817;0.9967014789581299;0.8896682262420654;0.8299405574798584;0.9991581439971924;0.8987488746643066;0.9228434562683105;0.9281767955801105;0.8947368421052632;0.9362880886426593;0.9030470914127424;0.8947368421052632;0.9113971319692077;0.9979224376731302;0.9986159169550173;0.9979238754325259;0.9972318339100346;0.9965397923875432;0.9976467712716502;0.9473684210526315;0.8653846153846154;0.9344262295081968;0.9555555555555556;0.8064516129032258;0.9018372868808451;0.9966996699669967;0.9967213114754099;0.9934640522875817;0.9934426229508196;0.993421052631579;0.9947497418624774;0.7012987012987013;0.5921052631578947;0.75;0.5657894736842105;0.6578947368421053;0.6534176349965823;0.993421052631579;0.9967213114754099;0.9967213114754099;0.9934426229508196;0.9901639344262295;0.9940940465918896;0.8059701492537314;0.703125;0.832116788321168;0.7107438016528925;0.7246376811594202;0.7553186840774424;0.9950576606260296;0.9967213114754099;0.9950900163666122;0.9934426229508196;0.9917898193760264;0.9944202861589796;282;278;281;283;273;279.4;1139;1139;1138;1138;1138;1138.4;54;45;57;43;50;49.8;302;304;304;303;302;303.0;23;31;19;33;26;26.4;2;1;1;2;3;1.8;3;7;4;2;12;5.6;1;1;2;2;2;1.6
Natural Language Processing;KNN_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.5119004249572754;0.716364860534668;0.43938684463500977;0.7205502986907959;0.42248082160949707;0.5621366500854492;0.26874399185180664;0.300800085067749;0.25556373596191406;0.31040334701538086;0.25194787979125977;0.27749180793762207;0.8674033149171271;0.8448753462603878;0.8864265927977839;0.8587257617728532;0.8587257617728532;0.863231355504201;1.0;1.0;1.0;1.0;1.0;1.0;0.967741935483871;0.8125;0.9069767441860465;0.9310344827586207;0.8787878787878788;0.8994082082432833;1.0;1.0;1.0;1.0;1.0;1.0;0.38961038961038963;0.34210526315789475;0.5131578947368421;0.35526315789473684;0.3815789473684211;0.3963431305536569;1.0;1.0;1.0;1.0;1.0;1.0;0.5555555555555557;0.4814814814814815;0.6554621848739496;0.5142857142857142;0.5321100917431193;0.547779005587964;1.0;1.0;1.0;1.0;1.0;1.0;284;279;281;283;281;281.6;1140;1140;1140;1140;1140;1140.0;30;26;39;27;29;30.2;304;305;305;305;305;304.8;47;50;37;49;47;46.0;0;0;0;0;0;0.0;1;6;4;2;4;3.4;0;0;0;0;0;0.0
Natural Language Processing;KNN_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.7337520122528076;0.5581750869750977;0.7684431076049805;0.5062236785888672;0.5182900428771973;0.6169767856597901;0.313291072845459;0.2526586055755615;0.33251166343688965;0.23209309577941895;0.23843073844909668;0.27379703521728516;0.930939226519337;0.9085872576177285;0.925207756232687;0.9113573407202216;0.8947368421052632;0.9141656846390473;0.945983379501385;0.9522491349480969;0.9508650519031142;0.9480968858131488;0.9480968858131488;0.9490582675957787;0.8333333333333334;0.7590361445783133;0.8024691358024691;0.8666666666666667;0.7317073170731707;0.7986425194907907;0.8951048951048951;0.890728476821192;0.90625;0.8885135135135135;0.896551724137931;0.8954297219155063;0.8441558441558441;0.8289473684210527;0.8552631578947368;0.6842105263157895;0.7894736842105263;0.8004101161995898;0.8421052631578947;0.8819672131147541;0.8557377049180328;0.8622950819672132;0.8524590163934426;0.8589128559102674;0.8387096774193548;0.7924528301886792;0.8280254777070064;0.7647058823529413;0.7594936708860759;0.7966775077108115;0.8677966101694916;0.886326194398682;0.8802698145025296;0.8752079866888519;0.8739495798319327;0.8767100371182975;272;265;269;277;263;269.2;1110;1107;1113;1107;1110;1109.4;65;63;65;52;60;61.0;256;269;261;263;260;261.8;12;13;11;24;16;15.2;48;36;44;42;45;43.0;13;20;16;8;22;15.8;30;33;27;33;30;30.6
Natural Language Processing;RandomForestClassifier_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;1.5567529201507568;1.5996770858764648;1.8474881649017334;2.1285924911499023;2.094040632247925;1.8453102588653565;0.24480986595153809;0.26296281814575195;0.2575664520263672;0.2972407341003418;0.24038314819335938;0.2605926036834717;0.9116022099447514;0.8975069252077562;0.9307479224376731;0.9168975069252078;0.8808864265927978;0.9075281982216372;1.0;1.0;1.0;1.0;1.0;1.0;0.8813559322033898;0.8421052631578947;0.8805970149253731;0.96;0.8113207547169812;0.8750757930007278;1.0;1.0;1.0;1.0;1.0;1.0;0.6753246753246753;0.631578947368421;0.7763157894736842;0.631578947368421;0.5657894736842105;0.6561175666438824;1.0;1.0;1.0;1.0;1.0;1.0;0.7647058823529411;0.7218045112781954;0.8251748251748251;0.7619047619047619;0.6666666666666666;0.748051329475478;1.0;1.0;1.0;1.0;1.0;1.0;278;276;277;283;275;277.8;1140;1140;1140;1140;1140;1140.0;52;48;59;48;43;50.0;304;305;305;305;305;304.8;25;28;17;28;33;26.2;0;0;0;0;0;0.0;7;9;8;2;10;7.2;0;0;0;0;0;0.0
Natural Language Processing;RandomForestClassifier_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;1.4478979110717773;2.0498170852661133;1.5591917037963867;1.5265452861785889;2.0812463760375977;1.7329396724700927;0.17458057403564453;0.25113558769226074;0.17075157165527344;0.1728382110595703;0.23746323585510254;0.2013538360595703;0.9088397790055248;0.9002770083102493;0.9279778393351801;0.9058171745152355;0.8753462603878116;0.9036516123108003;0.9993074792243767;1.0;1.0;1.0;1.0;0.9998614958448753;0.9230769230769231;0.8846153846153846;0.9032258064516129;0.9375;0.7818181818181819;0.8860472591924206;1.0;1.0;1.0;1.0;1.0;1.0;0.6233766233766234;0.6052631578947368;0.7368421052631579;0.5921052631578947;0.5657894736842105;0.6246753246753247;0.9967105263157895;1.0;1.0;1.0;1.0;0.9993421052631579;0.744186046511628;0.71875;0.8115942028985507;0.7258064516129032;0.6564885496183206;0.7313650501282806;0.9983525535420099;1.0;1.0;1.0;1.0;0.9996705107084021;281;279;279;282;273;278.8;1140;1140;1140;1140;1140;1140.0;48;46;56;45;43;47.6;303;305;305;305;305;304.6;29;30;20;31;33;28.6;1;0;0;0;0;0.2;4;6;6;3;12;6.2;0;0;0;0;0;0.0
Natural Language Processing;Linear_SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;2.7673604488372803;2.4946186542510986;2.948019504547119;1.9711236953735352;3.0342912673950195;2.6430827140808106;0.8249914646148682;0.6002235412597656;0.8870406150817871;0.6575312614440918;0.9143741130828857;0.7768321990966797;0.9116022099447514;0.8919667590027701;0.925207756232687;0.9335180055401662;0.8864265927977839;0.9097442647036317;1.0;1.0;1.0;1.0;1.0;1.0;0.8260869565217391;0.7681159420289855;0.855072463768116;0.9482758620689655;0.7397260273972602;0.8274554503570133;1.0;1.0;1.0;1.0;1.0;1.0;0.7402597402597403;0.6973684210526315;0.7763157894736842;0.7236842105263158;0.7105263157894737;0.7296308954203692;1.0;1.0;1.0;1.0;1.0;1.0;0.7808219178082192;0.7310344827586206;0.8137931034482757;0.8208955223880597;0.7248322147651005;0.7742754482336551;1.0;1.0;1.0;1.0;1.0;1.0;273;269;275;282;266;273.0;1140;1140;1140;1140;1140;1140.0;57;53;59;55;54;55.6;304;305;305;305;305;304.8;20;23;17;21;22;20.6;0;0;0;0;0;0.0;12;16;10;3;19;12.0;0;0;0;0;0;0.0
Natural Language Processing;Linear_SVC_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;3.9258604049682617;3.6168861389160156;3.7624738216400146;3.981353998184204;4.134266376495361;3.8841681480407715;0.8546140193939209;0.8812801837921143;1.021594762802124;0.9045047760009766;0.9375252723693848;0.9199038028717041;0.9447513812154696;0.9196675900277008;0.9501385041551247;0.9307479224376731;0.9141274238227147;0.9318865643317367;1.0;1.0;1.0;1.0;1.0;1.0;0.9253731343283582;0.8309859154929577;0.9142857142857143;0.9636363636363636;0.7922077922077922;0.8852977839902373;1.0;1.0;1.0;1.0;1.0;1.0;0.8051948051948052;0.7763157894736842;0.8421052631578947;0.6973684210526315;0.8026315789473685;0.7847231715652768;1.0;1.0;1.0;1.0;1.0;1.0;0.8611111111111112;0.802721088435374;0.8767123287671234;0.8091603053435114;0.7973856209150327;0.8294180909144305;1.0;1.0;1.0;1.0;1.0;1.0;280;273;279;283;269;276.8;1140;1140;1140;1140;1140;1140.0;62;59;64;53;61;59.8;304;305;305;305;305;304.8;15;17;12;23;15;16.4;0;0;0;0;0;0.0;5;12;6;2;16;8.2;0;0;0;0;0;0.0
