PipelineID;Pipeline;train_set;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_accuracy_cv1;test_accuracy_cv2;test_accuracy_cv3;test_accuracy_cv4;test_accuracy_cv5;test_accuracy_mean;train_accuracy_cv1;train_accuracy_cv2;train_accuracy_cv3;train_accuracy_cv4;train_accuracy_cv5;train_accuracy_mean;test_precision_cv1;test_precision_cv2;test_precision_cv3;test_precision_cv4;test_precision_cv5;test_precision_mean;train_precision_cv1;train_precision_cv2;train_precision_cv3;train_precision_cv4;train_precision_cv5;train_precision_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;train_recall_cv1;train_recall_cv2;train_recall_cv3;train_recall_cv4;train_recall_cv5;train_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;train_f1-score_cv1;train_f1-score_cv2;train_f1-score_cv3;train_f1-score_cv4;train_f1-score_cv5;train_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;train_tp_cv1;train_tp_cv2;train_tp_cv3;train_tp_cv4;train_tp_cv5;train_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;train_tn_cv1;train_tn_cv2;train_tn_cv3;train_tn_cv4;train_tn_cv5;train_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;train_fp_cv1;train_fp_cv2;train_fp_cv3;train_fp_cv4;train_fp_cv5;train_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;train_fn_cv1;train_fn_cv2;train_fn_cv3;train_fn_cv4;train_fn_cv5;train_fn_mean
Natural Language Processing;LR_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.38352203369140625;0.5090878009796143;0.5206282138824463;0.4640533924102783;0.40007972717285156;0.4554742336273193;0.06405186653137207;0.06047534942626953;0.056256771087646484;0.04044508934020996;0.037604331970214844;0.05176668167114258;0.8954248366013072;0.8954248366013072;0.8881578947368421;0.8947368421052632;0.9210526315789473;0.8989594083247334;0.9983579638752053;0.9983579638752053;1.0;1.0;1.0;0.9993431855500822;0.9295774647887324;0.8947368421052632;0.8831168831168831;0.9545454545454546;0.9705882352941176;0.9265129759700901;1.0;1.0;1.0;1.0;1.0;1.0;0.8571428571428571;0.8947368421052632;0.8947368421052632;0.8289473684210527;0.868421052631579;0.868796992481203;0.9967105263157895;0.9967213114754099;1.0;1.0;1.0;0.9986863675582398;0.8918918918918918;0.8947368421052632;0.8888888888888888;0.8873239436619719;0.9166666666666667;0.8959016466429365;0.9983525535420099;0.9983579638752053;1.0;1.0;1.0;0.999342103483443;71;69;67;73;74;70.8;305;304;305;305;305;304.8;66;68;68;63;66;66.2;303;304;305;305;305;304.4;11;8;8;13;10;10.0;1;1;0;0;0;0.4;5;8;9;3;2;5.4;0;0;0;0;0;0.0
Natural Language Processing;LR_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.19449400901794434;0.1887056827545166;0.2289588451385498;0.2613234519958496;0.27956295013427734;0.23060898780822753;0.04138326644897461;0.02964639663696289;0.02782273292541504;0.03872370719909668;0.03437018394470215;0.03438925743103027;0.9215686274509803;0.9215686274509803;0.9210526315789473;0.9407894736842105;0.9539473684210527;0.9317853457172344;0.9819376026272578;0.9786535303776683;0.980327868852459;0.978688524590164;0.980327868852459;0.9799870790600018;0.9452054794520548;0.9210526315789473;0.9210526315789473;0.958904109589041;0.9726027397260274;0.9437635183850036;0.9741100323624595;0.9709677419354839;0.9680511182108626;0.9709677419354839;0.9710610932475884;0.9710315455383756;0.8961038961038961;0.9210526315789473;0.9210526315789473;0.9210526315789473;0.9342105263157895;0.9186944634313056;0.9901315789473685;0.9868852459016394;0.9934426229508196;0.9868852459016394;0.9901639344262295;0.9895017256255393;0.9199999999999999;0.9210526315789473;0.9210526315789473;0.9395973154362416;0.9530201342281879;0.9309445425644649;0.9820554649265906;0.9788617886178863;0.9805825242718447;0.9788617886178863;0.9805194805194805;0.9801762093907376;72;71;70;73;74;72.0;297;295;295;296;296;295.8;69;70;70;70;71;70.0;301;301;303;301;302;301.6;8;6;6;6;5;6.2;3;4;2;4;3;3.2;4;6;6;3;2;4.2;8;9;10;9;9;9.0
Natural Language Processing;SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;1.875948190689087;1.4918208122253418;1.8496201038360596;2.0708513259887695;1.6480412483215332;1.7872563362121583;0.14343595504760742;0.09740233421325684;0.09795236587524414;0.12306952476501465;0.09877133369445801;0.11212630271911621;0.8169934640522876;0.803921568627451;0.8289473684210527;0.8157894736842105;0.8223684210526315;0.8176040591675268;0.8981937602627258;0.8637110016420362;0.860655737704918;0.860655737704918;0.8754098360655738;0.8717252146760343;0.9016393442622951;0.9107142857142857;0.9166666666666666;0.9285714285714286;0.9454545454545454;0.9206092541338442;0.9763779527559056;0.9743589743589743;0.9621848739495799;0.9661016949152542;0.9635627530364372;0.9685172498032303;0.7142857142857143;0.6710526315789473;0.7236842105263158;0.6842105263157895;0.6842105263157895;0.6954887218045113;0.8157894736842105;0.7475409836065574;0.7508196721311475;0.7475409836065574;0.780327868852459;0.7684037963761864;0.7971014492753624;0.7727272727272728;0.8088235294117647;0.7878787878787878;0.7938931297709924;0.7920848338128361;0.8888888888888888;0.8460111317254173;0.8434622467771639;0.8428835489833642;0.86231884057971;0.8567129313909089;70;72;71;72;73;71.6;299;298;296;297;296;297.2;55;51;55;52;52;53.0;248;228;229;228;238;234.2;22;25;21;24;24;23.2;56;77;76;77;67;70.6;6;5;5;4;3;4.6;6;6;9;8;9;7.6
Natural Language Processing;SVC_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;1.8957452774047852;2.4137468338012695;1.9006505012512207;2.5161807537078857;1.9788811206817627;2.141040897369385;0.11363625526428223;0.1551048755645752;0.10917282104492188;0.12497544288635254;0.10959577560424805;0.12249703407287597;0.934640522875817;0.9215686274509803;0.9210526315789473;0.9407894736842105;0.9605263157894737;0.9357155142758857;0.9983579638752053;0.9983579638752053;0.9983606557377049;0.9983606557377049;1.0;0.9986874478451642;0.9466666666666667;0.9324324324324325;0.9210526315789473;0.958904109589041;0.972972972972973;0.9464057626480121;0.9967213114754099;0.9967320261437909;0.9967320261437909;0.9967320261437909;1.0;0.9973834779813565;0.922077922077922;0.9078947368421053;0.9210526315789473;0.9210526315789473;0.9473684210526315;0.9238892686261106;1.0;1.0;1.0;1.0;1.0;1.0;0.9342105263157895;0.92;0.9210526315789473;0.9395973154362416;0.9599999999999999;0.9349720946661957;0.9983579638752053;0.9983633387888707;0.9983633387888707;0.9983633387888707;1.0;0.9986895960483635;72;72;70;73;74;72.2;304;303;304;304;305;304.0;71;69;70;70;72;70.4;304;305;305;305;305;304.8;6;7;6;6;4;5.8;0;0;0;0;0;0.0;4;5;6;3;2;4.0;1;1;1;1;0;0.8
Natural Language Processing;KNN_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.19783973693847656;0.1595313549041748;0.19286036491394043;0.1890718936920166;0.20847368240356445;0.18955540657043457;0.08477663993835449;0.05758404731750488;0.06382632255554199;0.054248809814453125;0.07035183906555176;0.06615753173828125;0.7647058823529411;0.7843137254901961;0.8223684210526315;0.743421052631579;0.8355263157894737;0.7900670794633642;1.0;1.0;1.0;1.0;1.0;1.0;0.9361702127659575;0.9056603773584906;0.9622641509433962;0.9302325581395349;0.9636363636363636;0.9395927325687486;1.0;1.0;1.0;1.0;1.0;1.0;0.5714285714285714;0.631578947368421;0.6710526315789473;0.5263157894736842;0.6973684210526315;0.6195488721804511;1.0;1.0;1.0;1.0;1.0;1.0;0.7096774193548386;0.7441860465116278;0.7906976744186047;0.6722689075630252;0.8091603053435114;0.7451980706383214;1.0;1.0;1.0;1.0;1.0;1.0;73;72;74;73;74;73.2;305;304;305;305;305;304.8;44;48;51;40;53;47.2;304;305;305;305;305;304.8;33;28;25;36;23;29.0;0;0;0;0;0;0.0;3;5;2;3;2;3.0;0;0;0;0;0;0.0
Natural Language Processing;KNN_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.20052766799926758;0.14227533340454102;0.21418166160583496;0.2206277847290039;0.22382807731628418;0.20028810501098632;0.08237743377685547;0.056702613830566406;0.08410477638244629;0.08088564872741699;0.08321261405944824;0.07745661735534667;0.9084967320261438;0.8954248366013072;0.868421052631579;0.881578947368421;0.9144736842105263;0.8936790505675954;0.9441707717569786;0.9293924466338259;0.9360655737704918;0.9311475409836065;0.9262295081967213;0.9334011682683248;0.8987341772151899;0.8571428571428571;0.8414634146341463;0.8372093023255814;0.8987341772151899;0.866656785706593;0.9115853658536586;0.899390243902439;0.915625;0.9071207430340558;0.8892215568862275;0.9045885819352761;0.922077922077922;0.9473684210526315;0.9078947368421053;0.9473684210526315;0.9342105263157895;0.9317840054682159;0.9835526315789473;0.9672131147540983;0.9606557377049181;0.9606557377049181;0.9737704918032787;0.9691695427092322;0.9102564102564102;0.9;0.8734177215189874;0.8888888888888888;0.9161290322580645;0.8977384105844702;0.9462025316455697;0.9320695102685624;0.9376000000000001;0.9331210191082804;0.9295774647887324;0.9357141051622289;68;65;63;62;68;65.2;276;271;278;275;268;273.6;71;72;69;72;71;71.0;299;295;293;293;297;295.4;6;4;7;4;5;5.2;5;10;12;12;8;9.4;8;12;13;14;8;11.0;29;33;27;30;37;31.2
Natural Language Processing;RandomForestClassifier_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.5851268768310547;0.5907254219055176;0.3995397090911865;0.3927750587463379;0.4137415885925293;0.4763817310333252;0.0841376781463623;0.07185745239257812;0.05388998985290527;0.05307126045227051;0.054060935974121094;0.06340346336364747;0.9215686274509803;0.9281045751633987;0.9144736842105263;0.9144736842105263;0.9473684210526315;0.9251977984176127;1.0;1.0;1.0;1.0;1.0;1.0;0.9113924050632911;0.9012345679012346;0.8888888888888888;0.9315068493150684;0.9473684210526315;0.9160782264442229;1.0;1.0;1.0;1.0;1.0;1.0;0.935064935064935;0.9605263157894737;0.9473684210526315;0.8947368421052632;0.9473684210526315;0.9370129870129871;1.0;1.0;1.0;1.0;1.0;1.0;0.923076923076923;0.9299363057324841;0.9171974522292994;0.912751677852349;0.9473684210526315;0.9260661559887374;1.0;1.0;1.0;1.0;1.0;1.0;69;69;67;71;72;69.6;305;304;305;305;305;304.8;72;73;72;68;72;71.4;304;305;305;305;305;304.8;5;3;4;8;4;4.8;0;0;0;0;0;0.0;7;8;9;5;4;6.6;0;0;0;0;0;0.0
Natural Language Processing;RandomForestClassifier_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.3511331081390381;0.5539171695709229;0.5970757007598877;0.3446009159088135;0.367581844329834;0.44286174774169923;0.04854583740234375;0.046568870544433594;0.0452883243560791;0.04619431495666504;0.045180320739746094;0.04635553359985352;0.9150326797385621;0.9084967320261438;0.9210526315789473;0.9078947368421053;0.9078947368421053;0.9120743034055728;1.0;1.0;1.0;1.0;1.0;1.0;0.9102564102564102;0.9078947368421053;0.9;0.918918918918919;0.8974358974358975;0.9069011926906663;1.0;1.0;1.0;1.0;1.0;1.0;0.922077922077922;0.9078947368421053;0.9473684210526315;0.8947368421052632;0.9210526315789473;0.918626110731374;1.0;1.0;1.0;1.0;1.0;1.0;0.9161290322580644;0.9078947368421053;0.9230769230769231;0.9066666666666667;0.9090909090909091;0.9125716535869337;1.0;1.0;1.0;1.0;1.0;1.0;69;70;68;70;68;69.0;305;304;305;305;305;304.8;71;69;72;68;70;70.0;304;305;305;305;305;304.8;6;7;4;8;6;6.2;0;0;0;0;0;0.0;7;7;8;6;8;7.2;0;0;0;0;0;0.0
Natural Language Processing;Linear_SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.6697442531585693;0.5639429092407227;0.6887059211730957;0.9301588535308838;0.5764305591583252;0.6857964992523193;0.24283123016357422;0.15033507347106934;0.16022682189941406;0.21407246589660645;0.14550089836120605;0.18259329795837403;0.9019607843137255;0.8954248366013072;0.9013157894736842;0.881578947368421;0.875;0.8910560715514275;1.0;1.0;1.0;1.0;1.0;1.0;0.9305555555555556;0.9054054054054054;0.8860759493670886;0.9264705882352942;0.8904109589041096;0.9077836914934906;1.0;1.0;1.0;1.0;1.0;1.0;0.8701298701298701;0.881578947368421;0.9210526315789473;0.8289473684210527;0.8552631578947368;0.8713943950786056;1.0;1.0;1.0;1.0;1.0;1.0;0.8993288590604027;0.8933333333333332;0.9032258064516129;0.875;0.8724832214765101;0.8886742440643719;1.0;1.0;1.0;1.0;1.0;1.0;71;70;67;71;68;69.4;305;304;305;305;305;304.8;67;67;70;63;65;66.4;304;305;305;305;305;304.8;10;9;6;13;11;9.8;0;0;0;0;0;0.0;5;7;9;5;8;6.8;0;0;0;0;0;0.0
Natural Language Processing;Linear_SVC_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.9012432098388672;0.6568212509155273;0.6628646850585938;0.9397311210632324;0.5554766654968262;0.7432273864746094;0.2744777202606201;0.16077280044555664;0.15512466430664062;0.2576713562011719;0.15036678314208984;0.19968266487121583;0.934640522875817;0.954248366013072;0.9210526315789473;0.9473684210526315;0.9473684210526315;0.9409356725146198;1.0;1.0;1.0;1.0;1.0;1.0;0.935064935064935;0.9259259259259259;0.9102564102564102;0.9594594594594594;0.9473684210526315;0.9356150303518724;1.0;1.0;1.0;1.0;1.0;1.0;0.935064935064935;0.9868421052631579;0.9342105263157895;0.9342105263157895;0.9473684210526315;0.9475393028024607;1.0;1.0;1.0;1.0;1.0;1.0;0.935064935064935;0.9554140127388535;0.922077922077922;0.9466666666666667;0.9473684210526315;0.9413183915202017;1.0;1.0;1.0;1.0;1.0;1.0;71;71;69;73;72;71.2;305;304;305;305;305;304.8;72;75;71;71;72;72.2;304;305;305;305;305;304.8;5;1;5;5;4;4.0;0;0;0;0;0;0.0;5;6;7;3;4;5.0;0;0;0;0;0;0.0
