PipelineID;Pipeline;train_set;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_accuracy_cv1;test_accuracy_cv2;test_accuracy_cv3;test_accuracy_cv4;test_accuracy_cv5;test_accuracy_mean;train_accuracy_cv1;train_accuracy_cv2;train_accuracy_cv3;train_accuracy_cv4;train_accuracy_cv5;train_accuracy_mean;test_precision_cv1;test_precision_cv2;test_precision_cv3;test_precision_cv4;test_precision_cv5;test_precision_mean;train_precision_cv1;train_precision_cv2;train_precision_cv3;train_precision_cv4;train_precision_cv5;train_precision_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;train_recall_cv1;train_recall_cv2;train_recall_cv3;train_recall_cv4;train_recall_cv5;train_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;train_f1-score_cv1;train_f1-score_cv2;train_f1-score_cv3;train_f1-score_cv4;train_f1-score_cv5;train_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;train_tp_cv1;train_tp_cv2;train_tp_cv3;train_tp_cv4;train_tp_cv5;train_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;train_tn_cv1;train_tn_cv2;train_tn_cv3;train_tn_cv4;train_tn_cv5;train_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;train_fp_cv1;train_fp_cv2;train_fp_cv3;train_fp_cv4;train_fp_cv5;train_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;train_fn_cv1;train_fn_cv2;train_fn_cv3;train_fn_cv4;train_fn_cv5;train_fn_mean
Natural Language Processing;LR_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;2.319974660873413;2.546401262283325;2.4640262126922607;2.871309995651245;2.4718918800354004;2.534720802307129;0.14435601234436035;0.22551584243774414;0.1519169807434082;0.10342001914978027;0.13062787055969238;0.15116734504699708;0.9281045751633987;0.9084967320261438;0.9210526315789473;0.9013157894736842;0.8881578947368421;0.9094255245958033;1.0;1.0;1.0;1.0;1.0;1.0;0.9714285714285714;0.8974358974358975;0.9324324324324325;0.9552238805970149;0.8933333333333333;0.9299708230454499;1.0;1.0;1.0;1.0;1.0;1.0;0.8831168831168831;0.9210526315789473;0.9078947368421053;0.8421052631578947;0.881578947368421;0.8871496924128502;1.0;1.0;1.0;1.0;1.0;1.0;0.9251700680272108;0.9090909090909091;0.92;0.895104895104895;0.8874172185430463;0.9073566181532122;1.0;1.0;1.0;1.0;1.0;1.0;74;69;71;73;68;71.0;305;304;305;305;305;304.8;68;70;69;64;67;67.6;304;305;305;305;305;304.8;9;6;7;12;9;8.6;0;0;0;0;0;0.0;2;8;5;3;8;5.2;0;0;0;0;0;0.0
Natural Language Processing;LR_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;1.40940523147583;1.3362133502960205;1.1364719867706299;1.4793574810028076;1.3131468296051025;1.3349189758300781;0.11907625198364258;0.14018726348876953;0.14527177810668945;0.13951468467712402;0.14188885688781738;0.13718776702880858;0.9477124183006536;0.9411764705882353;0.9276315789473685;0.9276315789473685;0.9210526315789473;0.9330409356725147;0.9950738916256158;0.9967159277504105;0.9967213114754099;0.9950819672131147;0.9967213114754099;0.9960628819079922;0.9726027397260274;0.9135802469135802;0.922077922077922;0.9452054794520548;0.9;0.9306932776339168;0.990228013029316;0.993485342019544;0.993485342019544;0.9902597402597403;0.993485342019544;0.9921887558695376;0.922077922077922;0.9736842105263158;0.9342105263157895;0.9078947368421053;0.9473684210526315;0.9370471633629528;1.0;1.0;1.0;1.0;1.0;1.0;0.9466666666666667;0.9426751592356688;0.9281045751633986;0.9261744966442953;0.9230769230769231;0.9333395641573905;0.9950900163666121;0.9967320261437909;0.9967320261437909;0.9951060358890702;0.9967320261437909;0.996078426137411;74;70;70;72;68;70.8;302;302;303;302;303;302.4;71;74;71;69;72;71.4;304;305;305;305;305;304.8;6;2;5;7;4;4.8;0;0;0;0;0;0.0;2;7;6;4;8;5.4;3;2;2;3;2;2.4
Natural Language Processing;SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;3.741671085357666;3.438579559326172;4.806873083114624;4.761565446853638;3.6449954509735107;4.078736925125122;0.2738349437713623;0.25670409202575684;0.24088835716247559;0.21308231353759766;0.24033808708190918;0.24496955871582032;0.8235294117647058;0.7777777777777778;0.868421052631579;0.8223684210526315;0.8026315789473685;0.8189456484348125;0.909688013136289;0.8669950738916257;0.8704918032786885;0.8770491803278688;0.8737704918032787;0.8795989124875501;0.9464285714285714;0.875;0.9827586206896551;0.9298245614035088;0.9259259259259259;0.9319875358895322;0.9844357976653697;0.9869565217391304;0.9870689655172413;0.9872881355932204;0.9871794871794872;0.9865857815388898;0.6883116883116883;0.6447368421052632;0.75;0.6973684210526315;0.6578947368421053;0.6876623376623376;0.8322368421052632;0.7442622950819672;0.7508196721311475;0.7639344262295082;0.7573770491803279;0.7697260569456428;0.7969924812030074;0.7424242424242424;0.8507462686567163;0.7969924812030075;0.7692307692307692;0.7912772485435486;0.9019607843137254;0.8485981308411215;0.8528864059590316;0.8613678373382625;0.8571428571428572;0.8643912031189995;73;70;75;72;72;72.4;301;301;302;302;302;301.6;53;49;57;53;50;52.4;253;227;229;233;231;234.6;24;27;19;23;26;23.8;51;78;76;72;74;70.2;3;7;1;4;4;3.8;4;3;3;3;3;3.2
Natural Language Processing;SVC_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;4.145658254623413;4.1526806354522705;5.780925512313843;5.88257360458374;4.253740072250366;4.843115615844726;0.29186415672302246;0.30617427825927734;0.25426363945007324;0.30449795722961426;0.2994422912597656;0.2912484645843506;0.9477124183006536;0.9281045751633987;0.9210526315789473;0.9342105263157895;0.9276315789473685;0.9317423460612314;1.0;1.0;1.0;1.0;1.0;1.0;0.9726027397260274;0.922077922077922;0.9210526315789473;0.9583333333333334;0.9012345679012346;0.9350602389234929;1.0;1.0;1.0;1.0;1.0;1.0;0.922077922077922;0.9342105263157895;0.9210526315789473;0.9078947368421053;0.9605263157894737;0.9291524265208476;1.0;1.0;1.0;1.0;1.0;1.0;0.9466666666666667;0.9281045751633986;0.9210526315789473;0.9324324324324325;0.9299363057324841;0.9316385223147858;1.0;1.0;1.0;1.0;1.0;1.0;74;71;70;73;68;71.2;305;304;305;305;305;304.8;71;71;70;69;73;70.8;304;305;305;305;305;304.8;6;5;6;7;3;5.4;0;0;0;0;0;0.0;2;6;6;3;8;5.0;0;0;0;0;0;0.0
Natural Language Processing;KNN_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.5261051654815674;0.6569705009460449;0.9070675373077393;0.6722109317779541;0.8711378574371338;0.7266983985900879;0.2379462718963623;0.16097688674926758;0.3134613037109375;0.18829751014709473;0.29967474937438965;0.24007134437561034;0.6862745098039216;0.6601307189542484;0.6578947368421053;0.75;0.6644736842105263;0.6837547299621602;0.7323481116584565;0.6912972085385879;0.759016393442623;0.8655737704918033;0.6754098360655738;0.7447290640394089;0.6198347107438017;0.5952380952380952;0.5967741935483871;0.6792452830188679;0.6;0.6182184565098303;0.6529284164859002;0.6211180124223602;0.6787330316742082;0.7941952506596306;0.6085192697768763;0.671098796203795;0.974025974025974;0.9868421052631579;0.9736842105263158;0.9473684210526315;0.9868421052631579;0.9737525632262474;0.9901315789473685;0.9836065573770492;0.9836065573770492;0.9868852459016394;0.9836065573770492;0.9855672993960312;0.7575757575757576;0.7425742574257426;0.74;0.7912087912087911;0.7462686567164178;0.7555254925853419;0.7869281045751633;0.7614213197969543;0.8032128514056225;0.8801169590643275;0.7518796992481203;0.7967117868180376;30;26;26;42;26;30.0;145;121;163;227;112;153.6;75;75;74;72;75;74.2;301;300;300;301;300;300.4;2;1;2;4;1;2.0;3;5;5;4;5;4.4;46;51;50;34;50;46.2;160;183;142;78;193;151.2
Natural Language Processing;KNN_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.8678269386291504;0.5670249462127686;0.8644185066223145;0.4877307415008545;0.5203261375427246;0.6614654541015625;0.28150463104248047;0.17807793617248535;0.2750673294067383;0.13609766960144043;0.17201590538024902;0.20855269432067872;0.9019607843137255;0.8562091503267973;0.8947368421052632;0.9013157894736842;0.881578947368421;0.8871603027175782;0.9392446633825944;0.9359605911330049;0.9311475409836065;0.9377049180327869;0.9393442622950819;0.9366803951654148;0.8875;0.813953488372093;0.8658536585365854;0.8860759493670886;0.8295454545454546;0.8565857101642443;0.9184952978056427;0.915625;0.8948948948948949;0.913312693498452;0.911042944785276;0.9106741661968532;0.922077922077922;0.9210526315789473;0.9342105263157895;0.9210526315789473;0.9605263157894737;0.9317840054682159;0.9638157894736842;0.9606557377049181;0.9770491803278688;0.9672131147540983;0.9737704918032787;0.9685008628127696;0.9044585987261146;0.8641975308641974;0.8987341772151899;0.9032258064516129;0.8902439024390244;0.8921720031392277;0.9406099518459069;0.9376000000000001;0.9341692789968652;0.9394904458598726;0.9413629160063391;0.9386465185417968;67;61;65;67;61;64.2;279;277;270;277;276;275.8;71;70;71;70;73;71.0;293;293;298;295;297;295.2;6;6;5;6;3;5.2;11;12;7;10;8;9.6;9;16;11;9;15;12.0;26;27;35;28;29;29.0
Natural Language Processing;RandomForestClassifier_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;1.7722022533416748;1.0534462928771973;1.8492591381072998;1.0251257419586182;1.0799407958984375;1.3559948444366454;0.1534576416015625;0.19111299514770508;0.17868733406066895;0.15022516250610352;0.15038609504699707;0.16477384567260742;0.9084967320261438;0.8888888888888888;0.9210526315789473;0.881578947368421;0.9276315789473685;0.9055297557619537;1.0;1.0;1.0;1.0;1.0;1.0;0.9436619718309859;0.8734177215189873;0.9210526315789473;0.9393939393939394;0.9333333333333333;0.9221719195312387;1.0;1.0;1.0;1.0;1.0;1.0;0.8701298701298701;0.9078947368421053;0.9210526315789473;0.8157894736842105;0.9210526315789473;0.8871838687628163;1.0;1.0;1.0;1.0;1.0;1.0;0.9054054054054054;0.8903225806451613;0.9210526315789473;0.8732394366197183;0.9271523178807947;0.9034344744260056;1.0;1.0;1.0;1.0;1.0;1.0;72;67;70;72;71;70.4;305;304;305;305;305;304.8;67;69;70;62;70;67.6;304;305;305;305;305;304.8;10;7;6;14;6;8.6;0;0;0;0;0;0.0;4;10;6;4;5;5.8;0;0;0;0;0;0.0
Natural Language Processing;RandomForestClassifier_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;1.285724401473999;1.9354472160339355;1.2255146503448486;1.2759497165679932;2.0016961097717285;1.544866418838501;0.19586753845214844;0.18927955627441406;0.19159245491027832;0.18360018730163574;0.13853240013122559;0.17977442741394042;0.9281045751633987;0.9084967320261438;0.9473684210526315;0.875;0.9210526315789473;0.9160044719642244;1.0;1.0;1.0;1.0;1.0;1.0;0.9583333333333334;0.8974358974358975;0.9473684210526315;0.9130434782608695;0.9210526315789473;0.927446752332336;1.0;1.0;1.0;1.0;1.0;1.0;0.8961038961038961;0.9210526315789473;0.9473684210526315;0.8289473684210527;0.9210526315789473;0.902904989747095;1.0;1.0;1.0;1.0;1.0;1.0;0.9261744966442952;0.9090909090909091;0.9473684210526315;0.8689655172413793;0.9210526315789473;0.9145303951216324;1.0;1.0;1.0;1.0;1.0;1.0;73;69;72;70;70;70.8;305;304;305;305;305;304.8;69;70;72;63;70;68.8;304;305;305;305;305;304.8;8;6;4;13;6;7.4;0;0;0;0;0;0.0;3;8;4;6;6;5.4;0;0;0;0;0;0.0
Natural Language Processing;Linear_SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.7706468105316162;0.9643614292144775;1.0355281829833984;0.685204267501831;0.7328388690948486;0.8377159118652344;0.18334674835205078;0.28108739852905273;0.2970728874206543;0.1640021800994873;0.1728827953338623;0.21967840194702148;0.9150326797385621;0.8758169934640523;0.8947368421052632;0.9013157894736842;0.868421052631579;0.8910646714826281;1.0;1.0;1.0;1.0;1.0;1.0;0.9571428571428572;0.8607594936708861;0.875;0.9295774647887324;0.8783783783783784;0.9001716387961709;1.0;1.0;1.0;1.0;1.0;1.0;0.8701298701298701;0.8947368421052632;0.9210526315789473;0.868421052631579;0.8552631578947368;0.8819207108680793;1.0;1.0;1.0;1.0;1.0;1.0;0.9115646258503401;0.8774193548387097;0.8974358974358975;0.8979591836734694;0.8666666666666667;0.8902091456930167;1.0;1.0;1.0;1.0;1.0;1.0;73;66;66;71;67;68.6;305;304;305;305;305;304.8;67;68;70;66;65;67.2;304;305;305;305;305;304.8;10;8;6;10;11;9.0;0;0;0;0;0;0.0;3;11;10;5;9;7.6;0;0;0;0;0;0.0
Natural Language Processing;Linear_SVC_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.7276837825775146;0.6653733253479004;0.6866168975830078;1.0493927001953125;1.0296318531036377;0.8317397117614747;0.19579076766967773;0.19768023490905762;0.18418550491333008;0.2670769691467285;0.2715744972229004;0.22326159477233887;0.954248366013072;0.9477124183006536;0.9210526315789473;0.9342105263157895;0.9276315789473685;0.936971104231166;1.0;1.0;1.0;1.0;1.0;1.0;0.9605263157894737;0.925;0.9102564102564102;0.9459459459459459;0.9012345679012346;0.9285926479786129;1.0;1.0;1.0;1.0;1.0;1.0;0.948051948051948;0.9736842105263158;0.9342105263157895;0.9210526315789473;0.9605263157894737;0.9475051264524949;1.0;1.0;1.0;1.0;1.0;1.0;0.9542483660130718;0.9487179487179489;0.922077922077922;0.9333333333333332;0.9299363057324841;0.937662775174952;1.0;1.0;1.0;1.0;1.0;1.0;73;71;69;72;68;70.6;305;304;305;305;305;304.8;73;74;71;70;73;72.2;304;305;305;305;305;304.8;4;2;5;6;3;4.0;0;0;0;0;0;0.0;3;6;7;4;8;5.6;0;0;0;0;0;0.0
