PipelineID;Pipeline;train_set;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_accuracy_cv1;test_accuracy_cv2;test_accuracy_cv3;test_accuracy_cv4;test_accuracy_cv5;test_accuracy_mean;train_accuracy_cv1;train_accuracy_cv2;train_accuracy_cv3;train_accuracy_cv4;train_accuracy_cv5;train_accuracy_mean;test_precision_cv1;test_precision_cv2;test_precision_cv3;test_precision_cv4;test_precision_cv5;test_precision_mean;train_precision_cv1;train_precision_cv2;train_precision_cv3;train_precision_cv4;train_precision_cv5;train_precision_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;train_recall_cv1;train_recall_cv2;train_recall_cv3;train_recall_cv4;train_recall_cv5;train_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;train_f1-score_cv1;train_f1-score_cv2;train_f1-score_cv3;train_f1-score_cv4;train_f1-score_cv5;train_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;train_tp_cv1;train_tp_cv2;train_tp_cv3;train_tp_cv4;train_tp_cv5;train_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;train_tn_cv1;train_tn_cv2;train_tn_cv3;train_tn_cv4;train_tn_cv5;train_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;train_fp_cv1;train_fp_cv2;train_fp_cv3;train_fp_cv4;train_fp_cv5;train_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;train_fn_cv1;train_fn_cv2;train_fn_cv3;train_fn_cv4;train_fn_cv5;train_fn_mean
Natural Language Processing;LR_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.3925182819366455;0.4404587745666504;0.4273843765258789;0.36608052253723145;0.4737403392791748;0.42003645896911623;0.034580230712890625;0.046690940856933594;0.035158395767211914;0.03032708168029785;0.030390501022338867;0.03542943000793457;0.9084967320261438;0.9150326797385621;0.9210526315789473;0.881578947368421;0.9210526315789473;0.9094427244582043;1.0;1.0;1.0;1.0;1.0;1.0;0.92;0.9436619718309859;0.9;0.8918918918918919;0.9571428571428572;0.922539344173147;1.0;1.0;1.0;1.0;1.0;1.0;0.8961038961038961;0.881578947368421;0.9473684210526315;0.868421052631579;0.881578947368421;0.8950102529049898;1.0;1.0;1.0;1.0;1.0;1.0;0.9078947368421053;0.9115646258503401;0.9230769230769231;0.88;0.9178082191780822;0.90806890098949;1.0;1.0;1.0;1.0;1.0;1.0;70;73;68;68;73;70.4;305;304;305;305;305;304.8;69;67;72;66;67;68.2;304;305;305;305;305;304.8;8;9;4;10;9;8.0;0;0;0;0;0;0.0;6;4;8;8;3;5.8;0;0;0;0;0;0.0
Natural Language Processing;LR_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.20101118087768555;0.19323492050170898;0.2530992031097412;0.28728652000427246;0.26140379905700684;0.239207124710083;0.0313572883605957;0.06209826469421387;0.05326271057128906;0.03365898132324219;0.03410077095031738;0.04289560317993164;0.9215686274509803;0.9281045751633987;0.9473684210526315;0.9210526315789473;0.9473684210526315;0.9330925352597179;0.9901477832512315;0.9885057471264368;0.9885245901639345;0.9918032786885246;0.9901639344262295;0.9898290667312715;0.9333333333333333;0.9452054794520548;0.9722222222222222;0.9324324324324325;0.9594594594594594;0.9485305853799005;0.9901315789473685;0.9966666666666667;0.9869281045751634;0.993421052631579;0.9933993399339934;0.9921093485509541;0.9090909090909091;0.9078947368421053;0.9210526315789473;0.9078947368421053;0.9342105263157895;0.9160287081339714;0.9901315789473685;0.980327868852459;0.9901639344262295;0.9901639344262295;0.9868852459016394;0.9875345125107853;0.9210526315789475;0.9261744966442953;0.9459459459459458;0.92;0.9466666666666667;0.931967948167171;0.9901315789473685;0.9884297520661156;0.9885433715220949;0.9917898193760264;0.9901315789473685;0.9898052201717947;71;73;74;71;73;72.4;302;303;301;303;303;302.4;70;69;70;69;71;69.8;301;299;302;302;301;301.0;7;7;6;7;5;6.4;3;6;3;3;4;3.8;5;4;2;5;3;3.8;3;1;4;2;2;2.4
Natural Language Processing;SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;1.6295008659362793;2.00774884223938;1.5726943016052246;1.5901498794555664;2.015596628189087;1.7631381034851075;0.10191488265991211;0.1175687313079834;0.09549498558044434;0.0946509838104248;0.11506390571594238;0.1049386978149414;0.7973856209150327;0.8235294117647058;0.8486842105263158;0.8157894736842105;0.8092105263157895;0.818919848641211;0.9064039408866995;0.8752052545155994;0.8803278688524591;0.8770491803278688;0.8836065573770492;0.8845185603919351;0.9423076923076923;0.9454545454545454;0.9076923076923077;0.9137931034482759;0.9607843137254902;0.9340063925256622;0.9881422924901185;0.9956709956709957;0.9873949579831933;0.9914529914529915;0.9915966386554622;0.9908515752505522;0.6363636363636364;0.6842105263157895;0.7763157894736842;0.6973684210526315;0.6447368421052632;0.687799043062201;0.8223684210526315;0.7540983606557377;0.7704918032786885;0.760655737704918;0.7737704918032787;0.7762769628990509;0.7596899224806201;0.7938931297709924;0.8368794326241134;0.7910447761194029;0.7716535433070866;0.790632160860443;0.8976660682226212;0.8582089552238806;0.8655616942909761;0.8608534322820038;0.8692449355432781;0.8703070171125518;73;74;70;71;74;72.4;302;303;302;303;303;302.6;49;52;59;53;49;52.4;250;230;235;232;236;236.6;28;24;17;23;27;23.8;54;75;70;73;69;68.2;3;3;6;5;2;3.8;3;1;3;2;2;2.2
Natural Language Processing;SVC_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;2.5028293132781982;1.8599591255187988;1.9021177291870117;1.9465036392211914;2.5234627723693848;2.146974515914917;0.10789847373962402;0.10743141174316406;0.11095929145812988;0.1145331859588623;0.09942293167114258;0.10804905891418456;0.9215686274509803;0.934640522875817;0.9473684210526315;0.9210526315789473;0.9539473684210527;0.9357155142758857;0.9983579638752053;1.0;0.9983606557377049;0.9983606557377049;0.9983606557377049;0.998687986217664;0.9333333333333333;0.9583333333333334;0.9722222222222222;0.9324324324324325;0.96;0.9512642642642642;0.9967213114754099;1.0;0.9967320261437909;0.9967320261437909;0.9967320261437909;0.9973834779813565;0.9090909090909091;0.9078947368421053;0.9210526315789473;0.9078947368421053;0.9473684210526315;0.9186602870813397;1.0;1.0;1.0;1.0;1.0;1.0;0.9210526315789475;0.9324324324324325;0.9459459459459458;0.92;0.9536423841059603;0.9346146788126571;0.9983579638752053;1.0;0.9983633387888707;0.9983633387888707;0.9983633387888707;0.9986895960483635;71;74;74;71;73;72.6;304;304;304;304;304;304.0;70;69;70;69;72;70.0;304;305;305;305;305;304.8;7;7;6;7;4;6.2;0;0;0;0;0;0.0;5;3;2;5;3;3.6;1;0;1;1;1;0.8
Natural Language Processing;KNN_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.22607779502868652;0.13944268226623535;0.21603679656982422;0.2131633758544922;0.2043929100036621;0.19982271194458007;0.09413814544677734;0.05794024467468262;0.0920102596282959;0.07985377311706543;0.08260607719421387;0.08130970001220703;0.7516339869281046;0.8235294117647058;0.8355263157894737;0.7697368421052632;0.8157894736842105;0.7992432060543516;1.0;1.0;1.0;1.0;1.0;1.0;0.9333333333333333;0.9152542372881356;0.9180327868852459;0.9183673469387755;0.98;0.932997540889098;1.0;1.0;1.0;1.0;1.0;1.0;0.5454545454545454;0.7105263157894737;0.7368421052631579;0.5921052631578947;0.6447368421052632;0.6459330143540669;1.0;1.0;1.0;1.0;1.0;1.0;0.6885245901639344;0.8;0.8175182481751824;0.72;0.7777777777777777;0.7607641232233788;1.0;1.0;1.0;1.0;1.0;1.0;73;72;71;72;75;72.6;305;304;305;305;305;304.8;42;54;56;45;49;49.2;304;305;305;305;305;304.8;35;22;20;31;27;27.0;0;0;0;0;0;0.0;3;5;5;4;1;3.6;0;0;0;0;0;0.0
Natural Language Processing;KNN_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.20531177520751953;0.1319880485534668;0.22910666465759277;0.2194211483001709;0.22339510917663574;0.20184454917907715;0.07911086082458496;0.044464111328125;0.07948160171508789;0.077606201171875;0.08170294761657715;0.07247314453125;0.869281045751634;0.8888888888888888;0.9210526315789473;0.868421052631579;0.868421052631579;0.8832129342965256;0.9326765188834154;0.922824302134647;0.9245901639344263;0.9524590163934427;0.9295081967213115;0.9324116396134485;0.8607594936708861;0.8831168831168831;0.8902439024390244;0.8333333333333334;0.8111111111111111;0.8557129447342475;0.9071207430340558;0.9006211180124224;0.8888888888888888;0.9339622641509434;0.896969696969697;0.9055125422112015;0.8831168831168831;0.8947368421052632;0.9605263157894737;0.9210526315789473;0.9605263157894737;0.9239917976760083;0.9638157894736842;0.9508196721311475;0.9704918032786886;0.9737704918032787;0.9704918032786886;0.9658779119930975;0.8717948717948718;0.8888888888888888;0.9240506329113923;0.875;0.8795180722891566;0.8878504931768619;0.9346092503987241;0.9250398724082934;0.9278996865203761;0.9534510433386838;0.9322834645669292;0.9346566634466014;65;68;67;62;59;64.2;275;272;268;284;271;274.0;68;68;73;70;73;70.4;293;290;296;297;296;294.4;9;8;3;6;3;5.8;11;15;9;8;9;10.4;11;9;9;14;17;12.0;30;32;37;21;34;30.8
Natural Language Processing;RandomForestClassifier_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.40343356132507324;0.3533024787902832;0.5809938907623291;0.5995516777038574;0.3875918388366699;0.46497468948364257;0.05464577674865723;0.04912233352661133;0.0833282470703125;0.07379817962646484;0.05153822898864746;0.06248655319213867;0.9411764705882353;0.9215686274509803;0.9078947368421053;0.9078947368421053;0.9342105263157895;0.9225490196078432;1.0;1.0;1.0;1.0;1.0;1.0;0.925;0.9210526315789473;0.8974358974358975;0.9078947368421053;0.9230769230769231;0.9148920377867746;1.0;1.0;1.0;1.0;1.0;1.0;0.961038961038961;0.9210526315789473;0.9210526315789473;0.9078947368421053;0.9473684210526315;0.9316814764183186;1.0;1.0;1.0;1.0;1.0;1.0;0.9426751592356688;0.9210526315789473;0.9090909090909091;0.9078947368421053;0.935064935064935;0.9231556743625131;1.0;1.0;1.0;1.0;1.0;1.0;70;71;68;69;70;69.6;305;304;305;305;305;304.8;74;70;70;69;72;71.0;304;305;305;305;305;304.8;3;6;6;7;4;5.2;0;0;0;0;0;0.0;6;6;8;7;6;6.6;0;0;0;0;0;0.0
Natural Language Processing;RandomForestClassifier_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.5881526470184326;0.4313657283782959;0.4099414348602295;0.5684723854064941;0.42351198196411133;0.4842888355255127;0.08734440803527832;0.0548558235168457;0.056243896484375;0.08202481269836426;0.0540165901184082;0.0668971061706543;0.9281045751633987;0.934640522875817;0.8947368421052632;0.9013157894736842;0.9210526315789473;0.915970072239422;1.0;1.0;1.0;1.0;1.0;1.0;0.9342105263157895;0.9342105263157895;0.8947368421052632;0.9066666666666666;0.9102564102564102;0.9160161943319839;1.0;1.0;1.0;1.0;1.0;1.0;0.922077922077922;0.9342105263157895;0.8947368421052632;0.8947368421052632;0.9342105263157895;0.9159945317840055;1.0;1.0;1.0;1.0;1.0;1.0;0.9281045751633986;0.9342105263157895;0.8947368421052632;0.9006622516556291;0.922077922077922;0.9159584234636006;1.0;1.0;1.0;1.0;1.0;1.0;71;72;68;69;69;69.8;305;304;305;305;305;304.8;71;71;68;68;71;69.8;304;305;305;305;305;304.8;6;5;8;8;5;6.4;0;0;0;0;0;0.0;5;5;8;7;7;6.4;0;0;0;0;0;0.0
Natural Language Processing;Linear_SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.21970510482788086;0.22893834114074707;0.16580915451049805;0.1744692325592041;0.1392841339111328;0.18564119338989257;0.06946039199829102;0.06644654273986816;0.04103803634643555;0.0363008975982666;0.032990217208862305;0.049247217178344724;0.9150326797385621;0.9019607843137255;0.9013157894736842;0.8486842105263158;0.881578947368421;0.8897144822841417;1.0;1.0;1.0;1.0;1.0;1.0;0.9102564102564102;0.9295774647887324;0.8588235294117647;0.8441558441558441;0.881578947368421;0.8848784391962345;1.0;1.0;1.0;1.0;1.0;1.0;0.922077922077922;0.868421052631579;0.9605263157894737;0.8552631578947368;0.881578947368421;0.8975734791524264;1.0;1.0;1.0;1.0;1.0;1.0;0.9161290322580644;0.8979591836734694;0.906832298136646;0.8496732026143792;0.881578947368421;0.8904345328101961;1.0;1.0;1.0;1.0;1.0;1.0;69;72;64;64;67;67.2;305;304;305;305;305;304.8;71;66;73;65;67;68.4;304;305;305;305;305;304.8;6;10;3;11;9;7.8;0;0;0;0;0;0.0;7;5;12;12;9;9.0;0;0;0;0;0;0.0
Natural Language Processing;Linear_SVC_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.18622636795043945;0.23364758491516113;0.23721051216125488;0.1473245620727539;0.20314884185791016;0.20151157379150392;0.046889543533325195;0.06929349899291992;0.07151627540588379;0.04054522514343262;0.05415058135986328;0.056479024887084964;0.934640522875817;0.9281045751633987;0.9342105263157895;0.9210526315789473;0.9539473684210527;0.9343911248710011;0.9983579638752053;1.0;0.9983606557377049;0.9983606557377049;0.9983606557377049;0.998687986217664;0.935064935064935;0.9333333333333333;0.9459459459459459;0.9324324324324325;0.96;0.9413553293553294;0.9967213114754099;1.0;0.9967320261437909;0.9967320261437909;0.9967320261437909;0.9973834779813565;0.935064935064935;0.9210526315789473;0.9210526315789473;0.9078947368421053;0.9473684210526315;0.9264866712235132;1.0;1.0;1.0;1.0;1.0;1.0;0.935064935064935;0.9271523178807947;0.9333333333333332;0.92;0.9536423841059603;0.9338385940770045;0.9983579638752053;1.0;0.9983633387888707;0.9983633387888707;0.9983633387888707;0.9986895960483635;71;72;72;71;73;71.8;304;304;304;304;304;304.0;72;70;70;69;72;70.6;304;305;305;305;305;304.8;5;6;6;7;4;5.6;0;0;0;0;0;0.0;5;5;4;5;3;4.4;1;0;1;1;1;0.8
