PipelineID;Pipeline;train_set;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_accuracy_cv1;test_accuracy_cv2;test_accuracy_cv3;test_accuracy_cv4;test_accuracy_cv5;test_accuracy_mean;train_accuracy_cv1;train_accuracy_cv2;train_accuracy_cv3;train_accuracy_cv4;train_accuracy_cv5;train_accuracy_mean;test_precision_cv1;test_precision_cv2;test_precision_cv3;test_precision_cv4;test_precision_cv5;test_precision_mean;train_precision_cv1;train_precision_cv2;train_precision_cv3;train_precision_cv4;train_precision_cv5;train_precision_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;train_recall_cv1;train_recall_cv2;train_recall_cv3;train_recall_cv4;train_recall_cv5;train_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;train_f1-score_cv1;train_f1-score_cv2;train_f1-score_cv3;train_f1-score_cv4;train_f1-score_cv5;train_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;train_tp_cv1;train_tp_cv2;train_tp_cv3;train_tp_cv4;train_tp_cv5;train_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;train_tn_cv1;train_tn_cv2;train_tn_cv3;train_tn_cv4;train_tn_cv5;train_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;train_fp_cv1;train_fp_cv2;train_fp_cv3;train_fp_cv4;train_fp_cv5;train_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;train_fn_cv1;train_fn_cv2;train_fn_cv3;train_fn_cv4;train_fn_cv5;train_fn_mean
Natural Language Processing;LR_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.32286953926086426;0.4486260414123535;0.5093061923980713;0.36501169204711914;0.5323669910430908;0.4356360912322998;0.04370570182800293;0.06161165237426758;0.05784177780151367;0.044542789459228516;0.08155965805053711;0.057852315902709964;0.8496732026143791;0.8954248366013072;0.9144736842105263;0.9144736842105263;0.9276315789473685;0.9003353973168216;1.0;0.9983579638752053;0.9983606557377049;1.0;1.0;0.999343723922582;0.85017347121497;0.8978209757798702;0.9151205132651291;0.9162754303599374;0.9312903789069322;0.9021361539053677;1.0;0.9983633476002045;0.9983660130718955;1.0;1.0;0.99934587213442;0.8496732026143791;0.8954248366013072;0.9144736842105263;0.9144736842105263;0.9276315789473685;0.9003353973168216;1.0;0.9983579638752053;0.9983606557377049;1.0;1.0;0.999343723922582;0.8495960888808421;0.8952368161876623;0.9144403550552067;0.9143810390398199;0.9274777705486879;0.9002264139424436;1.0;0.9983579638752053;0.998360651332038;1.0;1.0;0.9993437230414486;63;72;68;72;74;69.8;305;304;305;305;305;304.8;67;65;71;67;67;67.4;304;304;304;305;305;304.4;10;11;5;9;9;8.8;0;1;1;0;0;0.4;13;5;8;4;2;6.4;0;0;0;0;0;0.0
Natural Language Processing;LR_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.3197021484375;0.28999948501586914;0.25278496742248535;0.3680133819580078;0.35007333755493164;0.3161146640777588;0.03407883644104004;0.03708243370056152;0.04647064208984375;0.07407307624816895;0.06363034248352051;0.05106706619262695;0.869281045751634;0.934640522875817;0.9342105263157895;0.9210526315789473;0.9539473684210527;0.9226264189886482;0.9901477832512315;0.9819376026272578;0.9852459016393442;0.9852459016393442;0.9819672131147541;0.9849088804543864;0.8695113579700328;0.9372998998796306;0.9342105263157895;0.9222222222222222;0.9559207094418363;0.9238329431659021;0.9901690352556941;0.9819427031083287;0.9852928528425215;0.9852928528425215;0.9820138470800722;0.9849422582258276;0.869281045751634;0.934640522875817;0.9342105263157895;0.9210526315789473;0.9539473684210527;0.9226264189886482;0.9901477832512315;0.9819376026272578;0.9852459016393442;0.9852459016393442;0.9819672131147541;0.9849088804543864;0.8692475280710577;0.9345230101172888;0.9342105263157895;0.920997920997921;0.953897482559903;0.922575293612392;0.9901477301223663;0.9819375052235504;0.9852455447726496;0.9852455447726496;0.9819667769443496;0.9849086203671131;65;75;71;72;75;71.6;301;298;299;299;298;299.0;68;68;71;68;70;69.0;302;300;302;302;301;301.4;9;8;5;8;6;7.2;2;5;3;3;4;3.4;11;2;5;4;1;4.6;4;6;6;6;7;5.8
Natural Language Processing;SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;1.7187845706939697;1.5893738269805908;2.1069252490997314;1.5732033252716064;2.1855483055114746;1.8347670555114746;0.13268375396728516;0.09882187843322754;0.13917875289916992;0.11376595497131348;0.11900711059570312;0.12069149017333984;0.7712418300653595;0.8300653594771242;0.868421052631579;0.8157894736842105;0.8289473684210527;0.8228930168558651;0.916256157635468;0.8686371100164204;0.8803278688524591;0.8672131147540983;0.8836065573770492;0.883208161727099;0.7894072571557359;0.8491963512567762;0.8855072463768116;0.834556126192223;0.8534226190476191;0.8424179200058332;0.9255339787359493;0.889241496638674;0.8961748633879782;0.8895274584929758;0.8985191637630662;0.8997993922037286;0.7712418300653595;0.8300653594771242;0.868421052631579;0.8157894736842105;0.8289473684210527;0.8228930168558651;0.916256157635468;0.8686371100164204;0.8803278688524591;0.8672131147540983;0.8836065573770492;0.883208161727099;0.7678528201404019;0.8275437677095598;0.8669467787114846;0.8131694468832308;0.8259337561663141;0.8202893139221983;0.9157860757304754;0.8669041187604916;0.8791190594469283;0.8652837874313946;0.8825074128029211;0.8819200908344422;68;73;74;71;73;71.8;302;299;299;301;299;300.0;50;54;58;53;53;53.6;256;230;238;228;240;238.4;27;22;18;23;23;22.6;48;75;67;77;65;66.4;8;4;2;5;3;4.4;3;5;6;4;6;4.8
Natural Language Processing;SVC_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;2.03444504737854;2.6036183834075928;2.64597749710083;1.9393038749694824;2.02262806892395;2.2491945743560793;0.1348574161529541;0.17001724243164062;0.1716604232788086;0.11397266387939453;0.13647222518920898;0.14539599418640137;0.8758169934640523;0.9411764705882353;0.9276315789473685;0.9276315789473685;0.9473684210526315;0.9239250085999313;0.9983579638752053;0.9983579638752053;0.9983606557377049;1.0;0.9983606557377049;0.9986874478451642;0.8763642671680545;0.9430456483520926;0.9277056277056278;0.928298942257673;0.9501742160278744;0.9251177403022645;0.9983633476002045;0.9983633300063322;0.9983660130718955;1.0;0.9983660130718955;0.9986917407500655;0.8758169934640523;0.9411764705882353;0.9276315789473685;0.9276315789473685;0.9473684210526315;0.9239250085999313;0.9983579638752053;0.9983579638752053;0.9983606557377049;1.0;0.9983606557377049;0.9986874478451642;0.8757532908146087;0.9411009686893625;0.9276284465220966;0.9276033773544058;0.947286284029825;0.9238744734820598;0.9983579638752053;0.9983579550203229;0.998360651332038;1.0;0.998360651332038;0.9986874443119209;65;75;71;72;75;71.6;304;303;304;305;304;304.0;69;69;70;69;69;69.2;304;305;305;305;305;304.8;8;7;6;7;7;7.0;0;0;0;0;0;0.0;11;2;5;4;1;4.6;1;1;1;0;1;0.8
Natural Language Processing;KNN_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.13959717750549316;0.1496126651763916;0.1387183666229248;0.24438190460205078;0.20407843589782715;0.1752777099609375;0.05263042449951172;0.08070135116577148;0.06562924385070801;0.09941959381103516;0.13852763175964355;0.08738164901733399;0.7908496732026143;0.7843137254901961;0.8157894736842105;0.7763157894736842;0.8026315789473685;0.7939800481596146;1.0;1.0;1.0;1.0;1.0;1.0;0.8229325440868172;0.8026960784313725;0.8392857142857143;0.8197115384615384;0.8206162876008803;0.8210484325732645;1.0;1.0;1.0;1.0;1.0;1.0;0.7908496732026143;0.7843137254901961;0.8157894736842105;0.7763157894736842;0.8026315789473685;0.7939800481596146;1.0;1.0;1.0;1.0;1.0;1.0;0.7858037387449153;0.780751607001182;0.8125440451021846;0.7684587813620072;0.7998244073748902;0.7894765159170358;1.0;1.0;1.0;1.0;1.0;1.0;72;70;72;73;52;67.8;305;304;305;305;305;304.8;49;50;52;45;70;53.2;304;305;305;305;305;304.8;28;26;24;31;6;23.0;0;0;0;0;0;0.0;4;7;4;3;24;8.4;0;0;0;0;0;0.0
Natural Language Processing;KNN_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.14782977104187012;0.15663909912109375;0.22358417510986328;0.22358298301696777;0.14850711822509766;0.18002862930297853;0.05177044868469238;0.058713436126708984;0.0881035327911377;0.09398627281188965;0.05386161804199219;0.06928706169128418;0.8562091503267973;0.8627450980392157;0.875;0.9276315789473685;0.9473684210526315;0.8937908496732027;0.9556650246305419;0.9211822660098522;0.9295081967213115;0.9344262295081968;0.9311475409836065;0.9343858515707018;0.8622875134031321;0.8643589122891955;0.8782084861183865;0.9277056277056278;0.9473684210526315;0.8959857921137948;0.9570935470367472;0.9229990019693759;0.9308467046238786;0.9353434810242488;0.9323373109551681;0.9357240091218838;0.8562091503267973;0.8627450980392157;0.875;0.9276315789473685;0.9473684210526315;0.8937908496732027;0.9556650246305419;0.9211822660098522;0.9295081967213115;0.9344262295081968;0.9311475409836065;0.9343858515707018;0.8555299596077982;0.8626277510533988;0.8747343309477337;0.9276284465220966;0.9473684210526315;0.8935777818367319;0.9556324873939807;0.9210929034996593;0.9294534050902205;0.9343916709688521;0.9311001387678705;0.9343341211441167;60;64;63;71;72;66.0;283;270;275;278;276;276.4;71;68;70;70;72;70.2;299;291;292;292;292;293.2;6;8;6;6;4;6.0;5;14;13;13;13;11.6;16;13;13;5;4;10.2;22;34;30;27;29;28.4
Natural Language Processing;RandomForestClassifier_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.46047449111938477;0.6270444393157959;0.6364138126373291;0.4601879119873047;0.4516599178314209;0.5271561145782471;0.05736279487609863;0.09193968772888184;0.09245181083679199;0.06266498565673828;0.05014491081237793;0.07091283798217773;0.8954248366013072;0.8888888888888888;0.881578947368421;0.875;0.9342105263157895;0.8950206398348813;1.0;1.0;1.0;1.0;1.0;1.0;0.9022203099282207;0.8906035665294926;0.8826388888888888;0.8755852262874978;0.9345114345114346;0.8971118852291069;1.0;1.0;1.0;1.0;1.0;1.0;0.8954248366013072;0.8888888888888888;0.881578947368421;0.875;0.9342105263157895;0.8950206398348813;1.0;1.0;1.0;1.0;1.0;1.0;0.8949308797147623;0.8887938937098943;0.8814968814968815;0.8749512881576098;0.934199134199134;0.8948744154556565;1.0;1.0;1.0;1.0;1.0;1.0;63;66;65;68;70;66.4;305;304;305;305;305;304.8;74;70;69;65;72;70.0;304;305;305;305;305;304.8;3;6;7;11;4;6.2;0;0;0;0;0;0.0;13;11;11;8;6;9.8;0;0;0;0;0;0.0
Natural Language Processing;RandomForestClassifier_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.43448328971862793;0.6387591361999512;0.6232352256774902;0.37221837043762207;0.3991730213165283;0.49357380867004397;0.0789039134979248;0.09626007080078125;0.0946042537689209;0.05110526084899902;0.07045984268188477;0.07826666831970215;0.8496732026143791;0.9150326797385621;0.9013157894736842;0.9078947368421053;0.9342105263157895;0.901625386996904;1.0;1.0;1.0;1.0;1.0;1.0;0.8525385999810552;0.915693429840861;0.9019420842725855;0.9081774081774082;0.9354166666666667;0.9027536377877153;1.0;1.0;1.0;1.0;1.0;1.0;0.8496732026143791;0.9150326797385621;0.9013157894736842;0.9078947368421053;0.9342105263157895;0.901625386996904;1.0;1.0;1.0;1.0;1.0;1.0;0.8493125986026595;0.9150108979004262;0.9012773327560079;0.9078787878787878;0.9341649341649343;0.9015289102605631;1.0;1.0;1.0;1.0;1.0;1.0;61;69;67;70;73;68.0;305;304;305;305;305;304.8;69;71;70;68;69;69.4;304;305;305;305;305;304.8;8;5;6;8;7;6.8;0;0;0;0;0;0.0;15;8;9;6;3;8.2;0;0;0;0;0;0.0
Natural Language Processing;Linear_SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.6102278232574463;0.6350431442260742;0.9564650058746338;0.5306930541992188;1.0091187953948975;0.7483095645904541;0.20119285583496094;0.21097683906555176;0.2815053462982178;0.12896060943603516;0.26867222785949707;0.21826157569885254;0.8496732026143791;0.8758169934640523;0.9078947368421053;0.9078947368421053;0.8881578947368421;0.8858875128998969;1.0;1.0;1.0;1.0;1.0;1.0;0.8511101681025095;0.8789192005304537;0.9090277777777778;0.912464985994398;0.8887636552800416;0.8880571575370361;1.0;1.0;1.0;1.0;1.0;1.0;0.8496732026143791;0.8758169934640523;0.9078947368421053;0.9078947368421053;0.8881578947368421;0.8858875128998969;1.0;1.0;1.0;1.0;1.0;1.0;0.84948025331726;0.8755191031935013;0.9078309078309076;0.9076388888888889;0.888114310456809;0.8857166927374734;1.0;1.0;1.0;1.0;1.0;1.0;62;71;67;73;69;68.4;305;304;305;305;305;304.8;68;63;71;65;66;66.6;304;305;305;305;305;304.8;9;13;5;11;10;9.6;0;0;0;0;0;0.0;14;6;9;3;7;7.8;0;0;0;0;0;0.0
Natural Language Processing;Linear_SVC_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.632025957107544;0.6609063148498535;0.6575877666473389;0.9037313461303711;0.9532148838043213;0.7614932537078858;0.1566300392150879;0.17912650108337402;0.1908092498779297;0.273038387298584;0.2801997661590576;0.21596078872680663;0.8823529411764706;0.954248366013072;0.9342105263157895;0.9473684210526315;0.9605263157894737;0.9357413140694874;1.0;1.0;1.0;1.0;1.0;1.0;0.8846613344132832;0.95432210491034;0.9345114345114346;0.9476784476784477;0.9618055555555557;0.9365957754138121;1.0;1.0;1.0;1.0;1.0;1.0;0.8823529411764706;0.954248366013072;0.9342105263157895;0.9473684210526315;0.9605263157894737;0.9357413140694874;1.0;1.0;1.0;1.0;1.0;1.0;0.8821414182111201;0.954244456452381;0.934199134199134;0.9473593073593073;0.9604989604989606;0.9356886553441806;1.0;1.0;1.0;1.0;1.0;1.0;64;74;70;73;75;71.2;305;304;305;305;305;304.8;71;72;72;71;71;71.4;304;305;305;305;305;304.8;6;4;4;5;5;4.8;0;0;0;0;0;0.0;12;3;6;3;1;5.0;0;0;0;0;0;0.0
