PipelineID;Pipeline;train_set;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_accuracy_cv1;test_accuracy_cv2;test_accuracy_cv3;test_accuracy_cv4;test_accuracy_cv5;test_accuracy_mean;train_accuracy_cv1;train_accuracy_cv2;train_accuracy_cv3;train_accuracy_cv4;train_accuracy_cv5;train_accuracy_mean;test_precision_cv1;test_precision_cv2;test_precision_cv3;test_precision_cv4;test_precision_cv5;test_precision_mean;train_precision_cv1;train_precision_cv2;train_precision_cv3;train_precision_cv4;train_precision_cv5;train_precision_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;train_recall_cv1;train_recall_cv2;train_recall_cv3;train_recall_cv4;train_recall_cv5;train_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;train_f1-score_cv1;train_f1-score_cv2;train_f1-score_cv3;train_f1-score_cv4;train_f1-score_cv5;train_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;train_tp_cv1;train_tp_cv2;train_tp_cv3;train_tp_cv4;train_tp_cv5;train_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;train_tn_cv1;train_tn_cv2;train_tn_cv3;train_tn_cv4;train_tn_cv5;train_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;train_fp_cv1;train_fp_cv2;train_fp_cv3;train_fp_cv4;train_fp_cv5;train_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;train_fn_cv1;train_fn_cv2;train_fn_cv3;train_fn_cv4;train_fn_cv5;train_fn_mean
Audio;LR_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;0.11453461647033691;0.09915328025817871;0.1702878475189209;0.11919188499450684;0.11386370658874512;0.1234062671661377;0.03433108329772949;0.014380216598510742;0.0060884952545166016;0.014749288558959961;0.023829936981201172;0.018675804138183594;0.9;0.7368421052631579;0.9473684210526315;0.8947368421052632;0.7894736842105263;0.8536842105263158;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.7777777777777778;1.0;1.0;0.7272727272727273;0.8810101010101011;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.7;0.9;0.7777777777777778;0.8888888888888888;0.8333333333333333;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.7368421052631577;0.9473684210526316;0.8750000000000001;0.7999999999999999;0.851842105263158;1.0;1.0;1.0;1.0;1.0;1.0;9;7;9;10;7;8.4;38;39;39;38;38;38.4;9;7;9;7;8;8.0;38;38;38;39;39;38.4;1;3;1;2;1;1.6;0;0;0;0;0;0.0;1;2;0;0;3;1.2;0;0;0;0;0;0.0
Audio;LR_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;0.04906868934631348;0.06757044792175293;0.06987619400024414;0.11611819267272949;0.08843517303466797;0.0782137393951416;0.026811838150024414;0.01023101806640625;0.007556915283203125;0.01543879508972168;0.045853376388549805;0.021178388595581056;1.0;0.9473684210526315;0.9473684210526315;0.8947368421052632;0.7368421052631579;0.9052631578947368;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8888888888888888;0.75;0.9277777777777778;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.9;0.8888888888888888;0.6666666666666666;0.8711111111111111;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9473684210526316;0.9473684210526316;0.8888888888888888;0.7058823529411765;0.8979016167870657;1.0;1.0;1.0;1.0;1.0;1.0;10;9;9;9;8;9.0;38;39;39;38;38;38.4;10;9;9;8;6;8.4;38;38;38;39;39;38.4;0;1;1;1;3;1.2;0;0;0;0;0;0.0;0;0;0;1;2;0.6;0;0;0;0;0;0.0
Audio;SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;0.09700202941894531;0.13969802856445312;0.20164155960083008;0.15212368965148926;0.11970734596252441;0.14203453063964844;0.05057024955749512;0.021600723266601562;0.025414466857910156;0.01336216926574707;0.04059934616088867;0.030309391021728516;0.5;0.5263157894736842;0.47368421052631576;0.42105263157894735;0.42105263157894735;0.46842105263157896;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;0.0;0.4375;0.4444444444444444;0.4763888888888889;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.1;0.0;0.7777777777777778;0.8888888888888888;0.5333333333333333;1.0;1.0;1.0;1.0;1.0;1.0;0.6428571428571429;0.18181818181818182;0.0;0.56;0.5925925925925926;0.39545358345358345;1.0;1.0;1.0;1.0;1.0;1.0;1;9;9;1;0;4.0;38;39;39;38;38;38.4;9;1;0;7;8;5.0;38;38;38;39;39;38.4;1;9;10;2;1;4.6;0;0;0;0;0;0.0;9;0;0;9;10;5.6;0;0;0;0;0;0.0
Audio;SVC_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;0.08288192749023438;0.12864089012145996;0.09252262115478516;0.13280248641967773;0.1003563404083252;0.10744085311889648;0.0499417781829834;0.02417588233947754;0.00833582878112793;0.015539407730102539;0.04244565963745117;0.028087711334228514;1.0;0.8947368421052632;0.9473684210526315;0.8947368421052632;0.7894736842105263;0.9052631578947368;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9;1.0;0.8888888888888888;0.7777777777777778;0.9133333333333333;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.9;0.8888888888888888;0.7777777777777778;0.8933333333333333;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.9473684210526316;0.8888888888888888;0.7777777777777778;0.9028070175438596;1.0;1.0;1.0;1.0;1.0;1.0;10;8;9;9;8;8.8;38;39;39;38;38;38.4;10;9;9;8;7;8.6;38;38;38;39;39;38.4;0;1;1;1;2;1.0;0;0;0;0;0;0.0;0;1;0;1;2;0.8;0;0;0;0;0;0.0
Audio;KNN_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;0.07052445411682129;0.11859512329101562;0.10931396484375;0.11624550819396973;0.08166670799255371;0.09926915168762207;0.08340144157409668;0.029690980911254883;0.012852907180786133;0.015349864959716797;0.0404055118560791;0.03634014129638672;0.7;0.7894736842105263;0.5789473684210527;0.7894736842105263;0.631578947368421;0.6978947368421053;1.0;1.0;1.0;1.0;1.0;1.0;0.75;1.0;0.5625;0.8571428571428571;0.625;0.7589285714285714;1.0;1.0;1.0;1.0;1.0;1.0;0.6;0.6;0.9;0.6666666666666666;0.5555555555555556;0.6644444444444444;1.0;1.0;1.0;1.0;1.0;1.0;0.6666666666666665;0.7499999999999999;0.6923076923076923;0.75;0.5882352941176471;0.6894419306184012;1.0;1.0;1.0;1.0;1.0;1.0;8;9;2;9;7;7.0;38;39;39;38;38;38.4;6;6;9;6;5;6.4;38;38;38;39;39;38.4;4;4;1;3;4;3.2;0;0;0;0;0;0.0;2;0;7;1;3;2.6;0;0;0;0;0;0.0
Audio;KNN_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;0.06655359268188477;0.09991312026977539;0.10857701301574707;0.058981895446777344;0.07792544364929199;0.08239021301269531;0.054750680923461914;0.02512836456298828;0.012521982192993164;0.01023554801940918;0.04483485221862793;0.029494285583496094;0.95;0.7894736842105263;0.8421052631578947;0.631578947368421;0.6842105263157895;0.7794736842105262;1.0;1.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.7142857142857143;0.7692307692307693;0.5625;0.6153846153846154;0.7140984015984017;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8888888888888888;0.9777777777777779;1.0;1.0;1.0;1.0;1.0;1.0;0.9523809523809523;0.8333333333333333;0.8695652173913044;0.72;0.7272727272727274;0.8205104460756635;1.0;1.0;1.0;1.0;1.0;1.0;9;5;6;3;5;5.6;38;39;39;38;38;38.4;10;10;10;9;8;9.4;38;38;38;39;39;38.4;0;0;0;0;1;0.2;0;0;0;0;0;0.0;1;4;3;7;5;4.0;0;0;0;0;0;0.0
Audio;RandomForestClassifier_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;0.21743416786193848;0.3076608180999756;0.23478198051452637;0.2776310443878174;0.21067523956298828;0.24963665008544922;0.043393611907958984;0.032082319259643555;0.01741814613342285;0.02887749671936035;0.03923988342285156;0.032202291488647464;0.95;0.9473684210526315;1.0;0.7894736842105263;0.9473684210526315;0.9268421052631579;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7777777777777778;1.0;0.9555555555555555;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.9;1.0;0.7777777777777778;0.8888888888888888;0.8933333333333333;1.0;1.0;1.0;1.0;1.0;1.0;0.9473684210526316;0.9473684210526316;1.0;0.7777777777777778;0.9411764705882353;0.9227382180942552;1.0;1.0;1.0;1.0;1.0;1.0;10;9;9;8;10;9.2;38;39;39;38;38;38.4;9;9;10;7;8;8.6;38;38;38;39;39;38.4;1;1;0;2;1;1.0;0;0;0;0;0;0.0;0;0;0;2;0;0.4;0;0;0;0;0;0.0
Audio;RandomForestClassifier_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;0.22745585441589355;0.27364253997802734;0.2655930519104004;0.1811964511871338;0.2375011444091797;0.23707780838012696;0.06989002227783203;0.03585028648376465;0.0240325927734375;0.027713537216186523;0.06078219413757324;0.04365372657775879;0.95;0.9473684210526315;1.0;0.7368421052631579;0.9473684210526315;0.9163157894736843;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7;1.0;0.9400000000000001;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.9;1.0;0.7777777777777778;0.8888888888888888;0.8933333333333333;1.0;1.0;1.0;1.0;1.0;1.0;0.9473684210526316;0.9473684210526316;1.0;0.7368421052631577;0.9411764705882353;0.9145510835913313;1.0;1.0;1.0;1.0;1.0;1.0;10;9;9;7;10;9.0;38;39;39;38;38;38.4;9;9;10;7;8;8.6;38;38;38;39;39;38.4;1;1;0;2;1;1.0;0;0;0;0;0;0.0;0;0;0;3;0;0.6;0;0;0;0;0;0.0
Audio;Linear_SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;0.08821630477905273;0.12788605690002441;0.13469648361206055;0.14540505409240723;0.12380409240722656;0.1240015983581543;0.08030104637145996;0.023537397384643555;0.009904146194458008;0.013670682907104492;0.04711484909057617;0.034905624389648435;0.9;0.8421052631578947;0.9473684210526315;0.5789473684210527;0.7894736842105263;0.811578947368421;0.9342105263157895;0.961038961038961;0.935064935064935;0.8311688311688312;0.974025974025974;0.9271018455228981;0.8333333333333334;0.7692307692307693;0.9090909090909091;0.5294117647058824;0.7272727272727273;0.7536679007267242;0.8837209302325582;0.926829268292683;0.8837209302325582;0.75;0.9512195121951219;0.8790981281905843;1.0;1.0;1.0;1.0;0.8888888888888888;0.9777777777777779;1.0;1.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.8695652173913044;0.9523809523809523;0.6923076923076924;0.7999999999999999;0.8446689542341715;0.9382716049382717;0.9620253164556963;0.9382716049382717;0.8571428571428571;0.975;0.9341422766950194;8;6;8;2;7;6.2;33;36;34;25;36;32.8;10;10;10;9;8;9.4;38;38;38;39;39;38.4;0;0;0;0;1;0.2;0;0;0;0;0;0.0;2;3;1;8;3;3.4;5;3;5;13;2;5.6
Audio;Linear_SVC_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;0.03763890266418457;0.10199141502380371;0.06728625297546387;0.0684354305267334;0.08905696868896484;0.07288179397583008;0.03392910957336426;0.022632598876953125;0.007653236389160156;0.010857820510864258;0.04319047927856445;0.02365264892578125;0.95;1.0;0.9473684210526315;0.47368421052631576;0.6842105263157895;0.8110526315789475;0.9473684210526315;0.974025974025974;0.987012987012987;0.7792207792207793;0.8051948051948052;0.8985645933014353;0.9090909090909091;1.0;1.0;0.47368421052631576;0.6;0.796555023923445;0.9047619047619048;0.9736842105263158;1.0;0.6964285714285714;0.7222222222222222;0.8594193817878029;1.0;1.0;0.9;1.0;1.0;0.9800000000000001;1.0;0.9736842105263158;0.9736842105263158;1.0;1.0;0.9894736842105264;0.9523809523809523;1.0;0.9473684210526316;0.6428571428571429;0.7499999999999999;0.8585213032581454;0.9500000000000001;0.9736842105263158;0.9866666666666666;0.8210526315789474;0.8387096774193548;0.9140226372382569;9;9;9;0;4;6.2;34;38;39;21;23;31.0;10;10;9;9;9;9.4;38;37;37;39;39;38.0;0;0;1;0;0;0.2;0;1;1;0;0;0.4;1;0;0;10;6;3.4;4;1;0;17;15;7.4
