PipelineID;Pipeline;train_set;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_accuracy_cv1;test_accuracy_cv2;test_accuracy_cv3;test_accuracy_cv4;test_accuracy_cv5;test_accuracy_mean;train_accuracy_cv1;train_accuracy_cv2;train_accuracy_cv3;train_accuracy_cv4;train_accuracy_cv5;train_accuracy_mean;test_precision_cv1;test_precision_cv2;test_precision_cv3;test_precision_cv4;test_precision_cv5;test_precision_mean;train_precision_cv1;train_precision_cv2;train_precision_cv3;train_precision_cv4;train_precision_cv5;train_precision_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;train_recall_cv1;train_recall_cv2;train_recall_cv3;train_recall_cv4;train_recall_cv5;train_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;train_f1-score_cv1;train_f1-score_cv2;train_f1-score_cv3;train_f1-score_cv4;train_f1-score_cv5;train_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;train_tp_cv1;train_tp_cv2;train_tp_cv3;train_tp_cv4;train_tp_cv5;train_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;train_tn_cv1;train_tn_cv2;train_tn_cv3;train_tn_cv4;train_tn_cv5;train_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;train_fp_cv1;train_fp_cv2;train_fp_cv3;train_fp_cv4;train_fp_cv5;train_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;train_fn_cv1;train_fn_cv2;train_fn_cv3;train_fn_cv4;train_fn_cv5;train_fn_mean
Natural Language Processing;LR_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;58.71140122413635;57.732686281204224;59.70451521873474;56.102723836898804;60.5793354511261;58.566132402420045;1.6370961666107178;1.7017712593078613;1.1044235229492188;1.8489561080932617;1.2217791080474854;1.502805233001709;0.934640522875817;0.9215686274509803;0.9342105263157895;0.881578947368421;0.9144736842105263;0.9172944616443068;1.0;1.0;1.0;1.0;1.0;1.0;0.9240506329113924;0.9444444444444444;0.9342105263157895;0.8918918918918919;0.8987341772151899;0.9186663345557416;1.0;1.0;1.0;1.0;1.0;1.0;0.948051948051948;0.8947368421052632;0.9342105263157895;0.868421052631579;0.9342105263157895;0.9159261790840738;1.0;1.0;1.0;1.0;1.0;1.0;0.9358974358974359;0.918918918918919;0.9342105263157895;0.88;0.9161290322580645;0.9170311826780418;1.0;1.0;1.0;1.0;1.0;1.0;70;73;71;68;68;70.0;305;304;305;305;305;304.8;73;68;71;66;71;69.8;304;305;305;305;305;304.8;4;8;5;10;5;6.4;0;0;0;0;0;0.0;6;4;5;8;8;6.2;0;0;0;0;0;0.0
Natural Language Processing;LR_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;6.6537840366363525;7.994928598403931;6.7756571769714355;6.295188903808594;7.500194787979126;7.043950700759888;1.4848706722259521;0.8606488704681396;1.3546011447906494;1.0694997310638428;0.9503345489501953;1.1439909934997559;0.9477124183006536;0.9281045751633987;0.9473684210526315;0.9407894736842105;0.9342105263157895;0.9396370829033367;0.9917898193760263;0.9950738916256158;0.9934426229508196;0.9934426229508196;0.9950819672131147;0.9937661848232793;0.9367088607594937;0.922077922077922;0.925;0.9466666666666667;0.9125;0.9285906899008165;0.9869706840390879;0.9902597402597403;0.9870550161812298;0.9870550161812298;0.9902597402597403;0.9883200393842057;0.961038961038961;0.9342105263157895;0.9736842105263158;0.9342105263157895;0.9605263157894737;0.952734107997266;0.9967105263157895;1.0;1.0;1.0;1.0;0.9993421052631579;0.9487179487179488;0.9281045751633986;0.9487179487179489;0.9403973509933775;0.935897435897436;0.9403670518980218;0.9918166939443536;0.9951060358890702;0.993485342019544;0.993485342019544;0.9951060358890702;0.9937998899523164;71;71;70;72;69;70.6;301;301;301;301;302;301.2;74;71;74;71;73;72.6;303;305;305;305;305;304.6;3;5;2;5;3;3.6;1;0;0;0;0;0.2;5;6;6;4;7;5.6;4;3;4;4;3;3.6
Natural Language Processing;SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;15.259032249450684;21.514873504638672;16.339629411697388;18.131571531295776;17.306729555130005;17.710367250442506;1.3098320960998535;1.2147400379180908;1.207437515258789;1.9461274147033691;1.3930583000183105;1.4142390727996825;0.6535947712418301;0.6535947712418301;0.6052631578947368;0.6710526315789473;0.6710526315789473;0.6509115927072584;0.6978653530377669;0.6798029556650246;0.6672131147540984;0.680327868852459;0.6868852459016394;0.6824189076421976;0.5952380952380952;0.5891472868217055;0.5597014925373134;0.6031746031746031;0.6048387096774194;0.5904200374898274;0.6229508196721312;0.61;0.6003937007874016;0.61;0.6149193548387096;0.6116527750596485;0.974025974025974;1.0;0.9868421052631579;1.0;0.9868421052631579;0.989542036910458;1.0;1.0;1.0;1.0;1.0;1.0;0.7389162561576355;0.7414634146341463;0.7142857142857143;0.7524752475247524;0.75;0.7394281265204496;0.7676767676767677;0.7577639751552795;0.7503075030750308;0.7577639751552795;0.7615480649188514;0.7590120571962418;25;24;17;26;27;23.8;121;109;102;110;114;111.2;75;76;75;76;75;75.4;304;305;305;305;305;304.8;2;0;1;0;1;0.8;0;0;0;0;0;0.0;51;53;59;50;49;52.4;184;195;203;195;191;193.6
Natural Language Processing;SVC_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;16.86988615989685;22.744865655899048;18.8429434299469;22.51082468032837;16.359875440597534;19.46567907333374;1.3518800735473633;1.2019011974334717;1.4543640613555908;1.285691261291504;1.3800806999206543;1.3347834587097167;0.9477124183006536;0.9411764705882353;0.9473684210526315;0.9407894736842105;0.9276315789473685;0.9409356725146198;1.0;1.0;1.0;1.0;1.0;1.0;0.9367088607594937;0.9466666666666667;0.925;0.9466666666666667;0.9012345679012346;0.9312553523988123;1.0;1.0;1.0;1.0;1.0;1.0;0.961038961038961;0.9342105263157895;0.9736842105263158;0.9342105263157895;0.9605263157894737;0.952734107997266;1.0;1.0;1.0;1.0;1.0;1.0;0.9487179487179488;0.9403973509933775;0.9487179487179489;0.9403973509933775;0.9299363057324841;0.9416333810310273;1.0;1.0;1.0;1.0;1.0;1.0;71;73;70;72;68;70.8;305;304;305;305;305;304.8;74;71;74;71;73;72.6;304;305;305;305;305;304.8;3;5;2;5;3;3.6;0;0;0;0;0;0.0;5;4;6;4;8;5.4;0;0;0;0;0;0.0
Natural Language Processing;KNN_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;3.5089735984802246;3.7736246585845947;4.0046937465667725;5.3603835105896;5.1580400466918945;4.361143112182617;0.9305868148803711;0.9813635349273682;0.9842355251312256;1.5085904598236084;1.5102620124816895;1.1830076694488525;0.6797385620915033;0.6666666666666666;0.6578947368421053;0.7368421052631579;0.6776315789473685;0.6837547299621604;0.7142857142857143;0.6945812807881774;0.7180327868852459;0.8672131147540983;0.7081967213114754;0.7404619236049422;0.6129032258064516;0.6016260162601627;0.5952380952380952;0.6698113207547169;0.6115702479338843;0.6182297811986622;0.6388888888888888;0.6242171189979123;0.6423982869379015;0.7994652406417112;0.6331236897274634;0.6676186450387754;0.987012987012987;0.9736842105263158;0.9868421052631579;0.9342105263157895;0.9736842105263158;0.9710868079289131;0.9835526315789473;0.980327868852459;0.9836065573770492;0.980327868852459;0.9901639344262295;0.9835957722174289;0.7562189054726367;0.7437185929648242;0.7425742574257426;0.7802197802197802;0.751269035532995;0.7548001143231957;0.7746113989637305;0.7627551020408163;0.77720207253886;0.8807069219440353;0.772378516624041;0.7935308024222967;28;28;25;41;29;30.2;136;124;138;230;130;151.6;76;74;75;71;74;74.0;299;299;300;299;302;299.8;1;2;1;5;2;2.2;5;6;5;6;3;5.0;48;49;51;35;47;46.0;169;180;167;75;175;153.2
Natural Language Processing;KNN_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;5.322120428085327;3.621331214904785;4.043177127838135;3.9190165996551514;5.404358863830566;4.462000846862793;1.439314603805542;0.9270222187042236;0.8565535545349121;1.0027499198913574;1.542651891708374;1.1536584377288819;0.9477124183006536;0.8954248366013072;0.9078947368421053;0.9078947368421053;0.8881578947368421;0.9094169246646027;0.9458128078817734;0.9458128078817734;0.9508196721311475;0.9540983606557377;0.9557377049180328;0.950456270693693;0.9156626506024096;0.875;0.8690476190476191;0.8875;0.8314606741573034;0.8757341887614662;0.9221183800623053;0.9146341463414634;0.9310344827586207;0.9341692789968652;0.939873417721519;0.9283659411761548;0.987012987012987;0.9210526315789473;0.9605263157894737;0.9342105263157895;0.9736842105263158;0.9552973342447026;0.9736842105263158;0.9836065573770492;0.9737704918032787;0.9770491803278688;0.9737704918032787;0.9763761863675582;0.95;0.8974358974358975;0.9125000000000001;0.9102564102564101;0.8969696969696971;0.913432400932401;0.9472;0.9478672985781991;0.951923076923077;0.9551282051282051;0.9565217391304348;0.9517280639519832;69;67;65;67;61;65.8;280;276;283;284;286;281.8;76;70;73;71;74;72.8;296;300;297;298;297;297.6;1;6;3;5;2;3.4;8;5;8;7;8;7.2;7;10;11;9;15;10.4;25;28;22;21;19;23.0
Natural Language Processing;RandomForestClassifier_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;6.229538917541504;9.943489074707031;6.9448559284210205;8.823991775512695;6.560190677642822;7.7004132747650145;0.9065444469451904;1.061279535293579;0.9179069995880127;0.9810934066772461;1.013458251953125;0.9760565280914306;0.9215686274509803;0.8758169934640523;0.9013157894736842;0.9407894736842105;0.9078947368421053;0.9094771241830065;1.0;1.0;1.0;1.0;1.0;1.0;0.8823529411764706;0.8202247191011236;0.8351648351648352;0.9036144578313253;0.8604651162790697;0.8603644139105648;1.0;1.0;1.0;1.0;1.0;1.0;0.974025974025974;0.9605263157894737;1.0;0.9868421052631579;0.9736842105263158;0.9790157211209843;1.0;1.0;1.0;1.0;1.0;1.0;0.9259259259259258;0.8848484848484848;0.9101796407185628;0.9433962264150944;0.9135802469135803;0.9155861049643296;1.0;1.0;1.0;1.0;1.0;1.0;66;61;61;68;64;64.0;305;304;305;305;305;304.8;75;73;76;75;74;74.6;304;305;305;305;305;304.8;2;3;0;1;2;1.6;0;0;0;0;0;0.0;10;16;15;8;12;12.2;0;0;0;0;0;0.0
Natural Language Processing;RandomForestClassifier_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;7.27030611038208;7.0127809047698975;10.149431228637695;6.143164157867432;10.317042827606201;8.178545045852662;1.0631005764007568;0.9945638179779053;0.9022283554077148;1.02756667137146;1.1712274551391602;1.0317373752593995;0.9150326797385621;0.9084967320261438;0.9210526315789473;0.9342105263157895;0.8881578947368421;0.9133900928792571;1.0;1.0;1.0;1.0;1.0;1.0;0.8809523809523809;0.8604651162790697;0.8809523809523809;0.9125;0.8314606741573034;0.873266110468227;1.0;1.0;1.0;1.0;1.0;1.0;0.961038961038961;0.9736842105263158;0.9736842105263158;0.9605263157894737;0.9736842105263158;0.9685235816814763;1.0;1.0;1.0;1.0;1.0;1.0;0.9192546583850931;0.9135802469135803;0.925;0.935897435897436;0.8969696969696971;0.9181404076331614;1.0;1.0;1.0;1.0;1.0;1.0;66;65;66;69;61;65.4;305;304;305;305;305;304.8;74;74;74;73;74;73.8;304;305;305;305;305;304.8;3;2;2;3;2;2.4;0;0;0;0;0;0.0;10;12;10;7;15;10.8;0;0;0;0;0;0.0
Natural Language Processing;Linear_SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;5.183960437774658;3.6842262744903564;3.8443660736083984;5.110597133636475;3.6030709743499756;4.285244178771973;1.3646175861358643;0.8145792484283447;0.7440841197967529;1.4018990993499756;0.8433070182800293;1.0336974143981934;0.9281045751633987;0.8954248366013072;0.9342105263157895;0.8947368421052632;0.881578947368421;0.906811145510836;1.0;1.0;1.0;1.0;1.0;1.0;0.9024390243902439;0.9054054054054054;0.9125;0.9054054054054054;0.881578947368421;0.901465756513895;1.0;1.0;1.0;1.0;1.0;1.0;0.961038961038961;0.881578947368421;0.9605263157894737;0.881578947368421;0.881578947368421;0.9132604237867396;1.0;1.0;1.0;1.0;1.0;1.0;0.9308176100628931;0.8933333333333332;0.935897435897436;0.8933333333333332;0.881578947368421;0.9069921319990832;1.0;1.0;1.0;1.0;1.0;1.0;68;70;69;69;67;68.6;305;304;305;305;305;304.8;74;67;73;67;67;69.6;304;305;305;305;305;304.8;3;9;3;9;9;6.6;0;0;0;0;0;0.0;8;7;7;7;9;7.6;0;0;0;0;0;0.0
Natural Language Processing;Linear_SVC_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;3.8915507793426514;3.6455888748168945;5.811216115951538;3.2613704204559326;5.608895540237427;4.443724346160889;0.8728039264678955;0.8556628227233887;0.7304871082305908;0.740138053894043;1.0232465267181396;0.8444676876068116;0.9477124183006536;0.954248366013072;0.9407894736842105;0.9407894736842105;0.9342105263157895;0.9435500515995873;1.0;1.0;1.0;1.0;1.0;1.0;0.9367088607594937;0.96;0.9240506329113924;0.9466666666666667;0.9125;0.9359852320675106;1.0;1.0;1.0;1.0;1.0;1.0;0.961038961038961;0.9473684210526315;0.9605263157894737;0.9342105263157895;0.9605263157894737;0.9527341079972658;1.0;1.0;1.0;1.0;1.0;1.0;0.9487179487179488;0.9536423841059603;0.9419354838709677;0.9403973509933775;0.935897435897436;0.9441181207171381;1.0;1.0;1.0;1.0;1.0;1.0;71;74;70;72;69;71.2;305;304;305;305;305;304.8;74;72;73;71;73;72.6;304;305;305;305;305;304.8;3;4;3;5;3;3.6;0;0;0;0;0;0.0;5;3;6;4;7;5.0;0;0;0;0;0;0.0
