PipelineID;Pipeline;train_set;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_accuracy_cv1;test_accuracy_cv2;test_accuracy_cv3;test_accuracy_cv4;test_accuracy_cv5;test_accuracy_mean;train_accuracy_cv1;train_accuracy_cv2;train_accuracy_cv3;train_accuracy_cv4;train_accuracy_cv5;train_accuracy_mean;test_precision_cv1;test_precision_cv2;test_precision_cv3;test_precision_cv4;test_precision_cv5;test_precision_mean;train_precision_cv1;train_precision_cv2;train_precision_cv3;train_precision_cv4;train_precision_cv5;train_precision_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;train_recall_cv1;train_recall_cv2;train_recall_cv3;train_recall_cv4;train_recall_cv5;train_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;train_f1-score_cv1;train_f1-score_cv2;train_f1-score_cv3;train_f1-score_cv4;train_f1-score_cv5;train_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;train_tp_cv1;train_tp_cv2;train_tp_cv3;train_tp_cv4;train_tp_cv5;train_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;train_tn_cv1;train_tn_cv2;train_tn_cv3;train_tn_cv4;train_tn_cv5;train_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;train_fp_cv1;train_fp_cv2;train_fp_cv3;train_fp_cv4;train_fp_cv5;train_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;train_fn_cv1;train_fn_cv2;train_fn_cv3;train_fn_cv4;train_fn_cv5;train_fn_mean
Natural Language Processing;LR_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;0.36550211906433105;0.47929978370666504;0.7230556011199951;0.7160041332244873;0.4203464984893799;0.5408416271209717;0.09978294372558594;0.08186769485473633;0.07867884635925293;0.06821393966674805;0.08566713333129883;0.08284211158752441;0.8823529411764706;0.8954248366013072;0.9144736842105263;0.8881578947368421;0.9210526315789473;0.9002923976608187;0.9950738916256158;0.9983579638752053;0.9967213114754099;1.0;0.9983606557377049;0.9977027645427871;0.8734177215189873;0.8947368421052632;0.92;0.9154929577464789;0.9324324324324325;0.9072159907606323;1.0;1.0;1.0;1.0;1.0;1.0;0.8961038961038961;0.8947368421052632;0.9078947368421053;0.8552631578947368;0.9078947368421053;0.8923786739576214;0.9901315789473685;0.9967213114754099;0.9934426229508196;1.0;0.9967213114754099;0.9954033649698015;0.8846153846153846;0.8947368421052632;0.913907284768212;0.8843537414965986;0.92;0.8995226505970917;0.9950413223140495;0.9983579638752053;0.9967105263157894;1.0;0.9983579638752053;0.9976935552760497;66;69;70;70;71;69.2;305;304;305;305;305;304.8;69;68;69;65;69;68.0;301;304;303;305;304;303.4;8;8;7;11;7;8.2;3;1;2;0;1;1.4;10;8;6;6;5;7.0;0;0;0;0;0;0.0
Natural Language Processing;LR_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;0.5993914604187012;0.40173983573913574;0.37684082984924316;0.6672382354736328;0.35452795028686523;0.4799476623535156;0.19465231895446777;0.08022046089172363;0.08637142181396484;0.15030264854431152;0.09557676315307617;0.12142472267150879;0.9084967320261438;0.934640522875817;0.9407894736842105;0.9144736842105263;0.9407894736842105;0.9278379772961817;0.9573070607553367;0.9573070607553367;0.9606557377049181;0.9639344262295082;0.9606557377049181;0.9599720046300035;0.92;0.9583333333333334;0.9466666666666667;0.9846153846153847;0.958904109589041;0.9537038988408852;0.976027397260274;0.9728813559322034;0.9795221843003413;0.9700996677740864;0.9795221843003413;0.9756105579134493;0.8961038961038961;0.9078947368421053;0.9342105263157895;0.8421052631578947;0.9210526315789473;0.9002734107997267;0.9375;0.940983606557377;0.940983606557377;0.9573770491803278;0.940983606557377;0.9435655737704918;0.9078947368421053;0.9324324324324325;0.9403973509933775;0.9078014184397163;0.9395973154362416;0.9256246508287745;0.9563758389261745;0.9566666666666667;0.959866220735786;0.9636963696369637;0.959866220735786;0.9592942633402753;70;74;72;75;73;72.8;298;296;299;296;299;297.6;69;69;71;64;70;68.6;285;287;287;292;287;287.6;8;7;5;12;6;7.6;19;18;18;13;18;17.2;6;3;4;1;3;3.4;7;8;6;9;6;7.2
Natural Language Processing;SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;1.4152982234954834;1.493285894393921;2.1226706504821777;1.5181095600128174;2.1011312007904053;1.7300991058349608;0.1583108901977539;0.12805938720703125;0.15644431114196777;0.12955904006958008;0.1549835205078125;0.1454714298248291;0.8104575163398693;0.9019607843137255;0.7763157894736842;0.7960526315789473;0.9342105263157895;0.8437994496044032;0.8669950738916257;0.9261083743842364;0.8032786885245902;0.8344262295081967;0.9475409836065574;0.8756698699830412;0.9615384615384616;0.8505747126436781;0.6944444444444444;0.7227722772277227;0.9342105263157895;0.8327080844340193;0.9785407725321889;0.8963414634146342;0.7228915662650602;0.7562814070351759;0.9389067524115756;0.8585923923317269;0.6493506493506493;0.9736842105263158;0.9868421052631579;0.9605263157894737;0.9342105263157895;0.9009227614490772;0.75;0.9639344262295082;0.9836065573770492;0.9868852459016394;0.9573770491803278;0.9283606557377049;0.7751937984496124;0.9079754601226995;0.8152173913043478;0.8248587570621468;0.9342105263157895;0.8514911866509192;0.8491620111731844;0.928909952606635;0.8333333333333334;0.8563300142247511;0.948051948051948;0.8831574518779703;74;64;43;48;71;60.0;300;270;190;208;286;250.8;50;74;75;73;71;68.6;228;294;300;301;292;283.0;27;2;1;3;5;7.6;76;11;5;4;13;21.8;2;13;33;28;5;16.2;5;34;115;97;19;54.0
Natural Language Processing;SVC_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;1.9669501781463623;1.3037323951721191;1.9566707611083984;1.404024600982666;1.3923301696777344;1.604741621017456;0.15768957138061523;0.1165323257446289;0.12722110748291016;0.11767411231994629;0.13070368766784668;0.12996416091918944;0.9084967320261438;0.934640522875817;0.9342105263157895;0.9144736842105263;0.9342105263157895;0.9252063983488131;0.9983579638752053;0.9950738916256158;0.9983606557377049;0.9967213114754099;0.9950819672131147;0.99671915798541;0.9315068493150684;0.9583333333333334;0.9459459459459459;0.9565217391304348;0.9583333333333334;0.9501282402116231;0.9967213114754099;0.9934640522875817;0.9967320261437909;0.993485342019544;0.9934640522875817;0.9947733568427817;0.8831168831168831;0.9078947368421053;0.9210526315789473;0.868421052631579;0.9078947368421053;0.8976760082023241;1.0;0.9967213114754099;1.0;1.0;0.9967213114754099;0.998688524590164;0.9066666666666665;0.9324324324324325;0.9333333333333332;0.9103448275862069;0.9324324324324325;0.9230419384902143;0.9983579638752053;0.9950900163666122;0.9983633387888707;0.9967320261437909;0.9950900163666122;0.9967266723082183;71;74;72;73;73;72.6;304;302;304;303;303;303.2;68;69;70;66;69;68.4;304;304;305;305;304;304.4;9;7;6;10;7;7.8;0;1;0;0;1;0.4;5;3;4;3;3;3.6;1;2;1;2;2;1.6
Natural Language Processing;KNN_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;0.3514595031738281;0.37430334091186523;0.6367931365966797;0.36047840118408203;0.6061820983886719;0.46584329605102537;0.12156295776367188;0.09921526908874512;0.18006348609924316;0.09854912757873535;0.1856706142425537;0.13701229095458983;0.803921568627451;0.8169934640522876;0.8881578947368421;0.8157894736842105;0.8026315789473685;0.8254987960096318;0.8834154351395731;0.8850574712643678;0.8918032786885246;0.9114754098360656;0.9147540983606557;0.8973011386578374;0.8615384615384616;0.7926829268292683;0.9538461538461539;0.8870967741935484;0.8484848484848485;0.8687298329784561;0.9604743083003953;0.8660436137071651;0.9509433962264151;0.9530685920577617;0.966789667896679;0.9394639156376833;0.7272727272727273;0.8552631578947368;0.8157894736842105;0.7236842105263158;0.7368421052631579;0.7717703349282298;0.7993421052631579;0.9114754098360656;0.8262295081967214;0.8655737704918033;0.8590163934426229;0.8523274374460741;0.7887323943661972;0.8227848101265822;0.8794326241134751;0.7971014492753624;0.7887323943661972;0.8153567344495627;0.8725314183123878;0.888178913738019;0.8842105263157896;0.9072164948453607;0.9097222222222222;0.8923719150867558;67;60;73;69;66;67.0;295;261;292;292;296;287.2;56;65;62;55;56;58.8;243;278;252;264;262;259.8;21;11;14;21;20;17.4;61;27;53;41;43;45.0;9;17;3;7;10;9.2;10;43;13;13;9;17.6
Natural Language Processing;KNN_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;0.3844902515411377;0.38560032844543457;0.6552236080169678;0.6471047401428223;0.36574411392211914;0.48763260841369627;0.13630247116088867;0.09020113945007324;0.17849326133728027;0.1686115264892578;0.11086463928222656;0.1368946075439453;0.8562091503267973;0.869281045751634;0.875;0.8421052631578947;0.8881578947368421;0.8661506707946337;0.9146141215106732;0.922824302134647;0.9229508196721311;0.9163934426229509;0.9049180327868852;0.9163401437454576;0.8313253012048193;0.8255813953488372;0.8352941176470589;0.8714285714285714;0.8734177215189873;0.8474094214296548;0.8888888888888888;0.8981481481481481;0.9082278481012658;0.8871951219512195;0.8971061093247589;0.8959132232828562;0.8961038961038961;0.9342105263157895;0.9342105263157895;0.8026315789473685;0.9078947368421053;0.8950102529049897;0.9473684210526315;0.9540983606557377;0.940983606557377;0.9540983606557377;0.9147540983606557;0.9422605694564279;0.8624999999999999;0.8765432098765432;0.8819875776397516;0.8356164383561644;0.8903225806451613;0.8693939613035241;0.9171974522292994;0.9252782193958665;0.924315619967794;0.919431279620853;0.9058441558441558;0.9184133454115937;62;62;62;67;66;63.8;269;271;276;268;273;271.4;69;71;71;61;69;68.2;288;291;287;291;279;287.2;8;5;5;15;7;8.0;16;14;18;14;26;17.6;14;15;14;9;10;12.4;36;33;29;37;32;33.4
Natural Language Processing;RandomForestClassifier_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;0.6358213424682617;0.7145366668701172;1.087531566619873;1.1225974559783936;0.6176908016204834;0.8356355667114258;0.11776518821716309;0.11481118202209473;0.21052885055541992;0.16098952293395996;0.12262749671936035;0.14534444808959962;0.9281045751633987;0.9281045751633987;0.9276315789473685;0.9144736842105263;0.9407894736842105;0.9278207774337807;1.0;1.0;1.0;1.0;1.0;1.0;0.9024390243902439;0.9113924050632911;0.891566265060241;0.92;0.9466666666666667;0.9144128722360885;1.0;1.0;1.0;1.0;1.0;1.0;0.961038961038961;0.9473684210526315;0.9736842105263158;0.9078947368421053;0.9342105263157895;0.9448393711551606;1.0;1.0;1.0;1.0;1.0;1.0;0.9308176100628931;0.9290322580645162;0.930817610062893;0.913907284768212;0.9403973509933775;0.9289944227903784;1.0;1.0;1.0;1.0;1.0;1.0;68;70;67;70;72;69.4;305;304;305;305;305;304.8;74;72;74;69;71;72.0;304;305;305;305;305;304.8;3;4;2;7;5;4.2;0;0;0;0;0;0.0;8;7;9;6;4;6.8;0;0;0;0;0;0.0
Natural Language Processing;RandomForestClassifier_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;0.8377752304077148;0.8955199718475342;1.3477132320404053;1.419084072113037;0.899329423904419;1.0798843860626222;0.19019150733947754;0.13253045082092285;0.23914790153503418;0.2339334487915039;0.15699124336242676;0.19055891036987305;0.9150326797385621;0.9150326797385621;0.9473684210526315;0.9144736842105263;0.9473684210526315;0.9278551771585828;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.92;0.9358974358974359;0.9315068493150684;0.9473684210526315;0.9269545412530272;1.0;1.0;1.0;1.0;1.0;1.0;0.935064935064935;0.9078947368421053;0.9605263157894737;0.8947368421052632;0.9473684210526315;0.9291182501708818;1.0;1.0;1.0;1.0;1.0;1.0;0.9171974522292993;0.913907284768212;0.948051948051948;0.912751677852349;0.9473684210526315;0.9278553567908879;1.0;1.0;1.0;1.0;1.0;1.0;68;71;71;71;72;70.6;305;304;305;305;305;304.8;72;69;73;68;72;70.8;304;305;305;305;305;304.8;5;7;3;8;4;5.4;0;0;0;0;0;0.0;8;6;5;5;4;5.6;0;0;0;0;0;0.0
Natural Language Processing;Linear_SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;0.8039982318878174;0.5747463703155518;0.5875563621520996;0.6409146785736084;0.9103858470916748;0.7035202980041504;0.29691600799560547;0.13292360305786133;0.1377255916595459;0.12320661544799805;0.25978636741638184;0.19011163711547852;0.9019607843137255;0.8888888888888888;0.9342105263157895;0.8618421052631579;0.9013157894736842;0.8976436188510493;1.0;1.0;1.0;1.0;1.0;1.0;0.8974358974358975;0.8831168831168831;0.9459459459459459;0.8873239436619719;0.8961038961038961;0.9019853132529189;1.0;1.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.8947368421052632;0.9210526315789473;0.8289473684210527;0.9078947368421053;0.8923444976076557;1.0;1.0;1.0;1.0;1.0;1.0;0.9032258064516129;0.8888888888888888;0.9333333333333332;0.8571428571428571;0.9019607843137255;0.8969103340260836;1.0;1.0;1.0;1.0;1.0;1.0;68;68;72;68;68;68.8;305;304;305;305;305;304.8;70;68;70;63;69;68.0;304;305;305;305;305;304.8;7;8;6;13;7;8.2;0;0;0;0;0;0.0;8;9;4;8;8;7.4;0;0;0;0;0;0.0
Natural Language Processing;Linear_SVC_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;0.42347264289855957;0.5365982055664062;0.5311193466186523;0.9269576072692871;0.932744026184082;0.6701783657073974;0.18095088005065918;0.12095808982849121;0.13256502151489258;0.2152550220489502;0.24917888641357422;0.17978157997131347;0.9084967320261438;0.9150326797385621;0.9342105263157895;0.9078947368421053;0.9407894736842105;0.9212848297213622;0.9983579638752053;0.9967159277504105;0.9967213114754099;0.9950819672131147;0.9934426229508196;0.996063958652992;0.9090909090909091;0.92;0.9342105263157895;0.9696969696969697;0.9466666666666667;0.935933014354067;0.9967213114754099;0.993485342019544;0.9967213114754099;0.9902597402597403;0.990228013029316;0.993483143651884;0.9090909090909091;0.9078947368421053;0.9342105263157895;0.8421052631578947;0.9342105263157895;0.9055023923444976;1.0;1.0;0.9967213114754099;1.0;0.9967213114754099;0.998688524590164;0.9090909090909091;0.913907284768212;0.9342105263157895;0.9014084507042254;0.9403973509933775;0.9198029043745027;0.9983579638752053;0.9967320261437909;0.9967213114754099;0.9951060358890702;0.9934640522875817;0.9960762779342115;69;71;71;74;72;71.4;304;302;304;302;302;302.8;70;69;71;64;71;69.0;304;305;304;305;304;304.4;7;7;5;12;5;7.2;0;0;1;0;1;0.4;7;6;5;2;4;4.8;1;2;1;3;3;2.0
PipelineID;Pipeline;train_set;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_accuracy_cv1;test_accuracy_cv2;test_accuracy_cv3;test_accuracy_cv4;test_accuracy_cv5;test_accuracy_mean;train_accuracy_cv1;train_accuracy_cv2;train_accuracy_cv3;train_accuracy_cv4;train_accuracy_cv5;train_accuracy_mean;test_precision_cv1;test_precision_cv2;test_precision_cv3;test_precision_cv4;test_precision_cv5;test_precision_mean;train_precision_cv1;train_precision_cv2;train_precision_cv3;train_precision_cv4;train_precision_cv5;train_precision_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;train_recall_cv1;train_recall_cv2;train_recall_cv3;train_recall_cv4;train_recall_cv5;train_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;train_f1-score_cv1;train_f1-score_cv2;train_f1-score_cv3;train_f1-score_cv4;train_f1-score_cv5;train_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;train_tp_cv1;train_tp_cv2;train_tp_cv3;train_tp_cv4;train_tp_cv5;train_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;train_tn_cv1;train_tn_cv2;train_tn_cv3;train_tn_cv4;train_tn_cv5;train_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;train_fp_cv1;train_fp_cv2;train_fp_cv3;train_fp_cv4;train_fp_cv5;train_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;train_fn_cv1;train_fn_cv2;train_fn_cv3;train_fn_cv4;train_fn_cv5;train_fn_mean
Computer Vision;LR_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;7.88857364654541;8.151732444763184;7.894588470458984;7.971584320068359;8.196414709091187;8.020578718185424;0.942359209060669;1.5482850074768066;0.942185640335083;0.8340532779693604;1.5920886993408203;1.1717943668365478;0.8028169014084507;0.8098591549295775;0.819718309859155;0.8126760563380282;0.8253521126760563;0.8140845070422535;0.967605633802817;0.9704225352112676;0.9700704225352113;0.9686619718309859;0.9721830985915493;0.9697887323943661;0.8045325779036827;0.8142857142857143;0.8075880758807588;0.8066298342541437;0.8271954674220963;0.812046333949279;0.9604715672676838;0.963245492371706;0.9619377162629758;0.960553633217993;0.9665970772442589;0.9625610972729236;0.8;0.8028169014084507;0.8394366197183099;0.8225352112676056;0.8225352112676056;0.8174647887323943;0.9753521126760564;0.9781690140845071;0.9788732394366197;0.9774647887323944;0.9781690140845071;0.977605633802817;0.8022598870056497;0.8085106382978723;0.8232044198895027;0.814504881450488;0.8248587570621468;0.8146677167411319;0.9678546470999303;0.9706498951781971;0.9703315881326353;0.968935427574171;0.9723486174308716;0.970024035083161;286;290;284;285;294;287.8;1363;1367;1365;1363;1372;1366.0;284;285;298;292;292;290.2;1385;1389;1390;1388;1389;1388.2;71;70;57;63;63;64.8;35;31;30;32;31;31.8;69;65;71;70;61;67.2;57;53;55;57;48;54.0
Computer Vision;LR_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;5.9139790534973145;3.7217774391174316;3.6990296840667725;3.67585825920105;6.955678462982178;4.793264579772949;1.492762804031372;0.904742956161499;0.9509828090667725;0.8502860069274902;1.3652055263519287;1.1127960205078125;0.856338028169014;0.8718309859154929;0.8577464788732394;0.8760563380281691;0.856338028169014;0.8636619718309859;0.8971830985915493;0.8992957746478873;0.8954225352112676;0.8964788732394366;0.8996478873239436;0.8976056338028171;0.850415512465374;0.8586956521739131;0.8342105263157895;0.8637602179836512;0.8523676880222841;0.8518899193922025;0.8836734693877552;0.8894230769230769;0.8806779661016949;0.8824728260869565;0.8863172226004085;0.8845129122199784;0.8647887323943662;0.8901408450704226;0.8929577464788733;0.8929577464788733;0.8619718309859155;0.8805633802816901;0.9147887323943662;0.9119718309859155;0.9147887323943662;0.9147887323943662;0.9169014084507042;0.9146478873239436;0.8575418994413408;0.8741355463347165;0.8625850340136055;0.8781163434903047;0.8571428571428571;0.8659043360845649;0.898961937716263;0.9005563282336578;0.8974093264248705;0.8983402489626556;0.90134994807892;0.8993235578832733;301;303;292;305;302;300.6;1249;1259;1244;1247;1253;1250.4;307;316;317;317;306;312.6;1299;1295;1299;1299;1302;1298.8;48;39;38;38;49;42.4;121;125;121;121;118;121.2;54;52;63;50;53;54.4;171;161;176;173;167;169.6
Computer Vision;SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;40.92229700088501;54.62528896331787;41.893943071365356;40.98861384391785;54.08281993865967;46.50259256362915;2.493429183959961;2.014078378677368;2.725923538208008;2.473599672317505;1.9517230987548828;2.331750774383545;0.704225352112676;0.7056338028169014;0.7014084507042253;0.6971830985915493;0.6943661971830986;0.7005633802816901;0.704225352112676;0.7073943661971831;0.7130281690140845;0.7052816901408451;0.7091549295774648;0.7078169014084507;0.629695885509839;0.631768953068592;0.627906976744186;0.6245551601423488;0.6223404255319149;0.6272534801993761;0.6298119964189794;0.6318853560232871;0.6369397917609778;0.6304250559284116;0.633423180592992;0.6324970761449296;0.9915492957746479;0.9859154929577465;0.9887323943661972;0.9887323943661972;0.9887323943661972;0.9887323943661972;0.9908450704225352;0.9936619718309859;0.9908450704225352;0.9922535211267606;0.9929577464788732;0.992112676056338;0.7702407002188184;0.77007700770077;0.7680525164113785;0.7655398037077428;0.763873775843308;0.7675567607764036;0.7701149425287357;0.7725157404872708;0.775420225957564;0.7709986320109439;0.773450356555129;0.7724999795079286;148;151;147;144;142;146.4;593;598;618;594;604;601.4;352;350;351;351;351;351.0;1407;1411;1407;1409;1410;1408.8;3;5;4;4;4;4.0;13;9;13;11;10;11.2;207;204;208;211;213;208.6;827;822;802;826;816;818.6
Computer Vision;SVC_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;29.095190048217773;29.671288013458252;28.9451801776886;40.09028363227844;40.061742544174194;33.57273688316345;2.013711929321289;2.080735921859741;2.0401105880737305;1.4640591144561768;1.5323066711425781;1.8261848449707032;0.8633802816901408;0.8746478873239436;0.8774647887323944;0.8816901408450705;0.8633802816901408;0.8721126760563379;0.972887323943662;0.9725352112676057;0.9721830985915493;0.971830985915493;0.9714788732394366;0.9721830985915492;0.864406779661017;0.8537234042553191;0.8471502590673575;0.8652291105121294;0.8505434782608695;0.8562106063513385;0.9589883800410116;0.9595890410958904;0.9570552147239264;0.9582763337893296;0.9576213260423787;0.9583060591385074;0.8619718309859155;0.9042253521126761;0.9211267605633803;0.9042253521126761;0.8816901408450705;0.8946478873239437;0.9880281690140845;0.9866197183098592;0.9887323943661972;0.9866197183098592;0.9866197183098592;0.9873239436619718;0.8631875881523272;0.8782489740082079;0.8825910931174089;0.8842975206611571;0.8658367911479944;0.8748323934174191;0.9732917100242803;0.9729166666666667;0.972635954277797;0.9722414989590561;0.9719042663891779;0.9725980192633956;307;300;296;305;300;301.6;1360;1361;1357;1359;1358;1359.0;306;321;327;321;313;317.6;1403;1401;1404;1401;1401;1402.0;49;34;28;34;42;37.4;17;19;16;19;19;18.0;48;55;59;50;55;53.4;60;59;63;61;62;61.0
