PipelineID;Pipeline;train_set;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_accuracy_cv1;test_accuracy_cv2;test_accuracy_cv3;test_accuracy_cv4;test_accuracy_cv5;test_accuracy_mean;train_accuracy_cv1;train_accuracy_cv2;train_accuracy_cv3;train_accuracy_cv4;train_accuracy_cv5;train_accuracy_mean;test_precision_cv1;test_precision_cv2;test_precision_cv3;test_precision_cv4;test_precision_cv5;test_precision_mean;train_precision_cv1;train_precision_cv2;train_precision_cv3;train_precision_cv4;train_precision_cv5;train_precision_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;train_recall_cv1;train_recall_cv2;train_recall_cv3;train_recall_cv4;train_recall_cv5;train_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;train_f1-score_cv1;train_f1-score_cv2;train_f1-score_cv3;train_f1-score_cv4;train_f1-score_cv5;train_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;train_tp_cv1;train_tp_cv2;train_tp_cv3;train_tp_cv4;train_tp_cv5;train_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;train_tn_cv1;train_tn_cv2;train_tn_cv3;train_tn_cv4;train_tn_cv5;train_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;train_fp_cv1;train_fp_cv2;train_fp_cv3;train_fp_cv4;train_fp_cv5;train_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;train_fn_cv1;train_fn_cv2;train_fn_cv3;train_fn_cv4;train_fn_cv5;train_fn_mean
Natural Language Processing;LR_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;2.2255945205688477;2.9666810035705566;2.907443046569824;2.822718858718872;2.698441982269287;2.7241758823394777;0.25606274604797363;0.21802353858947754;0.19974040985107422;0.13789677619934082;0.20717930793762207;0.20378055572509765;0.9343065693430657;0.8905109489051095;0.927007299270073;0.9124087591240876;0.7279411764705882;0.8784349506225848;1.0;1.0;1.0;1.0;1.0;1.0;0.935064935064935;0.9066666666666666;0.9583333333333334;0.922077922077922;0.6857142857142857;0.8815714285714286;1.0;1.0;1.0;1.0;1.0;1.0;0.9473684210526315;0.8947368421052632;0.9078947368421053;0.922077922077922;0.9473684210526315;0.9238892686261109;1.0;1.0;1.0;1.0;1.0;1.0;0.9411764705882352;0.9006622516556291;0.9324324324324325;0.922077922077922;0.7955801104972374;0.8983858374502912;1.0;1.0;1.0;1.0;1.0;1.0;56;54;58;54;27;49.8;242;242;242;243;243;242.4;72;68;69;71;72;70.4;305;305;305;304;305;304.8;4;8;7;6;4;5.8;0;0;0;0;0;0.0;5;7;3;6;33;10.8;0;0;0;0;0;0.0
Natural Language Processing;LR_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;0.8966026306152344;1.127377986907959;1.2244548797607422;0.7998518943786621;0.9057424068450928;0.9908059597015381;0.14066863059997559;0.13282489776611328;0.1393134593963623;0.13819599151611328;0.15089893341064453;0.1403803825378418;0.8029197080291971;0.8905109489051095;0.927007299270073;0.927007299270073;0.7058823529411765;0.8506655216831257;0.9853747714808044;0.9872029250457038;0.9872029250457038;0.9872029250457038;0.9945255474452555;0.9883018188126342;0.7425742574257426;0.8351648351648352;0.8928571428571429;0.8941176470588236;0.6551724137931034;0.8039772592599295;0.9744408945686901;0.9775641025641025;0.9775641025641025;0.977491961414791;0.9902597402597403;0.9794641602742853;0.9868421052631579;1.0;0.9868421052631579;0.987012987012987;1.0;0.9921394395078605;1.0;1.0;1.0;1.0;1.0;1.0;0.8474576271186441;0.9101796407185628;0.9375;0.9382716049382716;0.7916666666666666;0.8850151078884292;0.9870550161812297;0.9886547811993517;0.9886547811993517;0.9886178861788618;0.9951060358890702;0.989617700129573;35;46;52;51;20;40.8;234;235;235;236;240;236.0;75;76;75;76;76;75.6;305;305;305;304;305;304.8;1;0;1;1;0;0.6;0;0;0;0;0;0.0;26;15;9;9;40;19.8;8;7;7;7;3;6.4
Natural Language Processing;SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;3.0437161922454834;3.161900043487549;4.27254056930542;3.2094366550445557;4.077106952667236;3.552940082550049;0.2408311367034912;0.22770214080810547;0.19100213050842285;0.2367112636566162;0.274395227432251;0.23412837982177734;0.7664233576642335;0.9197080291970803;0.9197080291970803;0.8759124087591241;0.7279411764705882;0.8419386002576212;0.926873857404022;0.9579524680073126;0.9524680073126143;0.9707495429616088;0.9872262773722628;0.959054030611564;0.7075471698113207;0.9577464788732394;0.9012345679012346;0.9285714285714286;0.6857142857142857;0.8361627861743018;0.8840579710144928;0.9548387096774194;0.9240121580547113;0.9768211920529801;0.9869281045751634;0.9453316270749534;0.9868421052631579;0.8947368421052632;0.9605263157894737;0.8441558441558441;0.9473684210526315;0.9267259056732741;1.0;0.9704918032786886;0.9967213114754099;0.9703947368421053;0.9901639344262295;0.9855543572044866;0.8241758241758242;0.9251700680272109;0.9299363057324841;0.8843537414965986;0.7955801104972374;0.8718432099858712;0.9384615384615386;0.9626016260162602;0.9589905362776024;0.9735973597359736;0.9885433715220949;0.964438886402694;30;58;53;55;27;44.6;202;228;217;236;239;224.4;75;68;73;65;72;70.6;305;296;304;295;302;300.4;1;8;3;12;4;5.6;0;9;1;9;3;4.4;31;3;8;5;33;16.0;40;14;25;7;4;18.0
Natural Language Processing;SVC_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;3.6258389949798584;4.951947450637817;3.6648051738739014;3.5673131942749023;4.900312662124634;4.142043495178223;0.2771799564361572;0.21831583976745605;0.25787782669067383;0.2706172466278076;0.2465975284576416;0.2541176795959473;0.8613138686131386;0.8978102189781022;0.9562043795620438;0.9416058394160584;0.7205882352941176;0.8755045083726921;1.0;1.0;1.0;1.0;1.0;1.0;0.8064516129032258;0.8444444444444444;0.9375;0.9156626506024096;0.6666666666666666;0.8341450749233493;1.0;1.0;1.0;1.0;1.0;1.0;0.9868421052631579;1.0;0.9868421052631579;0.987012987012987;1.0;0.9921394395078605;1.0;1.0;1.0;1.0;1.0;1.0;0.8875739644970414;0.9156626506024096;0.9615384615384615;0.95;0.8;0.9029550153275825;1.0;1.0;1.0;1.0;1.0;1.0;43;47;56;53;22;44.2;242;242;242;243;243;242.4;75;76;75;76;76;75.6;305;305;305;304;305;304.8;1;0;1;1;0;0.6;0;0;0;0;0;0.0;18;14;5;7;38;16.4;0;0;0;0;0;0.0
Natural Language Processing;KNN_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;0.7919790744781494;0.8130853176116943;0.5499281883239746;0.5551464557647705;0.5112893581390381;0.6442856788635254;0.29389476776123047;0.2846701145172119;0.1680903434753418;0.1747267246246338;0.17461681365966797;0.2191997528076172;0.6277372262773723;0.6204379562043796;0.6642335766423357;0.6204379562043796;0.6029411764705882;0.627157578359811;0.7824497257769653;0.8007312614259597;0.7897623400365631;0.8208409506398537;0.843065693430657;0.8073699942619997;0.6033057851239669;0.5967741935483871;0.625;0.6016260162601627;0.5887096774193549;0.6030831344703743;0.7235576923076923;0.7401960784313726;0.7328431372549019;0.7627551020408163;0.7829457364341085;0.7484595492937782;0.9605263157894737;0.9736842105263158;0.9868421052631579;0.961038961038961;0.9605263157894737;0.9685235816814763;0.9868852459016394;0.9901639344262295;0.980327868852459;0.9835526315789473;0.9934426229508196;0.986874460742019;0.7411167512690355;0.74;0.7653061224489796;0.74;0.7300000000000001;0.7432845747436031;0.8349514563106797;0.847124824684432;0.8387096774193549;0.8591954022988505;0.8757225433526011;0.8511407808131836;13;11;16;11;9;12.0;127;136;133;150;159;141.0;73;74;75;74;73;73.8;301;302;299;299;303;300.8;3;2;1;3;3;2.4;4;3;6;5;2;4.0;48;50;45;49;51;48.6;115;106;109;93;84;101.4
Natural Language Processing;KNN_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;0.4571502208709717;0.5254538059234619;0.8153352737426758;0.5276262760162354;0.7790100574493408;0.6209151268005371;0.14861345291137695;0.13535666465759277;0.23876714706420898;0.1744065284729004;0.24926495552062988;0.18928174972534179;0.8613138686131386;0.927007299270073;0.927007299270073;0.9051094890510949;0.6838235294117647;0.8608522971232289;0.9396709323583181;0.9360146252285192;0.9524680073126143;0.9451553930530164;0.9708029197080292;0.9488223755320995;0.8433734939759037;0.9125;0.9342105263157895;0.9324324324324325;0.6434782608695652;0.8531989427187382;0.9331210191082803;0.9272151898734177;0.9428571428571428;0.9363057324840764;0.9676375404530745;0.9414273249551984;0.9210526315789473;0.9605263157894737;0.9342105263157895;0.8961038961038961;0.9736842105263158;0.9371155160628846;0.9606557377049181;0.9606557377049181;0.9737704918032787;0.9671052631578947;0.980327868852459;0.9685030198446937;0.8805031446540881;0.935897435897436;0.9342105263157895;0.9139072847682119;0.7748691099476439;0.8878775003166337;0.9466882067851374;0.9436392914653783;0.9580645161290322;0.9514563106796117;0.973941368078176;0.9547579386274672;48;54;56;55;19;46.4;221;219;224;223;233;224.0;70;73;71;69;74;71.4;293;293;297;294;299;295.2;6;3;5;8;2;4.8;12;12;8;10;6;9.6;13;7;5;5;41;14.2;21;23;18;20;10;18.4
Natural Language Processing;RandomForestClassifier_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;1.098322868347168;1.7286858558654785;1.4565374851226807;1.3565711975097656;1.7096657752990723;1.469956636428833;0.18173956871032715;0.2396538257598877;0.17404699325561523;0.18434405326843262;0.24848580360412598;0.20565404891967773;0.7518248175182481;0.8248175182481752;0.7883211678832117;0.8905109489051095;0.6985294117647058;0.79080077286389;1.0;1.0;1.0;1.0;1.0;1.0;0.6981132075471698;0.776595744680851;0.7238095238095238;0.8974358974358975;0.6495726495726496;0.7491054046092183;1.0;1.0;1.0;1.0;1.0;1.0;0.9736842105263158;0.9605263157894737;1.0;0.9090909090909091;1.0;0.9686602870813397;1.0;1.0;1.0;1.0;1.0;1.0;0.8131868131868132;0.8588235294117647;0.8397790055248618;0.9032258064516129;0.7875647668393783;0.8405159842828862;1.0;1.0;1.0;1.0;1.0;1.0;29;40;32;52;19;34.4;242;242;242;243;243;242.4;74;73;76;70;76;73.8;305;305;305;304;305;304.8;2;3;0;7;0;2.4;0;0;0;0;0;0.0;32;21;29;8;41;26.2;0;0;0;0;0;0.0
Natural Language Processing;RandomForestClassifier_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;1.1162164211273193;1.7527165412902832;1.197601318359375;1.149420976638794;1.6185173988342285;1.36689453125;0.18937373161315918;0.21831321716308594;0.1744227409362793;0.15348052978515625;0.25673699378967285;0.1984654426574707;0.8102189781021898;0.8686131386861314;0.8832116788321168;0.8540145985401459;0.6691176470588235;0.8170352082438814;1.0;1.0;1.0;1.0;1.0;1.0;0.7450980392156863;0.8085106382978723;0.8260869565217391;0.8352941176470589;0.6324786324786325;0.7694936768321978;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.922077922077922;0.9736842105263158;0.9791524265208477;1.0;1.0;1.0;1.0;1.0;1.0;0.8539325842696629;0.8941176470588235;0.9047619047619047;0.8765432098765432;0.7668393782383419;0.8592389448410552;1.0;1.0;1.0;1.0;1.0;1.0;35;43;45;46;17;37.2;242;242;242;243;243;242.4;76;76;76;71;74;74.6;305;305;305;304;305;304.8;0;0;0;6;2;1.6;0;0;0;0;0;0.0;26;18;16;14;43;23.4;0;0;0;0;0;0.0
Natural Language Processing;Linear_SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;0.5434563159942627;0.6475632190704346;0.9219701290130615;0.6175234317779541;0.8722913265228271;0.720560884475708;0.1562480926513672;0.16050505638122559;0.23465967178344727;0.13235235214233398;0.2602205276489258;0.18879714012145996;0.8540145985401459;0.8978102189781022;0.9124087591240876;0.8686131386861314;0.7352941176470589;0.8536281665951051;1.0;1.0;1.0;1.0;1.0;1.0;0.85;0.9078947368421053;0.9210526315789473;0.8734177215189873;0.6886792452830188;0.8482088670446117;1.0;1.0;1.0;1.0;1.0;1.0;0.8947368421052632;0.9078947368421053;0.9210526315789473;0.8961038961038961;0.9605263157894737;0.9160628844839371;1.0;1.0;1.0;1.0;1.0;1.0;0.8717948717948718;0.9078947368421053;0.9210526315789473;0.8846153846153846;0.8021978021978022;0.8775110854058223;1.0;1.0;1.0;1.0;1.0;1.0;49;54;55;50;27;47.0;242;242;242;243;243;242.4;68;69;70;69;73;69.8;305;305;305;304;305;304.8;8;7;6;8;3;6.4;0;0;0;0;0;0.0;12;7;6;10;33;13.6;0;0;0;0;0;0.0
Natural Language Processing;Linear_SVC_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;0.5597395896911621;0.6350045204162598;0.9288444519042969;0.8823800086975098;0.6383435726165771;0.7288624286651612;0.1580188274383545;0.15101861953735352;0.24396324157714844;0.26740264892578125;0.16130852699279785;0.1963423728942871;0.948905109489051;0.9635036496350365;0.9562043795620438;0.948905109489051;0.7426470588235294;0.9120330613997425;1.0;1.0;1.0;1.0;1.0;1.0;0.9259259259259259;0.9382716049382716;0.9375;0.9375;0.6880733944954128;0.8854541850719221;1.0;1.0;1.0;1.0;1.0;1.0;0.9868421052631579;1.0;0.9868421052631579;0.974025974025974;0.9868421052631579;0.9869104579630894;1.0;1.0;1.0;1.0;1.0;1.0;0.9554140127388535;0.9681528662420382;0.9615384615384615;0.9554140127388535;0.8108108108108107;0.9302660328138035;1.0;1.0;1.0;1.0;1.0;1.0;55;56;56;55;26;49.6;242;242;242;243;243;242.4;75;76;75;75;75;75.2;305;305;305;304;305;304.8;1;0;1;2;1;1.0;0;0;0;0;0;0.0;6;5;5;5;34;11.0;0;0;0;0;0;0.0
