PipelineID;Pipeline;train_set;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_accuracy_cv1;test_accuracy_cv2;test_accuracy_cv3;test_accuracy_cv4;test_accuracy_cv5;test_accuracy_mean;train_accuracy_cv1;train_accuracy_cv2;train_accuracy_cv3;train_accuracy_cv4;train_accuracy_cv5;train_accuracy_mean;test_precision_cv1;test_precision_cv2;test_precision_cv3;test_precision_cv4;test_precision_cv5;test_precision_mean;train_precision_cv1;train_precision_cv2;train_precision_cv3;train_precision_cv4;train_precision_cv5;train_precision_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;train_recall_cv1;train_recall_cv2;train_recall_cv3;train_recall_cv4;train_recall_cv5;train_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;train_f1-score_cv1;train_f1-score_cv2;train_f1-score_cv3;train_f1-score_cv4;train_f1-score_cv5;train_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;train_tp_cv1;train_tp_cv2;train_tp_cv3;train_tp_cv4;train_tp_cv5;train_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;train_tn_cv1;train_tn_cv2;train_tn_cv3;train_tn_cv4;train_tn_cv5;train_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;train_fp_cv1;train_fp_cv2;train_fp_cv3;train_fp_cv4;train_fp_cv5;train_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;train_fn_cv1;train_fn_cv2;train_fn_cv3;train_fn_cv4;train_fn_cv5;train_fn_mean
Natural Language Processing;LR_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.44533228874206543;0.4011693000793457;0.392794132232666;0.45644426345825195;0.3198580741882324;0.4031196117401123;0.043107032775878906;0.06686925888061523;0.05861186981201172;0.0413055419921875;0.03796505928039551;0.04957175254821777;0.9310344827586207;0.903448275862069;0.9586206896551724;0.9166666666666666;0.7569444444444444;0.8933429118773946;1.0;1.0;1.0;1.0;1.0;1.0;0.9714285714285714;0.9558823529411765;0.961038961038961;0.9848484848484849;0.6880733944954128;0.9122543529505214;1.0;1.0;1.0;1.0;1.0;1.0;0.8947368421052632;0.8552631578947368;0.961038961038961;0.8552631578947368;0.9868421052631579;0.9106288448393711;1.0;1.0;1.0;1.0;1.0;1.0;0.9315068493150684;0.9027777777777778;0.961038961038961;0.9154929577464789;0.8108108108108107;0.9043254713378195;1.0;1.0;1.0;1.0;1.0;1.0;67;66;65;67;34;59.8;273;273;274;274;274;273.6;68;65;74;65;75;69.4;305;305;304;305;305;304.8;8;11;3;11;1;6.8;0;0;0;0;0;0.0;2;3;3;1;34;8.6;0;0;0;0;0;0.0
Natural Language Processing;LR_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.21286273002624512;0.24708890914916992;0.29017066955566406;0.34033775329589844;0.3540501594543457;0.28890204429626465;0.03393745422363281;0.03510165214538574;0.033246755599975586;0.0795903205871582;0.08940672874450684;0.05425658226013184;0.9379310344827586;0.9586206896551724;0.9586206896551724;0.9513888888888888;0.7430555555555556;0.9099233716475096;0.9809688581314879;0.9844290657439446;0.9878892733564014;0.9844559585492227;1.0;0.9875486311562114;0.9135802469135802;0.972972972972973;0.927710843373494;1.0;0.672566371681416;0.8973660869882926;0.9651898734177216;0.9713375796178344;0.977491961414791;0.9713375796178344;1.0;0.9770713988136362;0.9736842105263158;0.9473684210526315;1.0;0.9078947368421053;1.0;0.9657894736842106;1.0;1.0;1.0;1.0;1.0;1.0;0.9426751592356688;0.9599999999999999;0.9625;0.9517241379310345;0.8042328042328042;0.9242264202799013;0.9822866344605475;0.9854604200323103;0.9886178861788618;0.9854604200323103;1.0;0.9883650721408059;62;67;62;68;31;58.0;262;264;267;265;274;266.4;74;72;77;69;76;73.6;305;305;304;305;305;304.8;2;4;0;7;0;2.6;0;0;0;0;0;0.0;7;2;6;0;37;10.4;11;9;7;9;0;7.2
Natural Language Processing;SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;1.9076485633850098;2.427562952041626;2.3268778324127197;2.1736345291137695;1.778296947479248;2.1228041648864746;0.11838769912719727;0.10305237770080566;0.13630080223083496;0.12506771087646484;0.11880731582641602;0.12032318115234375;0.8344827586206897;0.8344827586206897;0.8758620689655172;0.8541666666666666;0.7291666666666666;0.825632183908046;0.884083044982699;0.9117647058823529;0.8598615916955017;0.9015544041450777;0.9326424870466321;0.8979812467504527;0.9642857142857143;0.9333333333333333;0.9682539682539683;0.9508196721311475;0.7032967032967034;0.9039978782601734;0.9541984732824428;0.9669117647058824;0.9588477366255144;0.9626865671641791;0.996268656716418;0.9677826396988873;0.7105263157894737;0.7368421052631579;0.7922077922077922;0.7631578947368421;0.8421052631578947;0.7689678742310321;0.819672131147541;0.8622950819672132;0.7664473684210527;0.8459016393442623;0.8754098360655738;0.8339452113891286;0.8181818181818182;0.8235294117647058;0.8714285714285714;0.8467153284671532;0.7664670658682634;0.8252644391421023;0.8818342151675485;0.9116117850953207;0.8519195612431445;0.9005235602094241;0.9319371727748691;0.8955652588980613;67;65;66;65;41;60.8;261;264;264;264;273;265.2;54;56;61;58;64;58.6;250;263;233;258;267;254.2;22;20;16;18;12;17.6;55;42;71;47;38;50.6;2;4;2;3;27;7.6;12;9;10;10;1;8.4
Natural Language Processing;SVC_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;2.2476823329925537;2.934166193008423;2.2920854091644287;2.2372095584869385;2.9052064418792725;2.5232699871063233;0.12900662422180176;0.09904646873474121;0.12118649482727051;0.13839149475097656;0.1137242317199707;0.12027106285095215;0.9586206896551724;0.9793103448275862;0.9655172413793104;0.9583333333333334;0.75;0.9223563218390805;1.0;1.0;1.0;1.0;1.0;1.0;0.9487179487179487;0.974025974025974;0.95;1.0;0.6785714285714286;0.9102630702630703;1.0;1.0;1.0;1.0;1.0;1.0;0.9736842105263158;0.9868421052631579;0.987012987012987;0.9210526315789473;1.0;0.9737183868762816;1.0;1.0;1.0;1.0;1.0;1.0;0.9610389610389611;0.9803921568627451;0.9681528662420381;0.958904109589041;0.8085106382978724;0.9353997464061315;1.0;1.0;1.0;1.0;1.0;1.0;65;67;64;68;32;59.2;273;273;274;274;274;273.6;74;75;76;70;76;74.2;305;305;304;305;305;304.8;2;1;1;6;0;2.0;0;0;0;0;0;0.0;4;2;4;0;36;9.2;0;0;0;0;0;0.0
Natural Language Processing;KNN_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.19892382621765137;0.19014525413513184;0.20830440521240234;0.2500743865966797;0.23413729667663574;0.2163170337677002;0.07971692085266113;0.09026050567626953;0.0805666446685791;0.12245035171508789;0.10773468017578125;0.09614582061767578;0.7310344827586207;0.7103448275862069;0.8137931034482758;0.8333333333333334;0.7361111111111112;0.7649233716475096;1.0;1.0;1.0;1.0;1.0;1.0;0.9743589743589743;0.6888888888888889;0.9807692307692307;1.0;0.7375;0.8763034188034189;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.8157894736842105;0.6623376623376623;0.6842105263157895;0.7763157894736842;0.6877306903622693;1.0;1.0;1.0;1.0;1.0;1.0;0.6608695652173913;0.746987951807229;0.7906976744186047;0.8125000000000001;0.7564102564102564;0.7534930895706963;1.0;1.0;1.0;1.0;1.0;1.0;68;41;67;68;47;58.2;273;273;274;274;274;273.6;38;62;51;52;59;52.4;305;305;304;305;305;304.8;38;14;26;24;17;23.8;0;0;0;0;0;0.0;1;28;1;0;21;10.2;0;0;0;0;0;0.0
Natural Language Processing;KNN_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.2581908702850342;0.23728632926940918;0.19588685035705566;0.25339627265930176;0.2226722240447998;0.23348650932312012;0.10056495666503906;0.0665898323059082;0.06099843978881836;0.10178899765014648;0.05813264846801758;0.07761497497558593;0.8482758620689655;0.8896551724137931;0.903448275862069;0.9097222222222222;0.6875;0.84772030651341;0.9307958477508651;0.9567474048442907;0.9480968858131488;0.9447322970639033;0.9706390328151986;0.9502022936574812;0.8214285714285714;0.8947368421052632;0.8705882352941177;0.9701492537313433;0.6302521008403361;0.8374310006799263;0.9260450160771704;0.9347826086956522;0.9308176100628931;0.9504950495049505;0.98;0.9444280568681332;0.9078947368421053;0.8947368421052632;0.961038961038961;0.8552631578947368;0.9868421052631579;0.9211551606288448;0.9442622950819672;0.9868852459016394;0.9736842105263158;0.9442622950819672;0.9639344262295082;0.9626056945642795;0.8625;0.8947368421052632;0.9135802469135802;0.9090909090909092;0.769230769230769;0.8698277534681044;0.9350649350649352;0.960127591706539;0.9517684887459807;0.9473684210526316;0.9719008264462811;0.9532460526032736;54;61;57;66;24;52.4;250;252;252;259;268;256.2;69;68;74;65;75;70.2;288;301;296;288;294;293.4;7;8;3;11;1;6.0;17;4;8;17;11;11.4;15;8;11;2;44;16.0;23;21;22;15;6;17.4
Natural Language Processing;RandomForestClassifier_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.44310927391052246;0.4966158866882324;0.7112209796905518;0.4557831287384033;0.6611068248748779;0.5535672187805176;0.05447196960449219;0.06573271751403809;0.06273174285888672;0.05650663375854492;0.08135390281677246;0.06415939331054688;0.8275862068965517;0.9103448275862069;0.8620689655172413;0.9097222222222222;0.7152777777777778;0.845;1.0;1.0;1.0;1.0;1.0;1.0;0.8;0.9315068493150684;0.8131868131868132;0.92;0.6548672566371682;0.8239121838278098;1.0;1.0;1.0;1.0;1.0;1.0;0.8947368421052632;0.8947368421052632;0.961038961038961;0.9078947368421053;0.9736842105263158;0.9264183185235817;1.0;1.0;1.0;1.0;1.0;1.0;0.84472049689441;0.912751677852349;0.880952380952381;0.913907284768212;0.783068783068783;0.8670801247072271;1.0;1.0;1.0;1.0;1.0;1.0;52;64;51;62;29;51.6;273;273;274;274;274;273.6;68;68;74;69;74;70.6;305;305;304;305;305;304.8;8;8;3;7;2;5.6;0;0;0;0;0;0.0;17;5;17;6;39;16.8;0;0;0;0;0;0.0
Natural Language Processing;RandomForestClassifier_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.5199494361877441;0.5020465850830078;0.6703646183013916;0.5375163555145264;0.6429140567779541;0.5745582103729248;0.06403946876525879;0.06859421730041504;0.08816957473754883;0.06844568252563477;0.10370564460754395;0.07859091758728028;0.8551724137931035;0.9241379310344827;0.903448275862069;0.9097222222222222;0.7222222222222222;0.8629406130268199;1.0;1.0;1.0;1.0;1.0;1.0;0.8235294117647058;0.9333333333333333;0.8620689655172413;0.9315068493150684;0.6607142857142857;0.8422305691289269;1.0;1.0;1.0;1.0;1.0;1.0;0.9210526315789473;0.9210526315789473;0.974025974025974;0.8947368421052632;0.9736842105263158;0.9369104579630895;1.0;1.0;1.0;1.0;1.0;1.0;0.8695652173913043;0.9271523178807947;0.9146341463414633;0.912751677852349;0.7872340425531915;0.8822674804038206;1.0;1.0;1.0;1.0;1.0;1.0;54;64;56;63;30;53.4;273;273;274;274;274;273.6;70;70;75;68;74;71.4;305;305;304;305;305;304.8;6;6;2;8;2;4.8;0;0;0;0;0;0.0;15;5;12;5;38;15.0;0;0;0;0;0;0.0
Natural Language Processing;Linear_SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.9939134120941162;0.935779333114624;0.5837719440460205;0.8869552612304688;0.8240456581115723;0.8448931217193604;0.26761388778686523;0.28340697288513184;0.15301990509033203;0.17763495445251465;0.18583226203918457;0.21350159645080566;0.9103448275862069;0.8551724137931035;0.9517241379310345;0.9305555555555556;0.7430555555555556;0.8781704980842913;1.0;1.0;1.0;1.0;1.0;1.0;0.9565217391304348;0.8873239436619719;0.9861111111111112;0.9852941176470589;0.6756756756756757;0.8981853174452505;1.0;1.0;1.0;1.0;1.0;1.0;0.868421052631579;0.8289473684210527;0.922077922077922;0.881578947368421;0.9868421052631579;0.8975734791524264;1.0;1.0;1.0;1.0;1.0;1.0;0.9103448275862069;0.8571428571428571;0.953020134228188;0.9305555555555556;0.8021390374331551;0.8906404823891926;1.0;1.0;1.0;1.0;1.0;1.0;66;61;67;67;32;58.6;273;273;274;274;274;273.6;66;63;71;67;75;68.4;305;305;304;305;305;304.8;10;13;6;9;1;7.8;0;0;0;0;0;0.0;3;8;1;1;36;9.8;0;0;0;0;0;0.0
Natural Language Processing;Linear_SVC_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.6901812553405762;0.6844596862792969;1.0530345439910889;1.0482778549194336;0.6159558296203613;0.8183818340301514;0.18639326095581055;0.1830458641052246;0.258969783782959;0.2692110538482666;0.1915600299835205;0.21783599853515626;0.9655172413793104;0.9724137931034482;0.9655172413793104;0.9583333333333334;0.75;0.9223563218390805;1.0;1.0;1.0;1.0;1.0;1.0;0.961038961038961;0.9864864864864865;0.95;1.0;0.6785714285714286;0.9152193752193754;1.0;1.0;1.0;1.0;1.0;1.0;0.9736842105263158;0.9605263157894737;0.987012987012987;0.9210526315789473;1.0;0.9684552289815447;1.0;1.0;1.0;1.0;1.0;1.0;0.9673202614379085;0.9733333333333333;0.9681528662420381;0.958904109589041;0.8085106382978724;0.9352442417800386;1.0;1.0;1.0;1.0;1.0;1.0;66;68;64;68;32;59.6;273;273;274;274;274;273.6;74;73;76;70;76;73.8;305;305;304;305;305;304.8;2;3;1;6;0;2.4;0;0;0;0;0;0.0;3;1;4;0;36;8.8;0;0;0;0;0;0.0
