PipelineID;Pipeline;train_set;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_accuracy_cv1;test_accuracy_cv2;test_accuracy_cv3;test_accuracy_cv4;test_accuracy_cv5;test_accuracy_mean;train_accuracy_cv1;train_accuracy_cv2;train_accuracy_cv3;train_accuracy_cv4;train_accuracy_cv5;train_accuracy_mean;test_precision_cv1;test_precision_cv2;test_precision_cv3;test_precision_cv4;test_precision_cv5;test_precision_mean;train_precision_cv1;train_precision_cv2;train_precision_cv3;train_precision_cv4;train_precision_cv5;train_precision_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;train_recall_cv1;train_recall_cv2;train_recall_cv3;train_recall_cv4;train_recall_cv5;train_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;train_f1-score_cv1;train_f1-score_cv2;train_f1-score_cv3;train_f1-score_cv4;train_f1-score_cv5;train_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;train_tp_cv1;train_tp_cv2;train_tp_cv3;train_tp_cv4;train_tp_cv5;train_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;train_tn_cv1;train_tn_cv2;train_tn_cv3;train_tn_cv4;train_tn_cv5;train_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;train_fp_cv1;train_fp_cv2;train_fp_cv3;train_fp_cv4;train_fp_cv5;train_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;train_fn_cv1;train_fn_cv2;train_fn_cv3;train_fn_cv4;train_fn_cv5;train_fn_mean
Natural Language Processing;LR_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;1.601588249206543;2.329092502593994;1.9437589645385742;2.469573497772217;1.5270421504974365;1.974211072921753;0.13168048858642578;0.1398482322692871;0.13812851905822754;0.14224624633789062;0.14587998390197754;0.1395566940307617;0.9241379310344827;0.8758620689655172;0.8896551724137931;0.9513888888888888;0.7361111111111112;0.8754310344827585;1.0;1.0;1.0;1.0;1.0;1.0;0.9577464788732394;0.881578947368421;0.9066666666666666;0.9726027397260274;0.69;0.8817189665268709;1.0;1.0;1.0;1.0;1.0;1.0;0.8947368421052632;0.881578947368421;0.8831168831168831;0.9342105263157895;0.9078947368421053;0.9003075871496924;1.0;1.0;1.0;1.0;1.0;1.0;0.9251700680272109;0.881578947368421;0.894736842105263;0.9530201342281879;0.7840909090909091;0.8877193801639984;1.0;1.0;1.0;1.0;1.0;1.0;66;60;61;66;37;58.0;273;273;274;274;274;273.6;68;67;68;71;69;68.6;305;305;304;305;305;304.8;8;9;9;5;7;7.6;0;0;0;0;0;0.0;3;9;7;2;31;10.4;0;0;0;0;0;0.0
Natural Language Processing;LR_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.9522576332092285;1.1511344909667969;1.0887742042541504;0.9137520790100098;0.9595460891723633;1.0130928993225097;0.17659950256347656;0.10525989532470703;0.1044762134552002;0.14009332656860352;0.15198016166687012;0.1356818199157715;0.8896551724137931;0.903448275862069;0.9448275862068966;0.9652777777777778;0.7361111111111112;0.8878639846743294;0.9878892733564014;0.986159169550173;0.9896193771626297;0.9896373056994818;0.9965457685664939;0.989970178867036;0.8409090909090909;0.8875;0.9259259259259259;0.9733333333333334;0.6666666666666666;0.8588670033670034;0.9775641025641025;0.9744408945686901;0.9806451612903225;0.9807073954983923;0.993485342019544;0.9813685791882103;0.9736842105263158;0.9342105263157895;0.974025974025974;0.9605263157894737;1.0;0.9684894053315105;1.0;1.0;1.0;1.0;1.0;1.0;0.9024390243902439;0.9102564102564101;0.949367088607595;0.9668874172185431;0.8;0.9057899880945584;0.9886547811993517;0.9870550161812297;0.990228013029316;0.9902597402597403;0.9967320261437909;0.9905859153626857;55;60;62;66;30;54.6;266;265;268;268;272;267.8;74;71;75;73;76;73.8;305;305;304;305;305;304.8;2;5;2;3;0;2.4;0;0;0;0;0;0.0;14;9;6;2;38;13.8;7;8;6;6;2;5.8
Natural Language Processing;SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;4.249159812927246;3.342463493347168;4.480875015258789;3.211686372756958;2.9674875736236572;3.6503344535827638;0.20487141609191895;0.23250126838684082;0.22907423973083496;0.24706602096557617;0.24430298805236816;0.23156318664550782;0.8137931034482758;0.8344827586206897;0.8137931034482758;0.9027777777777778;0.6875;0.8104693486590037;0.8633217993079585;0.9221453287197232;0.8875432525951558;0.8808290155440415;0.8894645941278065;0.8886607980589372;0.9454545454545454;0.9642857142857143;0.9310344827586207;0.9696969696969697;0.691358024691358;0.9003659473774416;0.9631147540983607;0.9850746268656716;0.9760956175298805;0.9682539682539683;0.9918367346938776;0.9768751402883517;0.6842105263157895;0.7105263157894737;0.7012987012987013;0.8421052631578947;0.7368421052631579;0.7349965823650034;0.7704918032786885;0.8655737704918033;0.805921052631579;0.8;0.7967213114754098;0.8077415875754961;0.7938931297709924;0.8181818181818182;0.8;0.9014084507042254;0.7133757961783439;0.8053718389670761;0.8561020036429873;0.9214659685863873;0.882882882882883;0.8761220825852784;0.8836363636363636;0.8840418602667798;66;67;64;66;43;61.2;264;269;268;266;272;267.8;52;54;54;64;56;56.0;235;264;245;244;243;246.2;24;22;23;12;20;20.2;70;41;59;61;62;58.6;3;2;4;2;25;7.2;9;4;6;8;2;5.8
Natural Language Processing;SVC_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;5.612324237823486;5.5616302490234375;5.557052135467529;5.356451988220215;4.7398154735565186;5.365454816818238;0.4106442928314209;0.32361721992492676;0.31719541549682617;0.4156351089477539;0.2937173843383789;0.35216188430786133;0.903448275862069;0.9103448275862069;0.9448275862068966;0.9791666666666666;0.7430555555555556;0.896168582375479;1.0;1.0;1.0;1.0;1.0;1.0;0.8522727272727273;0.8888888888888888;0.9259259259259259;1.0;0.672566371681416;0.8679307827537915;1.0;1.0;1.0;1.0;1.0;1.0;0.9868421052631579;0.9473684210526315;0.974025974025974;0.9605263157894737;1.0;0.9737525632262474;1.0;1.0;1.0;1.0;1.0;1.0;0.9146341463414636;0.9171974522292994;0.949367088607595;0.9798657718120806;0.8042328042328042;0.9130594526446487;1.0;1.0;1.0;1.0;1.0;1.0;56;60;62;68;31;55.4;273;273;274;274;274;273.6;75;72;75;73;76;74.2;305;305;304;305;305;304.8;1;4;2;3;0;2.0;0;0;0;0;0;0.0;13;9;6;0;37;13.0;0;0;0;0;0;0.0
Natural Language Processing;KNN_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.6330173015594482;0.8603143692016602;0.6429429054260254;0.6211502552032471;0.8090047836303711;0.7132859230041504;0.22629547119140625;0.31615734100341797;0.2055354118347168;0.21990489959716797;0.2992210388183594;0.25342283248901365;0.593103448275862;0.7517241379310344;0.5724137931034483;0.6458333333333334;0.6111111111111112;0.6348371647509579;0.8356401384083045;0.9256055363321799;0.7491349480968859;0.8324697754749568;0.8290155440414507;0.8343731884707557;0.5691056910569106;0.8846153846153846;0.556390977443609;0.6;0.5806451612903226;0.6381514428812454;0.7777777777777778;0.9712230215827338;0.6819221967963387;0.7751322751322751;0.7614213197969543;0.793495318217216;0.9210526315789473;0.6052631578947368;0.961038961038961;0.9868421052631579;0.9473684210526315;0.884313055365687;0.9639344262295082;0.8852459016393442;0.9802631578947368;0.9606557377049181;0.9836065573770492;0.9547411561691114;0.7035175879396984;0.71875;0.7047619047619047;0.7462686567164178;0.72;0.7186596298836042;0.8609077598828697;0.9262435677530018;0.8043184885290148;0.8579795021961932;0.8583690987124463;0.8615636834147052;16;63;9;18;16;24.4;189;265;135;189;180;191.6;70;46;74;75;72;67.4;294;270;298;293;300;291.0;6;30;3;1;4;8.8;11;35;6;12;5;13.8;53;6;59;50;52;44.0;84;8;139;85;94;82.0
Natural Language Processing;KNN_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.8763711452484131;0.6356823444366455;0.6012043952941895;0.6003880500793457;0.8920581340789795;0.7211408138275146;0.2875361442565918;0.1981034278869629;0.19919085502624512;0.20246386528015137;0.30925846099853516;0.23931055068969725;0.8551724137931035;0.8758620689655172;0.9310344827586207;0.9583333333333334;0.6597222222222222;0.8560249042145595;0.9463667820069204;0.9411764705882353;0.9411764705882353;0.9326424870466321;0.9654576856649395;0.9453639791789925;0.8481012658227848;0.8452380952380952;0.9240506329113924;0.972972972972973;0.6153846153846154;0.8411495164659722;0.9335443037974683;0.9247648902821317;0.9141104294478528;0.9235668789808917;0.9611650485436893;0.9314303102104068;0.881578947368421;0.9342105263157895;0.948051948051948;0.9473684210526315;0.9473684210526315;0.9317156527682844;0.9672131147540983;0.9672131147540983;0.9802631578947368;0.9508196721311475;0.9737704918032787;0.967855910267472;0.8645161290322582;0.8875000000000001;0.9358974358974359;0.9599999999999999;0.7461139896373057;0.8788055109134;0.9500805152979065;0.9455128205128205;0.9460317460317461;0.9369951534733441;0.96742671009772;0.9492093890827075;57;56;62;66;23;52.8;252;249;246;250;262;251.8;67;71;73;72;72;71.0;295;295;298;290;297;295.0;9;5;4;4;4;5.2;10;10;6;15;8;9.8;12;13;6;2;45;15.6;21;24;28;24;12;21.8
Natural Language Processing;RandomForestClassifier_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;1.8284947872161865;1.9729204177856445;1.6748342514038086;1.7580058574676514;2.0294766426086426;1.8527463912963866;0.19122838973999023;0.28044605255126953;0.18085551261901855;0.18448734283447266;0.3121609687805176;0.2298356533050537;0.8344827586206897;0.8689655172413793;0.8551724137931035;0.9375;0.7083333333333334;0.840890804597701;1.0;1.0;1.0;1.0;1.0;1.0;0.782608695652174;0.9253731343283582;0.8333333333333334;0.958904109589041;0.6574074074074074;0.8315253360620627;1.0;1.0;1.0;1.0;1.0;1.0;0.9473684210526315;0.8157894736842105;0.9090909090909091;0.9210526315789473;0.9342105263157895;0.9055023923444976;1.0;1.0;1.0;1.0;1.0;1.0;0.8571428571428571;0.8671328671328671;0.8695652173913043;0.9395973154362416;0.7717391304347827;0.8610354775076106;1.0;1.0;1.0;1.0;1.0;1.0;49;64;54;65;31;52.6;273;273;274;274;274;273.6;72;62;70;70;71;69.0;305;305;304;305;305;304.8;4;14;7;6;5;7.2;0;0;0;0;0;0.0;20;5;14;3;37;15.8;0;0;0;0;0;0.0
Natural Language Processing;RandomForestClassifier_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;1.9896326065063477;1.05897855758667;1.2802972793579102;2.000281572341919;1.2690966129302979;1.5196573257446289;0.1773672103881836;0.27065563201904297;0.2011866569519043;0.20315957069396973;0.19690752029418945;0.209855318069458;0.8482758620689655;0.8827586206896552;0.8413793103448276;0.9166666666666666;0.6805555555555556;0.833927203065134;1.0;1.0;1.0;1.0;1.0;1.0;0.813953488372093;0.9154929577464789;0.8068181818181818;0.9444444444444444;0.631578947368421;0.8224576039499238;1.0;1.0;1.0;1.0;1.0;1.0;0.9210526315789473;0.8552631578947368;0.922077922077922;0.8947368421052632;0.9473684210526315;0.9080997949419002;1.0;1.0;1.0;1.0;1.0;1.0;0.8641975308641974;0.8843537414965986;0.8606060606060606;0.918918918918919;0.7578947368421052;0.8571941977455761;1.0;1.0;1.0;1.0;1.0;1.0;53;63;51;64;26;51.4;273;273;274;274;274;273.6;70;65;71;68;72;69.2;305;305;304;305;305;304.8;6;11;6;8;4;7.0;0;0;0;0;0;0.0;16;6;17;4;42;17.0;0;0;0;0;0;0.0
Natural Language Processing;Linear_SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.9297518730163574;0.5415985584259033;0.9549293518066406;0.6664345264434814;0.4979076385498047;0.7181243896484375;0.27455973625183105;0.2019965648651123;0.2576866149902344;0.18902301788330078;0.2262592315673828;0.22990503311157226;0.9103448275862069;0.896551724137931;0.8689655172413793;0.9236111111111112;0.7083333333333334;0.8615613026819924;1.0;1.0;1.0;1.0;1.0;1.0;0.8987341772151899;0.8961038961038961;0.8918918918918919;0.9577464788732394;0.6770833333333334;0.8643119554835101;1.0;1.0;1.0;1.0;1.0;1.0;0.9342105263157895;0.9078947368421053;0.8571428571428571;0.8947368421052632;0.8552631578947368;0.8898496240601504;1.0;1.0;1.0;1.0;1.0;1.0;0.9161290322580645;0.9019607843137255;0.8741721854304636;0.9251700680272109;0.7558139534883721;0.8746492047035673;1.0;1.0;1.0;1.0;1.0;1.0;61;61;60;65;37;56.8;273;273;274;274;274;273.6;71;69;66;68;65;67.8;305;305;304;305;305;304.8;5;7;11;8;11;8.4;0;0;0;0;0;0.0;8;8;8;3;31;11.6;0;0;0;0;0;0.0
Natural Language Processing;Linear_SVC_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;0.9452230930328369;0.9911894798278809;0.6672072410583496;0.5313801765441895;0.566234827041626;0.7402469635009765;0.252727746963501;0.23787307739257812;0.15718960762023926;0.14235258102416992;0.17053675651550293;0.19213595390319824;0.9310344827586207;0.9172413793103448;0.9517241379310345;0.9722222222222222;0.7361111111111112;0.9016666666666666;1.0;1.0;1.0;1.0;1.0;1.0;0.9230769230769231;0.9;0.9375;1.0;0.6666666666666666;0.8854487179487179;1.0;1.0;1.0;1.0;1.0;1.0;0.9473684210526315;0.9473684210526315;0.974025974025974;0.9473684210526315;1.0;0.9632262474367737;1.0;1.0;1.0;1.0;1.0;1.0;0.935064935064935;0.9230769230769231;0.9554140127388535;0.972972972972973;0.8;0.9173057687707369;1.0;1.0;1.0;1.0;1.0;1.0;63;61;63;68;30;57.0;273;273;274;274;274;273.6;72;72;75;72;76;73.4;305;305;304;305;305;304.8;4;4;2;4;0;2.8;0;0;0;0;0;0.0;6;8;5;0;38;11.4;0;0;0;0;0;0.0
PipelineID;Pipeline;train_set;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_accuracy_cv1;test_accuracy_cv2;test_accuracy_cv3;test_accuracy_cv4;test_accuracy_cv5;test_accuracy_mean;train_accuracy_cv1;train_accuracy_cv2;train_accuracy_cv3;train_accuracy_cv4;train_accuracy_cv5;train_accuracy_mean;test_precision_cv1;test_precision_cv2;test_precision_cv3;test_precision_cv4;test_precision_cv5;test_precision_mean;train_precision_cv1;train_precision_cv2;train_precision_cv3;train_precision_cv4;train_precision_cv5;train_precision_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;train_recall_cv1;train_recall_cv2;train_recall_cv3;train_recall_cv4;train_recall_cv5;train_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;train_f1-score_cv1;train_f1-score_cv2;train_f1-score_cv3;train_f1-score_cv4;train_f1-score_cv5;train_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;train_tp_cv1;train_tp_cv2;train_tp_cv3;train_tp_cv4;train_tp_cv5;train_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;train_tn_cv1;train_tn_cv2;train_tn_cv3;train_tn_cv4;train_tn_cv5;train_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;train_fp_cv1;train_fp_cv2;train_fp_cv3;train_fp_cv4;train_fp_cv5;train_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;train_fn_cv1;train_fn_cv2;train_fn_cv3;train_fn_cv4;train_fn_cv5;train_fn_mean
Computer Vision;LR_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;13.59903860092163;15.492103099822998;15.948452711105347;13.671456575393677;13.414139747619629;14.425038146972657;0.6576046943664551;0.7817654609680176;0.5290327072143555;0.6808929443359375;0.5594749450683594;0.641754150390625;0.7906542056074767;0.9400749063670412;0.947565543071161;0.9700374531835206;0.9213483146067416;0.9139360845671881;1.0;1.0;1.0;1.0;1.0;1.0;0.7597402597402597;0.9322493224932249;0.9498607242339833;0.9719101123595506;0.9144385026737968;0.905639784300163;1.0;1.0;1.0;1.0;1.0;1.0;0.9971590909090909;0.98005698005698;0.9715099715099715;0.9829545454545454;0.9715909090909091;0.9806542994042994;1.0;1.0;1.0;1.0;1.0;1.0;0.8624078624078624;0.9555555555555556;0.9605633802816902;0.9774011299435029;0.9421487603305785;0.9396153377038379;1.0;1.0;1.0;1.0;1.0;1.0;72;158;165;172;150;143.4;730;730;730;731;731;730.4;351;344;341;346;342;344.8;1406;1407;1407;1406;1406;1406.4;1;7;10;6;10;6.8;0;0;0;0;0;0.0;111;25;18;10;32;39.2;0;0;0;0;0;0.0
Computer Vision;LR_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;7.908406496047974;6.136021375656128;7.495013236999512;8.195311307907104;6.838974952697754;7.314745473861694;0.6199181079864502;0.6777553558349609;1.0525150299072266;0.7989170551300049;0.7139554023742676;0.772612190246582;0.7121495327102804;0.9157303370786517;0.9419475655430711;0.9531835205992509;0.9213483146067416;0.8888718541075992;0.9765917602996255;0.9756668226485727;0.9794103883949462;0.9784744969583529;0.9826860084230229;0.978565895344904;0.6964285714285714;0.8883248730964467;0.925531914893617;0.938337801608579;0.8994845360824743;0.8696215394219378;0.9662998624484181;0.9649965682910089;0.9696760854583046;0.9702627939142462;0.9756775538568451;0.9693825727937646;0.9971590909090909;0.9971509971509972;0.9914529914529915;0.9943181818181818;0.9914772727272727;0.9943117068117069;0.9992887624466572;0.9992892679459844;1.0;0.9978662873399715;0.9985775248933144;0.9990043685251855;0.8200934579439251;0.9395973154362416;0.9573590096286108;0.9655172413793103;0.9432432432432432;0.9251620535262661;0.9825174825174825;0.9818435754189944;0.9846046186144157;0.9838709677419355;0.9869947275922671;0.9839662743770191;30;139;155;159;143;125.2;681;679;686;688;696;686.0;351;350;348;350;349;349.6;1405;1406;1407;1403;1404;1405.0;1;1;3;2;3;2.0;1;1;0;3;2;1.4;153;44;28;23;39;57.4;49;51;44;43;35;44.4
