PipelineID;Pipeline;train_set;validation_set;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_acc_cv1;test_acc_cv2;test_acc_cv3;test_acc_cv4;test_acc_cv5;test_acc_mean;test_prec_cv1;test_prec_cv2;test_prec_cv3;test_prec_cv4;test_prec_cv5;test_prec_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean
Semantic web;LR_Count_Vectors_RandomUnder;data/train_test_data/readme_base_semantic_web_preprocessed_train.csv;data/train_test_data/readme_base_semantic_web_preprocessed_test.csv;10.925796747207642;7.9111106395721436;7.457149267196655;10.636274337768555;8.699523210525513;9.125970840454102;0.4996161460876465;1.1513655185699463;1.007824420928955;0.5690991878509521;0.7863707542419434;0.8028552055358886;0.9859154929577465;0.9835294117647059;0.9835294117647059;0.9764705882352941;0.9905882352941177;0.984006628003314;0.967741935483871;1.0;0.9672131147540983;0.9655172413793104;1.0;0.9800944583234561;0.9375;0.890625;0.921875;0.875;0.9375;0.9125;0.9523809523809523;0.9421487603305785;0.944;0.9180327868852458;0.967741935483871;0.9448608870161296;60;57;59;56;60;58.4;360;361;359;359;361;360.0;2;0;2;2;0;1.2;4;7;5;8;4;5.6
Semantic web;LR_TFIDF_RandomUnder;data/train_test_data/readme_base_semantic_web_preprocessed_train.csv;data/train_test_data/readme_base_semantic_web_preprocessed_test.csv;5.074186086654663;6.210608243942261;5.437671899795532;6.065566539764404;5.158240795135498;5.589254713058471;0.8532617092132568;0.5414230823516846;0.8074250221252441;0.6474764347076416;1.0428967475891113;0.7784965991973877;0.9436619718309859;0.9223529411764706;0.9247058823529412;0.9458823529411765;0.9411764705882353;0.9355559237779619;1.0;1.0;1.0;1.0;1.0;1.0;0.625;0.484375;0.5;0.640625;0.609375;0.571875;0.7692307692307693;0.6526315789473685;0.6666666666666666;0.780952380952381;0.7572815533980582;0.7253525898390487;40;31;32;41;39;36.6;362;361;361;361;361;361.2;0;0;0;0;0;0.0;24;33;32;23;25;27.4
Semantic web;SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_base_semantic_web_preprocessed_train.csv;data/train_test_data/readme_base_semantic_web_preprocessed_test.csv;50.45847535133362;51.15503430366516;55.313618659973145;51.85574269294739;58.216986656188965;53.39997153282165;2.55452561378479;2.617877244949341;1.9088361263275146;2.9747486114501953;1.6834735870361328;2.347892236709595;0.8544600938967136;0.851764705882353;0.8494117647058823;0.8541176470588235;0.8494117647058823;0.851833195249931;1.0;1.0;0.5;1.0;0.0;0.7;0.03125;0.015625;0.015625;0.03125;0.0;0.01875;0.06060606060606061;0.03076923076923077;0.030303030303030304;0.06060606060606061;0.0;0.03645687645687646;2;1;1;2;0;1.2;362;361;360;361;361;361.0;0;0;1;0;0;0.2;62;63;63;62;64;62.8
Semantic web;SVC_TFIDF_RandomUnder;data/train_test_data/readme_base_semantic_web_preprocessed_train.csv;data/train_test_data/readme_base_semantic_web_preprocessed_test.csv;54.15564227104187;54.73141098022461;51.043865442276;50.30745315551758;53.453242778778076;52.73832292556763;2.422837018966675;2.2732858657836914;2.7550857067108154;3.3133111000061035;2.390958309173584;2.631095600128174;0.8544600938967136;0.8494117647058823;0.851764705882353;0.851764705882353;0.8494117647058823;0.851362607014637;1.0;0.0;0.6666666666666666;1.0;0.0;0.5333333333333333;0.03125;0.0;0.03125;0.015625;0.0;0.015625;0.06060606060606061;0.0;0.05970149253731343;0.03076923076923077;0.0;0.030215356782520963;2;0;2;1;0;1.0;362;361;360;361;361;361.0;0;0;1;0;0;0.2;62;64;62;63;64;63.0
Semantic web;KNN_Count_Vectors_RandomUnder;data/train_test_data/readme_base_semantic_web_preprocessed_train.csv;data/train_test_data/readme_base_semantic_web_preprocessed_test.csv;3.1166584491729736;2.1962404251098633;2.5706400871276855;2.4502525329589844;3.09379243850708;2.6855167865753176;0.6663224697113037;0.692225456237793;0.74098801612854;0.8104016780853271;0.6747257709503174;0.7169326782226563;0.7394366197183099;0.7435294117647059;0.7458823529411764;0.6376470588235295;0.8023529411764706;0.7337696768848384;0.3609467455621302;0.3668639053254438;0.37209302325581395;0.2857142857142857;0.43243243243243246;0.36361007845802124;0.953125;0.96875;1.0;0.9375;1.0;0.971875;0.5236051502145923;0.5321888412017167;0.5423728813559322;0.43795620437956206;0.6037735849056604;0.5279793324114926;61;62;64;60;64;62.2;254;254;253;211;277;249.8;108;107;108;150;84;111.4;3;2;0;4;0;1.8
Semantic web;KNN_TFIDF_RandomUnder;data/train_test_data/readme_base_semantic_web_preprocessed_train.csv;data/train_test_data/readme_base_semantic_web_preprocessed_test.csv;2.340616464614868;2.30289626121521;3.3278968334198;2.503239631652832;3.317741632461548;2.7584781646728516;0.6992559432983398;0.7354269027709961;0.6712970733642578;0.8042125701904297;0.6837825775146484;0.7187950134277343;0.9906103286384976;0.9764705882352941;0.9694117647058823;0.9788235294117648;0.9905882352941177;0.9811808892571113;1.0;0.9821428571428571;0.8805970149253731;0.9824561403508771;1.0;0.9690392024838215;0.9375;0.859375;0.921875;0.875;0.9375;0.90625;0.967741935483871;0.9166666666666665;0.9007633587786259;0.9256198347107438;0.967741935483871;0.9357067462247557;60;55;59;56;60;58.0;362;360;353;360;361;359.2;0;1;8;1;0;2.0;4;9;5;8;4;6.0
Semantic web;RandomForestClassifier_Count_Vectors_RandomUnder;data/train_test_data/readme_base_semantic_web_preprocessed_train.csv;data/train_test_data/readme_base_semantic_web_preprocessed_test.csv;8.08744192123413;6.613266706466675;8.638191938400269;6.54854941368103;7.628193378448486;7.5031286716461185;0.9820497035980225;2.128418445587158;0.6023626327514648;1.8944923877716064;1.221280574798584;1.3657207489013672;0.9741784037558685;0.9529411764705882;0.9576470588235294;0.96;0.9576470588235294;0.9604827395747032;1.0;0.9782608695652174;0.9791666666666666;1.0;1.0;0.9914855072463767;0.828125;0.703125;0.734375;0.734375;0.71875;0.74375;0.905982905982906;0.8181818181818182;0.8392857142857143;0.8468468468468469;0.8363636363636363;0.8493321843321843;53;45;47;47;46;47.6;362;360;360;361;361;360.8;0;1;1;0;0;0.4;11;19;17;17;18;16.4
Semantic web;RandomForestClassifier_TFIDF_RandomUnder;data/train_test_data/readme_base_semantic_web_preprocessed_train.csv;data/train_test_data/readme_base_semantic_web_preprocessed_test.csv;6.435413122177124;6.635381698608398;6.45025897026062;7.804657220840454;8.468910455703735;7.158924293518067;1.678398847579956;1.6684467792510986;1.8538398742675781;0.9318442344665527;0.4852714538574219;1.3235602378845215;0.9671361502347418;0.9623529411764706;0.9505882352941176;0.9694117647058823;0.9647058823529412;0.9628389947528306;1.0;1.0;0.9777777777777777;1.0;1.0;0.9955555555555555;0.78125;0.75;0.6875;0.796875;0.765625;0.75625;0.8771929824561403;0.8571428571428571;0.8073394495412843;0.8869565217391304;0.8672566371681416;0.8591776896095107;50;48;44;51;49;48.4;362;361;360;361;361;361.0;0;0;1;0;0;0.2;14;16;20;13;15;15.6
Semantic web;Linear_SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_base_semantic_web_preprocessed_train.csv;data/train_test_data/readme_base_semantic_web_preprocessed_test.csv;3.6721887588500977;2.970759391784668;3.481503963470459;3.341862201690674;4.170474529266357;3.5273577690124513;0.5029122829437256;0.6544368267059326;0.758965253829956;0.5968368053436279;0.4254341125488281;0.5877170562744141;0.9741784037558685;0.9576470588235294;0.9552941176470588;0.971764705882353;0.9858823529411764;0.9689533278099972;0.9491525423728814;0.9791666666666666;0.9787234042553191;0.9814814814814815;1.0;0.9777048189552697;0.875;0.734375;0.71875;0.828125;0.90625;0.8125;0.9105691056910569;0.8392857142857143;0.8288288288288289;0.8983050847457628;0.9508196721311475;0.8855616811365021;56;47;46;53;58;52.0;359;360;360;360;361;360.0;3;1;1;1;0;1.2;8;17;18;11;6;12.0
Semantic web;Linear_SVC_TFIDF_RandomUnder;data/train_test_data/readme_base_semantic_web_preprocessed_train.csv;data/train_test_data/readme_base_semantic_web_preprocessed_test.csv;3.7441835403442383;2.703115224838257;2.583836317062378;2.6828453540802;3.8103058338165283;3.10485725402832;0.4938669204711914;0.5642907619476318;0.5001649856567383;0.6622464656829834;0.49681520462036133;0.5434768676757813;0.9906103286384976;0.9952941176470588;0.9835294117647059;0.9811764705882353;0.9929411764705882;0.9887103010218172;0.9838709677419355;0.984375;0.9384615384615385;0.9242424242424242;1.0;0.9661899860891797;0.953125;0.984375;0.953125;0.953125;0.953125;0.959375;0.9682539682539683;0.984375;0.9457364341085271;0.9384615384615383;0.976;0.9625653881648066;61;63;61;61;61;61.4;361;360;357;356;361;359.0;1;1;4;5;0;2.2;3;1;3;3;3;2.6
