PipelineID;Pipeline;train_set;validation_set;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_acc_cv1;test_acc_cv2;test_acc_cv3;test_acc_cv4;test_acc_cv5;test_acc_mean;test_prec_cv1;test_prec_cv2;test_prec_cv3;test_prec_cv4;test_prec_cv5;test_prec_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean
Reinforcement Learning;LR_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;data/train_test_data/readme_new_preprocessed_test.csv;5.915535926818848;5.873092412948608;5.7782371044158936;7.409797430038452;7.19502592086792;6.434337759017945;0.5441539287567139;0.5802836418151855;0.5727870464324951;0.312669038772583;0.387101411819458;0.4793990135192871;0.9779005524861878;0.9722991689750693;0.9556786703601108;0.9778393351800554;0.9695290858725761;0.9706493625748;0.9830508474576272;0.9655172413793104;0.8888888888888888;0.9672131147540983;1.0;0.9609340184959849;0.8923076923076924;0.875;0.8615384615384616;0.9076923076923077;0.8307692307692308;0.8734615384615385;0.9354838709677421;0.9180327868852458;0.8750000000000001;0.9365079365079365;0.907563025210084;0.9145175239142018;58;56;56;59;54;56.6;296;295;289;294;296;294.0;1;2;7;2;0;2.4;7;8;9;6;11;8.2
Reinforcement Learning;LR_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;data/train_test_data/readme_new_preprocessed_test.csv;3.4666645526885986;3.7261340618133545;4.696869373321533;3.066117286682129;4.4858558177948;3.888328218460083;0.5384321212768555;0.4903066158294678;0.33135294914245605;0.5442454814910889;0.3647608757019043;0.45381960868835447;0.9392265193370166;0.9335180055401662;0.9418282548476454;0.9445983379501385;0.925207756232687;0.9368757747815308;1.0;0.9545454545454546;0.9782608695652174;0.9787234042553191;1.0;0.9823059456731983;0.6615384615384615;0.65625;0.6923076923076923;0.7076923076923077;0.5846153846153846;0.6604807692307693;0.7962962962962964;0.7777777777777778;0.8108108108108107;0.8214285714285715;0.7378640776699029;0.7888355067966719;43;42;45;46;38;42.8;297;295;295;295;296;295.6;0;2;1;1;0;0.8;22;22;20;19;27;22.0
Reinforcement Learning;SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;data/train_test_data/readme_new_preprocessed_test.csv;30.78924322128296;30.769690990447998;31.123557806015015;37.00285220146179;36.13428616523743;33.16392607688904;1.6389682292938232;1.6892530918121338;1.625586986541748;1.0716853141784668;1.2552788257598877;1.4561544895172118;0.8287292817679558;0.8282548476454293;0.8227146814404432;0.8393351800554016;0.8310249307479224;0.8300117843314305;1.0;1.0;1.0;1.0;1.0;1.0;0.046153846153846156;0.03125;0.015384615384615385;0.1076923076923077;0.06153846153846154;0.052403846153846155;0.08823529411764706;0.06060606060606061;0.030303030303030307;0.19444444444444445;0.11594202898550725;0.09790617169133795;3;2;1;7;4;3.4;297;297;296;296;296;296.4;0;0;0;0;0;0.0;62;62;64;58;61;61.4
Reinforcement Learning;SVC_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;data/train_test_data/readme_new_preprocessed_test.csv;31.261603593826294;36.9293646812439;30.590057373046875;36.58239698410034;29.094801425933838;32.89164481163025;1.5368828773498535;1.1872894763946533;1.6166527271270752;1.1903293132781982;1.6621122360229492;1.438653326034546;0.8314917127071824;0.8282548476454293;0.8199445983379502;0.8365650969529086;0.8337950138504155;0.8300102538987773;1.0;1.0;0.0;1.0;1.0;0.8;0.06153846153846154;0.03125;0.0;0.09230769230769231;0.07692307692307693;0.052403846153846155;0.11594202898550725;0.06060606060606061;0.0;0.16901408450704225;0.14285714285714288;0.09768386339115061;4;2;0;6;5;3.4;297;297;296;296;296;296.4;0;0;0;0;0;0.0;61;62;65;59;60;61.4
Reinforcement Learning;KNN_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;data/train_test_data/readme_new_preprocessed_test.csv;2.3342409133911133;2.5304830074310303;2.4845147132873535;1.794680118560791;2.3408377170562744;2.2969512939453125;0.7072651386260986;0.7635502815246582;0.8005566596984863;0.7889306545257568;0.7043087482452393;0.7529222965240479;0.8839779005524862;0.8781163434903048;0.8725761772853186;0.8947368421052632;0.8725761772853186;0.8803966881437383;0.96;0.9166666666666666;0.9130434782608695;0.9655172413793104;0.9523809523809523;0.9415216677375599;0.36923076923076925;0.34375;0.3230769230769231;0.4307692307692308;0.3076923076923077;0.3549038461538462;0.5333333333333334;0.5;0.47727272727272724;0.5957446808510639;0.4651162790697675;0.5142934041053784;24;22;21;28;20;23.0;296;295;294;295;295;295.0;1;2;2;1;1;1.4;41;42;44;37;45;41.8
Reinforcement Learning;KNN_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;data/train_test_data/readme_new_preprocessed_test.csv;2.4835140705108643;1.6801443099975586;1.5254769325256348;2.5125484466552734;1.8183834552764893;2.004013442993164;0.3472859859466553;0.5762012004852295;0.4722268581390381;0.42372965812683105;0.5981252193450928;0.48351378440856935;0.9834254143646409;0.9806094182825484;0.96398891966759;0.9722991689750693;0.9833795013850416;0.9767404845349781;0.9682539682539683;0.9384615384615385;0.8939393939393939;0.9365079365079365;0.9836065573770492;0.9441538789079773;0.9384615384615385;0.953125;0.9076923076923077;0.9076923076923077;0.9230769230769231;0.9260096153846155;0.953125;0.9457364341085271;0.900763358778626;0.9218749999999999;0.9523809523809524;0.934776149053621;61;61;59;59;60;60.0;295;293;289;292;295;292.8;2;4;7;4;1;3.6;4;3;6;6;5;4.8
Reinforcement Learning;RandomForestClassifier_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;data/train_test_data/readme_new_preprocessed_test.csv;4.28199028968811;3.1657726764678955;4.5071775913238525;3.7021517753601074;3.4340403079986572;3.818226528167725;0.5540368556976318;1.1584174633026123;0.47055578231811523;0.8374133110046387;0.9836499691009521;0.8008146762847901;0.9668508287292817;0.9501385041551247;0.96398891966759;0.961218836565097;0.9501385041551247;0.9584671186544437;1.0;0.9423076923076923;0.9333333333333333;0.9636363636363636;0.9607843137254902;0.9600123406005758;0.8153846153846154;0.765625;0.8615384615384616;0.8153846153846154;0.7538461538461538;0.8023557692307692;0.8983050847457628;0.8448275862068965;0.8960000000000001;0.8833333333333333;0.8448275862068965;0.8734587180985779;53;49;56;53;49;52.0;297;294;292;294;294;294.2;0;3;4;2;2;2.2;12;15;9;12;16;12.8
Reinforcement Learning;RandomForestClassifier_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;data/train_test_data/readme_new_preprocessed_test.csv;3.382995843887329;3.998678207397461;3.04544734954834;2.802861452102661;4.041480302810669;3.454292631149292;0.8025119304656982;0.42937779426574707;0.9231882095336914;1.0577983856201172;0.4265108108520508;0.727877426147461;0.9585635359116023;0.961218836565097;0.9667590027700831;0.9584487534626038;0.9445983379501385;0.9579176933319049;0.9807692307692307;0.9807692307692307;0.9344262295081968;0.9629629629629629;0.9787234042553191;0.9675302116529881;0.7846153846153846;0.796875;0.8769230769230769;0.8;0.7076923076923077;0.7932211538461539;0.8717948717948717;0.8793103448275861;0.9047619047619049;0.8739495798319328;0.8214285714285715;0.8702490545289734;51;51;57;52;46;51.4;296;296;292;294;295;294.6;1;1;4;2;1;1.8;14;13;8;13;19;13.4
Reinforcement Learning;Linear_SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;data/train_test_data/readme_new_preprocessed_test.csv;3.1537938117980957;3.213651657104492;2.3898212909698486;2.2166740894317627;2.2247865200042725;2.6397454738616943;0.3395507335662842;0.2810196876525879;0.6258833408355713;0.553621768951416;0.58725905418396;0.47746691703796384;0.9723756906077348;0.9722991689750693;0.9556786703601108;0.9722991689750693;0.9584487534626038;0.9662202904761177;1.0;0.9655172413793104;0.9152542372881356;0.9661016949152542;1.0;0.9693746347165402;0.8461538461538461;0.875;0.8307692307692308;0.8769230769230769;0.7692307692307693;0.8396153846153848;0.9166666666666666;0.9180327868852458;0.870967741935484;0.9193548387096773;0.8695652173913044;0.8989174503176758;55;56;54;57;50;54.4;297;295;291;294;296;294.6;0;2;5;2;0;1.8;10;8;11;8;15;10.4
Reinforcement Learning;Linear_SVC_TFIDF_RandomUnder;data/train_test_data/readme_new_preprocessed_train.csv;data/train_test_data/readme_new_preprocessed_test.csv;2.949751853942871;2.0731828212738037;2.021021604537964;2.3432047367095947;2.831547498703003;2.443741703033447;0.32779359817504883;0.5137650966644287;0.49509596824645996;0.535416841506958;0.32832765579223633;0.4400798320770264;0.9861878453038674;0.9833795013850416;0.9667590027700831;0.9778393351800554;0.9889196675900277;0.980617070445815;0.96875;0.9393939393939394;0.8840579710144928;0.9384615384615385;1.0;0.9461326897739941;0.9538461538461539;0.96875;0.9384615384615385;0.9384615384615385;0.9384615384615385;0.947596153846154;0.9612403100775193;0.9538461538461539;0.9104477611940298;0.9384615384615385;0.9682539682539683;0.946449946366642;62;62;61;61;61;61.4;295;293;288;292;296;292.8;2;4;8;4;0;3.6;3;2;4;4;4;3.4
