PipelineID;Pipeline;train_set;validation_set;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_acc_cv1;test_acc_cv2;test_acc_cv3;test_acc_cv4;test_acc_cv5;test_acc_mean;test_prec_cv1;test_prec_cv2;test_prec_cv3;test_prec_cv4;test_prec_cv5;test_prec_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean
Reinforcement Learning;LR_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;data/train_test_data/readme_negative_samples_preprocessed_test.csv;0.1206810474395752;0.19133687019348145;0.12348103523254395;0.18059849739074707;0.1208646297454834;0.1473924160003662;0.021083593368530273;0.018082618713378906;0.01821446418762207;0.026122570037841797;0.021053075790405273;0.020911264419555663;0.9411764705882353;0.9663865546218487;0.9661016949152542;0.9491525423728814;0.940677966101695;0.952699045719983;0.967741935483871;0.9692307692307692;0.9838709677419355;0.9538461538461539;0.967741935483871;0.9684863523573203;0.9230769230769231;0.9692307692307692;0.953125;0.9538461538461539;0.9230769230769231;0.9444711538461539;0.9448818897637796;0.9692307692307692;0.9682539682539683;0.9538461538461539;0.9448818897637796;0.9562189341716902;60;63;61;62;60;61.2;52;52;53;50;51;51.6;2;2;1;3;2;2.0;5;2;3;3;5;3.6
Reinforcement Learning;LR_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;data/train_test_data/readme_negative_samples_preprocessed_test.csv;0.09196114540100098;0.08942890167236328;0.15443181991577148;0.08652520179748535;0.13585591316223145;0.1116405963897705;0.022661447525024414;0.01957845687866211;0.016690492630004883;0.0254824161529541;0.01856708526611328;0.02059597969055176;0.9243697478991597;0.8991596638655462;0.8983050847457628;0.8983050847457628;0.9067796610169492;0.9053838484546362;1.0;0.9344262295081968;0.9333333333333333;0.9344262295081968;0.9655172413793104;0.9535406067458074;0.8615384615384616;0.8769230769230769;0.875;0.8769230769230769;0.8615384615384616;0.8703846153846154;0.9256198347107438;0.9047619047619049;0.9032258064516129;0.9047619047619049;0.9105691056910569;0.9097877112754447;56;57;56;57;56;56.4;54;50;50;49;51;50.8;0;4;4;4;2;2.8;9;8;8;8;9;8.4
Reinforcement Learning;SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;data/train_test_data/readme_negative_samples_preprocessed_test.csv;0.9783413410186768;1.0436170101165771;1.0003137588500977;1.2448289394378662;1.2920527458190918;1.111830759048462;0.07158184051513672;0.05752921104431152;0.06107378005981445;0.06298708915710449;0.05571913719177246;0.06177821159362793;0.6470588235294118;0.680672268907563;0.652542372881356;0.788135593220339;0.7457627118644068;0.7028343540806153;0.6455696202531646;0.651685393258427;0.632183908045977;0.7564102564102564;0.7011494252873564;0.6773997206510363;0.7846153846153846;0.8923076923076924;0.859375;0.9076923076923077;0.9384615384615385;0.8764903846153846;0.7083333333333334;0.7532467532467532;0.7284768211920529;0.8251748251748253;0.8026315789473685;0.7635726623788667;51;58;55;59;61;56.8;26;23;22;34;27;26.4;28;31;32;19;26;27.2;14;7;9;6;4;8.0
Reinforcement Learning;SVC_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;data/train_test_data/readme_negative_samples_preprocessed_test.csv;1.0030527114868164;1.027251958847046;1.0735383033752441;1.2561841011047363;1.2982988357543945;1.1316651821136474;0.07660031318664551;0.06888699531555176;0.0634610652923584;0.06487011909484863;0.05591750144958496;0.06594719886779785;0.7899159663865546;0.773109243697479;0.7796610169491526;0.8728813559322034;0.8305084745762712;0.8092152115083321;0.9761904761904762;0.975;0.9318181818181818;1.0;0.9591836734693877;0.9684384662956091;0.6307692307692307;0.6;0.640625;0.7692307692307693;0.7230769230769231;0.6727403846153847;0.7663551401869158;0.7428571428571429;0.7592592592592593;0.8695652173913044;0.8245614035087718;0.7925196326406788;41;39;41;50;47;43.6;53;53;51;53;51;52.2;1;1;3;0;2;1.4;24;26;23;15;18;21.2
Reinforcement Learning;KNN_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;data/train_test_data/readme_negative_samples_preprocessed_test.csv;0.14720439910888672;0.15115046501159668;0.09524750709533691;0.14634108543395996;0.14283275604248047;0.13655524253845214;0.05332231521606445;0.05239415168762207;0.030241727828979492;0.0466458797454834;0.03642606735229492;0.043806028366088864;0.6974789915966386;0.7058823529411765;0.635593220338983;0.8389830508474576;0.711864406779661;0.7179604045007834;0.6494845360824743;0.65;0.5981308411214953;0.8026315789473685;0.6565656565656566;0.6713625225433989;0.9692307692307692;1.0;1.0;0.9384615384615385;1.0;0.9815384615384616;0.7777777777777778;0.787878787878788;0.7485380116959064;0.8652482269503547;0.7926829268292683;0.7944251462264191;63;65;64;61;65;63.6;20;19;11;38;19;21.4;34;35;43;15;34;32.2;2;0;0;4;0;1.2
Reinforcement Learning;KNN_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;data/train_test_data/readme_negative_samples_preprocessed_test.csv;0.14363336563110352;0.09017372131347656;0.08926963806152344;0.13637709617614746;0.08253860473632812;0.10839848518371582;0.047928571701049805;0.032758474349975586;0.03746223449707031;0.04167032241821289;0.03909111022949219;0.039782142639160155;0.9663865546218487;0.8907563025210085;0.9152542372881356;0.9491525423728814;0.940677966101695;0.9324455205811137;0.9841269841269841;0.8333333333333334;0.875;0.9154929577464789;0.9027777777777778;0.9021462105969148;0.9538461538461539;1.0;0.984375;1.0;1.0;0.9876442307692308;0.96875;0.9090909090909091;0.9264705882352942;0.9558823529411764;0.9489051094890512;0.9418197919512863;62;65;63;65;65;64.0;53;41;45;47;46;46.4;1;13;9;6;7;7.2;3;0;1;0;0;0.8
Reinforcement Learning;RandomForestClassifier_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;data/train_test_data/readme_negative_samples_preprocessed_test.csv;0.3457181453704834;0.3213636875152588;0.3944826126098633;0.38597655296325684;0.2800264358520508;0.34551348686218264;0.051967620849609375;0.06463766098022461;0.029685497283935547;0.03477072715759277;0.061037540435791016;0.04841980934143066;0.9915966386554622;0.9831932773109243;0.9661016949152542;0.9745762711864406;0.9661016949152542;0.9763139153966671;1.0;1.0;0.9838709677419355;1.0;0.9692307692307692;0.9906203473945409;0.9846153846153847;0.9692307692307692;0.953125;0.9538461538461539;0.9692307692307692;0.9660096153846155;0.9922480620155039;0.9843749999999999;0.9682539682539683;0.9763779527559054;0.9692307692307692;0.9780971504512295;64;63;61;62;63;62.6;54;54;53;53;51;53.0;0;0;1;0;2;0.6;1;2;3;3;2;2.2
Reinforcement Learning;RandomForestClassifier_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;data/train_test_data/readme_negative_samples_preprocessed_test.csv;0.42339038848876953;0.34890317916870117;0.356762170791626;0.3350639343261719;0.37746715545654297;0.3683173656463623;0.03515338897705078;0.052689552307128906;0.04870176315307617;0.05984783172607422;0.03372812271118164;0.046024131774902347;0.9831932773109243;0.9747899159663865;0.9576271186440678;0.9745762711864406;0.940677966101695;0.9661729098419028;1.0;0.984375;0.9682539682539683;1.0;0.953125;0.9811507936507937;0.9692307692307692;0.9692307692307692;0.953125;0.9538461538461539;0.9384615384615385;0.9567788461538462;0.9843749999999999;0.9767441860465116;0.9606299212598425;0.9763779527559054;0.9457364341085271;0.9687726988341574;63;63;61;62;61;62.0;54;53;52;53;50;52.4;0;1;2;0;3;1.2;2;2;3;3;4;2.8
Reinforcement Learning;Linear_SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;data/train_test_data/readme_negative_samples_preprocessed_test.csv;0.12060546875;0.12377476692199707;0.1981210708618164;0.2053968906402588;0.12332940101623535;0.15424551963806152;0.023815155029296875;0.019353151321411133;0.0336911678314209;0.0360867977142334;0.024748563766479492;0.02753896713256836;0.9495798319327731;0.957983193277311;0.9576271186440678;0.9576271186440678;0.923728813559322;0.9493092152115084;0.9836065573770492;0.9545454545454546;0.9836065573770492;0.9838709677419355;0.9516129032258065;0.971448488053459;0.9230769230769231;0.9692307692307692;0.9375;0.9384615384615385;0.9076923076923077;0.9351923076923077;0.9523809523809524;0.9618320610687022;0.96;0.9606299212598426;0.9291338582677167;0.9527953585954428;60;63;60;61;59;60.6;53;51;53;52;50;51.8;1;3;1;1;3;1.8;5;2;4;4;6;4.2
Reinforcement Learning;Linear_SVC_TFIDF_RandomUnder;data/train_test_data/readme_negative_samples_preprocessed_train.csv;data/train_test_data/readme_negative_samples_preprocessed_test.csv;0.2094438076019287;0.22329998016357422;0.20863747596740723;0.11285901069641113;0.2014784812927246;0.19114375114440918;0.04236936569213867;0.03423929214477539;0.03635883331298828;0.03086543083190918;0.03289675712585449;0.035345935821533205;0.957983193277311;0.9747899159663865;0.940677966101695;0.9745762711864406;0.9745762711864406;0.9645207235436548;1.0;0.9558823529411765;0.9253731343283582;1.0;0.984375;0.9731260974539069;0.9230769230769231;1.0;0.96875;0.9538461538461539;0.9692307692307692;0.9629807692307694;0.9600000000000001;0.9774436090225563;0.9465648854961832;0.9763779527559054;0.9767441860465116;0.9674261266642313;60;65;62;62;63;62.4;54;51;49;53;52;51.8;0;3;5;0;1;1.8;5;0;2;3;2;2.4
