;PipelineID;Pipeline;Train dataset;Validation dataset;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_acc_cv1;test_acc_cv2;test_acc_cv3;test_acc_cv4;test_acc_cv5;test_acc_mean;test_prec_cv1;test_prec_cv2;test_prec_cv3;test_prec_cv4;test_prec_cv5;test_prec_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;acc_overall;prec_overall;recall_overall;f1-score_overall;tp_overall;tn_overall;fp_overall;fn_overall;preprocessing
0;1_Audio;SVC_TFIDF_RandomUnder;readme.csv;somef_data.csv;0.007972478866577148;0.00649714469909668;0.008725166320800781;0.008846521377563477;0.007430315017700195;0.007894325256347656;0.003603219985961914;0.004685878753662109;0.004669189453125;0.00452113151550293;0.0028438568115234375;0.0040646553039550785;0.9019607843137255;0.9411764705882353;0.82;0.96;0.86;0.8966274509803922;0.8333333333333334;0.9259259259259259;0.8333333333333334;0.96;0.8;0.8705185185185185;1.0;0.9615384615384616;0.8;0.96;0.96;0.9363076923076923;0.9090909090909091;0.9433962264150944;0.816326530612245;0.96;0.8727272727272728;0.9003081877691042;25;25;20;24;24;23.6;21;23;21;24;19;21.6;5;2;4;1;6;3.6;0;1;5;1;1;1.6;0.7341269841269841;0.6528497409326425;1.0;0.7899686520376175;126;59;67;0;Preprocessed
0;1_Computer Vision;SVC_TFIDF_RandomUnder;readme.csv;somef_data.csv;0.021043062210083008;0.033364057540893555;0.028316974639892578;0.020365476608276367;0.02635788917541504;0.025889492034912108;0.0076770782470703125;0.009635686874389648;0.011008262634277344;0.007799863815307617;0.009603500366210938;0.009144878387451172;0.7706117021276596;0.7644710578842315;0.7518296739853626;0.7671324018629407;0.7604790419161677;0.7629047755552725;0.7919655667144907;0.8087091757387247;0.7863636363636364;0.793859649122807;0.7908011869436202;0.7943398429766558;0.7340425531914894;0.6924101198402131;0.6910785619174434;0.7220744680851063;0.7087765957446809;0.7096764597557866;0.761904761904762;0.746054519368723;0.735648476257973;0.7562674094707521;0.7475455820476858;0.7494841498099791;552;520;519;543;533;533.4;607;629;611;610;610;613.4;145;123;141;141;141;138.2;200;231;232;209;219;218.2;0.7265832889835019;0.7744118594908154;0.6394358701436934;0.7004809794490598;2403;3058;700;1355;Preprocessed
0;1_Graphs;SVC_TFIDF_RandomUnder;readme.csv;somef_data.csv;0.006718158721923828;0.006505489349365234;0.00943899154663086;0.00664067268371582;0.009476900100708008;0.00775604248046875;0.004090070724487305;0.004519224166870117;0.005646228790283203;0.004746198654174805;0.0034759044647216797;0.0044955253601074215;0.953125;0.953125;0.9375;0.8888888888888888;0.9047619047619048;0.9274801587301587;0.9142857142857143;0.9393939393939394;0.9666666666666667;0.8157894736842105;0.8611111111111112;0.8994493810283284;1.0;0.96875;0.90625;1.0;0.96875;0.96875;0.955223880597015;0.9538461538461539;0.9354838709677419;0.898550724637681;0.911764705882353;0.930973867186189;32;31;29;31;31;30.8;29;30;31;25;26;28.2;3;2;1;7;5;3.6;0;1;3;0;1;1.0;0.6918238993710691;0.6186770428015564;1.0;0.764423076923077;159;61;98;0;Preprocessed
0;1_Natural Language Processing;SVC_TFIDF_RandomUnder;readme.csv;somef_data.csv;0.007522106170654297;0.005272388458251953;0.007708549499511719;0.008158445358276367;0.0077664852142333984;0.007285594940185547;0.007075071334838867;0.004769325256347656;0.0061492919921875;0.0065991878509521484;0.006117343902587891;0.006142044067382812;0.8916666666666667;0.8722222222222222;0.9027777777777778;0.8666666666666667;0.875;0.8816666666666666;0.9028571428571428;0.8895348837209303;0.9341317365269461;0.8837209302325582;0.8857142857142857;0.8991917958103727;0.8777777777777778;0.85;0.8666666666666667;0.8444444444444444;0.8611111111111112;0.8600000000000001;0.8901408450704226;0.8693181818181819;0.899135446685879;0.8636363636363636;0.8732394366197184;0.8790940547661131;158;153;156;152;155;154.8;163;161;169;160;160;162.6;17;19;11;20;20;17.4;22;27;24;28;25;25.2;0.8188888888888889;0.8153846153846154;0.8244444444444444;0.819889502762431;742;732;168;158;Preprocessed
0;1_Reinforcement Learning;SVC_Count_Vectors_RandomUnder;readme.csv;somef_data.csv;0.01602768898010254;0.01684284210205078;0.018053293228149414;0.018184185028076172;0.016809940338134766;0.017183589935302734;0.012031793594360352;0.011717796325683594;0.010987043380737305;0.009119510650634766;0.009468317031860352;0.010664892196655274;0.9427083333333334;0.953125;0.9479166666666666;0.9583333333333334;0.9375;0.9479166666666667;0.9473684210526315;0.9306930693069307;0.9215686274509803;0.9489795918367347;0.9117647058823529;0.932074883105926;0.9375;0.9791666666666666;0.9791666666666666;0.96875;0.96875;0.9666666666666666;0.9424083769633508;0.9543147208121827;0.9494949494949494;0.9587628865979382;0.9393939393939394;0.9488749746524722;90;94;94;93;93;92.8;91;89;88;91;87;89.2;5;7;8;5;9;6.8;6;2;2;3;3;3.2;0.875;0.8308823529411765;0.9416666666666667;0.8828125000000001;452;388;92;28;Preprocessed
0;1_Sequential;SVC_TFIDF_RandomUnder;readme.csv;somef_data.csv;0.0018787384033203125;0.002023458480834961;0.0033948421478271484;0.0032334327697753906;0.002874135971069336;0.0026809215545654298;0.0064716339111328125;0.0036847591400146484;0.003942728042602539;0.005123138427734375;0.004132986068725586;0.004671049118041992;0.7802197802197802;0.8461538461538461;0.8666666666666667;0.8333333333333334;0.8444444444444444;0.8341636141636142;0.7272727272727273;0.82;0.8367346938775511;0.8260869565217391;0.803921568627451;0.8028031892598937;0.8888888888888888;0.8913043478260869;0.9111111111111111;0.8444444444444444;0.9111111111111111;0.8893719806763285;0.7999999999999999;0.8541666666666666;0.8723404255319148;0.8351648351648352;0.8541666666666666;0.8431677188060167;40;41;41;38;41;40.2;31;36;37;37;35;35.2;15;9;8;8;10;10.0;5;5;4;7;4;5.0;0.7876106194690266;0.7754237288135594;0.8097345132743363;0.7922077922077921;183;173;53;43;Preprocessed
0;1_Audio;KNN_TFIDF_RandomUnder;readme.csv;somef_data.csv;0.0009827613830566406;0.0011835098266601562;0.0008149147033691406;0.0012247562408447266;0.0015072822570800781;0.0011426448822021485;0.02014923095703125;0.017815113067626953;0.018559694290161133;0.019968748092651367;0.018218517303466797;0.0189422607421875;0.8823529411764706;0.9411764705882353;0.94;0.88;0.92;0.9127058823529411;0.8064516129032258;0.9259259259259259;0.9583333333333334;0.9523809523809523;0.92;0.9126183649086874;1.0;0.9615384615384616;0.92;0.8;0.92;0.9203076923076923;0.8928571428571428;0.9433962264150944;0.9387755102040817;0.8695652173913043;0.92;0.9129188193735246;25;25;23;20;23;23.2;20;23;24;24;23;22.8;6;2;1;1;2;2.4;0;1;2;5;2;2.0;0.7301587301587301;0.7230769230769231;0.746031746031746;0.7343749999999999;94;90;36;32;Common words
0;1_Computer Vision;LR_TFIDF_RandomUnder;readme.csv;somef_data.csv;0.09881401062011719;0.07411789894104004;0.12404751777648926;0.08099985122680664;0.09726548194885254;0.09504895210266114;0.008058786392211914;0.0058553218841552734;0.0033121109008789062;0.005901813507080078;0.005253314971923828;0.00567626953125;0.7340425531914894;0.7445109780439122;0.7351962741184298;0.7418496340652029;0.7105788423153693;0.7332356563468807;0.7528735632183908;0.7726597325408618;0.7554269175108539;0.7653061224489796;0.7341211225997046;0.7560774916637583;0.6968085106382979;0.6924101198402131;0.6950732356857523;0.6981382978723404;0.660904255319149;0.6886668838711505;0.7237569060773481;0.7303370786516854;0.7239944521497919;0.7301808066759388;0.6955913226032191;0.7207721132315966;524;520;522;525;497;517.6;580;599;583;590;571;584.6;172;153;169;161;180;167.0;228;231;229;227;255;234.0;0.6371740287386908;0.6288427893026743;0.6695050558807877;0.6485371826266272;2516;2273;1485;1242;Common words
0;1_Graphs;LR_TFIDF_RandomUnder;readme.csv;somef_data.csv;0.005369424819946289;0.007956266403198242;0.0069561004638671875;0.005652189254760742;0.009553909301757812;0.007097578048706055;0.003994464874267578;0.006237506866455078;0.003582477569580078;0.003499269485473633;0.002839326858520508;0.004030609130859375;0.9375;0.9375;0.9375;0.873015873015873;0.8888888888888888;0.9148809523809524;0.8888888888888888;0.8888888888888888;0.8888888888888888;0.7948717948717948;0.8205128205128205;0.8564102564102564;1.0;1.0;1.0;1.0;1.0;1.0;0.9411764705882353;0.9411764705882353;0.9411764705882353;0.8857142857142858;0.9014084507042254;0.9221304296366434;32;32;32;31;32;31.8;28;28;28;24;24;26.4;4;4;4;8;7;5.4;0;0;0;0;0;0.0;0.6289308176100629;0.5762081784386617;0.9748427672955975;0.7242990654205608;155;45;114;4;Common words
0;1_Natural Language Processing;RandomForestClassifier_Count_Vectors_RandomUnder;readme.csv;somef_data.csv;0.8368265628814697;0.8545353412628174;0.9136583805084229;0.8329849243164062;0.9103875160217285;0.869678544998169;0.03639650344848633;0.05403947830200195;0.02291107177734375;0.048230886459350586;0.0228121280670166;0.036878013610839845;0.8944444444444445;0.8777777777777778;0.9055555555555556;0.8583333333333333;0.8916666666666667;0.8855555555555557;0.8817204301075269;0.8777777777777778;0.9195402298850575;0.856353591160221;0.8810810810810811;0.8832946220023329;0.9111111111111111;0.8777777777777778;0.8888888888888888;0.8611111111111112;0.9055555555555556;0.888888888888889;0.8961748633879781;0.8777777777777779;0.903954802259887;0.8587257617728532;0.8931506849315068;0.8859567780260006;164;158;160;155;163;160.0;158;158;166;154;158;158.8;22;22;14;26;22;21.2;16;22;20;25;17;20.0;0.7283333333333334;0.6609240407204385;0.9377777777777778;0.7753789618741386;844;467;433;56;Common words
