PipelineID;Pipeline;train_set;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_accuracy_cv1;test_accuracy_cv2;test_accuracy_cv3;test_accuracy_cv4;test_accuracy_cv5;test_accuracy_mean;train_accuracy_cv1;train_accuracy_cv2;train_accuracy_cv3;train_accuracy_cv4;train_accuracy_cv5;train_accuracy_mean;test_precision_cv1;test_precision_cv2;test_precision_cv3;test_precision_cv4;test_precision_cv5;test_precision_mean;train_precision_cv1;train_precision_cv2;train_precision_cv3;train_precision_cv4;train_precision_cv5;train_precision_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;train_recall_cv1;train_recall_cv2;train_recall_cv3;train_recall_cv4;train_recall_cv5;train_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;train_f1-score_cv1;train_f1-score_cv2;train_f1-score_cv3;train_f1-score_cv4;train_f1-score_cv5;train_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;train_tp_cv1;train_tp_cv2;train_tp_cv3;train_tp_cv4;train_tp_cv5;train_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;train_tn_cv1;train_tn_cv2;train_tn_cv3;train_tn_cv4;train_tn_cv5;train_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;train_fp_cv1;train_fp_cv2;train_fp_cv3;train_fp_cv4;train_fp_cv5;train_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;train_fn_cv1;train_fn_cv2;train_fn_cv3;train_fn_cv4;train_fn_cv5;train_fn_mean
Audio;LR_Count_Vectors_RandomUnder;data/train_test_data/readme_base_semantic_web_preprocessed_train.csv;0.0294189453125;0.028087377548217773;0.028290987014770508;0.026613712310791016;0.025500774383544922;0.027582359313964844;0.005638599395751953;0.006712436676025391;0.004156589508056641;0.0046198368072509766;0.004922628402709961;0.005210018157958985;1.0;0.8421052631578947;0.8421052631578947;0.8947368421052632;0.8421052631578947;0.8842105263157893;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8888888888888888;1.0;1.0;1.0;0.9777777777777779;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8;0.7;0.7777777777777778;0.6666666666666666;0.7888888888888889;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8421052631578948;0.8235294117647058;0.8750000000000001;0.8;0.86812693498452;1.0;1.0;1.0;1.0;1.0;1.0;10;8;9;10;10;9.4;38;39;39;38;38;38.4;10;8;7;7;6;7.6;38;38;38;39;39;38.4;0;2;3;2;3;2.0;0;0;0;0;0;0.0;0;1;0;0;0;0.2;0;0;0;0;0;0.0
Audio;LR_TFIDF_RandomUnder;data/train_test_data/readme_base_semantic_web_preprocessed_train.csv;0.02567577362060547;0.0240478515625;0.02481985092163086;0.030651092529296875;0.03419208526611328;0.027877330780029297;0.006409645080566406;0.005939960479736328;0.005304574966430664;0.010137557983398438;0.009653568267822266;0.007489061355590821;1.0;0.8947368421052632;0.8947368421052632;1.0;0.8421052631578947;0.9263157894736842;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9;1.0;1.0;1.0;0.9800000000000001;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.8;1.0;0.6666666666666666;0.8733333333333334;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.888888888888889;1.0;0.8;0.9177777777777777;1.0;1.0;1.0;1.0;1.0;1.0;10;8;9;10;10;9.4;38;39;39;38;38;38.4;10;9;8;9;6;8.4;38;38;38;39;39;38.4;0;1;2;0;3;1.2;0;0;0;0;0;0.0;0;1;0;0;0;0.2;0;0;0;0;0;0.0
Audio;SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_base_semantic_web_preprocessed_train.csv;0.03637218475341797;0.03724026679992676;0.05043506622314453;0.05765271186828613;0.04395008087158203;0.04513006210327149;0.008057832717895508;0.008913040161132812;0.00585484504699707;0.010103225708007812;0.009807825088500977;0.008547353744506835;0.5;0.47368421052631576;0.5263157894736842;0.3684210526315789;0.5263157894736842;0.4789473684210527;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.5;1.0;0.4117647058823529;0.5;0.5823529411764705;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.8;0.1;0.7777777777777778;0.8888888888888888;0.6933333333333334;1.0;1.0;1.0;1.0;1.0;1.0;0.6428571428571429;0.6153846153846154;0.18181818181818182;0.5384615384615384;0.64;0.5237042957042958;1.0;1.0;1.0;1.0;1.0;1.0;1;1;9;0;2;2.6;38;39;39;38;38;38.4;9;8;1;7;8;6.6;38;38;38;39;39;38.4;1;2;9;2;1;3.0;0;0;0;0;0;0.0;9;8;0;10;8;7.0;0;0;0;0;0;0.0
Audio;SVC_TFIDF_RandomUnder;data/train_test_data/readme_base_semantic_web_preprocessed_train.csv;0.03969120979309082;0.025254249572753906;0.048005104064941406;0.04267549514770508;0.043482065200805664;0.039821624755859375;0.01032876968383789;0.006540060043334961;0.008385896682739258;0.009817838668823242;0.0093231201171875;0.008879137039184571;0.95;0.8421052631578947;0.8421052631578947;1.0;0.8421052631578947;0.8952631578947369;1.0;1.0;1.0;1.0;1.0;1.0;0.9090909090909091;0.8181818181818182;0.8888888888888888;1.0;1.0;0.9232323232323232;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.8;1.0;0.6666666666666666;0.8733333333333334;1.0;1.0;1.0;1.0;1.0;1.0;0.9523809523809523;0.8571428571428572;0.8421052631578948;1.0;0.8;0.890325814536341;1.0;1.0;1.0;1.0;1.0;1.0;9;7;8;10;10;8.8;38;39;39;38;38;38.4;10;9;8;9;6;8.4;38;38;38;39;39;38.4;0;1;2;0;3;1.2;0;0;0;0;0;0.0;1;2;1;0;0;0.8;0;0;0;0;0;0.0
Audio;KNN_Count_Vectors_RandomUnder;data/train_test_data/readme_base_semantic_web_preprocessed_train.csv;0.028959274291992188;0.02042412757873535;0.030564546585083008;0.02257227897644043;0.025012969970703125;0.02550663948059082;0.007444143295288086;0.012929677963256836;0.009636878967285156;0.011684894561767578;0.010960578918457031;0.010531234741210937;0.9;0.6842105263157895;0.7368421052631579;0.7894736842105263;0.7368421052631579;0.7694736842105263;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8333333333333334;1.0;1.0;0.8333333333333334;0.9333333333333333;1.0;1.0;1.0;1.0;1.0;1.0;0.8;0.5;0.5;0.5555555555555556;0.5555555555555556;0.5822222222222223;1.0;1.0;1.0;1.0;1.0;1.0;0.888888888888889;0.625;0.6666666666666666;0.7142857142857143;0.6666666666666667;0.7123015873015873;1.0;1.0;1.0;1.0;1.0;1.0;10;8;9;10;9;9.2;38;39;39;38;38;38.4;8;5;5;5;5;5.6;38;38;38;39;39;38.4;2;5;5;4;4;4.0;0;0;0;0;0;0.0;0;1;0;0;1;0.4;0;0;0;0;0;0.0
Audio;KNN_TFIDF_RandomUnder;data/train_test_data/readme_base_semantic_web_preprocessed_train.csv;0.015888690948486328;0.02356243133544922;0.01674628257751465;0.024778127670288086;0.018076181411743164;0.01981034278869629;0.006886005401611328;0.01181650161743164;0.006361961364746094;0.010993003845214844;0.007152080535888672;0.008641910552978516;0.85;0.7368421052631579;0.9473684210526315;1.0;0.7894736842105263;0.8647368421052631;1.0;1.0;1.0;1.0;1.0;1.0;0.7692307692307693;0.6666666666666666;0.9090909090909091;1.0;0.7777777777777778;0.8245532245532246;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7777777777777778;0.9555555555555555;1.0;1.0;1.0;1.0;1.0;1.0;0.8695652173913044;0.8;0.9523809523809523;1.0;0.7777777777777778;0.879944789510007;1.0;1.0;1.0;1.0;1.0;1.0;7;4;8;10;8;7.4;38;39;39;38;38;38.4;10;10;10;9;7;9.2;38;38;38;39;39;38.4;0;0;0;0;2;0.4;0;0;0;0;0;0.0;3;5;1;0;2;2.2;0;0;0;0;0;0.0
Audio;RandomForestClassifier_Count_Vectors_RandomUnder;data/train_test_data/readme_base_semantic_web_preprocessed_train.csv;0.1372365951538086;0.1332383155822754;0.1569349765777588;0.14063334465026855;0.11621379852294922;0.13685140609741211;0.020657777786254883;0.021622896194458008;0.019190311431884766;0.020259618759155273;0.013763427734375;0.019098806381225585;0.95;0.8947368421052632;1.0;0.9473684210526315;0.8421052631578947;0.9268421052631577;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9;1.0;1.0;1.0;0.9800000000000001;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.9;1.0;0.8888888888888888;0.6666666666666666;0.8711111111111111;1.0;1.0;1.0;1.0;1.0;1.0;0.9473684210526316;0.9;1.0;0.9411764705882353;0.8;0.9177089783281733;1.0;1.0;1.0;1.0;1.0;1.0;10;8;9;10;10;9.4;38;39;39;38;38;38.4;9;9;10;8;6;8.4;38;38;38;39;39;38.4;1;1;0;1;3;1.2;0;0;0;0;0;0.0;0;1;0;0;0;0.2;0;0;0;0;0;0.0
Audio;RandomForestClassifier_TFIDF_RandomUnder;data/train_test_data/readme_base_semantic_web_preprocessed_train.csv;0.07891130447387695;0.1317460536956787;0.14149188995361328;0.09502339363098145;0.08831048011779785;0.10709662437438965;0.013281106948852539;0.018592357635498047;0.016702651977539062;0.014385700225830078;0.01474905014038086;0.015542173385620117;0.95;0.8947368421052632;0.9473684210526315;0.9473684210526315;0.9473684210526315;0.9373684210526315;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9;1.0;1.0;1.0;0.9800000000000001;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.9;0.9;0.8888888888888888;0.8888888888888888;0.8955555555555555;1.0;1.0;1.0;1.0;1.0;1.0;0.9473684210526316;0.9;0.9473684210526316;0.9411764705882353;0.9411764705882353;0.9354179566563469;1.0;1.0;1.0;1.0;1.0;1.0;10;8;9;10;10;9.4;38;39;39;38;38;38.4;9;9;9;8;8;8.6;38;38;38;39;39;38.4;1;1;1;1;1;1.0;0;0;0;0;0;0.0;0;1;0;0;0;0.2;0;0;0;0;0;0.0
Audio;Linear_SVC_Count_Vectors_RandomUnder;data/train_test_data/readme_base_semantic_web_preprocessed_train.csv;0.025536298751831055;0.023894548416137695;0.02534794807434082;0.022353410720825195;0.026377201080322266;0.024701881408691406;0.01069951057434082;0.012881755828857422;0.008517265319824219;0.007745981216430664;0.009966135025024414;0.009962129592895507;0.95;0.7894736842105263;1.0;1.0;0.8421052631578947;0.9163157894736841;0.9736842105263158;1.0;1.0;0.987012987012987;1.0;0.9921394395078605;0.9090909090909091;0.75;1.0;1.0;0.8;0.8918181818181818;0.9736842105263158;1.0;1.0;1.0;1.0;0.9947368421052631;1.0;0.9;1.0;1.0;0.8888888888888888;0.9577777777777777;0.9736842105263158;1.0;1.0;0.9743589743589743;1.0;0.989608636977058;0.9523809523809523;0.8181818181818182;1.0;1.0;0.8421052631578948;0.9225336067441331;0.9736842105263158;1.0;1.0;0.9870129870129869;1.0;0.9921394395078605;9;6;9;10;8;8.4;37;39;39;38;38;38.2;10;9;10;9;8;9.2;37;38;38;38;39;38.0;0;1;0;0;1;0.4;1;0;0;1;0;0.4;1;3;0;0;2;1.2;1;0;0;0;0;0.2
Audio;Linear_SVC_TFIDF_RandomUnder;data/train_test_data/readme_base_semantic_web_preprocessed_train.csv;0.022110939025878906;0.013306379318237305;0.025103092193603516;0.023393869400024414;0.024506807327270508;0.02168421745300293;0.009743928909301758;0.006180763244628906;0.008315324783325195;0.009588479995727539;0.009346485137939453;0.008634996414184571;0.9;0.9473684210526315;0.8947368421052632;0.631578947368421;0.631578947368421;0.8010526315789473;0.9736842105263158;0.974025974025974;0.961038961038961;0.7662337662337663;0.8701298701298701;0.9090225563909774;0.8333333333333334;1.0;1.0;0.5625;0.5625;0.7916666666666667;0.9736842105263158;1.0;1.0;0.6842105263157895;0.7959183673469388;0.8907626208378089;1.0;0.9;0.8;1.0;1.0;0.9400000000000001;0.9736842105263158;0.9473684210526315;0.9210526315789473;1.0;1.0;0.968421052631579;0.9090909090909091;0.9473684210526316;0.888888888888889;0.72;0.72;0.8370696438064857;0.9736842105263158;0.972972972972973;0.958904109589041;0.8125000000000001;0.8863636363636364;0.9208849858903931;8;9;9;3;3;6.4;37;39;39;20;28;32.6;10;9;8;9;9;9.0;37;36;35;39;39;37.2;0;1;2;0;0;0.6;1;2;3;0;0;1.2;2;0;0;7;7;3.2;1;0;0;18;10;5.8
