;PipelineID;Pipeline;Train dataset;Validation dataset;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_acc_cv1;test_acc_cv2;test_acc_cv3;test_acc_cv4;test_acc_cv5;test_acc_mean;test_prec_cv1;test_prec_cv2;test_prec_cv3;test_prec_cv4;test_prec_cv5;test_prec_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;acc_overall;prec_overall;recall_overall;f1-score_overall;tp_overall;tn_overall;fp_overall;fn_overall
0;Audio_Preprocessed_Structures_Random_Undersamples;LR_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.3875303268432617;0.5964248180389404;0.5882158279418945;0.5766794681549072;0.48096370697021484;0.5259628295898438;0.004675626754760742;0.0026237964630126953;0.003666400909423828;0.0040128231048583984;0.007191896438598633;0.004434108734130859;0.6829268292682927;0.7073170731707317;0.6829268292682927;0.85;0.525;0.6896341463414635;0.6666666666666666;0.8;0.75;0.85;0.5263157894736842;0.7185964912280702;0.7;0.5714285714285714;0.5714285714285714;0.85;0.5;0.6385714285714286;0.6829268292682926;0.6666666666666666;0.6486486486486486;0.85;0.5128205128205129;0.6722125314808242;14;12;12;17;10;13.0;14;17;16;17;11;15.0;7;3;4;3;9;5.2;6;9;9;3;10;7.4;0.6496478873239436;0.9927140255009107;0.6491959499702203;0.7850198055455527;1090;17;8;589
0;Audio_Preprocessed_Structures_Random_Undersamples;LR_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.0427095890045166;0.05532574653625488;0.04778933525085449;0.031215667724609375;0.0325777530670166;0.04192361831665039;0.002789735794067383;0.0036420822143554688;0.004510402679443359;0.005078315734863281;0.0062983036041259766;0.004463768005371094;0.7317073170731707;0.7560975609756098;0.8292682926829268;0.85;0.625;0.7584146341463415;0.6551724137931034;0.72;0.7916666666666666;0.8181818181818182;0.6190476190476191;0.7208137035378415;0.95;0.8571428571428571;0.9047619047619048;0.9;0.65;0.8523809523809524;0.7755102040816326;0.782608695652174;0.8444444444444444;0.8571428571428572;0.6341463414634146;0.7787705085569046;19;18;19;18;13;17.4;11;13;15;16;12;13.4;10;7;5;4;8;6.8;1;3;2;2;7;3.0;0.8767605633802817;0.9932840832773674;0.8808814770696843;0.9337121212121212;1479;15;10;200
0;Audio_Preprocessed_Structures_Random_Undersamples;SVC_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.016322612762451172;0.02086782455444336;0.018776416778564453;0.018246889114379883;0.017832517623901367;0.018409252166748047;0.009315252304077148;0.01013493537902832;0.007693052291870117;0.008428335189819336;0.007910966873168945;0.008696508407592774;0.6097560975609756;0.6341463414634146;0.6097560975609756;0.7;0.4;0.5907317073170731;0.6428571428571429;0.8;1.0;1.0;0.0;0.6885714285714286;0.45;0.38095238095238093;0.23809523809523808;0.4;0.0;0.29380952380952385;0.5294117647058824;0.5161290322580645;0.3846153846153846;0.5714285714285715;0.0;0.40031695060158057;9;8;5;8;0;6.0;16;18;20;20;16;18.0;5;2;0;0;4;2.2;11;13;16;12;20;14.4;0.3421361502347418;0.9982142857142857;0.33293627159023226;0.49933005806163466;559;24;1;1120
0;Audio_Preprocessed_Structures_Random_Undersamples;SVC_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.01708221435546875;0.018250226974487305;0.020678281784057617;0.018259763717651367;0.017729520797729492;0.018400001525878906;0.015470027923583984;0.01494908332824707;0.010293722152709961;0.011173009872436523;0.008623361587524414;0.012101840972900391;0.6829268292682927;0.8292682926829268;0.7560975609756098;0.85;0.625;0.748658536585366;0.6206896551724138;0.75;0.6774193548387096;0.7916666666666666;0.6;0.687955135335558;0.9;1.0;1.0;0.95;0.75;0.9199999999999999;0.7346938775510204;0.8571428571428571;0.8076923076923077;0.8636363636363635;0.6666666666666665;0.7859664145378431;18;21;21;19;15;18.8;10;13;10;15;10;11.6;11;7;10;5;10;8.6;2;0;0;1;5;1.6;0.937793427230047;0.9924859110832811;0.9440142942227516;0.9676434676434676;1585;13;12;94
0;Audio_Preprocessed_Structures_Random_Undersamples;KNN_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.0009739398956298828;0.0015327930450439453;0.001458883285522461;0.0015439987182617188;0.001569509506225586;0.0014158248901367187;0.026999711990356445;0.02526259422302246;0.0267636775970459;0.027898311614990234;0.025237321853637695;0.026432323455810546;0.5365853658536586;0.5365853658536586;0.4878048780487805;0.5;0.525;0.5171951219512195;0.5454545454545454;0.75;0.5;0.5;0.5555555555555556;0.5702020202020203;0.3;0.14285714285714285;0.047619047619047616;0.05;0.25;0.1580952380952381;0.3870967741935483;0.24;0.08695652173913042;0.09090909090909091;0.3448275862068966;0.22995799460973326;6;3;1;1;5;3.2;16;19;19;19;16;17.8;5;1;1;1;4;2.4;14;18;20;19;15;17.2;0.2576291079812207;0.9952153110047847;0.24776652769505658;0.39675727229375296;416;23;2;1263
0;Audio_Preprocessed_Structures_Random_Undersamples;KNN_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.0015530586242675781;0.0016140937805175781;0.0015728473663330078;0.0010519027709960938;0.0012257099151611328;0.0014035224914550782;0.021707773208618164;0.018085479736328125;0.017500638961791992;0.023511886596679688;0.020624160766601562;0.020285987854003908;0.7073170731707317;0.6097560975609756;0.6097560975609756;0.675;0.6;0.6403658536585366;0.75;0.7777777777777778;0.7272727272727273;0.8181818181818182;0.75;0.7646464646464647;0.6;0.3333333333333333;0.38095238095238093;0.45;0.3;0.4128571428571428;0.6666666666666665;0.4666666666666666;0.5;0.5806451612903226;0.4285714285714285;0.5285099846390169;12;7;8;9;6;8.4;17;18;17;18;18;17.6;4;2;3;2;2;2.6;8;14;13;11;14;12.0;0.4982394366197183;0.9963855421686747;0.4925550923168553;0.6592267835791152;827;22;3;852
0;Audio_Preprocessed_Structures_Random_Undersamples;RandomForestClassifier_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.8031868934631348;0.9629096984863281;0.9330892562866211;0.8842258453369141;0.7161781787872314;0.8599179744720459;0.09560656547546387;0.019867420196533203;0.03755903244018555;0.03330063819885254;0.036371707916259766;0.04454107284545898;0.7073170731707317;0.5365853658536586;0.6097560975609756;0.8;0.55;0.6407317073170731;0.6666666666666666;0.5833333333333334;0.7272727272727273;0.8333333333333334;0.5625;0.6746212121212121;0.8;0.3333333333333333;0.38095238095238093;0.75;0.45;0.5428571428571429;0.7272727272727272;0.4242424242424242;0.5;0.7894736842105262;0.5;0.5881977671451355;16;7;8;15;9;11.0;13;15;17;17;13;15.0;8;5;3;3;7;5.2;4;14;13;5;11;9.4;0.5733568075117371;0.9917355371900827;0.5717689100655152;0.7253494522100491;960;17;8;719
0;Audio_Preprocessed_Structures_Random_Undersamples;RandomForestClassifier_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.39281702041625977;0.41358518600463867;0.3890652656555176;0.4299962520599365;0.40787839889526367;0.40666842460632324;0.03259873390197754;0.026909589767456055;0.03896450996398926;0.02575373649597168;0.03668093681335449;0.032181501388549805;0.6341463414634146;0.7073170731707317;0.6585365853658537;0.775;0.5;0.655;0.6086956521739131;0.8461538461538461;0.7333333333333333;0.7619047619047619;0.5;0.690017518713171;0.7;0.5238095238095238;0.5238095238095238;0.8;0.45;0.5995238095238096;0.6511627906976744;0.6470588235294118;0.611111111111111;0.7804878048780488;0.4736842105263158;0.6327009481485124;14;11;11;16;9;12.2;12;18;16;15;11;14.4;9;2;4;5;9;5.8;6;10;10;4;11;8.2;0.6901408450704225;0.9931448157669237;0.6902918403811793;0.814476458186929;1159;17;8;520
0;Audio_Preprocessed_Structures_Random_Undersamples;SGDClassifier_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.011083602905273438;0.010080575942993164;0.01298975944519043;0.00822138786315918;0.011507272720336914;0.010776519775390625;0.0070154666900634766;0.004263877868652344;0.004676103591918945;0.0043659210205078125;0.00492548942565918;0.005049371719360351;0.6341463414634146;0.8292682926829268;0.4878048780487805;0.875;0.525;0.6702439024390243;0.6086956521739131;0.8888888888888888;0.5;0.8947368421052632;0.5294117647058824;0.6843466295747895;0.7;0.7619047619047619;0.2857142857142857;0.85;0.45;0.6095238095238096;0.6511627906976744;0.8205128205128205;0.36363636363636365;0.8717948717948718;0.48648648648648646;0.6387186666256434;14;16;6;17;9;12.4;12;18;14;18;12;14.8;9;2;6;2;8;5.4;6;5;15;3;11;8.0;0.6965962441314554;0.9923728813559322;0.6974389517569982;0.8191675410982862;1171;16;9;508
0;Audio_Preprocessed_Structures_Random_Undersamples;SGDClassifier_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.01044774055480957;0.022834300994873047;0.011088132858276367;0.008169412612915039;0.020124197006225586;0.014532756805419923;0.006847381591796875;0.005749225616455078;0.004635334014892578;0.005842685699462891;0.004488706588745117;0.005512666702270508;0.6341463414634146;0.7317073170731707;0.6585365853658537;0.775;0.525;0.6648780487804877;0.6;0.7272727272727273;0.6666666666666666;0.7037037037037037;0.5294117647058824;0.645410972469796;0.75;0.7619047619047619;0.6666666666666666;0.95;0.45;0.7157142857142856;0.6666666666666665;0.7441860465116279;0.6666666666666666;0.8085106382978724;0.48648648648648646;0.674503300925864;15;16;14;19;9;14.6;11;14;13;12;12;12.4;10;6;7;8;8;7.8;5;5;7;1;11;5.8;0.6643192488262911;0.9955237242614146;0.6622989874925551;0.7954220314735336;1112;20;5;567
