Category;F1 score;Pipeline_id;Pipeline;Validation set;Training dataset
Audio;1.0;10_Audio;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/abstracts_test.csv;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
Audio;0.9828550377846293;9_Audio;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/abstracts_test.csv;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
Computer Vision;0.9963095775437452;8_Computer Vision;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/abstracts_test.csv;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
Computer Vision;0.9953385190729555;9_Computer Vision;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/abstracts_test.csv;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
General;0.9899562377161601;10_General;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/abstracts_test.csv;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
General;0.9895183123863663;8_General;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/abstracts_test.csv;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
Graphs;0.9353308833391454;8_Graphs;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/abstracts_test.csv;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
Graphs;0.857236478484011;11_Graphs;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];../data/abstracts_test.csv;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
Natural Language Processing;0.9923094901724931;9_Natural Language Processing;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/abstracts_test.csv;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
Natural Language Processing;0.9902237015625532;10_Natural Language Processing;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/abstracts_test.csv;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
Reinforcement Learning;0.9978740618258706;10_Reinforcement Learning;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/abstracts_test.csv;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
Reinforcement Learning;0.9978658536585365;9_Reinforcement Learning;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/abstracts_test.csv;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
Sequential;0.9885670782311946;10_Sequential;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/abstracts_test.csv;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
Sequential;0.9427923102942836;9_Sequential;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/abstracts_test.csv;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
Computer Vision;0.816262076815795;14_Computer Vision;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged_somef_data_somef_data_description.csv;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
Computer Vision;0.812625254282045;15_Computer Vision;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/merged_somef_data_somef_data_description.csv;../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv
