PipelineID;Pipeline;Input;F1 score;Precision;Recall;Pickle file name;Datetime;Sklearn version;Validation set
1_Audio;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/abstracts_train.csv;0.8366292798110979 macro;0.7567567567567568 macro;0.9947152084556665 macro;;21_02_2022_22_23_03;1.0;data/abstracts_test.csv
2_Audio;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/abstracts_train.csv;0.9668213419823061 macro;0.9384615384615385 macro;0.9992170679193579 macro;;21_02_2022_22_29_11;1.0;data/abstracts_test.csv
3_Audio;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/abstracts_train.csv;0.9870326443013667 macro;0.975 macro;0.9997064004697592 macro;;21_02_2022_22_35_08;1.0;data/abstracts_test.csv
4_Audio;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/abstracts_train.csv;0.9912814246752896 macro;0.9830508474576272 macro;0.9998042669798395 macro;;21_02_2022_22_41_33;1.0;data/abstracts_test.csv
5_Audio;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];data/abstracts_train.csv;0.6856240185461002 macro;0.6207627118644068 macro;0.9824818946956351 macro;;21_02_2022_22_47_33;1.0;data/abstracts_test.csv
6_Audio;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];data/abstracts_train.csv;0.6566582303201349 macro;0.6015154128382828 macro;0.9446539131151426 macro;;21_02_2022_22_53_13;1.0;data/abstracts_test.csv
7_Audio;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/somef_data_train.csv;0.42961684533718225 macro;0.5125142198367677 macro;0.6943212803793717 macro;;21_02_2022_22_59_54;1.0;data/somef_data_test.csv
8_Audio;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/somef_data_train.csv;0.4760944700460829 macro;0.5217011739633597 macro;0.7805572021339656 macro;;21_02_2022_23_03_10;1.0;data/somef_data_test.csv
9_Audio;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/somef_data_train.csv;0.46811401620781934 macro;0.516941579749209 macro;0.7193716656787197 macro;;21_02_2022_23_06_13;1.0;data/somef_data_test.csv
10_Audio;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/somef_data_train.csv;0.4208322813062628 macro;0.5147620721987811 macro;0.7389093064611736 macro;;21_02_2022_23_38_16;1.0;data/somef_data_test.csv
