PipelineID;Pipeline;Input;F1 score;Precision;Recall;Pickle file name;Datetime;Sklearn version;Validation set
1_Computer Vision;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/abstracts_train.csv;0.994949833721557 macro;0.9949724648939618 macro;0.9949275038653927 macro;;21_02_2022_22_23_57;1.0;data/abstracts_test.csv
2_Computer Vision;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/abstracts_train.csv;0.9947559520575769 macro;0.9947448662253027 macro;0.994767113188896 macro;;21_02_2022_22_30_01;1.0;data/abstracts_test.csv
3_Computer Vision;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/abstracts_train.csv;0.993784410734224 macro;0.9938069887956973 macro;0.9937621336336316 macro;;21_02_2022_22_36_21;1.0;data/abstracts_test.csv
4_Computer Vision;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/abstracts_train.csv;0.994368748951052 macro;0.9942551507928968 macro;0.9944914487631871 macro;;21_02_2022_22_42_31;1.0;data/abstracts_test.csv
5_Computer Vision;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];data/abstracts_train.csv;0.9753625634752467 macro;0.9749827720958375 macro;0.9759984714385036 macro;;21_02_2022_22_48_21;1.0;data/abstracts_test.csv
6_Computer Vision;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];data/abstracts_train.csv;0.9588643526265861 macro;0.9615715503020636 macro;0.9574951172205446 macro;;21_02_2022_22_54_01;1.0;data/abstracts_test.csv
7_Computer Vision;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/somef_data_train.csv;0.6016026786142058 macro;0.6035275361844081 macro;0.6050642730496454 macro;;21_02_2022_23_00_22;1.0;data/somef_data_test.csv
8_Computer Vision;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/somef_data_train.csv;0.6217171717171717 macro;0.6222246503496504 macro;0.6239583333333334 macro;;21_02_2022_23_03_37;1.0;data/somef_data_test.csv
9_Computer Vision;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/somef_data_train.csv;0.5998043425652748 macro;0.6002766790318284 macro;0.6016622340425531 macro;;21_02_2022_23_32_24;1.0;data/somef_data_test.csv
10_Computer Vision;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/somef_data_train.csv;0.6031906256171689 macro;0.6040410659676714 macro;0.6055629432624113 macro;;21_02_2022_23_42_02;1.0;data/somef_data_test.csv
11_Computer Vision;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];data/somef_data_train.csv;0.6505797006158633 macro;0.6518691588785046 macro;0.6541445035460993 macro;;21_02_2022_23_48_14;1.0;data/somef_data_test.csv
12_Computer Vision;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];data/somef_data_train.csv;0.6196435454819426 macro;0.6223813455570424 macro;0.6190824468085107 macro;;21_02_2022_23_51_02;1.0;data/somef_data_test.csv
13_Computer Vision;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/somef_data_description_train.csv;0.685448959642508 macro;0.6850440290974905 macro;0.6862889379445671 macro;;21_02_2022_23_53_30;1.0;data/somef_data_description_test.csv
14_Computer Vision;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/somef_data_description_train.csv;0.7066896713983216 macro;0.70625 macro;0.7081362346263009 macro;;21_02_2022_23_53_53;1.0;data/somef_data_description_test.csv
15_Computer Vision;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/somef_data_description_train.csv;0.6852913952542842 macro;0.6933790593505039 macro;0.6936297697887102 macro;;21_02_2022_23_54_22;1.0;data/somef_data_description_test.csv
16_Computer Vision;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/somef_data_description_train.csv;0.6848333636544776 macro;0.6875 macro;0.6896352359928519 macro;;21_02_2022_23_54_58;1.0;data/somef_data_description_test.csv
17_Computer Vision;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];data/somef_data_description_train.csv;0.7352574750830565 macro;0.7421098517872711 macro;0.7432636041907565 macro;;21_02_2022_23_55_27;1.0;data/somef_data_description_test.csv
18_Computer Vision;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];data/somef_data_description_train.csv;0.7416842050108723 macro;0.7881737669873263 macro;0.7645152247801255 macro;;21_02_2022_23_55_50;1.0;data/somef_data_description_test.csv
19_Computer Vision;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/merged_abstracts_somef_data_description.csv;0.6307927848932976 macro;0.6323056064580526 macro;0.6342981809603929 macro;;22_02_2022_00_02_45;1.0;data/somef_data.csv
20_Computer Vision;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/merged_abstracts_somef_data_description.csv;0.6419854741875908 macro;0.6610080823530294 macro;0.6428306414343561 macro;;22_02_2022_00_11_33;1.0;data/somef_data.csv
21_Computer Vision;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/merged_abstracts_somef_data_description.csv;0.5410027868966841 macro;0.6529704811641497 macro;0.5778209014686602 macro;;22_02_2022_00_21_04;1.0;data/somef_data.csv
22_Computer Vision;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/merged_abstracts_somef_data_description.csv;0.5332296818226397 macro;0.7153245324532453 macro;0.5829908761468556 macro;;22_02_2022_00_31_20;1.0;data/somef_data.csv
23_Computer Vision;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];data/merged_abstracts_somef_data_description.csv;0.6094233847389772 macro;0.6478932116625613 macro;0.616790907163101 macro;;22_02_2022_00_40_39;1.0;data/somef_data.csv
24_Computer Vision;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];data/merged_abstracts_somef_data_description.csv;0.653954171678554 macro;0.6536940159475371 macro;0.654320065260486 macro;;22_02_2022_00_49_13;1.0;data/somef_data.csv
25_Computer Vision;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/merged_abstracts_somef_data.csv;0.8258314659758064 macro;0.8323529411764705 macro;0.8229245318700962 macro;;22_02_2022_01_02_00;1.0;data/somef_data_description.csv
26_Computer Vision;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/merged_abstracts_somef_data.csv;0.8537557387266391 macro;0.8548346658102756 macro;0.8528985740721804 macro;;22_02_2022_01_10_52;1.0;data/somef_data_description.csv
27_Computer Vision;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/merged_abstracts_somef_data.csv;0.8193248999201652 macro;0.8328889507046005 macro;0.81516520954653 macro;;22_02_2022_01_30_12;1.0;data/somef_data_description.csv
28_Computer Vision;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/merged_abstracts_somef_data.csv;0.8173600314185301 macro;0.8344006086164757 macro;0.8128019712797209 macro;;22_02_2022_01_56_13;1.0;data/somef_data_description.csv
