PipelineID;Pipeline;Input;F1 score;Precision;Recall;Pickle file name;Datetime;Sklearn version;Validation set
1_Graphs;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/abstracts_train.csv;0.7543063193940023 macro;0.677239155961008 macro;0.9802898956128341 macro;;21_02_2022_22_25_41;1.0;data/abstracts_test.csv
2_Graphs;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/abstracts_train.csv;0.9550081742241953 macro;0.923431005939081 macro;0.991874423396066 macro;;21_02_2022_22_31_41;1.0;data/abstracts_test.csv
3_Graphs;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/abstracts_train.csv;0.7639534361196716 macro;0.6866411406329328 macro;0.9746186681155171 macro;;21_02_2022_22_38_13;1.0;data/abstracts_test.csv
4_Graphs;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/abstracts_train.csv;0.8850269929989889 macro;0.8184851196783125 macro;0.9891255523966551 macro;;21_02_2022_22_44_15;1.0;data/abstracts_test.csv
5_Graphs;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];data/abstracts_train.csv;0.8188704689298043 macro;0.7412973557623886 macro;0.9788401485788982 macro;;21_02_2022_22_49_59;1.0;data/abstracts_test.csv
6_Graphs;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];data/abstracts_train.csv;0.7706550005417705 macro;0.6910994764397906 macro;0.9884154722167682 macro;;21_02_2022_22_55_38;1.0;data/abstracts_test.csv
7_Graphs;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/somef_data_train.csv;0.387272446157282 macro;0.5114374665349224 macro;0.6541666666666667 macro;;21_02_2022_23_01_18;1.0;data/somef_data_test.csv
8_Graphs;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/somef_data_train.csv;0.4639745244331762 macro;0.524177780087435 macro;0.7769345238095238 macro;;21_02_2022_23_04_31;1.0;data/somef_data_test.csv
9_Graphs;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/somef_data_train.csv;0.42641871835166756 macro;0.5165377402719175 macro;0.7099702380952381 macro;;21_02_2022_23_36_17;1.0;data/somef_data_test.csv
10_Graphs;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/somef_data_train.csv;0.40324218614427926 macro;0.5129372109341932 macro;0.6711309523809523 macro;;21_02_2022_23_45_53;1.0;data/somef_data_test.csv
11_Graphs;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];data/somef_data_train.csv;0.5323073203111286 macro;0.5350003243904985 macro;0.7308035714285714 macro;;21_02_2022_23_49_02;1.0;data/somef_data_test.csv
12_Graphs;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];data/somef_data_train.csv;0.5367584600630224 macro;0.5304486071749499 macro;0.6311011904761905 macro;;21_02_2022_23_51_50;1.0;data/somef_data_test.csv
13_Graphs;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/somef_data_description_train.csv;0.5484375 macro;0.5395784543325527 macro;0.7522388059701492 macro;;21_02_2022_23_53_36;1.0;data/somef_data_description_test.csv
