PipelineID;Pipeline;Input;F1 score;Precision;Recall;Pickle file name;Datetime;Sklearn version;Validation set
1_Sequential;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/abstracts_train.csv;0.8557634295911286 macro;0.785415003990423 macro;0.9770140204622964 macro;;21_02_2022_22_28_16;1.0;data/abstracts_test.csv
2_Sequential;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/abstracts_train.csv;0.8886870485801919 macro;0.828060116745367 macro;0.97898446381205 macro;;21_02_2022_22_34_18;1.0;data/abstracts_test.csv
3_Sequential;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/abstracts_train.csv;0.9885670782311946 macro;0.9996062216971845 macro;0.9780219780219781 macro;;21_02_2022_22_40_45;1.0;data/abstracts_test.csv
4_Sequential;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/abstracts_train.csv;0.9620758943553259 macro;0.9480590531083419 macro;0.9770367563471012 macro;;21_02_2022_22_46_44;1.0;data/abstracts_test.csv
5_Sequential;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];data/abstracts_train.csv;0.7105401735968936 macro;0.6434822076978939 macro;0.9620386510041683 macro;;21_02_2022_22_52_25;1.0;data/abstracts_test.csv
6_Sequential;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];data/abstracts_train.csv;0.8022174918452044 macro;0.7253392754901505 macro;0.9729746115953013 macro;;21_02_2022_22_58_04;1.0;data/abstracts_test.csv
7_Sequential;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/somef_data_train.csv;0.42122329190661306 macro;0.5132521081751751 macro;0.6224488435646205 macro;;21_02_2022_23_02_43;1.0;data/somef_data_test.csv
8_Sequential;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/somef_data_train.csv;0.4434603869699272 macro;0.519587152591846 macro;0.6740785176298074 macro;;21_02_2022_23_05_47;1.0;data/somef_data_test.csv
9_Sequential;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/somef_data_train.csv;0.40598406428111455 macro;0.5171310980476531 macro;0.6645204292474838 macro;;21_02_2022_23_37_50;1.0;data/somef_data_test.csv
10_Sequential;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/somef_data_train.csv;0.41271064034665383 macro;0.5140554762338526 macro;0.6326734653069386 macro;;21_02_2022_23_47_25;1.0;data/somef_data_test.csv
11_Sequential;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];data/somef_data_train.csv;0.49998579146287947 macro;0.5273666537517758 macro;0.6836099446777311 macro;;21_02_2022_23_50_15;1.0;data/somef_data_test.csv
12_Sequential;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];data/somef_data_train.csv;0.5231459686784043 macro;0.519663948770757 macro;0.5465840165300273 macro;;21_02_2022_23_53_02;1.0;data/somef_data_test.csv
13_Sequential;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/somef_data_description_train.csv;0.3589568851937668 macro;0.5117647058823529 macro;0.7529761904761905 macro;;21_02_2022_23_53_46;1.0;data/somef_data_description_test.csv
14_Sequential;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/somef_data_description_train.csv;0.49156469175846157 macro;0.5266666666666666 macro;0.8943452380952381 macro;;21_02_2022_23_54_10;1.0;data/somef_data_description_test.csv
15_Sequential;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/somef_data_description_train.csv;0.3881379944097715 macro;0.5079514394235206 macro;0.6666666666666667 macro;;21_02_2022_23_54_45;1.0;data/somef_data_description_test.csv
16_Sequential;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/somef_data_description_train.csv;0.4800887338200771 macro;0.5186752860294495 macro;0.7708333333333333 macro;;21_02_2022_23_55_21;1.0;data/somef_data_description_test.csv
17_Sequential;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];data/somef_data_description_train.csv;0.31843911964187416 macro;0.5101522842639594 macro;0.7127976190476191 macro;;21_02_2022_23_55_44;1.0;data/somef_data_description_test.csv
18_Sequential;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];data/somef_data_description_train.csv;0.509915999801183 macro;0.5137261862501479 macro;0.5863095238095238 macro;;21_02_2022_23_56_06;1.0;data/somef_data_description_test.csv
19_Sequential;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/merged_abstracts_somef_data_description.csv;0.4819481550362199 macro;0.5078377957217737 macro;0.5440675149129859 macro;;22_02_2022_00_09_02;1.0;data/somef_data.csv
20_Sequential;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/merged_abstracts_somef_data_description.csv;0.5789755146123493 macro;0.6615464403583216 macro;0.5545820062891011 macro;;22_02_2022_00_17_46;1.0;data/somef_data.csv
21_Sequential;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/merged_abstracts_somef_data_description.csv;0.5458396275120945 macro;0.7829794371026655 macro;0.5282210403460387 macro;;22_02_2022_00_28_01;1.0;data/somef_data.csv
22_Sequential;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/merged_abstracts_somef_data_description.csv;0.5620553453552326 macro;0.681715388858246 macro;0.5402353262272084 macro;;22_02_2022_00_38_12;1.0;data/somef_data.csv
23_Sequential;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];data/merged_abstracts_somef_data_description.csv;0.5269600689892839 macro;0.5244559025910702 macro;0.5797920412391717 macro;;22_02_2022_00_46_46;1.0;data/somef_data.csv
24_Sequential;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];data/merged_abstracts_somef_data_description.csv;0.5441220115910177 macro;0.5433056938664922 macro;0.5449816222737405 macro;;22_02_2022_00_55_18;1.0;data/somef_data.csv
25_Sequential;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/merged_abstracts_somef_data.csv;0.4766658649050897 macro;0.5194752640181041 macro;0.810404208021541 macro;;22_02_2022_01_08_24;1.0;data/somef_data_description.csv
26_Sequential;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/merged_abstracts_somef_data.csv;0.6055084779668883 macro;0.5703703703703704 macro;0.9654967281380131 macro;;22_02_2022_01_17_03;1.0;data/somef_data_description.csv
27_Sequential;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/merged_abstracts_somef_data.csv;0.5478997634521983 macro;0.5398912681521377 macro;0.8450640283039544 macro;;22_02_2022_01_43_25;1.0;data/somef_data_description.csv
28_Sequential;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/merged_abstracts_somef_data.csv;0.5396401696301247 macro;0.5383160618554148 macro;0.887582579291775 macro;;22_02_2022_02_09_24;1.0;data/somef_data_description.csv
29_Sequential;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];data/merged_abstracts_somef_data.csv;0.5981363286284019 macro;0.5664335664335665 macro;0.9631171921475312 macro;;22_02_2022_02_18_01;1.0;data/somef_data_description.csv
30_Sequential;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];data/merged_abstracts_somef_data.csv;0.6659696004266606 macro;0.610715558764658 macro;0.8792698581671311 macro;;22_02_2022_02_26_38;1.0;data/somef_data_description.csv
31_Sequential;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/merged_somef_data_somef_data_description.csv;0.5099736432381949 macro;0.5197876380565578 macro;0.6284572226799849 macro;;22_02_2022_02_39_19;1.0;data/abstracts.csv
32_Sequential;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];data/merged_somef_data_somef_data_description.csv;0.706649048499626 macro;0.685887283448259 macro;0.7331124613665033 macro;;22_02_2022_02_48_01;1.0;data/abstracts.csv
33_Sequential;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/merged_somef_data_somef_data_description.csv;0.5062745796214253 macro;0.5207389260502844 macro;0.651939843379171 macro;;22_02_2022_03_10_05;1.0;data/abstracts.csv
34_Sequential;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];data/merged_somef_data_somef_data_description.csv;0.4745246285682616 macro;0.5141800635500284 macro;0.6406010141151806 macro;;22_02_2022_03_31_51;1.0;data/abstracts.csv
35_Sequential;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];data/merged_somef_data_somef_data_description.csv;0.5884582455416875 macro;0.5628474702962447 macro;0.7925603022831307 macro;;22_02_2022_03_40_31;1.0;data/abstracts.csv
36_Sequential;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f3ec81381f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];data/merged_somef_data_somef_data_description.csv;0.5781601352801431 macro;0.5555809992673288 macro;0.6880155690257015 macro;;22_02_2022_03_49_07;1.0;data/abstracts.csv
