PipelineID;Pipeline;test_acc_mean;test_prec_mean;test_recall_mean;test_f1-score_mean;acc_overall;prec_overall;recall_overall;f1-score_overall;train_set;validation_set
Natural Language Processing;LR_Count_Vectors_RandomUnder;0.7028968135051443;0.7149750026592916;0.6470588235294118;0.6751354812716569;0.793418647166362;0.4057971014492754;0.6436781609195402;0.4977777777777777;readme_train.csv;readme_test.csv
Natural Language Processing;LR_TFIDF_RandomUnder;0.7241933872739986;0.7436342225569473;0.6764705882352942;0.7029332084530037;0.8263254113345521;0.46923076923076923;0.7011494252873564;0.5622119815668203;readme_train.csv;readme_test.csv
Natural Language Processing;SVC_Count_Vectors_RandomUnder;0.6845769653381281;0.7816212400079394;0.511764705882353;0.6083566267524207;0.8226691042047533;0.45652173913043476;0.603448275862069;0.5198019801980198;readme_train.csv;readme_test.csv
Natural Language Processing;SVC_TFIDF_RandomUnder;0.7354709819198881;0.7827296650717702;0.6441176470588236;0.7025912239461867;0.870201096892139;0.5784313725490197;0.6781609195402298;0.6243386243386243;readme_train.csv;readme_test.csv
Natural Language Processing;KNN_Count_Vectors_RandomUnder;0.6662471281590251;0.6479307824542413;0.6764705882352942;0.6582680189696125;0.676416819012797;0.2826086956521739;0.6724137931034483;0.39795918367346933;readme_train.csv;readme_test.csv
Natural Language Processing;KNN_TFIDF_RandomUnder;0.6932274498052142;0.6833185798212245;0.7147058823529412;0.6935962874086747;0.7486288848263254;0.3608815426997245;0.7528735632183908;0.48789571694599615;readme_train.csv;readme_test.csv
Natural Language Processing;RandomForestClassifier_Count_Vectors_RandomUnder;0.7368594545999401;0.7376753612280579;0.7147058823529412;0.7235983242134063;0.8610603290676416;0.5443548387096774;0.7758620689655172;0.6398104265402843;readme_train.csv;readme_test.csv
Natural Language Processing;RandomForestClassifier_TFIDF_RandomUnder;0.7368494655878534;0.7452816849596351;0.7117647058823529;0.7244735287245438;0.8638025594149908;0.551440329218107;0.7701149425287356;0.6426858513189448;readme_train.csv;readme_test.csv
Natural Language Processing;Linear_SVC_Count_Vectors_RandomUnder;0.8556288083108582;0.8711790535046349;0.8382352941176471;0.8497524402229055;0.9131627056672761;0.6872037914691943;0.8333333333333334;0.7532467532467533;readme_train.csv;readme_test.csv
Natural Language Processing;Linear_SVC_TFIDF_RandomUnder;0.90087903306363;0.9019126189253308;0.9176470588235294;0.9037560962119671;0.9323583180987203;0.7475247524752475;0.867816091954023;0.8031914893617021;readme_train.csv;readme_test.csv
