PipelineID;Pipeline;Input;F1 score;Precision;Recall;Pickle file name;Datetime;Sklearn version;Validation set
1_Computer Vision;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.6136648817515322 macro;0.6134855100956795 macro;0.6139406028368795 macro;;09_02_2022_00_52_15;1.0;../data/somef_data_test.csv
2_Computer Vision;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.6177542223282777 macro;0.6191829194802854 macro;0.6172539893617022 macro;;09_02_2022_01_00_21;1.0;../data/somef_data_test.csv
3_Computer Vision;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.560852942744698 macro;0.5717690661634569 macro;0.5644835992907802 macro;;09_02_2022_01_15_58;1.0;../data/somef_data_test.csv
4_Computer Vision;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.5543774863454356 macro;0.566253904715587 macro;0.5588763297872341 macro;;09_02_2022_01_37_17;1.0;../data/somef_data_test.csv
5_Computer Vision;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.6398007283186848 macro;0.6562293798062395 macro;0.6403701241134752 macro;;09_02_2022_01_50_31;1.0;../data/somef_data_test.csv
6_Computer Vision;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.6638821880436434 macro;0.6804672258727912 macro;0.6774711879432624 macro;;09_02_2022_01_58_18;1.0;../data/somef_data_test.csv
7_Computer Vision;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.995144180978612 macro;0.9951554258268202 macro;0.9951330114691741 macro;;09_02_2022_02_06_33;1.0;../data/abstracts_test.csv
8_Computer Vision;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.9963095775437452 macro;0.9963208488141532 macro;0.9962983817009352 macro;;09_02_2022_02_15_06;1.0;../data/abstracts_test.csv
9_Computer Vision;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.9953385190729555 macro;0.9953385190729555 macro;0.9953385190729555 macro;;09_02_2022_02_31_14;1.0;../data/abstracts_test.csv
10_Computer Vision;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.9947568824798071 macro;0.9946625139356418 macro;0.9948573470434652 macro;;09_02_2022_02_52_42;1.0;../data/abstracts_test.csv
