PipelineID;Pipeline;Input;F1 score;Precision;Recall;Pickle file name;Datetime;Sklearn version;Validation set
1_General;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.4935187416343768 macro;0.5044645844685998 macro;0.5049706535291792 macro;;09_02_2022_00_53_31;1.0;../data/somef_data_test.csv
2_General;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.504188031815264 macro;0.537445491232658 macro;0.5402806921509595 macro;;09_02_2022_01_01_29;1.0;../data/somef_data_test.csv
3_General;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.47005379165573336 macro;0.510702315882411 macro;0.5112063984429644 macro;;09_02_2022_01_22_16;1.0;../data/somef_data_test.csv
4_General;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.4610926293134058 macro;0.5047982160403391 macro;0.5049600097314721 macro;;09_02_2022_01_43_27;1.0;../data/somef_data_test.csv
5_General;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.5475865171066319 macro;0.5574075793405897 macro;0.5639327311984916 macro;;09_02_2022_01_51_37;1.0;../data/somef_data_test.csv
6_General;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.5570891726943942 macro;0.5940971178116143 macro;0.5628075297266064 macro;;09_02_2022_01_59_24;1.0;../data/somef_data_test.csv
7_General;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.9875093038387669 macro;0.9855830464444697 macro;0.9894972044747472 macro;;09_02_2022_02_07_55;1.0;../data/abstracts_test.csv
8_General;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.9895183123863663 macro;0.9891730955947833 macro;0.9898654154145052 macro;;09_02_2022_02_16_18;1.0;../data/abstracts_test.csv
9_General;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.9874564459930314 macro;0.987542971713909 macro;0.9873700381346828 macro;;09_02_2022_02_37_21;1.0;../data/abstracts_test.csv
10_General;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.9899562377161601 macro;0.9904815979506666 macro;0.9894351444673989 macro;;09_02_2022_02_58_54;1.0;../data/abstracts_test.csv
11_General;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.9385993129987662 macro;0.928313458296567 macro;0.9518160982776274 macro;;09_02_2022_03_07_43;1.0;../data/abstracts_test.csv
12_General;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.9508721598168711 macro;0.947776837751457 macro;0.9541526619682328 macro;;09_02_2022_03_16_04;1.0;../data/abstracts_test.csv
13_General;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.6671485903985745 macro;0.6901779249881701 macro;0.7103499207478203 macro;;09_02_2022_03_25_52;1.0;../data/merged_somef_data_somef_data_description.csv
14_General;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.6715137028540303 macro;0.7003659027298249 macro;0.7198637945326578 macro;;09_02_2022_03_36_24;1.0;../data/merged_somef_data_somef_data_description.csv
15_General;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.6602111957660248 macro;0.6901586063462715 macro;0.7082807967323743 macro;;09_02_2022_03_59_48;1.0;../data/merged_somef_data_somef_data_description.csv
16_General;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.6533124707390736 macro;0.687540232585274 macro;0.703962936208901 macro;;09_02_2022_04_23_36;1.0;../data/merged_somef_data_somef_data_description.csv
17_General;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.6555326813701017 macro;0.6628118351857049 macro;0.681992501534345 macro;;09_02_2022_04_34_37;1.0;../data/merged_somef_data_somef_data_description.csv
18_General;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.6163026991086085 macro;0.6712126382002039 macro;0.6135711910146242 macro;;09_02_2022_04_45_07;1.0;../data/merged_somef_data_somef_data_description.csv
19_General;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.9723822099899514 macro;0.968814013799153 macro;0.9761860944349152 macro;;09_02_2022_04_57_19;1.0;../data/merged_abstracts_somef_data_description.csv
20_General;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.9747892261409155 macro;0.9685620690195069 macro;0.9817964432056413 macro;;09_02_2022_05_10_40;1.0;../data/merged_abstracts_somef_data_description.csv
21_General;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.973016482054773 macro;0.9668865830389095 macro;0.9799042905469793 macro;;09_02_2022_05_36_59;1.0;../data/merged_abstracts_somef_data_description.csv
22_General;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.9753936796483725 macro;0.9695927556287095 macro;0.981859723413379 macro;;09_02_2022_06_03_35;1.0;../data/merged_abstracts_somef_data_description.csv
23_General;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.9335096900625454 macro;0.9244690318356492 macro;0.9447531774109015 macro;;09_02_2022_06_17_25;1.0;../data/merged_abstracts_somef_data_description.csv
24_General;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.9376010523427047 macro;0.9357070567334576 macro;0.9395656148751668 macro;;09_02_2022_06_30_34;1.0;../data/merged_abstracts_somef_data_description.csv
25_General;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.8941595983900612 macro;0.882894982516889 macro;0.9115275246642437 macro;;09_02_2022_06_45_34;1.0;../data/merged_abstracts_somef_data_somef_data_description.csv
26_General;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.8968687291992047 macro;0.8841983732898262 macro;0.9193281265056904 macro;;09_02_2022_07_01_43;1.0;../data/merged_abstracts_somef_data_somef_data_description.csv
