PipelineID;Pipeline;Input;F1 score;Precision;Recall;Pickle file name;Datetime;Sklearn version;Validation set
1_Graphs;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.4137792408551998 macro;0.5140412964148023 macro;0.6824404761904762 macro;;09_02_2022_00_54_36;1.0;../data/somef_data_test.csv
2_Graphs;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.45731897627965046 macro;0.5240229653505237 macro;0.7839285714285714 macro;;09_02_2022_01_02_35;1.0;../data/somef_data_test.csv
3_Graphs;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.44840935009860255 macro;0.5185474902456034 macro;0.7196428571428571 macro;;09_02_2022_01_23_24;1.0;../data/somef_data_test.csv
4_Graphs;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.38911265128906625 macro;0.513673121427518 macro;0.6845238095238095 macro;;09_02_2022_01_44_35;1.0;../data/somef_data_test.csv
5_Graphs;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.571917164762108 macro;0.5549180641104476 macro;0.7940476190476191 macro;;09_02_2022_01_52_44;1.0;../data/somef_data_test.csv
6_Graphs;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.5586695748684439 macro;0.5454351969382629 macro;0.7203869047619047 macro;;09_02_2022_02_00_29;1.0;../data/somef_data_test.csv
7_Graphs;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.8012722236077572 macro;0.7240595731613696 macro;0.9710090938677582 macro;;09_02_2022_02_09_08;1.0;../data/abstracts_test.csv
8_Graphs;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.9353308833391454 macro;0.8912058062415382 macro;0.9911872056462132 macro;;09_02_2022_02_17_30;1.0;../data/abstracts_test.csv
9_Graphs;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.7486322062302415 macro;0.6729691594436605 macro;0.973146058651547 macro;;09_02_2022_02_38_34;1.0;../data/abstracts_test.csv
10_Graphs;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.8517673732982458 macro;0.7768237917761349 macro;0.9874565950041556 macro;;09_02_2022_03_00_06;1.0;../data/abstracts_test.csv
11_Graphs;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.857236478484011 macro;0.7833653408922218 macro;0.9877511168969496 macro;;09_02_2022_03_08_54;1.0;../data/abstracts_test.csv
12_Graphs;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.8362629577149676 macro;0.7588933428550575 macro;0.9865730293257735 macro;;09_02_2022_03_17_15;1.0;../data/abstracts_test.csv
