PipelineID;Pipeline;Input;F1 score;Precision;Recall;Pickle file name;Datetime;Sklearn version;Validation set
1_Reinforcement Learning;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.5304630297375339 macro;0.5576428137454452 macro;0.7305589933993399 macro;;09_02_2022_00_56_58;1.0;../data/somef_data_test.csv
2_Reinforcement Learning;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.6977843881808997 macro;0.6521860465116279 macro;0.8585499174917491 macro;;09_02_2022_01_04_50;1.0;../data/somef_data_test.csv
3_Reinforcement Learning;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.6325000422561399 macro;0.6057731978546003 macro;0.7842409240924093 macro;;09_02_2022_01_25_59;1.0;../data/somef_data_test.csv
4_Reinforcement Learning;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.5886808556398685 macro;0.5840916151260979 macro;0.7879022277227723 macro;;09_02_2022_01_47_11;1.0;../data/somef_data_test.csv
5_Reinforcement Learning;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.6365092893475923 macro;0.6120033564086428 macro;0.8441625412541254 macro;;09_02_2022_01_54_56;1.0;../data/somef_data_test.csv
6_Reinforcement Learning;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.7196071615833721 macro;0.6777897966925448 macro;0.8051258250825083 macro;;09_02_2022_02_02_42;1.0;../data/somef_data_test.csv
7_Reinforcement Learning;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.9794504200610997 macro;0.9640489234003072 macro;0.9960444216551041 macro;;09_02_2022_02_11_32;1.0;../data/abstracts_test.csv
8_Reinforcement Learning;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.9895311936384675 macro;0.9822511289182747 macro;0.9970608884166411 macro;;09_02_2022_02_19_52;1.0;../data/abstracts_test.csv
9_Reinforcement Learning;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.9978658536585365 macro;0.9997967892704736 macro;0.9959514170040487 macro;;09_02_2022_02_41_22;1.0;../data/abstracts_test.csv
10_Reinforcement Learning;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.9978740618258706 macro;0.9978740618258706 macro;0.9978740618258706 macro;;09_02_2022_03_02_55;1.0;../data/abstracts_test.csv
