Model;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;fit_time_std;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;score_time_std;test_acc_cv1;test_acc_cv2;test_acc_cv3;test_acc_cv4;test_acc_cv5;test_acc_mean;test_acc_std;test_balanced_accuracy_cv1;test_balanced_accuracy_cv2;test_balanced_accuracy_cv3;test_balanced_accuracy_cv4;test_balanced_accuracy_cv5;test_balanced_accuracy_mean;test_balanced_accuracy_std;test_prec_cv1;test_prec_cv2;test_prec_cv3;test_prec_cv4;test_prec_cv5;test_prec_mean;test_prec_std;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;test_recall_std;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;test_f1-score_std;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;test_tp_std;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;test_tn_std;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;test_fp_std;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;test_fn_std;test_cohens_kappa_cv1;test_cohens_kappa_cv2;test_cohens_kappa_cv3;test_cohens_kappa_cv4;test_cohens_kappa_cv5;test_cohens_kappa_mean;test_cohens_kappa_std;test_matthews_corrcoef_cv1;test_matthews_corrcoef_cv2;test_matthews_corrcoef_cv3;test_matthews_corrcoef_cv4;test_matthews_corrcoef_cv5;test_matthews_corrcoef_mean;test_matthews_corrcoef_std;test_roc_auc_cv1;test_roc_auc_cv2;test_roc_auc_cv3;test_roc_auc_cv4;test_roc_auc_cv5;test_roc_auc_mean;test_roc_auc_std;fit_time_overall;score_time_overall;acc_overall;balanced_accuracy_overall;prec_overall;recall_overall;f1-score_overall;tp_overall;tn_overall;fp_overall;fn_overall;cohens_kappa_overall;matthews_corrcoef_overall;roc_auc_overall
NB_Count_Vectors;0.013467550277709961;0.012685298919677734;0.017638444900512695;0.017296791076660156;0.01190495491027832;0.014598608016967773;0.0023965229175894236;0.022524356842041016;0.022829532623291016;0.03562617301940918;0.035750389099121094;0.023315906524658203;0.0280092716217041;0.006275089622747216;0.4912408759124088;0.4992700729927007;0.493791088385683;0.5164353542731921;0.49013878743608474;0.4981752358000139;0.009659411918336486;0.335121532054079;0.32238388891820574;0.32311730504381525;0.33600867865389356;0.31660001619781447;0.3266462841735616;0.007629331088544434;0.5053750143371788;0.4827027862557773;0.48076233447284417;0.5143112144010288;0.475788287973089;0.4917879274879836;0.015178928417817445;0.4912408759124088;0.4992700729927007;0.493791088385683;0.5164353542731921;0.49013878743608474;0.4981752358000139;0.009659411918336486;0.4878419332006697;0.4891603428460319;0.4845968882110523;0.5087949279416393;0.4804261266981525;0.4901640437795091;0.009791115441804476;329;353;352;357;339;346.0;10.430723848324238;2;0;0;1;0;0.6;0.7999999999999999;5;2;6;3;9;5.0;2.449489742783178;0;2;2;3;0;1.4;1.2;0.23780872302689438;0.2462892686322503;0.240356698465367;0.27485113403777606;0.23310246306209415;0.2464816574448764;0.014809469753248207;0.23981295079647671;0.24705007018458547;0.24111374614748468;0.2763056646517086;0.23415842758126126;0.24768817187230335;0.01488397949426474;0.7104943585864044;0.7057942985667562;0.6971974291802095;0.7161921292920006;0.6996877848964235;0.7058732001043588;0.00694794923946995;0.008934736251831055;0.0012621879577636719;0.49883177570093457;0.36068883022244513;0.5106388729745056;0.49883177570093457;0.49489323282827785;421;3;5;1;0.26056376314618424;0.2617362254971143;0.7296785678112827
NB_WordLevel_TF-IDF;0.009104013442993164;0.009347677230834961;0.010264158248901367;0.012583494186401367;0.012836694717407227;0.010827207565307617;0.0015873256651611032;0.020494937896728516;0.022079944610595703;0.021173954010009766;0.033950090408325195;0.03360867500305176;0.026261520385742188;0.0061598242045725555;0.5;0.4846715328467153;0.49159970781592405;0.49452154857560265;0.4850255661066472;0.49116367106897785;0.005820143805731149;0.18848345141082518;0.17882475163042194;0.19124621770802877;0.19518621925116403;0.18063272535999797;0.18687467307208755;0.006237684131015079;0.49963517845772243;0.5176539433224366;0.4907958584090748;0.4701927288401951;0.49548787113026227;0.4947531160319382;0.01528198152122332;0.5;0.4846715328467153;0.49159970781592405;0.49452154857560265;0.4850255661066472;0.49116367106897785;0.005820143805731149;0.4310205959613591;0.4102588198505184;0.4227944735372521;0.4251436353897657;0.4109734642238971;0.4200381977925585;0.008149616508547087;517;514;516;534;521;520.4;7.172168430816443;0;0;0;0;0;0.0;0.0;14;14;17;14;17;15.2;1.469693845669907;0;0;0;0;0;0.0;0.0;0.15837175493995292;0.12818136913797007;0.14308608943948553;0.14975812459051707;0.129367393257535;0.14175294627309212;0.011658769931149202;0.1747459252915839;0.1435619593783307;0.159128556712326;0.17034742646031936;0.1450021005315881;0.15855719367482962;0.012727990241548779;0.684994809059301;0.6700507096219679;0.674868416841024;0.6824454679856918;0.6683874490275373;0.6761493705071044;0.006587329634716395;0.017162561416625977;0.0029637813568115234;0.5017523364485982;0.208829190994962;0.4715725036722158;0.5017523364485982;0.44568794973350695;643;0;15;0;0.17566676601548026;0.1904967178123384;0.6998960961705731
NB_N-Gram_TF-IDF;0.0250394344329834;0.0211639404296875;0.021312952041625977;0.026821613311767578;0.022908687591552734;0.02344932556152344;0.002189983439455752;0.03747749328613281;0.022508859634399414;0.0354158878326416;0.0341639518737793;0.03662538528442383;0.03323831558227539;0.005480195565109315;0.472992700729927;0.4832116788321168;0.4747991234477721;0.46530314097881664;0.46092037983929873;0.47144540476558633;0.007753583859538138;0.199585531148831;0.20669005543533844;0.21098201621300255;0.1891854399128539;0.1998462276224438;0.20125785406649394;0.007410812071814506;0.44662069713496;0.4626638517171323;0.46047066762837546;0.4440233452989141;0.4416974912426462;0.4510952106044056;0.008718742231457808;0.472992700729927;0.4832116788321168;0.4747991234477721;0.46530314097881664;0.46092037983929873;0.47144540476558633;0.007753583859538138;0.42634220597077566;0.4281763359657056;0.4281449836425111;0.4130556015656929;0.4135538576901589;0.42185459696696875;0.0070142223472069555;465;499;471;476;464;475.0;12.759310326189265;0;0;0;0;0;0.0;0.0;13;13;16;10;16;13.6;2.244994432064365;0;0;0;0;0;0.0;0.0;0.12949579506531816;0.14253662271027945;0.1284794469363868;0.11320073484904791;0.10731275446731514;0.12420507080566949;0.012559885436190233;0.13909943068295297;0.1575298951333736;0.14085120093773693;0.12310254136566712;0.11636954819298426;0.13539052326254297;0.014467334056108493;0.6416761647888254;0.6472016175199213;0.6345061654513494;0.6395283879096303;0.6188422432523902;0.6363509157844234;0.00965555852184055;0.015568256378173828;0.0017192363739013672;0.5005841121495327;0.21328694854413216;0.47535491174545313;0.5005841121495327;0.4501528873571806;621;0;16;0;0.17458197902733585;0.18897125482467808;0.6716462771610276
NB_CharLevel_TF-IDF;0.07234978675842285;0.08207821846008301;0.10837674140930176;0.11359930038452148;0.07350730895996094;0.08998227119445801;0.01755519034298399;0.03415632247924805;0.03383302688598633;0.04341435432434082;0.0406956672668457;0.035231828689575195;0.037466239929199216;0.0038718897173718914;0.47664233576642334;0.4744525547445255;0.493791088385683;0.506208911614317;0.46676406135865595;0.48357179037392095;0.01435653763396997;0.1755947250671836;0.17511396469239054;0.19209834258551092;0.19001896616702105;0.17111622538535523;0.18078844477949227;0.008553859832677528;0.4453988884471401;0.4991392287161927;0.48174567334815505;0.5438210177401437;0.5011415698484659;0.49424927562001947;0.03184799326347435;0.47664233576642334;0.4744525547445255;0.493791088385683;0.506208911614317;0.46676406135865595;0.48357179037392095;0.01435653763396997;0.41644279119461325;0.41445158636697504;0.4371115588343776;0.44383537756289565;0.4072676229680422;0.4238217873853807;0.014095761266601125;457;458;472;487;450;464.8;13.196969349058897;0;0;0;0;0;0.0;0.0;10;9;16;16;18;13.8;3.6;0;0;0;0;0;0.0;0.0;0.12859536801540739;0.12237464210786675;0.1571552567356631;0.1738213632102843;0.11123344295768767;0.13863601460538183;0.023225498220202787;0.1359508466207645;0.13022924319313842;0.1668349346440442;0.18571522889906872;0.11776101392066773;0.1472982534555367;0.025100235802247926;0.6611175693370284;0.6441611251018848;0.6442752949705837;0.6640706209515513;0.6376383107772263;0.650252584227655;0.010401344106947636;0.03118133544921875;0.0074536800384521484;0.5075934579439252;0.2157162311074902;0.48307560665888144;0.5075934579439252;0.4704400816049533;573;0;10;0;0.20168953191602346;0.20736165708773716;0.683882345037196
kNN_Count_Vectors;0.011199474334716797;0.009052753448486328;0.009155750274658203;0.011034250259399414;0.009572744369506836;0.010002994537353515;0.0009274641172923731;1.190788745880127;1.228560447692871;1.245558738708496;1.2466816902160645;1.247894048690796;1.231896734237671;0.021735486531794156;0.3970802919708029;0.40875912408759124;0.3915266617969321;0.42585829072315556;0.38349159970781593;0.4013431936572596;0.0147594176266332;0.2513762655338085;0.24698031901145248;0.212053968076727;0.2430520737017897;0.2123260801645905;0.2331577412976736;0.017321682617136132;0.38825014004181463;0.39539001151136477;0.37295851423885845;0.40238523211386723;0.3626103112130744;0.38431884182379594;0.014592722200856476;0.3970802919708029;0.40875912408759124;0.3915266617969321;0.42585829072315556;0.38349159970781593;0.4013431936572596;0.0147594176266332;0.3745856776418905;0.3834695932831437;0.3664173950139222;0.3978632169298357;0.361247357242621;0.37671664802228266;0.012982251351565556;386;399;385;417;373;392.0;14.966629547095765;6;4;1;4;2;3.4;1.7435595774162693;6;8;7;1;10;6.4;3.006659275674582;2;1;1;2;3;1.8;0.7483314773547883;0.04730554549970123;0.05854545824750479;0.02907801418439715;0.09014854800413985;0.028147026663302155;0.05064491851980903;0.022827146922870148;0.04862363324934145;0.060359155539242745;0.029903489639525105;0.0934860621575161;0.02885061624505799;0.05224459136613667;0.023774857731493158;0.6086451325326677;0.6417108791045245;0.6060611179844276;0.6337030455729388;0.5919878866164799;0.6164216123622077;0.01845543487588252;0.002608060836791992;0.2619495391845703;0.40829439252336447;0.2228195449781872;0.39090396417017953;0.40829439252336447;0.38591546058457693;491;2;10;0;0.06349677780285778;0.06491999636914199;0.6348984456540419
kNN_WordLevel_TF-IDF;0.006414175033569336;0.006078243255615234;0.005781650543212891;0.003535032272338867;0.004698514938354492;0.005301523208618164;0.0010541270866800297;1.3076858520507812;1.3203656673431396;1.3476452827453613;1.2609477043151855;1.2641687393188477;1.3001626491546632;0.03332486897942934;0.3788321167883212;0.4051094890510949;0.38203067932797663;0.42074506939371803;0.3929875821767714;0.39594098734757643;0.015454686232697036;0.21949096133539645;0.2318786237051676;0.2060599822457257;0.22393568939544717;0.18538515176967624;0.21335008169028263;0.016298804973842257;0.34899324113983626;0.38218556916563295;0.35991667280959544;0.3796421003377236;0.3517340361625507;0.36449432392306785;0.013903227606864967;0.3788321167883212;0.4051094890510949;0.38203067932797663;0.42074506939371803;0.3929875821767714;0.39594098734757643;0.015454686232697036;0.33741686852099256;0.3622421143035997;0.3493233792738673;0.3632916505257553;0.3424652843744458;0.3509478593997321;0.010369282541197337;408;433;395;471;433;428.0;26.03075104563831;6;4;1;4;2;3.4;1.7435595774162693;10;9;11;5;10;9.0;2.0976176963403033;2;1;1;2;1;1.4;0.4898979485566356;-0.005882393542308684;0.034295880567685955;0.005622796149814091;0.0525314886961864;0.002377340290261709;0.017789022432327894;0.02202447851934694;-0.006266021957849832;0.03699393613578068;0.005939070154464957;0.05934274891000836;0.0025974091355190736;0.019721428475584647;0.024603745946988248;0.596683815749759;0.5976151111503324;0.5854846353923437;0.613223131910576;0.5765457637979035;0.5939104916001829;0.012384849075309963;0.00357818603515625;0.31111669540405273;0.40654205607476634;0.21386614476162621;0.37715997659205197;0.40654205607476634;0.36574011880700086;543;2;11;0;0.04774699757528589;0.05082516810996023;0.6021677053240476
kNN_N-Gram_TF-IDF;0.009909391403198242;0.014127731323242188;0.01380300521850586;0.012698173522949219;0.012557506561279297;0.01261916160583496;0.0014852721683383744;1.1070895195007324;1.1144523620605469;1.1095244884490967;1.086289644241333;1.024843692779541;1.08843994140625;0.03322082940773134;0.3759124087591241;0.39416058394160586;0.3798392987582177;0.40175310445580714;0.39590942293645;0.389514963770241;0.009908491090978177;0.21714571760237017;0.24131425526242153;0.21154931894436407;0.22401372761248448;0.19131983452808393;0.21706857078994485;0.016306771173209313;0.3635185264700401;0.3953907027256877;0.3873763195940646;0.3876613798073601;0.36780718862985806;0.38035082344540216;0.012407004433579519;0.3759124087591241;0.39416058394160586;0.3798392987582177;0.40175310445580714;0.39590942293645;0.389514963770241;0.009908491090978177;0.3510476949519225;0.37437606876109747;0.3689457723366714;0.37584937617544906;0.3630597451782912;0.3666557314806863;0.009010137839002964;360;374;327;395;401;371.4;26.612778885340028;5;3;1;3;0;2.4;1.7435595774162693;7;7;9;5;13;8.2;2.7129319932501073;2;1;1;1;1;1.2;0.4000000000000001;0.0014704942139248667;0.03968123936943768;0.02124282214757489;0.04660631060159648;0.027635398594912153;0.027327252985489214;0.01568432509640633;0.001510428768908257;0.04070535980490259;0.02152747355500982;0.04818924431296343;0.028887493664440232;0.02816400002124487;0.016206640004999932;0.585973654142632;0.6051972910463564;0.5809191590783797;0.6151643251842773;0.5797975033710644;0.5934103865645419;0.014204304311018118;0.004908323287963867;0.3112821578979492;0.4030373831775701;0.22435012116274455;0.4043678358159228;0.4030373831775701;0.38435885482244125;456;5;6;0;0.051838621206152125;0.0527805906310943;0.608969464024436
kNN_CharLevel_TF-IDF;0.07012414932250977;0.0731658935546875;0.11021184921264648;0.0714726448059082;0.08761978149414062;0.08251886367797852;0.015205569741651178;10.899627447128296;11.48588252067566;11.490442037582397;11.553747177124023;11.53070068359375;11.392079973220826;0.2475219142749071;0.40948905109489053;0.42043795620437957;0.42074506939371803;0.42658875091307524;0.4141709276844412;0.41828635105810097;0.005898029164024819;0.28286321544413257;0.2836633577355917;0.264802212971318;0.26531446289216093;0.25349127482912615;0.27002690477446584;0.011607370861572354;0.4070888568026628;0.4349082923558476;0.41980263132067897;0.4227672079920596;0.4007842493821379;0.4170702475706774;0.012024799536114718;0.40948905109489053;0.42043795620437957;0.42074506939371803;0.42658875091307524;0.4141709276844412;0.41828635105810097;0.005898029164024819;0.40347555338206825;0.4181686277363735;0.41441056130427634;0.4189513598117353;0.4022128099166347;0.4114437824302176;0.007198507722147113;344;336;342;360;359;348.2;9.6;6;4;1;4;3;3.6;1.624807680927192;5;2;6;3;8;4.8;2.1354156504062622;2;1;1;2;1;1.4;0.4898979485566356;0.09196075620097077;0.10862400416933671;0.10469376899382721;0.11405830076997914;0.09174399962939739;0.10221616595270225;0.008969668457076703;0.09243408922663096;0.1092491288001404;0.1053267156310032;0.11472773434201672;0.09239399747275195;0.10282633309450864;0.009010881513966215;0.6465912345921214;0.6633735113653901;0.6465746283114663;0.6662967514846342;0.6367318905949726;0.6519136032697169;0.011184999846375715;0.011299848556518555;1.8061811923980713;0.42815420560747663;0.2800109368526236;0.4325162890082604;0.42815420560747663;0.42418418849759637;443;3;6;0;0.12313435959250973;0.12357608270773965;0.6589878948977197
SGD_Count_Vectors;0.3604416847229004;0.3533501625061035;0.33462977409362793;0.3226907253265381;0.28052735328674316;0.33032793998718263;0.028262312757022578;0.027861833572387695;0.030892610549926758;0.03649139404296875;0.05584144592285156;0.06035590171813965;0.04228863716125488;0.013279418556452253;0.4744525547445255;0.4846715328467153;0.45069393718042366;0.46238130021913804;0.46092037983929873;0.4666239409660203;0.011758387619292102;0.36105403154522187;0.3364653377080932;0.32642774415427234;0.41106709075227993;0.3758571973652628;0.362174280305026;0.030059103999360282;0.4844819862455117;0.4751137860144977;0.45739550294937736;0.4571595766822923;0.4576792712462976;0.46636602462759524;0.011361338141965851;0.4744525547445255;0.4846715328467153;0.45069393718042366;0.46238130021913804;0.46092037983929873;0.4666239409660203;0.011758387619292102;0.47467026869313017;0.46754923078106037;0.45047047988414146;0.45439844535926965;0.452834523946079;0.4599845897327362;0.009441818645193462;364;419;359;380;394;383.2;21.73844520659194;5;5;6;10;5;6.2;1.9390719429665317;7;8;4;3;4;5.2;1.9390719429665317;1;3;8;18;14;8.8;6.43117407632541;0.20613906248113745;0.19360768891508628;0.17258761671914913;0.21834240342581845;0.22180081060971346;0.202495516430181;0.01794753231895376;0.20657803361627256;0.19710577263167026;0.17297225895442087;0.2205321075682207;0.22469504231498866;0.2043766430171146;0.01853528203173105;0.6706609715742682;0.6395327344123343;0.6339775432844704;0.6798275678304343;0.6621707049766248;0.6572339044156263;0.017716215799721855;0.31160593032836914;0.003247976303100586;0.4719626168224299;0.413220517935916;0.4795620892506888;0.4719626168224299;0.47381487175573744;443;8;3;16;0.2318655717103416;0.23223623016885503;0.6908142906993119
SGD_WordLevel_TF-IDF;0.28051185607910156;0.2841479778289795;0.25434112548828125;0.27820730209350586;0.2749364376068115;0.2744289398193359;0.01048346727122574;0.036611080169677734;0.03735685348510742;0.04669070243835449;0.02562570571899414;0.03899431228637695;0.03705573081970215;0.006745734045427143;0.46277372262773725;0.47883211678832116;0.46968590211833455;0.4821037253469686;0.4558071585098612;0.4698405250782446;0.009778893441370541;0.3852104749581466;0.3706266977523574;0.3664253666630275;0.376819741036063;0.33977675429585563;0.36777180694109;0.015360068549145083;0.4604734430228496;0.4790953863422841;0.4588767747318866;0.48644207029639847;0.4542396381054576;0.4678254624997752;0.012588050658451711;0.46277372262773725;0.47883211678832116;0.46968590211833455;0.4821037253469686;0.4558071585098612;0.4698405250782446;0.009778893441370541;0.4563453915927837;0.47408030314155136;0.46273264543724396;0.47942873685647686;0.4517954061302916;0.4648764966316695;0.010440005073422388;386;389;376;365;348;372.8;14.985326155943355;7;4;1;6;3;4.2;2.1354156504062622;2;3;3;3;10;4.2;2.925747767665559;2;1;1;2;1;1.4;0.4898979485566356;0.17556118452574654;0.20773651152336858;0.19863802311780798;0.20819669189026913;0.17970019270798143;0.19396652075303472;0.013829084339049651;0.17670942889466326;0.20860101951406215;0.19914866021077998;0.20906409106102639;0.17990330578154595;0.19468530109241558;0.01387052819046167;0.7319313069884871;0.732196517316587;0.7265839579964286;0.7386460583791399;0.7095678480636161;0.7277851377488517;0.009878492418027908;0.25870656967163086;0.0025954246520996094;0.4889018691588785;0.38884182081840557;0.49033305229897334;0.4889018691588785;0.4843534794061914;474;10;4;1;0.21585542425990456;0.2170369304182534;0.758972014077283
